difficulty14mom,difficulty30mom,difficulty3rsi,difficulty90mom,difficulty90sma,hashrate90std,hashrate90var,median_transaction_fee90rocUSD,median_transaction_feeUSD,mining_profitability,price14emaUSD,price14smaUSD,price14wmaUSD,price30emaUSD,price30smaUSD,price30wmaUSD,price3emaUSD,price3smaUSD,price3wmaUSD,price7emaUSD,price7smaUSD,price7wmaUSD,price90wmaUSD,sentinusd90emaUSD,sentinusdUSD,top100cap,top100cap14trx,top100cap30rsi,top100cap30trx,top100cap90rsi,top100cap90trx,priceUSD
9473958986.0,19905629005.0,100.0,52470474321.0,79897781315.0,2.8502786775329427e+17,2.0310221348997e+34,43.331,0.0383,1.69,414.887,425.249,414.143,420.357,430.3,424.536,386.388,379.586,381.532,401.215,406.733,394.776,408.048,958532818,3573385257.0,19.459,-0.052,43.577,-0.046,47.545,-0.017,414.783
9473958986.0,19905629005.0,100.0,52470474321.0,80480786585.0,2.849784081911534e+17,2.0303173283791e+34,43.027,0.0383,1.532,410.699,421.766,408.573,417.977,427.961,421.515,384.93,383.636,383.475,396.78,397.867,388.961,408.064,1010519202,3323913284.0,19.456,-0.048,43.465,-0.046,47.527,-0.018,420.743
9473958986.0,19905629005.0,100.0,52470474321.0,81063791855.0,2.86252814014378e+17,2.0485168382788e+34,44.511,0.0393,1.813,408.331,419.131,404.729,416.362,426.477,419.256,388.934,386.47,388.127,395.819,392.784,387.729,408.26,1021549557,1512400335.0,19.462,-0.044,43.741,-0.046,47.564,-0.018,420.701
9473958986.0,19905629005.0,100.0,52470474321.0,81646797125.0,2.845870057453979e+17,2.0247440959783e+34,49.732,0.0414,1.886,409.11,416.718,404.068,416.22,425.648,418.462,401.554,396.862,401.979,400.408,390.474,393.076,408.893,1045254442,2100121859.0,19.499,-0.04,45.221,-0.046,47.764,-0.018,430.082
9473958986.0,19905629005.0,100.0,52470474321.0,82229802396.0,2.8655822083541552e+17,2.052890348209e+34,40.694,0.0394,1.956,407.037,412.341,400.981,414.759,424.072,416.392,397.56,400.226,400.331,398.697,388.987,393.849,409.04,1087639094,2973756111.0,19.465,-0.036,44.114,-0.045,47.595,-0.018,438.567
9473958986.0,19905629005.0,100.0,52470474321.0,82812807666.0,2.926513663166636e+17,2.1411205551753e+34,34.292,0.0389,1.791,404.603,407.975,397.84,413.083,421.894,414.115,393.172,398.841,394.609,396.219,391.481,393.798,409.054,1316825191,11515606499.0,19.337,-0.034,40.224,-0.045,46.951,-0.019,437.065
9473958986.0,19905629005.0,100.0,52470474321.0,83395812936.0,2.968796830216381e+17,2.2034386547757e+34,39.348,0.0396,1.793,403.498,404.54,396.286,412.001,419.954,412.465,394.744,392.888,393.347,396.243,393.179,395.007,409.209,1873620909,26651030344.0,19.362,-0.032,41.265,-0.044,47.092,-0.019,427.514
9473958986.0,19905629005.0,100.0,52470474321.0,83978818206.0,3.0365424292596896e+17,2.3051474811736e+34,35.7,0.0396,1.61,402.532,400.902,395.181,410.985,418.882,410.936,395.498,393.784,395.028,396.245,395.072,395.775,409.335,1982372738,6821829144.0,19.299,-0.033,39.465,-0.044,46.774,-0.019,421.19
12604759384.0,23036429403.0,100.0,55601274720.0,84596610148.0,3.055304246958968e+17,2.3337210103714e+34,30.499,0.0393,1.689,401.279,397.159,394.145,409.833,418.077,409.275,394.315,395.233,394.703,395.467,396.452,395.291,409.367,2027193949,4021737819.0,19.309,-0.034,39.875,-0.044,46.829,-0.019,423.3
9751676197.0,26584669855.0,100.0,57988057607.0,85240921899.0,3.0642339141489786e+17,2.3473823701552e+34,27.359,0.0394,1.666,400.343,394.712,393.758,408.828,417.082,407.738,394.286,394.547,394.215,395.165,396.64,394.742,409.402,2101735212,5418821406.0,19.35,-0.034,41.644,-0.044,47.067,-0.02,424.262
6679040850.0,26584669855.0,100.0,57779358201.0,85882914768.0,3.080242344833998e+17,2.3719732257271e+34,18.192,0.0384,1.572,398.143,391.39,392.308,407.216,415.707,405.593,389.064,390.411,388.862,392.334,392.307,391.543,409.187,2105735770,2283760618.0,19.333,-0.035,41.128,-0.044,46.979,-0.02,432.256
6679040850.0,26584669855.0,100.0,57779358201.0,86524907637.0,3.1245982667891046e+17,2.4407785822054e+34,16.788,0.0376,1.64,395.189,389.391,390.255,405.202,413.941,403.031,382.526,384.696,381.651,388.248,389.796,387.463,408.785,2117600145,2645564853.0,19.346,-0.035,41.719,-0.044,47.058,-0.02,429.127
6679040850.0,20854597591.0,100.0,57779358201.0,87166900506.0,3.183184286927721e+17,2.5331655511359e+34,19.565,0.0378,1.708,392.931,389.887,388.77,403.463,412.368,400.729,380.391,379.362,378.431,385.75,388.292,384.578,408.419,2098489660,1248073072.0,19.393,-0.035,43.763,-0.044,47.336,-0.02,436.765
6679040850.0,16152999836.0,100.0,57779358201.0,87808893374.0,3.247572957527672e+17,2.6366825286163e+34,12.506,0.0378,1.617,390.903,389.407,387.148,401.803,410.551,398.494,379.058,377.323,377.612,383.743,385.636,381.936,408.027,2065563360,600342987.0,19.395,-0.034,43.855,-0.043,47.349,-0.021,434.676
6679040850.0,16152999836.0,100.0,57779358201.0,88450886243.0,3.3088454567945395e+17,2.7371145642375e+34,-2.84,0.0373,1.436,388.548,388.71,384.992,399.96,408.551,396.086,376.147,376.406,375.569,381.117,382.348,378.836,407.526,2062157630,1910602667.0,19.375,-0.032,43.164,-0.043,47.241,-0.021,431.575
6679040850.0,16152999836.0,100.0,57779358201.0,89092879112.0,3.326660150126285e+17,2.7666669386096e+34,-16.693,0.0374,1.729,386.646,388.054,383.069,398.303,406.718,393.876,375.217,375.083,374.51,379.409,379.656,376.821,407.051,2046844820,1365424773.0,19.376,-0.031,43.202,-0.042,47.246,-0.021,421.323
6679040850.0,16152999836.0,100.0,57779358201.0,89734871981.0,3.363293897219371e+17,2.8279364597683e+34,-7.315,0.0372,1.601,384.719,386.572,380.954,396.619,404.73,391.648,373.705,373.239,373.065,377.605,376.504,374.955,406.548,2013662819,537063751.0,19.342,-0.03,42.009,-0.042,47.06,-0.021,419.557
6679040850.0,16152999836.0,100.0,57779358201.0,91660850588.0,3.496748734887548e+17,3.0568129287344e+34,-1.287,0.0377,1.707,383.453,382.784,379.528,393.811,399.179,387.409,379.613,381.164,380.986,379.552,377.276,378.418,405.648,1953183064,1091968720.0,19.509,-0.019,49.251,-0.04,48.09,-0.022,409.784
27067580465.0,36541539451.0,100.0,78167897816.0,92529382786.0,3.645409655701404e+17,3.3222528894703e+34,0.703,0.0378,1.272,382.668,381.445,378.832,392.763,396.603,386.015,378.589,380.903,379.187,379.055,377.254,378.491,405.268,1933379641,1052127323.0,19.515,-0.014,49.511,-0.038,48.131,-0.022,412.669
30762148046.0,40236107032.0,100.0,81862465398.0,93438965735.0,3.729139816847501e+17,3.4766209433994e+34,3.058,0.0377,1.166,381.905,380.066,378.233,391.743,394.171,384.747,377.77,377.266,377.211,378.529,377.784,378.415,404.875,1911159509,922363652.0,19.501,-0.009,48.939,-0.037,48.047,-0.022,411.941
27631347648.0,40236107032.0,100.0,79915567669.0,94326916487.0,3.792209766749212e+17,3.595213728757e+34,18.626,0.0375,1.435,380.929,378.741,377.502,390.636,391.844,383.483,376.177,376.367,375.87,377.543,377.826,377.615,404.427,1885997042,766267258.0,19.576,-0.004,51.916,-0.036,48.515,-0.022,413.802
24083107196.0,40236107032.0,100.0,78268192668.0,95196563072.0,3.9012624526401376e+17,3.8049621810949e+34,15.867,0.038,1.246,380.764,377.701,377.628,389.93,389.594,382.699,377.933,377.074,377.531,378.079,378.897,378.081,404.077,1864884149,925360422.0,19.491,0.001,48.595,-0.034,48.02,-0.022,419.577
24083107196.0,40236107032.0,100.0,78268192668.0,96066209657.0,4.003455309260323e+17,4.0069136033112e+34,14.179,0.0381,1.462,380.795,377.497,378.067,389.353,387.443,382.144,379.464,378.423,379.491,378.808,379.275,378.605,403.743,1844460589,935612175.0,19.529,0.005,50.102,-0.033,48.263,-0.023,413.346
24083107196.0,33834783393.0,100.0,78268192668.0,96935856242.0,4.102216338904813e+17,4.2070447227944e+34,14.847,0.0383,1.283,381.083,377.995,378.795,388.94,385.924,381.855,381.209,381.213,381.757,379.845,378.574,379.525,403.44,1824761658,948159218.0,19.567,0.009,51.52,-0.031,48.499,-0.023,412.764
24083107196.0,30762148046.0,100.0,78268192668.0,97805502827.0,4.116318665707532e+17,4.2360198394131e+34,18.81,0.039,1.357,382.248,378.821,380.372,388.998,384.574,382.106,385.517,384.591,386.063,382.34,380.366,382.337,403.276,1805578812,951942167.0,19.553,0.013,50.974,-0.03,48.417,-0.023,414.027
24083107196.0,30762148046.0,100.0,78268192668.0,98675149413.0,4.168829315422106e+17,4.3447844652807e+34,24.174,0.04,1.416,384.616,380.413,383.197,389.708,384.441,383.102,392.76,390.927,393.769,386.755,383.571,387.247,403.321,1788771499,1040846055.0,19.553,0.017,50.963,-0.028,48.416,-0.023,415.778
