fee_to_reward90rocUSD,median_transaction_fee90rocUSD,mediantransactionvalueUSD,mining_profitability90roc,sentinusd90rocUSD,transactions90roc,transactionvalue90rocUSD,priceUSD
0.971,0.0371,75.922,1.737,503987009.0,191158.0,2856.0,404.62
0.954,0.0384,77.99,1.877,3944460920.0,203977.0,19515.0,404.798
0.905,0.0383,91.385,1.69,3573385257.0,213732.0,16948.0,414.783
1.18,0.0383,120.745,1.532,3323913284.0,186725.0,18075.0,420.743
1.209,0.0393,105.614,1.813,1512400335.0,208919.0,7454.0,420.701
1.45,0.0414,122.14,1.886,2100121859.0,222606.0,9877.0,430.082
1.017,0.0394,122.007,1.956,2973756111.0,213507.0,14218.0,438.567
0.856,0.0389,120.367,1.791,11515606499.0,190221.0,60833.0,437.065
0.932,0.0396,163.556,1.793,26651030344.0,201254.0,132628.0,427.514
1.123,0.0396,111.21,1.61,6821829144.0,221988.0,30994.0,421.19
1.163,0.0393,157.879,1.689,4021737819.0,230363.0,17732.0,423.3
1.253,0.0394,153.774,1.666,5418821406.0,229522.0,23863.0,424.262
1.284,0.0384,110.332,1.572,2283760618.0,224879.0,10386.0,432.256
1.101,0.0376,120.316,1.64,2645564853.0,224225.0,12025.0,429.127
0.828,0.0378,141.865,1.708,1248073072.0,194607.0,7062.0,436.765
0.759,0.0378,132.166,1.617,600342987.0,175864.0,3651.0,434.676
1.373,0.0373,155.405,1.436,1910602667.0,222237.0,8984.0,431.575
1.287,0.0374,114.539,1.729,1365424773.0,241542.0,5910.0,421.323
0.991,0.0372,98.022,1.601,537063751.0,191045.0,3064.0,419.557
0.901,0.0378,147.05,1.434,847087092.0,200493.0,4682.0,403.989
0.908,0.0388,138.438,1.757,1283338133.0,225300.0,5996.0,404.42
0.798,0.0377,148.611,1.707,1091968720.0,223956.0,5357.0,409.784
0.878,0.0378,138.86,1.272,1052127323.0,212014.0,5438.0,412.669
1.127,0.0377,181.746,1.166,922363652.0,224607.0,4406.0,411.941
0.941,0.0375,205.305,1.435,766267258.0,231064.0,3610.0,413.802
1.089,0.038,206.339,1.246,925360422.0,235363.0,4277.0,419.577
0.914,0.0381,149.286,1.462,935612175.0,220742.0,4579.0,413.346
0.906,0.0383,140.145,1.283,948159218.0,202356.0,5036.0,412.764
0.888,0.039,143.206,1.357,951942167.0,184519.0,5504.0,414.027
0.841,0.04,154.082,1.416,1040846055.0,185922.0,5970.0,415.778
1.097,0.0405,196.379,1.373,1466430409.0,220197.0,7245.0,415.443
1.209,0.0405,200.731,1.303,1510244247.0,215802.0,7464.0,418.234
1.12,0.0415,176.735,1.606,1562509539.0,227080.0,7272.0,413.077
1.016,0.0421,176.76,1.499,1544984290.0,212810.0,7608.0,407.531
1.252,0.0421,186.092,1.296,1930946166.0,217291.0,9406.0,410.271
1.091,0.043,202.225,1.365,1704135948.0,215578.0,8369.0,409.752
1.245,0.0439,219.441,1.287,1757389978.0,206489.0,8911.0,415.288
1.423,0.0437,204.59,1.354,1857114236.0,237569.0,8202.0,416.991
1.403,0.0428,181.651,1.33,1585143798.0,244612.0,6971.0,415.821
1.536,0.0421,168.434,1.215,1458057655.0,224809.0,6950.0,415.36
1.171,0.0423,165.218,1.503,1245035812.0,216135.0,6056.0,416.249
1.197,0.0424,173.562,1.2,1285162548.0,203495.0,6920.0,419.438
1.007,0.0432,107.454,1.467,923887204.0,182030.0,6000.0,423.456
1.311,0.0429,256.579,1.211,3543495229.0,233302.0,15603.0,417.945
1.636,0.0437,329.906,1.316,4224600109.0,265187.0,16341.0,412.853
1.676,0.0435,284.384,1.455,4642360608.0,276953.0,17265.0,414.983
2.295,0.0432,284.898,1.421,2347458168.0,270049.0,9129.0,415.156
1.636,0.0421,207.207,1.266,1389892162.0,221517.0,6705.0,418.138
1.314,0.0474,185.649,1.343,3054049581.0,207330.0,15091.0,417.978
1.629,0.0537,419.867,1.234,7765986925.0,234842.0,33565.0,418.564
1.047,0.0457,126.118,1.321,746138427.0,161591.0,5026.0,420.973
1.299,0.0454,137.622,1.16,1114998982.0,183122.0,6482.0,421.292
1.154,0.0413,134.193,1.536,859927775.0,200144.0,4800.0,420.006
1.286,0.0413,125.536,1.342,776634802.0,190220.0,4464.0,420.314
1.05,0.0415,112.258,1.294,895122488.0,188571.0,5453.0,416.933
0.985,0.042,115.3,1.321,904239471.0,189656.0,5221.0,418.889
0.947,0.0413,106.473,1.281,692462712.0,167869.0,4497.0,420.07
1.066,0.0413,99.511,1.296,624405966.0,149670.0,4462.0,423.767
1.07,0.0414,122.993,1.422,868283522.0,191189.0,5245.0,423.615
1.055,0.0416,124.686,1.367,1212965909.0,202265.0,6571.0,423.23
1.248,0.0422,198.875,1.252,5445861378.0,211840.0,26255.0,426.47
1.298,0.0418,152.866,1.309,3204973917.0,208178.0,16034.0,429.738
1.247,0.0413,127.145,1.235,2019330396.0,205886.0,10505.0,427.826
1.001,0.0408,103.256,1.252,812683511.0,177342.0,5025.0,427.315
0.917,0.041,102.527,1.287,666049437.0,177997.0,4079.0,428.717
1.171,0.041,119.573,1.275,710893561.0,198867.0,4199.0,436.562
1.14,0.0415,105.838,1.299,794120270.0,205060.0,4519.0,443.215
1.02,0.0417,111.536,1.297,709908420.0,186659.0,4609.0,445.474
1.038,0.0416,125.047,1.243,819429184.0,189947.0,4998.0,445.852
0.889,0.0415,114.183,1.266,756321517.0,172163.0,5094.0,452.604
0.929,0.0416,98.45,1.299,543383944.0,158896.0,3933.0,457.376
0.893,0.0419,99.331,1.202,657345438.0,160125.0,4587.0,463.109
1.075,0.0423,121.983,1.5,727727230.0,195910.0,4501.0,458.712
1.452,0.0418,125.342,1.204,688532071.0,197252.0,4513.0,444.29
