activeaddresses30std,activeaddresses30var,activeaddresses7trx,difficulty,difficulty30mom,difficulty30trx,difficulty90mom,difficulty90roc,difficulty90rsi,difficulty90trx,median_transaction_fee14emaUSD,median_transaction_fee14smaUSD,mediantransactionvalueUSD,price14stdUSD,price14varUSD,price3emaUSD,price3smaUSD,price3wmaUSD,price7emaUSD,price7smaUSD,price7wmaUSD,sentinusd30emaUSD,sentinusd30smaUSD,sentinusd30wmaUSD,sentinusd90emaUSD,sentinusd90varUSD,sentinusd90wmaUSD,sentinusdUSD,top100cap,transactionvalueUSD,priceUSD
7207,12983796,-0.176,50158,436.688,0.159,1731.0,3.574,53.364,0.075,0.004,0.004,21.87,0.103,0.003,3.476,3.474,3.474,3.483,3.48,3.48,11733962,13588124,11395907,14444498,93683271198894.0,14607077,5554693,49.976,1505.0,3.102
7368,13572232,-0.95,51299,1184.0,0.161,1473.0,2.956,54.471,0.075,0.004,0.004,13.8,0.105,0.003,3.463,3.468,3.462,3.475,3.477,3.473,11652530,13295257,11194853,14357186,93129555300410.0,14497960,10471777,49.916,3469.0,3.13
7911,15645556,-0.273,55392,3444.0,0.185,6680.0,13.714,57.932,0.08,0.028,0.03,28.551,0.082,0.002,3.472,3.474,3.463,3.494,3.518,3.497,15541981,14435063,15110578,15552721,102835524826540.0,15532775,10905877,50.518,3426.0,3.105
8019,16074684,-0.961,55392,3797.0,0.189,6680.0,13.714,57.932,0.081,0.024,0.03,80.21,0.138,0.005,3.379,3.397,3.37,3.443,3.477,3.44,16606013,15003523,16246024,15914957,105477187919520.0,15873845,32034477,50.124,8054.0,3.16
8003,16012208,-1.307,55392,5097.0,0.194,7627.0,15.967,57.932,0.082,0.022,0.03,30.945,0.274,0.019,3.203,3.256,3.185,3.339,3.401,3.327,16746212,15162902,16489610,15977905,101087441184160.0,15920000,18779093,50.602,3898.0,3.161
8509,18102866,-0.138,54367,4072.0,0.198,7234.0,15.349,56.723,0.083,0.019,0.03,24.482,0.345,0.03,3.125,3.12,3.08,3.266,3.333,3.238,16337231,15001165,16182778,15855468,100662657155460.0,15786500,10407010,50.55,1821.0,3.162
8127,16511370,0.444,54290,3995.0,0.202,7157.0,15.185,56.633,0.084,0.017,0.03,19.024,0.403,0.041,3.068,3.028,3.025,3.202,3.256,3.158,15838534,14994680,15770278,15696170,100568473585760.0,15612816,8607421,50.559,2016.0,3.214
8319,17301680,0.012,54290,2444.0,0.206,6786.0,14.286,56.633,0.085,0.016,0.03,21.019,0.443,0.049,3.043,3.025,3.02,3.156,3.185,3.098,15162418,14827679,15148605,15468974,101867321683320.0,15367605,5358741,50.678,1874.0,3.228
8288,17173546,-0.086,54358,2181.0,0.209,5379.0,10.983,56.695,0.086,0.014,0.03,16.387,0.457,0.052,3.077,3.047,3.063,3.145,3.136,3.08,15159845,14389747,15167628,15461360,101729487256150.0,15339073,15122533,50.7,2969.0,3.221
8313,17275477,-0.375,54444,2267.0,0.212,5466.0,11.159,56.774,0.086,0.013,0.03,33.893,0.442,0.049,3.173,3.133,3.174,3.176,3.11,3.113,15101417,14615262,15158884,15434829,101491822274040.0,15292682,14254214,50.962,3770.0,3.344
8347,17418519,-0.819,54444,2744.0,0.214,5466.0,11.159,56.774,0.087,0.012,0.03,47.823,0.428,0.046,3.145,3.165,3.166,3.161,3.085,3.114,14981751,14119097,15070582,15386736,100121724376540.0,15223421,13246592,50.722,3137.0,3.459
9131,20845037,0.408,54444,4879.0,0.216,5269.0,10.715,56.774,0.088,0.01,0.005,21.954,0.408,0.042,3.123,3.162,3.134,3.146,3.096,3.119,14513773,13720797,14658259,15218415,100886376032870.0,15030833,7728095,50.716,1576.0,3.44
9058,20510503,0.864,53386,3821.0,0.217,4139.0,8.405,55.488,0.089,0.009,0.004,31.892,0.38,0.036,3.133,3.12,3.125,3.145,3.11,3.13,14333616,13870925,14529262,15141556,100782876751440.0,14927477,11721333,50.446,2609.0,3.416
9217,21237778,1.608,53221,3655.0,0.217,3973.0,8.068,55.29,0.09,0.009,0.004,28.542,0.336,0.028,3.132,3.125,3.13,3.142,3.127,3.136,13953799,13520011,14179296,14994411,100411581464560.0,14751926,8446453,50.407,1689.0,3.353
9191,21118293,2.675,53221,-419.378,0.216,3721.0,7.518,55.29,0.091,0.008,0.004,44.79,0.283,0.02,3.127,3.132,3.129,3.137,3.142,3.135,14277162,13727347,14530646,15081697,99388644844170.0,14807115,18965936,50.333,3617.0,3.348
9301,21628850,3.135,54510,484.75,0.215,4349.0,8.671,56.526,0.092,0.007,0.004,47.887,0.238,0.014,3.173,3.158,3.172,3.158,3.158,3.154,15290355,14479650,15579311,15409168,101092423998140.0,15101393,29981656,49.614,4315.0,3.353
9614,23106039,3.665,55791,1766.0,0.214,5630.0,11.225,57.702,0.093,0.007,0.004,44.83,0.167,0.007,3.153,3.158,3.16,3.151,3.138,3.148,15917585,15029151,16258844,15620229,95022160980404.0,15284412,25012405,49.971,4134.0,3.405
9687,23457523,3.567,55791,2455.0,0.214,5630.0,11.225,57.702,0.094,0.006,0.004,44.819,0.141,0.005,3.114,3.142,3.118,3.132,3.132,3.132,16291144,15474522,16689722,15754020,94635192820139.0,15398813,21707759,50.155,4398.0,3.385
11452,32784309,4.811,55791,4073.0,0.215,6491.0,13.167,57.702,0.095,0.006,0.004,22.328,0.136,0.005,3.093,3.093,3.083,3.117,3.128,3.117,15813323,15546729,16264585,15603051,95254699583616.0,15232042,8884909,50.451,1639.0,3.434
11449,32769395,4.364,51493,-224.373,0.213,2561.0,5.234,52.754,0.096,0.005,0.004,28.079,0.133,0.004,3.082,3.072,3.072,3.106,3.118,3.102,15271608,15560254,15740070,15423132,95565087918946.0,15034571,7416742,50.411,1523.0,3.42
11235,31556512,3.265,49372,-2346.0,0.208,439.313,0.898,50.588,0.096,0.005,0.003,25.118,0.125,0.004,3.067,3.065,3.061,3.092,3.106,3.086,15007821,15728176,15457661,15329941,79205839533592.0,14923794,11182917,50.349,2115.0,3.398
11233,31542597,2.421,49372,-1281.0,0.201,262.664,0.535,50.588,0.097,0.005,0.004,26.82,0.118,0.003,3.061,3.059,3.057,3.083,3.097,3.073,14383995,15705727,14787360,15110349,64609988972337.0,14695182,5338512,50.426,1702.0,3.312
11235,31555930,1.263,50861,703.69,0.193,1288.0,2.598,52.003,0.098,0.005,0.003,17.474,0.124,0.004,3.055,3.052,3.052,3.075,3.072,3.061,13646462,15641087,13964554,14843137,60411681887216.0,14425791,2952234,50.422,1003.0,3.298
10987,30180037,0.548,53698,3540.0,0.185,4124.0,8.319,54.511,0.098,0.005,0.003,30.626,0.089,0.002,3.079,3.069,3.077,3.081,3.068,3.069,13404679,15785892,13594086,14734471,57018231092445.0,14317605,9898829,50.459,2600.0,3.179
10809,29210993,-0.35,53698,2399.0,0.178,4124.0,8.319,54.511,0.099,0.005,0.003,25.072,0.09,0.002,3.105,3.094,3.107,3.094,3.076,3.084,12982916,15665745,13018696,14561568,57591332865004.0,14148389,6867357,50.223,1890.0,3.193
10893,29662387,-0.372,53698,304.406,0.172,3402.0,6.763,54.511,0.099,0.005,0.004,24.839,0.092,0.002,3.088,3.101,3.096,3.088,3.076,3.083,12663315,15294493,12526010,14417997,57835278131793.0,14007211,8029102,49.938,2251.0,3.215
10910,29757442,-0.709,54575,1182.0,0.166,4114.0,8.153,55.258,0.1,0.005,0.004,18.567,0.089,0.002,3.084,3.094,3.086,3.086,3.077,3.084,12133391,14500754,11826332,14198909,56894075052780.0,13787856,4449480,49.943,1389.0,3.236
10589,28029430,-1.374,54656,1262.0,0.162,4195.0,8.312,55.326,0.1,0.005,0.004,24.671,0.089,0.002,3.075,3.072,3.072,3.081,3.079,3.081,11599428,13124780,11139636,13971613,55358408992020.0,13561177,3856973,50.096,1124.0,3.244
10484,27477979,-1.432,54656,2028.0,0.158,4508.0,8.99,55.326,0.101,0.005,0.004,23.543,0.09,0.002,3.062,3.065,3.06,3.073,3.078,3.074,11227409,12465546,10669207,13792746,54987944772086.0,13384210,5833136,50.041,1456.0,3.257
10660,28411545,-1.885,54318,1869.0,0.154,5339.0,10.9,54.968,0.101,0.004,0.004,23.03,0.052,0.001,3.066,3.061,3.062,3.072,3.081,3.072,11067975,12122413,10429893,13682052,55145319506282.0,13275828,8756173,49.995,2910.0,3.34
10873,29553436,-2.593,53731,1281.0,0.15,4751.0,9.701,54.347,0.102,0.004,0.004,26.559,0.042,0.0,3.066,3.062,3.065,3.071,3.076,3.068,10733164,12002904,10027054,13510543,55786342080725.0,13106153,5878406,50.153,1953.0,3.289
10647,28340917,-2.634,53731,-203.448,0.147,4751.0,9.701,54.347,0.102,0.005,0.004,12.9,0.042,0.0,3.069,3.07,3.07,3.071,3.068,3.067,10382987,11564326,9594958,13330211,56504267991118.0,12925477,5305424,50.108,1712.0,3.268
10564,27900785,-2.21,53731,-1662.0,0.143,5499.0,11.402,54.347,0.102,0.004,0.004,15.681,0.046,0.001,3.087,3.081,3.088,3.08,3.073,3.076,10060863,11380466,9196619,13155702,57208366642485.0,12748285,5390066,50.129,1716.0,3.284
10297,26506062,-1.626,52585,-2808.0,0.139,4843.0,10.145,53.137,0.103,0.004,0.004,20.473,0.063,0.001,3.124,3.112,3.127,3.1,3.084,3.098,10032275,10633241,9082895,13077945,57342408670724.0,12665724,9617741,50.126,2863.0,3.294
10178,25896247,-1.028,52258,-3134.0,0.134,4517.0,9.461,52.799,0.103,0.004,0.004,26.952,0.073,0.001,3.142,3.142,3.151,3.115,3.098,3.118,9960358,10304524,8972207,12986508,57234799547399.0,12568347,8917571,50.287,2406.0,3.288
10077,25386126,-1.06,52258,-2109.0,0.128,4569.0,9.58,52.799,0.103,0.004,0.004,18.333,0.08,0.002,3.152,3.161,3.161,3.127,3.114,3.134,9714060,10162382,8703704,12836096,57558691439859.0,12409745,6142742,50.339,1724.0,3.292
10272,26378270,-1.475,53108,-1182.0,0.123,6392.0,13.683,53.586,0.104,0.004,0.004,30.685,0.096,0.002,3.183,3.179,3.188,3.149,3.134,3.159,9727626,10206279,8688346,12772101,57460205459271.0,12334850,9924325,50.352,2018.0,3.222
9925,24627238,-1.483,54484,194.218,0.118,7768.0,16.629,54.82,0.104,0.004,0.004,39.518,0.114,0.003,3.205,3.201,3.212,3.168,3.157,3.182,9798167,10388355,8728007,12729220,57529814517158.0,12279390,10821020,50.269,2982.0,3.167
