activeaddresses90roc,confirmationtime,confirmationtime90roc,difficulty90roc,fee_to_reward90rocUSD,fee_to_rewardUSD,hashrate90roc,median_transaction_fee90rocUSD,mediantransactionvalue90rocUSD,mediantransactionvalueUSD,mining_profitability90roc,price90rocUSD,sentbyaddress90roc,sentinusd90rocUSD,sentinusdUSD,size,size90roc,transactionfees90rocUSD,transactionfeesUSD,transactions90roc,transactionvalue90rocUSD,transactionvalueUSD,priceUSD
132.604,0.28,-3.591,54.997,244.896,0.137,58.292,226.206,71.652,2.743,90.448,194.015,101.371,333.491,3732659,1228.0,52.013,354.873,0.00593,124.762,92.867,226.071,6.275
89.19,0.289,3.512,53.693,380.832,0.21,45.17,169.179,-63.444,0.789,46.872,124.316,63.909,427.043,2921558,1566.0,92.31,324.776,0.00728,139.242,120.297,155.841,5.988
85.937,0.285,3.42,40.655,224.25,0.151,34.439,159.829,8.076,2.485,56.289,119.047,58.935,66.983,2294755,1424.0,82.362,218.639,0.00614,111.12,-20.906,136.878,6.222
95.147,0.289,2.971,39.655,160.016,0.139,30.744,167.203,34.282,2.617,88.014,160.505,65.385,713.773,2165378,1308.0,61.036,190.139,0.00572,116.951,275.095,132.076,6.445
89.974,0.287,2.81,39.784,136.931,0.129,28.428,164.745,27.202,2.862,91.757,164.745,72.169,1701.0,2495963,1179.0,50.489,173.591,0.00609,112.017,749.495,170.245,6.42
94.373,0.296,3.12,39.093,246.71,0.127,30.793,125.556,-4.797,2.825,63.376,125.556,57.658,601.961,2614177,1135.0,45.715,240.333,0.00571,116.011,224.965,184.539,6.748
85.532,0.287,1.396,48.886,177.526,0.117,41.449,123.403,8.743,2.481,51.338,123.403,65.172,125.198,1333333,1081.0,28.036,209.469,0.00509,91.904,17.349,93.903,7.982
89.493,0.291,3.431,37.863,241.354,0.11,27.573,139.665,-5.764,2.417,75.48,139.665,62.047,84.305,1385400,1077.0,41.314,270.175,0.00461,103.084,-9.247,96.942,9.246
100.305,0.277,-1.847,43.188,165.418,0.0984,42.398,160.319,47.746,2.857,82.97,160.319,57.376,369.216,1506224,1060.0,30.266,257.921,0.00472,90.371,146.475,105.522,9.258
99.398,0.284,1.58,46.384,110.646,0.118,41.267,182.366,150.23,2.824,93.74,182.366,60.435,-0.7,836410,1087.0,33.823,217.948,0.00577,82.327,-45.537,58.201,11.14
108.233,0.285,-2.457,48.03,19.636,0.137,46.135,177.423,2961.0,2.727,88.777,177.423,73.98,275.451,1455696,1117.0,11.15,143.042,0.00645,38.678,170.736,95.462,11.11
65.33,0.289,0.682,40.957,338.791,0.455,35.223,647.117,-100.0,0.0,89.173,162.849,64.057,-31.398,587148,1678.0,65.261,746.861,0.0192,153.106,-72.896,18.688,10.33
81.859,0.283,-1.238,42.51,329.613,0.171,39.633,160.902,49.311,3.137,84.55,160.902,59.613,146.745,2413587,1026.0,30.542,563.303,0.01,85.512,33.008,169.208,9.6
112.895,0.284,-0.355,48.71,142.882,0.131,43.134,215.447,122.392,3.702,114.233,215.447,82.52,421.536,4575167,1034.0,23.957,330.28,0.00798,80.579,188.813,310.834,10.567
108.19,0.285,-0.534,46.552,122.605,0.178,37.383,312.076,363.727,4.171,185.64,312.076,96.746,2042.0,5471977,1032.0,-1.131,489.841,0.0113,51.874,1310.0,352.644,11.633
181.031,0.29,2.379,50.517,143.238,0.213,38.8,412.418,470.358,5.933,245.088,412.418,168.724,3432.0,8449612,1106.0,26.58,548.254,0.015,79.788,1865.0,492.947,11.098
260.32,0.287,1.992,52.397,237.243,0.166,41.488,460.396,248.662,5.424,272.541,460.396,183.92,2060.0,8870352,1280.0,58.423,557.99,0.0107,171.702,695.073,413.729,12.907
199.512,0.286,1.868,45.997,95.568,0.121,34.776,562.64,296.007,7.511,359.762,562.64,166.452,4812.0,12421989,1171.0,24.854,370.743,0.0108,151.13,1856.0,685.957,14.326
189.569,0.283,2.003,46.466,235.305,0.13,39.199,453.107,183.701,5.632,280.203,453.107,151.928,3971.0,6447831,1222.0,53.258,545.361,0.00933,169.554,1410.0,333.618,13.457
150.579,0.289,0.982,50.076,185.189,0.102,43.233,436.282,186.817,5.7,260.085,436.282,108.569,1031.0,4502700,1140.0,45.77,549.255,0.00818,123.381,406.317,270.855,12.707
155.274,0.289,3.779,57.913,243.578,0.114,48.358,475.961,189.758,6.162,266.62,475.961,111.715,264.594,4006019,1127.0,47.832,667.843,0.00979,140.154,51.817,233.465,13.233
158.917,0.287,0.995,48.5,234.568,0.122,43.411,397.069,169.061,5.478,236.646,397.069,110.813,3147.0,6324186,1128.0,45.769,573.658,0.00923,138.017,1264.0,360.373,11.603
165.842,0.296,2.471,44.46,162.002,0.152,39.319,352.333,235.048,4.321,191.084,319.199,110.781,1052.0,3089647,1265.0,43.46,381.286,0.00841,125.214,411.406,154.56,10.208
184.207,0.288,-5.561,52.754,135.37,0.108,58.813,336.002,148.234,4.594,186.567,336.002,155.243,2425.0,4546070,1109.0,36.269,298.275,0.00696,167.313,844.663,267.904,10.568
193.132,0.286,0.04,66.454,227.763,0.133,65.565,374.694,145.992,4.937,185.631,374.694,141.841,1649.0,2222346,1157.0,39.059,479.286,0.00905,169.892,548.059,120.701,10.23
152.565,0.285,-0.04,70.099,143.017,0.0978,66.645,357.724,184.892,5.004,170.476,357.724,145.959,2031.0,5292931,1046.0,28.298,362.282,0.00712,135.973,803.094,316.676,10.977
207.609,0.285,0.673,71.278,114.059,0.101,65.767,363.126,227.818,5.185,172.002,363.126,204.837,222.713,2113358,1051.0,21.794,372.236,0.00728,107.252,55.711,123.451,11.604
194.548,0.282,-1.999,75.242,151.745,0.117,73.592,449.739,191.952,5.735,215.851,449.739,169.21,1023.0,4137084,1090.0,31.61,442.585,0.0092,154.334,341.735,227.437,11.848
207.518,0.29,-0.584,83.369,659.879,0.343,80.681,594.051,265.652,6.424,254.861,546.542,165.984,5222.0,8808118,1117.0,38.424,1777.0,0.0289,160.383,1944.0,476.578,11.393
192.22,0.286,-1.77,81.704,461.22,0.189,79.796,571.058,269.659,6.402,272.266,571.058,153.158,1348.0,12175073,1109.0,41.411,1297.0,0.0155,168.48,439.38,623.085,10.782
248.667,0.281,0.897,81.718,253.232,0.114,73.625,613.8,307.203,6.935,295.776,613.8,218.738,869.939,5789909,1114.0,41.035,717.242,0.0102,193.764,230.176,296.873,10.837
214.818,0.285,-0.93,81.969,259.499,0.184,76.782,565.101,195.408,6.329,269.072,565.101,185.864,22007.0,24020684,1289.0,66.545,651.405,0.0145,209.051,7053.0,1140.0,10.684
215.609,0.288,1.162,88.629,229.326,0.105,79.234,601.133,275.409,6.839,275.043,601.133,184.601,7903.0,13518657,1102.0,41.949,690.119,0.0093,176.974,2790.0,712.221,11.19
233.765,0.286,1.014,89.404,46.311,0.107,81.755,516.808,612.168,7.431,293.465,640.169,238.668,2348.0,5022946,1091.0,26.339,392.098,0.00993,112.141,1054.0,263.492,11.557
260.681,0.299,5.353,89.707,177.475,0.126,72.259,637.274,298.954,7.29,292.382,637.274,308.859,2251.0,4567959,1175.0,38.727,519.979,0.0104,199.647,684.528,224.382,11.799
308.846,0.285,-4.513,84.874,192.145,0.123,86.914,698.107,355.352,7.82,335.142,698.107,360.768,3430.0,8797310,1157.0,41.173,607.271,0.0105,234.943,953.987,403.954,11.754
329.385,0.283,2.34,97.539,283.035,0.139,86.223,881.882,404.86,8.957,401.144,881.882,349.4,15868.0,28725793,1199.0,54.02,964.335,0.0132,238.0,4624.0,1219.0,11.609
370.476,0.287,-0.12,99.141,192.146,0.131,94.095,1029.0,544.062,10.375,469.698,1029.0,399.275,14006.0,19402840,1248.0,55.352,795.304,0.0132,260.061,3818.0,781.207,11.456
360.157,0.288,0.24,97.715,166.043,0.126,91.988,994.604,518.21,10.143,455.656,994.604,387.525,11391.0,13990865,1249.0,49.531,693.614,0.0129,258.004,3110.0,576.064,11.492
355.75,0.28,-4.379,109.792,97.599,0.124,111.224,1201.0,1065.0,13.827,524.087,1201.0,338.204,15469.0,31902335,1314.0,49.913,763.586,0.0139,197.869,5127.0,1177.0,11.275
345.685,0.293,1.304,126.749,314.154,0.143,114.348,1270.0,584.781,11.914,508.358,1270.0,315.581,4793.0,17921431,1366.0,76.298,1283.0,0.0151,287.355,1163.0,647.895,10.716
300.149,0.287,-2.288,127.402,236.872,0.113,123.065,1198.0,600.359,11.423,474.996,1198.0,300.893,10722.0,15278493,1218.0,57.938,1140.0,0.0135,247.484,3014.0,656.546,10.588
363.951,0.287,3.807,137.98,245.118,0.118,114.482,1110.0,519.835,10.439,414.618,1110.0,385.276,10495.0,20610831,1242.0,59.478,1056.0,0.0133,244.308,2977.0,855.044,10.382
347.554,0.289,3.107,129.864,147.814,0.0984,114.125,1195.0,658.97,11.334,467.119,1195.0,351.693,6620.0,11886272,1279.0,56.006,802.438,0.0112,229.89,1937.0,484.028,9.876
376.545,0.277,-2.579,123.395,24.482,0.0751,118.509,444.573,907.783,14.029,514.027,1261.0,381.393,3557.0,9973219,1222.0,38.131,436.887,0.00954,206.157,1094.0,401.919,9.608
256.638,0.284,0.217,132.216,-12.642,0.0719,122.48,322.299,761.442,11.562,399.089,1049.0,243.311,2124.0,10437709,1211.0,32.163,239.273,0.00924,181.828,689.085,451.38,8.622
349.802,0.287,5.116,131.991,39.172,0.0903,118.34,431.806,709.762,14.599,475.524,1230.0,297.05,6177.0,19711592,1385.0,63.929,359.153,0.0112,275.532,1572.0,706.838,8.48
284.699,0.278,-3.606,134.956,-66.012,0.0919,138.542,34.105,1.5493959354473e+21,15.336,517.907,1347.0,233.091,9195.0,28405166,1392.0,-20.547,174.839,0.0131,80.881,5039.0,1010.0,7.872
350.352,0.282,-0.744,128.836,-74.484,0.103,122.716,-1.669,1.4901162936108e+21,15.095,481.246,1228.0,239.206,3953.0,21971082,1501.0,-18.155,138.635,0.0131,35.217,2897.0,770.159,7.789
343.506,0.241,-16.675,105.225,-53.585,0.0754,142.563,322.533,1250.0,13.784,516.172,1168.0,225.134,1026.0,16467323,1318.0,8.405,142.314,0.0104,184.094,296.405,562.543,8.376
274.148,0.239,-16.017,103.545,-36.484,0.0742,138.678,447.778,939.791,14.504,571.79,1269.0,172.129,3374.0,14752290,1316.0,25.008,251.444,0.0114,187.099,1110.0,534.581,8.321
307.719,0.237,-17.461,105.462,-18.406,0.0955,147.956,314.681,913.462,12.562,502.282,1144.0,239.013,9043.0,20235622,1421.0,34.453,229.754,0.011,271.247,2363.0,603.49,8.279
364.573,0.242,-15.498,109.9,-17.594,0.0855,146.856,347.706,768.947,11.125,431.312,1019.0,249.804,11471.0,24047475,1403.0,39.027,215.16,0.0088,241.647,3287.0,755.711,9.246
320.263,0.237,-18.662,118.405,6.259,0.134,166.308,283.828,1003.0,10.689,422.723,1047.0,197.189,4322.0,8371783,1494.0,35.401,319.142,0.0135,252.05,1156.0,240.714,9.061
311.029,0.239,-17.438,128.166,-23.14,0.11,173.088,276.435,1781.0,10.505,393.655,1029.0,191.146,2580.0,5684950,1446.0,23.408,283.461,0.0113,168.98,896.216,175.207,9.036
307.116,0.24,-14.431,120.458,-51.446,0.101,152.968,115.509,1.2615884637229e+21,11.4,449.877,1115.0,222.152,4457.0,9785835,1498.0,-26.765,331.073,0.011,54.615,2847.0,301.001,8.585
318.066,0.237,-15.796,129.347,-71.557,0.0805,165.177,51.557,0.0,11.942,474.934,1220.0,201.071,6209.0,7954556,1514.0,-1.901,192.997,0.00922,44.635,4262.0,241.853,8.461
346.041,0.241,-16.003,119.011,-38.972,0.101,157.523,353.744,6170.0,12.251,519.433,1261.0,207.708,6114.0,6791986,1529.0,18.375,312.473,0.0122,135.557,2538.0,213.679,7.993
337.225,0.236,-16.735,131.699,29.632,0.125,179.159,421.327,1014.0,11.45,458.791,1203.0,209.972,18027.0,10871283,1862.0,78.712,422.964,0.0128,288.058,4571.0,294.24,8.003
318.98,0.237,-17.507,146.836,7.823,0.123,197.382,325.128,1078.0,10.675,403.979,1148.0,185.19,4663.0,5976700,1621.0,50.981,369.581,0.0118,242.737,1290.0,162.578,8.178
320.312,0.236,-17.67,149.328,-64.887,0.106,197.133,41.57,0.0,10.822,409.606,1176.0,183.322,5259.0,3613820,1538.0,-2.381,208.093,0.0104,67.586,3098.0,98.614,7.793
318.331,0.238,-15.961,157.587,-54.432,0.0595,201.166,315.915,1199.0,11.187,383.965,1148.0,189.122,3213.0,12535619,1261.0,1.766,171.705,0.00685,142.351,1267.0,418.216,7.315
333.892,0.24,-16.969,152.957,-31.815,0.0824,196.599,336.834,1201.0,11.47,418.623,1211.0,206.487,3532.0,8877638,1568.0,30.674,252.002,0.00878,195.941,1127.0,264.113,7.6
405.868,0.24,-16.339,165.57,-72.619,0.0744,212.559,63.975,0.0,11.919,382.527,1185.0,310.143,7623.0,14942548,1389.0,-11.154,159.104,0.00815,55.809,4857.0,440.588,7.42
377.048,0.238,-16.653,167.159,19.96,0.108,215.479,394.434,863.848,12.141,361.641,1136.0,257.418,4234.0,16116775,1572.0,48.72,416.383,0.012,256.927,1114.0,438.349,7.458
353.942,0.239,-18.867,179.492,34.112,0.078,236.267,389.964,684.283,12.138,338.73,1125.0,216.146,3093.0,10557035,1405.0,58.873,399.791,0.00912,291.826,714.895,327.259,8.259
333.305,0.237,-16.214,191.492,8.357,0.0741,238.946,380.679,780.055,11.86,312.833,1102.0,184.558,1674.0,4442095,1493.0,56.533,313.772,0.00844,263.597,387.848,133.316,8.711
317.512,0.243,-13.511,182.946,-16.213,0.0569,216.964,367.304,795.63,11.818,313.88,1068.0,169.098,1085.0,4308961,1235.0,29.311,242.217,0.00705,217.11,273.673,146.773,9.575
318.985,0.239,-15.559,191.52,-26.43,0.0553,237.313,372.786,860.351,11.885,305.385,1082.0,164.886,1575.0,2509895,1245.0,26.841,218.55,0.00697,212.307,436.317,84.828,9.629
341.689,0.237,-15.774,203.952,-63.272,0.0758,247.847,55.162,1.1818805350419e+21,11.526,280.942,1056.0,202.514,390.074,4952825,1502.0,7.607,124.213,0.00803,112.459,130.668,141.886,9.541
337.141,0.239,-15.631,205.197,-61.883,0.0879,247.421,62.512,1.0998108893062e+21,10.716,261.279,999.811,196.78,2794.0,7384690,1528.0,-1.593,106.108,0.00783,129.431,1162.0,188.515,9.552
287.466,0.24,-17.039,212.629,-70.682,0.0678,260.01,49.947,0.0,10.882,241.408,964.373,185.822,1690.0,6235075,1337.0,-13.739,142.407,0.00716,45.314,1132.0,194.372,9.68
336.307,0.242,-13.052,196.785,-25.195,0.0672,229.163,319.139,873.503,10.601,254.302,947.846,192.102,3765.0,7517412,1404.0,30.065,194.888,0.00697,192.087,1223.0,235.707,9.32
298.587,0.236,-16.437,209.979,-44.012,0.0769,257.658,209.874,810.831,9.993,200.404,829.623,176.128,2325.0,5431395,1541.0,27.41,106.427,0.00731,188.391,740.984,159.7,9.285
308.625,0.243,-14.158,221.99,-32.129,0.0633,264.384,254.678,669.906,9.851,175.585,786.694,168.404,8125.0,12558510,1318.0,26.26,117.747,0.00602,209.331,2559.0,393.4,9.429
298.199,0.237,-15.796,206.788,-34.898,0.0598,262.681,227.066,626.121,8.875,165.239,717.664,188.094,1813.0,10179246,1281.0,21.061,110.596,0.0052,195.942,546.509,315.763,9.326
271.641,0.243,-16.961,203.852,-38.744,0.0591,264.369,188.46,478.055,8.693,136.535,621.149,139.189,354.036,5288219,1262.0,15.36,88.007,0.00522,179.203,62.619,174.373,9.683
313.328,0.239,-16.841,207.596,-67.086,0.0715,263.855,-0.403,7.051678637152e+20,7.966,126.149,596.828,184.594,1695.0,8583463,1451.0,1.982,34.831,0.0052,96.281,814.7,247.555,10.127
341.538,0.239,-15.378,211.874,4.622,0.101,266.125,174.349,516.842,7.797,118.294,583.271,213.376,2239.0,8863891,1477.0,39.121,148.588,0.00712,238.412,591.033,245.871,10.567
285.084,0.239,-15.562,206.189,15.576,0.0973,259.766,169.969,390.584,8.467,119.862,574.923,155.386,573.878,7905850,1406.0,39.692,162.518,0.00764,252.213,91.327,227.304,10.192
