Date,activeaddresses
2016/01/01,3437
2016/01/02,3501
2016/01/03,3569
2016/01/04,3666
2016/01/05,3658
2016/01/06,3834
2016/01/07,4061
2016/01/08,3878
2016/01/09,3822
2016/01/10,4035
2016/01/11,4275
2016/01/12,4369
2016/01/13,4074
2016/01/14,3965
2016/01/15,4398
2016/01/16,3885
2016/01/17,3746
2016/01/18,4333
2016/01/19,4089
2016/01/20,4716
2016/01/21,4167
2016/01/22,4341
2016/01/23,4824
2016/01/24,5277
2016/01/25,5660
2016/01/26,6057
2016/01/27,5583
2016/01/28,6095
2016/01/29,5911
2016/01/30,5931
2016/01/31,6080
2016/02/01,5809
2016/02/02,5753
2016/02/03,5911
2016/02/04,5627
2016/02/05,6374
2016/02/06,5441
2016/02/07,5674
2016/02/08,6191
2016/02/09,6558
2016/02/10,8015
2016/02/11,10143
2016/02/12,8593
2016/02/13,8189
2016/02/14,7357
2016/02/15,7648
2016/02/16,7651
2016/02/17,7845
2016/02/18,7594
2016/02/19,7683
2016/02/20,7236
2016/02/21,8247
2016/02/22,8212
2016/02/23,8263
2016/02/24,8188
2016/02/25,8891
2016/02/26,8116
2016/02/27,8209
2016/02/28,8758
2016/02/29,9320
2016/03/01,10168
2016/03/02,11164
2016/03/03,11856
2016/03/04,11688
2016/03/05,13513
2016/03/06,13014
2016/03/07,10724
2016/03/08,12471
2016/03/09,12075
2016/03/10,13186
2016/03/11,12304
2016/03/12,13638
2016/03/13,13426
2016/03/14,14060
2016/03/15,13864
2016/03/16,13619
2016/03/17,13944
2016/03/18,15238
2016/03/19,13730
2016/03/20,13938
2016/03/21,13846
2016/03/22,13792
2016/03/23,14648
2016/03/24,13930
2016/03/25,14216
2016/03/26,13740
2016/03/27,14834
2016/03/28,15017
2016/03/29,16724
2016/03/30,17646
2016/03/31,15602
2016/04/01,15170
2016/04/02,14901
2016/04/03,15360
2016/04/04,16157
2016/04/05,16760
2016/04/06,15735
2016/04/07,16920
2016/04/08,15234
2016/04/09,16488
2016/04/10,17023
2016/04/11,16237
2016/04/12,16839
2016/04/13,17507
2016/04/14,16936
2016/04/15,16342
2016/04/16,16352
2016/04/17,17163
2016/04/18,17204
2016/04/19,17085
2016/04/20,17471
2016/04/21,17311
2016/04/22,17082
2016/04/23,16953
2016/04/24,17602
2016/04/25,17510
2016/04/26,17707
2016/04/27,17742
2016/04/28,17276
2016/04/29,19878
2016/04/30,25949
2016/05/01,20509
2016/05/02,23778
2016/05/03,20632
2016/05/04,20054
2016/05/05,20390
2016/05/06,20257
2016/05/07,19690
2016/05/08,21669
2016/05/09,22316
2016/05/10,21424
2016/05/11,23774
2016/05/12,23985
2016/05/13,26238
2016/05/14,23816
2016/05/15,22726
2016/05/16,21239
2016/05/17,23340
2016/05/18,26290
2016/05/19,25162
2016/05/20,23902
2016/05/21,22980
2016/05/22,21121
2016/05/23,25406
2016/05/24,24043
2016/05/25,24570
2016/05/26,31202
2016/05/27,28248
2016/05/28,38554
2016/05/29,25505
2016/05/30,23838
2016/05/31,24904
2016/06/01,23595
2016/06/02,23244
2016/06/03,22951
2016/06/04,22148
2016/06/05,22303
2016/06/06,23422
2016/06/07,23362
2016/06/08,23875
2016/06/09,23121
2016/06/10,23738
2016/06/11,19912
2016/06/12,24696
2016/06/13,28395
2016/06/14,28618
2016/06/15,25658
2016/06/16,24328
2016/06/17,34962
2016/06/18,32664
2016/06/19,28961
2016/06/20,27348
2016/06/21,27433
2016/06/22,29957
2016/06/23,25584
2016/06/24,25704
2016/06/25,23387
2016/06/26,27036
2016/06/27,24436
2016/06/28,26811
2016/06/29,25581
2016/06/30,25155
2016/07/01,24605
2016/07/02,25015
2016/07/03,24629
2016/07/04,25796
2016/07/05,25645
2016/07/06,25019
2016/07/07,25143
2016/07/08,25776
2016/07/09,24880
2016/07/10,24906
2016/07/11,24698
2016/07/12,25484
2016/07/13,22479
2016/07/14,25898
2016/07/15,25304
2016/07/16,24379
2016/07/17,21024
2016/07/18,23407
2016/07/19,30423
2016/07/20,31032
2016/07/21,28585
2016/07/22,31300
2016/07/23,28644
2016/07/24,36104
2016/07/25,33009
2016/07/26,41218
2016/07/27,37655
2016/07/28,33408
2016/07/29,30001
2016/07/30,27381
2016/07/31,29113
2016/08/01,29313
2016/08/02,28376
2016/08/03,29687
2016/08/04,29430
2016/08/05,27389
2016/08/06,26179
2016/08/07,26714
