Date,activeaddresses14std
2016/01/01,258.074
2016/01/02,260.466
2016/01/03,266.571
2016/01/04,296.843
2016/01/05,318.451
2016/01/06,362.979
2016/01/07,449.533
2016/01/08,434.062
2016/01/09,434.314
2016/01/10,435.679
2016/01/11,525.727
2016/01/12,596.841
2016/01/13,546.561
2016/01/14,542.943
2016/01/15,550.85
2016/01/16,497.082
2016/01/17,464.221
2016/01/18,464.03
2016/01/19,417.756
2016/01/20,519.365
2016/01/21,518.936
2016/01/22,510.667
2016/01/23,578.483
2016/01/24,778.236
2016/01/25,1039
2016/01/26,1338
2016/01/27,1412
2016/01/28,1539
2016/01/29,1622
2016/01/30,1596
2016/01/31,1500
2016/02/01,1443
2016/02/02,1281
2016/02/03,1234
2016/02/04,976.22
2016/02/05,740.847
2016/02/06,559.911
2016/02/07,481.312
2016/02/08,498.684
2016/02/09,602.958
2016/02/10,1208
2016/02/11,2408
2016/02/12,2642
2016/02/13,2738
2016/02/14,2729
2016/02/15,2696
2016/02/16,2629
2016/02/17,2568
2016/02/18,2411
2016/02/19,2349
2016/02/20,2071
2016/02/21,1794
2016/02/22,1570
2016/02/23,1379
2016/02/24,1381
2016/02/25,912.19
2016/02/26,850.279
2016/02/27,852.032
2016/02/28,883.806
2016/02/29,1072
2016/03/01,1449
2016/03/02,2022
2016/03/03,2553
2016/03/04,2835
2016/03/05,3401
2016/03/06,3725
2016/03/07,3612
2016/03/08,3640
2016/03/09,3502
2016/03/10,3563
2016/03/11,3225
2016/03/12,2928
2016/03/13,2548
2016/03/14,2256
2016/03/15,2011
2016/03/16,1890
2016/03/17,1893
2016/03/18,2081
2016/03/19,2093
2016/03/20,2119
2016/03/21,1575
2016/03/22,1465
2016/03/23,1278
2016/03/24,1232
2016/03/25,890.884
2016/03/26,880.794
2016/03/27,916.761
2016/03/28,1030
2016/03/29,1654
2016/03/30,2303
2016/03/31,2314
2016/04/01,2310
2016/04/02,2237
2016/04/03,2189
2016/04/04,2177
2016/04/05,2195
2016/04/06,2169
2016/04/07,2131
2016/04/08,1998
2016/04/09,1709
2016/04/10,1692
2016/04/11,1592
2016/04/12,1605
2016/04/13,1569
2016/04/14,1589
2016/04/15,1476
2016/04/16,1250
2016/04/17,1154
2016/04/18,1178
2016/04/19,1201
2016/04/20,1156
2016/04/21,1187
2016/04/22,814.098
2016/04/23,776.077
2016/04/24,842.938
2016/04/25,762.292
2016/04/26,808.112
2016/04/27,845.244
2016/04/28,835.783
2016/04/29,1511
2016/04/30,4548
2016/05/01,4668
2016/05/02,5371
2016/05/03,5349
2016/05/04,5290
2016/05/05,5198
2016/05/06,5030
2016/05/07,4790
2016/05/08,4683
2016/05/09,4541
2016/05/10,4269
2016/05/11,4153
2016/05/12,3732
2016/05/13,4232
2016/05/14,3813
2016/05/15,3729
2016/05/16,3649
2016/05/17,3623
2016/05/18,3970
2016/05/19,3954
2016/05/20,3668
2016/05/21,3102
2016/05/22,3205
2016/05/23,3287
2016/05/24,3043
2016/05/25,3064
2016/05/26,4847
2016/05/27,5161
2016/05/28,8825
2016/05/29,8679
2016/05/30,8385
2016/05/31,8280
2016/06/01,8380
2016/06/02,8488
2016/06/03,8563
2016/06/04,8649
2016/06/05,8492
2016/06/06,8576
2016/06/07,8618
2016/06/08,8649
2016/06/09,8114
2016/06/10,7918
2016/06/11,2524
2016/06/12,2349
2016/06/13,3554
2016/06/14,4378
2016/06/15,4477
2016/06/16,4462
2016/06/17,7122
2016/06/18,7972
2016/06/19,7912
2016/06/20,7786
2016/06/21,7612
2016/06/22,7614
2016/06/23,7344
2016/06/24,7138
2016/06/25,6261
2016/06/26,6054
2016/06/27,6293
2016/06/28,6276
2016/06/29,6282
2016/06/30,6179
2016/07/01,4741
2016/07/02,3494
2016/07/03,3223
2016/07/04,3122
2016/07/05,2987
2016/07/06,1813
2016/07/07,1808
2016/07/08,1813
2016/07/09,1503
2016/07/10,1210
2016/07/11,1167
2016/07/12,808.589
2016/07/13,1572
2016/07/14,1646
2016/07/15,1637
2016/07/16,1673
2016/07/17,2649
2016/07/18,2664
2016/07/19,4010
2016/07/20,5101
2016/07/21,5364
2016/07/22,6120
2016/07/23,6231
2016/07/24,7967
2016/07/25,8403
2016/07/26,10809
2016/07/27,11107
2016/07/28,11015
2016/07/29,10655
2016/07/30,10249
2016/07/31,8749
2016/08/01,7643
2016/08/02,7830
2016/08/03,7898
2016/08/04,7814
2016/08/05,8133
2016/08/06,8471
2016/08/07,8330
2016/08/08,8387
2016/08/09,5771
2016/08/10,3564
2016/08/11,2708
2016/08/12,2733
2016/08/13,2989
2016/08/14,3103
2016/08/15,3041
2016/08/16,3215
2016/08/17,3090
2016/08/18,2982
2016/08/19,2988
2016/08/20,2911
2016/08/21,2878
2016/08/22,2926
2016/08/23,2713
2016/08/24,2713
2016/08/25,2314
2016/08/26,2286
2016/08/27,2117
2016/08/28,1989
2016/08/29,2042
2016/08/30,1657
2016/08/31,1965
2016/09/01,2226
2016/09/02,2310
2016/09/03,2238
2016/09/04,2210
2016/09/05,2052
2016/09/06,2004
2016/09/07,2107
2016/09/08,2407
2016/09/09,2388
2016/09/10,2452
2016/09/11,2413
2016/09/12,2406
2016/09/13,2388
2016/09/14,2260
2016/09/15,1993
2016/09/16,1945
2016/09/17,1967
2016/09/18,2146
2016/09/19,2149
2016/09/20,4419
2016/09/21,4263
2016/09/22,4772
2016/09/23,5025
2016/09/24,5180
2016/09/25,5409
2016/09/26,5612
2016/09/27,5798
2016/09/28,5838
2016/09/29,5824
2016/09/30,5722
2016/10/01,5590
2016/10/02,5640
2016/10/03,5633
2016/10/04,3622
2016/10/05,3515
2016/10/06,3873
2016/10/07,3975
2016/10/08,3957
2016/10/09,4259
2016/10/10,4684
2016/10/11,4690
2016/10/12,6888
2016/10/13,9449
2016/10/14,9428
2016/10/15,9790
2016/10/16,9383
2016/10/17,9192
2016/10/18,9817
2016/10/19,9953
2016/10/20,10446
2016/10/21,11985
2016/10/22,11996
2016/10/23,11753
2016/10/24,11442
2016/10/25,11499
2016/10/26,10763
2016/10/27,8499
2016/10/28,8378
2016/10/29,7146
2016/10/30,6970
2016/10/31,7004
2016/11/01,6846
2016/11/02,5844
2016/11/03,5719
2016/11/04,5043
2016/11/05,5140
2016/11/06,5651
2016/11/07,5601
2016/11/08,5586
2016/11/09,5519
2016/11/10,5608
2016/11/11,5517
2016/11/12,5544
2016/11/13,5403
2016/11/14,4899
2016/11/15,4489
2016/11/16,3891
2016/11/17,3568
2016/11/18,2573
2016/11/19,2626
2016/11/20,2235
2016/11/21,2037
2016/11/22,7260
2016/11/23,13502
2016/11/24,13653
2016/11/25,14258
2016/11/26,14608
2016/11/27,14832
2016/11/28,14810
2016/11/29,15004
2016/11/30,15003
2016/12/01,15129
2016/12/02,15139
2016/12/03,15079
2016/12/04,15105
2016/12/05,15141
2016/12/06,13776
2016/12/07,6800
2016/12/08,6731
2016/12/09,3000
2016/12/10,2709
2016/12/11,2641
2016/12/12,2651
2016/12/13,2641
2016/12/14,2682
2016/12/15,2674
2016/12/16,2669
2016/12/17,2655
2016/12/18,2941
2016/12/19,3080
2016/12/20,2686
2016/12/21,2677
2016/12/22,4694
2016/12/23,4713
2016/12/24,4647
2016/12/25,4939
2016/12/26,5250
2016/12/27,5276
2016/12/28,5311
2016/12/29,5241
2016/12/30,5252
2016/12/31,5222
2017/01/01,5244
2017/01/02,5205
2017/01/03,5099
2017/01/04,5644
2017/01/05,4715
2017/01/06,4926
2017/01/07,4967
2017/01/08,4710
2017/01/09,4516
2017/01/10,4293
2017/01/11,4199
2017/01/12,4184
