Date,activeaddresses30roc
2016/01/01,38.199
2016/01/02,34.654
2016/01/03,41.627
2016/01/04,44.331
2016/01/05,23.373
2016/01/06,31.301
2016/01/07,51.53
2016/01/08,44.271
2016/01/09,41.66
2016/01/10,45.826
2016/01/11,23.913
2016/01/12,44.096
2016/01/13,16.734
2016/01/14,27.002
2016/01/15,40.691
2016/01/16,6.731
2016/01/17,9.532
2016/01/18,32.104
2016/01/19,25.161
2016/01/20,39.074
2016/01/21,22.523
2016/01/22,31.585
2016/01/23,46.894
2016/01/24,65.631
2016/01/25,66.814
2016/01/26,85.286
2016/01/27,57.445
2016/01/28,76.105
2016/01/29,78.796
2016/01/30,60.341
2016/01/31,76.898
2016/02/01,65.924
2016/02/02,61.194
2016/02/03,61.238
2016/02/04,53.827
2016/02/05,66.249
2016/02/06,33.982
2016/02/07,46.313
2016/02/08,61.983
2016/02/09,62.528
2016/02/10,87.485
2016/02/11,132.158
2016/02/12,110.923
2016/02/13,106.532
2016/02/14,67.281
2016/02/15,96.86
2016/02/16,104.245
2016/02/17,81.052
2016/02/18,85.718
2016/02/19,62.913
2016/02/20,73.65
2016/02/21,89.979
2016/02/22,70.232
2016/02/23,56.585
2016/02/24,44.664
2016/02/25,46.789
2016/02/26,45.37
2016/02/27,34.684
2016/02/28,48.164
2016/02/29,57.14
2016/03/01,67.237
2016/03/02,92.185
2016/03/03,106.084
2016/03/04,97.733
2016/03/05,140.146
2016/03/06,104.173
2016/03/07,97.096
2016/03/08,119.792
2016/03/09,95.041
2016/03/10,101.067
2016/03/11,53.512
2016/03/12,34.457
2016/03/13,56.243
2016/03/14,71.694
2016/03/15,88.446
2016/03/16,78.073
2016/03/17,82.251
2016/03/18,94.238
2016/03/19,80.801
2016/03/20,81.414
2016/03/21,91.349
2016/03/22,67.237
2016/03/23,78.373
2016/03/24,68.583
2016/03/25,73.62
2016/03/26,54.538
2016/03/27,82.775
2016/03/28,82.933
2016/03/29,90.957
2016/03/30,89.335
2016/03/31,53.442
2016/04/01,35.883
2016/04/02,25.683
2016/04/03,31.417
2016/04/04,19.566
2016/04/05,28.784
2016/04/06,46.727
2016/04/07,35.675
2016/04/08,26.161
2016/04/09,25.042
2016/04/10,38.353
2016/04/11,19.057
2016/04/12,25.421
2016/04/13,24.516
2016/04/14,22.158
2016/04/15,19.994
2016/04/16,17.269
2016/04/17,12.633
2016/04/18,25.302
2016/04/19,22.579
2016/04/20,26.181
2016/04/21,25.515
2016/04/22,16.617
2016/04/23,21.701
2016/04/24,23.818
2016/04/25,27.438
2016/04/26,19.368
2016/04/27,18.146
2016/04/28,3.301
2016/04/29,12.649
2016/04/30,66.318
2016/05/01,35.194
2016/05/02,59.573
2016/05/03,34.323
2016/05/04,24.12
2016/05/05,21.659
2016/05/06,28.738
2016/05/07,16.371
2016/05/08,42.241
2016/05/09,35.347
2016/05/10,25.853
2016/05/11,46.419
2016/05/12,42.437
2016/05/13,49.871
2016/05/14,40.624
2016/05/15,39.065
