Date,activeaddresses30trx
2016/01/01,0.453
2016/01/02,0.461
2016/01/03,0.469
2016/01/04,0.478
2016/01/05,0.487
2016/01/06,0.498
2016/01/07,0.511
2016/01/08,0.525
2016/01/09,0.538
2016/01/10,0.552
2016/01/11,0.568
2016/01/12,0.588
2016/01/13,0.606
2016/01/14,0.621
2016/01/15,0.639
2016/01/16,0.652
2016/01/17,0.661
2016/01/18,0.67
2016/01/19,0.678
2016/01/20,0.69
2016/01/21,0.699
2016/01/22,0.708
2016/01/23,0.72
2016/01/24,0.738
2016/01/25,0.763
2016/01/26,0.797
2016/01/27,0.832
2016/01/28,0.873
2016/01/29,0.914
2016/01/30,0.956
2016/01/31,0.998
2016/02/01,1.037
2016/02/02,1.071
2016/02/03,1.103
2016/02/04,1.129
2016/02/05,1.155
2016/02/06,1.173
2016/02/07,1.186
2016/02/08,1.198
2016/02/09,1.212
2016/02/10,1.235
2016/02/11,1.281
2016/02/12,1.332
2016/02/13,1.382
2016/02/14,1.425
2016/02/15,1.462
2016/02/16,1.493
2016/02/17,1.52
2016/02/18,1.54
2016/02/19,1.555
2016/02/20,1.561
2016/02/21,1.567
2016/02/22,1.571
2016/02/23,1.572
2016/02/24,1.571
2016/02/25,1.571
2016/02/26,1.567
2016/02/27,1.559
2016/02/28,1.551
2016/02/29,1.546
2016/03/01,1.546
2016/03/02,1.554
2016/03/03,1.572
2016/03/04,1.595
2016/03/05,1.63
2016/03/06,1.67
2016/03/07,1.701
2016/03/08,1.732
2016/03/09,1.76
2016/03/10,1.788
2016/03/11,1.811
2016/03/12,1.835
2016/03/13,1.857
2016/03/14,1.879
2016/03/15,1.898
2016/03/16,1.913
2016/03/17,1.924
2016/03/18,1.936
2016/03/19,1.942
2016/03/20,1.943
2016/03/21,1.938
2016/03/22,1.928
2016/03/23,1.917
2016/03/24,1.9
2016/03/25,1.881
2016/03/26,1.856
2016/03/27,1.832
2016/03/28,1.807
2016/03/29,1.787
2016/03/30,1.773
2016/03/31,1.758
2016/04/01,1.738
2016/04/02,1.714
2016/04/03,1.689
2016/04/04,1.663
2016/04/05,1.64
2016/04/06,1.614
2016/04/07,1.59
2016/04/08,1.562
2016/04/09,1.535
2016/04/10,1.509
2016/04/11,1.481
2016/04/12,1.455
2016/04/13,1.43
2016/04/14,1.405
2016/04/15,1.378
2016/04/16,1.35
2016/04/17,1.323
2016/04/18,1.296
2016/04/19,1.269
2016/04/20,1.243
2016/04/21,1.217
2016/04/22,1.191
2016/04/23,1.165
2016/04/24,1.139
2016/04/25,1.114
2016/04/26,1.09
2016/04/27,1.066
2016/04/28,1.041
2016/04/29,1.022
2016/04/30,1.019
2016/05/01,1.018
2016/05/02,1.023
2016/05/03,1.028
2016/05/04,1.03
2016/05/05,1.031
2016/05/06,1.029
2016/05/07,1.024
2016/05/08,1.021
2016/05/09,1.019
2016/05/10,1.016
2016/05/11,1.016
2016/05/12,1.02
2016/05/13,1.028
2016/05/14,1.037
2016/05/15,1.042
2016/05/16,1.042
2016/05/17,1.042
2016/05/18,1.045
2016/05/19,1.048
2016/05/20,1.05
2016/05/21,1.048
2016/05/22,1.039
2016/05/23,1.032
2016/05/24,1.025
2016/05/25,1.016
2016/05/26,1.018
2016/05/27,1.023
2016/05/28,1.045
2016/05/29,1.06
2016/05/30,1.066
2016/05/31,1.067
2016/06/01,1.061
2016/06/02,1.048
2016/06/03,1.03
2016/06/04,1.006
2016/06/05,0.978
2016/06/06,0.949
2016/06/07,0.918
2016/06/08,0.887
2016/06/09,0.855
2016/06/10,0.823
2016/06/11,0.787
2016/06/12,0.753
2016/06/13,0.727
2016/06/14,0.707
2016/06/15,0.689
2016/06/16,0.669
2016/06/17,0.663
2016/06/18,0.664
2016/06/19,0.666
2016/06/20,0.667
2016/06/21,0.666
2016/06/22,0.667
2016/06/23,0.664
2016/06/24,0.657
2016/06/25,0.645
2016/06/26,0.633
2016/06/27,0.617
2016/06/28,0.602
2016/06/29,0.585
2016/06/30,0.567
2016/07/01,0.548
2016/07/02,0.527
2016/07/03,0.505
2016/07/04,0.484
2016/07/05,0.464
2016/07/06,0.444
2016/07/07,0.423
2016/07/08,0.404
2016/07/09,0.384
2016/07/10,0.365
2016/07/11,0.346
2016/07/12,0.327
2016/07/13,0.307
2016/07/14,0.288
2016/07/15,0.27
2016/07/16,0.253
2016/07/17,0.232
2016/07/18,0.211
2016/07/19,0.198
2016/07/20,0.192
2016/07/21,0.189
2016/07/22,0.192
2016/07/23,0.196
2016/07/24,0.21
2016/07/25,0.227
2016/07/26,0.256
2016/07/27,0.291
2016/07/28,0.324
2016/07/29,0.353
2016/07/30,0.374
2016/07/31,0.39
2016/08/01,0.403
2016/08/02,0.411
2016/08/03,0.417
2016/08/04,0.421
2016/08/05,0.42
2016/08/06,0.415
2016/08/07,0.406
2016/08/08,0.395
2016/08/09,0.385
2016/08/10,0.374
2016/08/11,0.365
2016/08/12,0.353
2016/08/13,0.338
2016/08/14,0.322
2016/08/15,0.305
2016/08/16,0.29
2016/08/17,0.275
2016/08/18,0.259
2016/08/19,0.243
2016/08/20,0.227
2016/08/21,0.211
2016/08/22,0.195
2016/08/23,0.182
2016/08/24,0.168
2016/08/25,0.157
2016/08/26,0.146
2016/08/27,0.136
2016/08/28,0.126
2016/08/29,0.117
2016/08/30,0.109
2016/08/31,0.103
2016/09/01,0.1
2016/09/02,0.097
2016/09/03,0.095
2016/09/04,0.091
2016/09/05,0.087
2016/09/06,0.083
2016/09/07,0.077
2016/09/08,0.074
2016/09/09,0.071
2016/09/10,0.067
2016/09/11,0.063
2016/09/12,0.06
2016/09/13,0.057
2016/09/14,0.053
2016/09/15,0.051
2016/09/16,0.049
2016/09/17,0.049
2016/09/18,0.046
2016/09/19,0.043
2016/09/20,0.047
2016/09/21,0.051
2016/09/22,0.05
2016/09/23,0.045
2016/09/24,0.039
2016/09/25,0.03
2016/09/26,0.02
2016/09/27,0.008
2016/09/28,-0.004
2016/09/29,-0.016
2016/09/30,-0.029
2016/10/01,-0.04
2016/10/02,-0.049
2016/10/03,-0.057
2016/10/04,-0.071
2016/10/05,-0.087
2016/10/06,-0.105
2016/10/07,-0.12
2016/10/08,-0.134
2016/10/09,-0.144
2016/10/10,-0.149
2016/10/11,-0.155
2016/10/12,-0.17
2016/10/13,-0.195
2016/10/14,-0.219
2016/10/15,-0.247
2016/10/16,-0.274
2016/10/17,-0.297
2016/10/18,-0.311
2016/10/19,-0.327
2016/10/20,-0.335
2016/10/21,-0.331
2016/10/22,-0.325
2016/10/23,-0.319
2016/10/24,-0.312
2016/10/25,-0.303
2016/10/26,-0.293
2016/10/27,-0.282
2016/10/28,-0.271
2016/10/29,-0.262
2016/10/30,-0.256
2016/10/31,-0.246
2016/11/01,-0.234
2016/11/02,-0.221
2016/11/03,-0.207
2016/11/04,-0.202
2016/11/05,-0.198
2016/11/06,-0.199
2016/11/07,-0.199
2016/11/08,-0.199
2016/11/09,-0.198
2016/11/10,-0.2
2016/11/11,-0.2
2016/11/12,-0.201
2016/11/13,-0.201
2016/11/14,-0.202
2016/11/15,-0.203
2016/11/16,-0.206
2016/11/17,-0.209
2016/11/18,-0.212
2016/11/19,-0.216
2016/11/20,-0.22
2016/11/21,-0.223
2016/11/22,-0.211
2016/11/23,-0.177
2016/11/24,-0.152
2016/11/25,-0.121
2016/11/26,-0.1
2016/11/27,-0.087
2016/11/28,-0.078
2016/11/29,-0.075
2016/11/30,-0.075
2016/12/01,-0.079
2016/12/02,-0.084
2016/12/03,-0.089
2016/12/04,-0.095
2016/12/05,-0.102
2016/12/06,-0.106
2016/12/07,-0.113
2016/12/08,-0.121
2016/12/09,-0.13
2016/12/10,-0.139
2016/12/11,-0.149
2016/12/12,-0.158
2016/12/13,-0.168
2016/12/14,-0.176
2016/12/15,-0.182
2016/12/16,-0.186
2016/12/17,-0.192
2016/12/18,-0.199
2016/12/19,-0.204
2016/12/20,-0.206
2016/12/21,-0.206
2016/12/22,-0.198
2016/12/23,-0.189
2016/12/24,-0.183
2016/12/25,-0.181
2016/12/26,-0.183
2016/12/27,-0.186
2016/12/28,-0.19
2016/12/29,-0.193
2016/12/30,-0.196
2016/12/31,-0.197
2017/01/01,-0.201
2017/01/02,-0.205
2017/01/03,-0.208
2017/01/04,-0.205
2017/01/05,-0.195
2017/01/06,-0.184
2017/01/07,-0.172
2017/01/08,-0.162
2017/01/09,-0.15
2017/01/10,-0.138
2017/01/11,-0.126
2017/01/12,-0.114
2017/01/13,-0.104
2017/01/14,-0.096
2017/01/15,-0.09
2017/01/16,-0.083
2017/01/17,-0.075
2017/01/18,-0.068
2017/01/19,-0.062
2017/01/20,-0.054
2017/01/21,-0.048
2017/01/22,-0.042
2017/01/23,-0.038
2017/01/24,-0.032
2017/01/25,-0.028
2017/01/26,-0.025
2017/01/27,-0.024
2017/01/28,-0.023
2017/01/29,-0.025
2017/01/30,-0.026
