Date,activeaddresses3ema
2016/01/01,3487
2016/01/02,3494
2016/01/03,3531
2016/01/04,3599
2016/01/05,3628
2016/01/06,3731
2016/01/07,3896
2016/01/08,3887
2016/01/09,3855
2016/01/10,3945
2016/01/11,4110
2016/01/12,4239
2016/01/13,4157
2016/01/14,4061
2016/01/15,4229
2016/01/16,4057
2016/01/17,3902
2016/01/18,4117
2016/01/19,4103
2016/01/20,4410
2016/01/21,4288
2016/01/22,4315
2016/01/23,4569
2016/01/24,4923
2016/01/25,5292
2016/01/26,5674
2016/01/27,5629
2016/01/28,5862
2016/01/29,5886
2016/01/30,5909
2016/01/31,5994
2016/02/01,5902
2016/02/02,5827
2016/02/03,5869
2016/02/04,5748
2016/02/05,6061
2016/02/06,5751
2016/02/07,5713
2016/02/08,5952
2016/02/09,6255
2016/02/10,7135
2016/02/11,8639
2016/02/12,8616
2016/02/13,8402
2016/02/14,7880
2016/02/15,7764
2016/02/16,7707
2016/02/17,7776
2016/02/18,7685
2016/02/19,7684
2016/02/20,7460
2016/02/21,7854
2016/02/22,8033
2016/02/23,8148
2016/02/24,8168
2016/02/25,8529
2016/02/26,8323
2016/02/27,8266
2016/02/28,8512
2016/02/29,8916
2016/03/01,9542
2016/03/02,10353
2016/03/03,11104
2016/03/04,11396
2016/03/05,12455
2016/03/06,12734
2016/03/07,11729
2016/03/08,12100
2016/03/09,12088
2016/03/10,12637
2016/03/11,12470
2016/03/12,13054
2016/03/13,13240
2016/03/14,13650
2016/03/15,13757
2016/03/16,13688
2016/03/17,13816
2016/03/18,14527
2016/03/19,14129
2016/03/20,14033
2016/03/21,13940
2016/03/22,13866
2016/03/23,14257
2016/03/24,14093
2016/03/25,14155
2016/03/26,13947
2016/03/27,14391
2016/03/28,14704
2016/03/29,15714
2016/03/30,16680
2016/03/31,16141
2016/04/01,15655
2016/04/02,15278
2016/04/03,15319
2016/04/04,15738
2016/04/05,16249
2016/04/06,15992
2016/04/07,16456
2016/04/08,15845
2016/04/09,16167
2016/04/10,16595
2016/04/11,16416
2016/04/12,16627
2016/04/13,17067
2016/04/14,17002
2016/04/15,16672
2016/04/16,16512
2016/04/17,16837
2016/04/18,17021
2016/04/19,17053
2016/04/20,17262
2016/04/21,17286
2016/04/22,17184
2016/04/23,17069
2016/04/24,17335
2016/04/25,17423
2016/04/26,17565
2016/04/27,17653
2016/04/28,17465
2016/04/29,18671
2016/04/30,22310
2016/05/01,21410
2016/05/02,22594
2016/05/03,21613
2016/05/04,20833
2016/05/05,20612
2016/05/06,20434
2016/05/07,20062
2016/05/08,20866
2016/05/09,21591
2016/05/10,21507
2016/05/11,22641
2016/05/12,23313
2016/05/13,24775
2016/05/14,24296
2016/05/15,23511
2016/05/16,22375
2016/05/17,22857
2016/05/18,24574
2016/05/19,24868
2016/05/20,24385
2016/05/21,23682
2016/05/22,22402
2016/05/23,23904
2016/05/24,23973
2016/05/25,24272
2016/05/26,27737
2016/05/27,27992
2016/05/28,33273
2016/05/29,29389
2016/05/30,26614
2016/05/31,25759
2016/06/01,24677
2016/06/02,23960
2016/06/03,23456
2016/06/04,22802
2016/06/05,22552
2016/06/06,22987
2016/06/07,23175
2016/06/08,23525
2016/06/09,23323
2016/06/10,23530
2016/06/11,21721
2016/06/12,23209
2016/06/13,25802
2016/06/14,27210
2016/06/15,26434
2016/06/16,25381
2016/06/17,30171
2016/06/18,31418
2016/06/19,30189
2016/06/20,28769
2016/06/21,28101
2016/06/22,29029
2016/06/23,27306
2016/06/24,26505
2016/06/25,24946
2016/06/26,25991
2016/06/27,25214
2016/06/28,26012
2016/06/29,25797
2016/06/30,25476
2016/07/01,25040
2016/07/02,25028
2016/07/03,24828
2016/07/04,25312
2016/07/05,25479
2016/07/06,25249
2016/07/07,25196
2016/07/08,25486
2016/07/09,25183
2016/07/10,25044
2016/07/11,24871
2016/07/12,25178
2016/07/13,23828
2016/07/14,24863
2016/07/15,25084
2016/07/16,24731
2016/07/17,22878
2016/07/18,23142
2016/07/19,26783
2016/07/20,28907
2016/07/21,28746
2016/07/22,30023
2016/07/23,29334
2016/07/24,32719
2016/07/25,32864
2016/07/26,37041
2016/07/27,37348
2016/07/28,35378
2016/07/29,32689
2016/07/30,30035
2016/07/31,29574
2016/08/01,29444
2016/08/02,28910
2016/08/03,29298
2016/08/04,29364
2016/08/05,28377
2016/08/06,27278
2016/08/07,26996
2016/08/08,27132
2016/08/09,28634
2016/08/10,28283
2016/08/11,29455
2016/08/12,28076
2016/08/13,26950
2016/08/14,26587
2016/08/15,26842
2016/08/16,28368
2016/08/17,27700
2016/08/18,27208
2016/08/19,27176
2016/08/20,27091
2016/08/21,27155
2016/08/22,26862
2016/08/23,27998
2016/08/24,27507
2016/08/25,28377
2016/08/26,27924
2016/08/27,27849
2016/08/28,27651
2016/08/29,28189
2016/08/30,27913
2016/08/31,28836
2016/09/01,29510
2016/09/02,29565
2016/09/03,28600
2016/09/04,28030
2016/09/05,27767
2016/09/06,27954
2016/09/07,27234
2016/09/08,28946
2016/09/09,28308
2016/09/10,27727
2016/09/11,27881
2016/09/12,28206
2016/09/13,28053
2016/09/14,27991
2016/09/15,28276
2016/09/16,28830
2016/09/17,28842
2016/09/18,27616
2016/09/19,27543
2016/09/20,31560
2016/09/21,30248
2016/09/22,27135
2016/09/23,26182
2016/09/24,25865
2016/09/25,25433
2016/09/26,25090
2016/09/27,24873
2016/09/28,25327
2016/09/29,25539
2016/09/30,25377
2016/10/01,25919
2016/10/02,26930
2016/10/03,26348
2016/10/04,23512
2016/10/05,22626
2016/10/06,22147
2016/10/07,24328
2016/10/08,24668
2016/10/09,26250
2016/10/10,27523
2016/10/11,26019
2016/10/12,20715
2016/10/13,16257
2016/10/14,19154
2016/10/15,18028
2016/10/16,19191
2016/10/17,21278
2016/10/18,25047
2016/10/19,22151
2016/10/20,25349
2016/10/21,29975
2016/10/22,27619
2016/10/23,25852
2016/10/24,25863
2016/10/25,25728
2016/10/26,25764
2016/10/27,25685
2016/10/28,25691
2016/10/29,24689
2016/10/30,22986
2016/10/31,25687
2016/11/01,26321
2016/11/02,26821
2016/11/03,26242
2016/11/04,22126
2016/11/05,22544
2016/11/06,21379
2016/11/07,22996
2016/11/08,23164
2016/11/09,23598
2016/11/10,22555
2016/11/11,23361
2016/11/12,23015
2016/11/13,23840
2016/11/14,22712
2016/11/15,23069
2016/11/16,22390
2016/11/17,22029
2016/11/18,22364
2016/11/19,22063
2016/11/20,22313
2016/11/21,22276
2016/11/22,29245
2016/11/23,37479
2016/11/24,28686
2016/11/25,30932
2016/11/26,24946
2016/11/27,22698
2016/11/28,22309
2016/11/29,21294
2016/11/30,21503
2016/12/01,20768
2016/12/02,21609
2016/12/03,22342
2016/12/04,22186
2016/12/05,21885
2016/12/06,23574
2016/12/07,21995
2016/12/08,21365
2016/12/09,21781
2016/12/10,21179
2016/12/11,21209
2016/12/12,21690
2016/12/13,21016
2016/12/14,21808
2016/12/15,22764
2016/12/16,22541
2016/12/17,21736
2016/12/18,20563
2016/12/19,22014
2016/12/20,22927
2016/12/21,23029
2016/12/22,26307
2016/12/23,24884
2016/12/24,23037
2016/12/25,21110
2016/12/26,20092
2016/12/27,20100
2016/12/28,20571
2016/12/29,21273
2016/12/30,21293
2016/12/31,21833
2017/01/01,20540
2017/01/02,20829
2017/01/03,21043
2017/01/04,23795
2017/01/05,25375
2017/01/06,25165
2017/01/07,24273
2017/01/08,23137
2017/01/09,23913
2017/01/10,23463
2017/01/11,23667
2017/01/12,23865
2017/01/13,23105
2017/01/14,22182
2017/01/15,21901
2017/01/16,23052
2017/01/17,23535
2017/01/18,23000
2017/01/19,23043
2017/01/20,23647
2017/01/21,23162
2017/01/22,22857
2017/01/23,22783
2017/01/24,23395
2017/01/25,22756
2017/01/26,22531
2017/01/27,22346
2017/01/28,22025
2017/01/29,21664
2017/01/30,22192
2017/01/31,22225
2017/02/01,22590
2017/02/02,22917
2017/02/03,22733
2017/02/04,23326
2017/02/05,23897
2017/02/06,23821
2017/02/07,23737
2017/02/08,23991
2017/02/09,24103
2017/02/10,24676
2017/02/11,23629
2017/02/12,23634
2017/02/13,25553
2017/02/14,26664
2017/02/15,27376
2017/02/16,27000
2017/02/17,26617
2017/02/18,26980
2017/02/19,26140
2017/02/20,26666
2017/02/21,26706
2017/02/22,26510
2017/02/23,26165
2017/02/24,27642
2017/02/25,27465
2017/02/26,27416
2017/02/27,28456
2017/02/28,31344
2017/03/01,33158
2017/03/02,38402
2017/03/03,38428
2017/03/04,36607
2017/03/05,34941
2017/03/06,35051
2017/03/07,33664
2017/03/08,33269
2017/03/09,35101
2017/03/10,35703
2017/03/11,36580
2017/03/12,38616
2017/03/13,45994
2017/03/14,46036
2017/03/15,47143
2017/03/16,57640
2017/03/17,62252
2017/03/18,58682
2017/03/19,53447
2017/03/20,51416
2017/03/21,50553
2017/03/22,48549
2017/03/23,47411
2017/03/24,51057
2017/03/25,50938
2017/03/26,48191
2017/03/27,49323
2017/03/28,49059
2017/03/29,49729
2017/03/30,55060
2017/03/31,61283
2017/04/01,54189
2017/04/02,54212
2017/04/03,59545
2017/04/04,56454
2017/04/05,54936
2017/04/06,58894
2017/04/07,54030
2017/04/08,48745
2017/04/09,45300
2017/04/10,45793
2017/04/11,45475
2017/04/12,47029
2017/04/13,49051
2017/04/14,49067
2017/04/15,47424
2017/04/16,43613
2017/04/17,43272
2017/04/18,47006
2017/04/19,48971
2017/04/20,51700
2017/04/21,48669
2017/04/22,46434
2017/04/23,46114
2017/04/24,48607
2017/04/25,49207
2017/04/26,53194
2017/04/27,61578
2017/04/28,62006
