Date,activeaddresses3var
2016/01/01,26695
2016/01/02,12438
2016/01/03,2905
2016/01/04,4584
2016/01/05,1933
2016/01/06,6585
2016/01/07,27213
2016/01/08,9662
2016/01/09,10416
2016/01/10,8128
2016/01/11,34242
2016/01/12,19777
2016/01/13,15140
2016/01/14,29125
2016/01/15,33816
2016/01/16,50784
2016/01/17,78622
2016/01/18,62733
2016/01/19,57973
2016/01/20,66595
2016/01/21,77846
2016/01/22,52478
2016/01/23,77246
2016/01/24,146066
2016/01/25,116755
2016/01/26,101411
2016/01/27,43135
2016/01/28,54252
2016/01/29,44843
2016/01/30,6795
2016/01/31,5685
2016/02/01,12281
2016/02/02,20390
2016/02/03,4278
2016/02/04,13500
2016/02/05,94782
2016/02/06,162566
2016/02/07,157198
2016/02/08,98231
2016/02/09,131493
2016/02/10,620502
2016/02/11,2167051
2016/02/12,807219
2016/02/13,709315
2016/02/14,264793
2016/02/15,118843
2016/02/16,19014
2016/02/17,8495
2016/02/18,11543
2016/02/19,10796
2016/02/20,37322
2016/02/21,171114
2016/02/22,219547
2016/02/23,453.556
2016/02/24,978
2016/02/25,99358
2016/02/26,122224
2016/02/27,119378
2016/02/28,80246
2016/02/29,205730
2016/03/01,335894
2016/03/02,567940
2016/03/03,480025
2016/03/04,86852
2016/03/05,678278
2016/03/06,593100
2016/03/07,1474625
2016/03/08,954551
2016/03/09,559336
2016/03/10,211374
2016/03/11,229410
2016/03/12,306865
2016/03/13,342598
2016/03/14,69443
2016/03/15,70246
2016/03/16,32547
2016/03/17,19117
2016/03/18,489025
2016/03/19,443811
2016/03/20,445259
2016/03/21,7243
2016/03/22,3633
2016/03/23,153206
2016/03/24,140812
2016/03/25,87105
2016/03/26,38275
2016/03/27,200593
2016/03/28,317895
2016/03/29,724382
2016/03/30,1186175
2016/03/31,698545
2016/04/01,1166126
2016/04/02,83376
2016/04/03,35460
2016/04/04,269270
2016/04/05,328758
2016/04/06,176924
2016/04/07,275606
2016/04/08,499758
2016/04/09,511304
2016/04/10,562140
2016/04/11,107447
2016/04/12,112673
2016/04/13,269059
2016/04/14,86853
2016/04/15,226234
2016/04/16,77110
2016/04/17,147985
2016/04/18,153923
2016/04/19,2436
2016/04/20,26050
2016/04/21,25075
2016/04/22,25485
2016/04/23,21916
2016/04/24,78694
2016/04/25,82213
2016/04/26,6478
2016/04/27,10429
2016/04/28,44905
2016/04/29,1283340
2016/04/30,13205375
2016/05/01,7427645
2016/05/02,4999245
2016/05/03,2288756
2016/05/04,2677731
2016/05/05,56172
2016/05/06,19088
2016/05/07,92131
2016/05/08,692408
2016/05/09,1247881
2016/05/10,141589
2016/05/11,938214
2016/05/12,1347305
2016/05/13,1243536
2016/05/14,1218962
2016/05/15,2154259
2016/05/16,1115578
2016/05/17,778041
2016/05/18,4292145
2016/05/19,1477174
2016/05/20,951392
2016/05/21,799868
2016/05/22,1337770
2016/05/23,3078065
2016/05/24,3195231
2016/05/25,314933
2016/05/26,10612493
2016/05/27,7359692
2016/05/28,18776851
2016/05/29,31557121
2016/05/30,43290661
2016/05/31,475161
2016/06/01,323210
2016/06/02,510254
2016/06/03,69310
2016/06/04,214653
2016/06/05,120971
2016/06/06,322140
2016/06/07,264138
2016/06/08,52442
2016/06/09,98863
2016/06/10,107553
2016/06/11,2812961
2016/06/12,4271411
2016/06/13,12058950
2016/06/14,3234935
2016/06/15,1811389
2016/06/16,3214956
2016/06/17,22379475
2016/06/18,20872406
2016/06/19,6111668
2016/06/20,4952648
2016/06/21,549309
2016/06/22,1464965
2016/06/23,3212501
2016/06/24,4136171
2016/06/25,1134411
2016/06/26,2273102
2016/06/27,2352845
2016/06/28,1383472
2016/06/29,940506
2016/06/30,492968
2016/07/01,159617
2016/07/02,54467
2016/07/03,35297
2016/07/04,235650
2016/07/05,268550
2016/07/06,113156
2016/07/07,73251
2016/07/08,109902
2016/07/09,141408
2016/07/10,173377
2016/07/11,8563
2016/07/12,110572
2016/07/13,1619087
2016/07/14,2321220
2016/07/15,2224780
2016/07/16,390647
2016/07/17,3381117
2016/07/18,1986611
2016/07/19,15916016
2016/07/20,11970640
2016/07/21,1081882
2016/07/22,1492318
2016/07/23,1603227
2016/07/24,9531595
2016/07/25,9364872
2016/07/26,11457745
2016/07/27,11296441
2016/07/28,10192009
2016/07/29,9803153
2016/07/30,6088531
2016/07/31,1183641
2016/08/01,752494
2016/08/02,162349
2016/08/03,304063
2016/08/04,321743
2016/08/05,1056948
2016/08/06,1799865
2016/08/07,245106
2016/08/08,197674
2016/08/09,2250556
2016/08/10,1504130
2016/08/11,1375703
2016/08/12,2695518
2016/08/13,4366603
2016/08/14,127003
2016/08/15,281936
2016/08/16,2449890
2016/08/17,1780438
2016/08/18,2042622
2016/08/19,32678
2016/08/20,31655
2016/08/21,7718
2016/08/22,72772
2016/08/23,1184011
2016/08/24,1249953
2016/08/25,1052971
2016/08/26,927692
2016/08/27,602931
2016/08/28,21675
2016/08/29,292349
2016/08/30,315993
2016/08/31,751382
2016/09/01,1242890
2016/09/02,57937
2016/09/03,1195457
2016/09/04,958166
2016/09/05,5476
2016/09/06,96376
2016/09/07,447027
2016/09/08,2905044
2016/09/09,3047810
2016/09/10,2393533
2016/09/11,133369
2016/09/12,327955
2016/09/13,73100
2016/09/14,84181
2016/09/15,92581
2016/09/16,355414
2016/09/17,116611
2016/09/18,1702158
2016/09/19,1016162
2016/09/20,16810091
2016/09/21,12441721
2016/09/22,22418700
2016/09/23,4371233
2016/09/24,431709
2016/09/25,50116
2016/09/26,111170
2016/09/27,21278
2016/09/28,259652
2016/09/29,273931
2016/09/30,67843
2016/10/01,261228
2016/10/02,1242386
2016/10/03,823136
2016/10/04,9265380
2016/10/05,4802038
2016/10/06,235248
2016/10/07,5131536
2016/10/08,4093765
2016/10/09,1330002
2016/10/10,2583278
2016/10/11,3361560
2016/10/12,31147003
2016/10/13,28627522
2016/10/14,18032790
2016/10/15,17524214
2016/10/16,4593246
2016/10/17,6976842
2016/10/18,12264454
2016/10/19,15335060
2016/10/20,19758483
2016/10/21,39827678
2016/10/22,14953088
2016/10/23,22124018
2016/10/24,550874
2016/10/25,616601
2016/10/26,14094
2016/10/27,9092
2016/10/28,6408
2016/10/29,859928
2016/10/30,3257198
2016/10/31,8709762
2016/11/01,9412745
2016/11/02,370349
2016/11/03,506043
2016/11/04,16448226
2016/11/05,10042402
2016/11/06,4101781
2016/11/07,3291813
2016/11/08,3413085
2016/11/09,273840
2016/11/10,1129303
2016/11/11,1492621
2016/11/12,1183068
2016/11/13,719227
2016/11/14,1626147
2016/11/15,1600107
2016/11/16,704364
2016/11/17,669233
2016/11/18,226534
2016/11/19,216391
2016/11/20,170896
2016/11/21,108200
2016/11/22,42426584
2016/11/23,92953135
2016/11/24,113681908
2016/11/25,111125938
2016/11/26,42155915
2016/11/27,40701198
2016/11/28,1459296
2016/11/29,542847
2016/11/30,532182
2016/12/01,548116
2016/12/02,1022842
2016/12/03,1721513
2016/12/04,185036
2016/12/05,390714
2016/12/06,2687064
2016/12/07,4266632
2016/12/08,4899986
2016/12/09,601454
2016/12/10,531578
2016/12/11,442334
2016/12/12,427583
2016/12/13,557616
2016/12/14,958650
2016/12/15,1974761
2016/12/16,367175
2016/12/17,1298293
2016/12/18,1429155
2016/12/19,2819890
2016/12/20,4058256
2016/12/21,83883
2016/12/22,8351314
2016/12/23,8807377
2016/12/24,12570760
2016/12/25,3052690
2016/12/26,945955
2016/12/27,214569
2016/12/28,646683
2016/12/29,580950
2016/12/30,152867
2016/12/31,190698
2017/01/01,1686248
2017/01/02,1650975
2017/01/03,840778
2017/01/04,6388675
2017/01/05,6737478
2017/01/06,744276
2017/01/07,2137756
2017/01/08,1455481
2017/01/09,1202721
2017/01/10,1226780
2017/01/11,467126
2017/01/12,207821
2017/01/13,589768
2017/01/14,1333318
2017/01/15,204571
2017/01/16,1717830
2017/01/17,1382336
2017/01/18,606982
2017/01/19,407273
2017/01/20,547298
2017/01/21,443889
2017/01/22,597018
2017/01/23,4589
2017/01/24,425776
2017/01/25,624302
2017/01/26,723283
2017/01/27,6670
2017/01/28,65671
2017/01/29,122564
2017/01/30,355524
2017/01/31,348042
2017/02/01,84089
2017/02/02,171655
2017/02/03,81020
2017/02/04,312380
2017/02/05,650476
2017/02/06,94934
2017/02/07,133026
2017/02/08,68054
2017/02/09,74530
2017/02/10,230228
2017/02/11,1203638
2017/02/12,1200817
2017/02/13,4412767
2017/02/14,3546113
2017/02/15,63040
2017/02/16,396022
2017/02/17,636231
2017/02/18,210994
2017/02/19,697343
2017/02/20,864422
2017/02/21,652686
2017/02/22,128786
2017/02/23,143442
2017/02/24,2111450
2017/02/25,1822280
2017/02/26,714256
2017/02/27,1046980
2017/02/28,8231706
2017/03/01,5882606
2017/03/02,18263678
2017/03/03,12698702
2017/03/04,13211622
2017/03/05,4731267
2017/03/06,664778
2017/03/07,1431111
2017/03/08,1546064
2017/03/09,4278914
2017/03/10,3181780
2017/03/11,222554
2017/03/12,3380375
2017/03/13,47252721
2017/03/14,27164290
2017/03/15,9349890
2017/03/16,98521169
2017/03/17,82612185
2017/03/18,34374781
2017/03/19,59297491
2017/03/20,9088174
2017/03/21,405745
2017/03/22,2003624
2017/03/23,2403906
2017/03/24,15297342
2017/03/25,11868350
2017/03/26,14408102
2017/03/27,6011222
2017/03/28,4342022
2017/03/29,592051
2017/03/30,26321875
2017/03/31,49240771
2017/04/01,71549817
2017/04/02,71518348
2017/04/03,53389129
2017/04/04,27413078
2017/04/05,29333216
2017/04/06,19900160
2017/04/07,32718731
2017/04/08,66216292
2017/04/09,9838995
2017/04/10,3353235
2017/04/11,3533871
2017/04/12,2030013
2017/04/13,5881433
2017/04/14,1158681
2017/04/15,4764502
2017/04/16,14748103
2017/04/17,5960313
2017/04/18,21158855
2017/04/19,13905087
2017/04/20,2869562
2017/04/21,13055422
2017/04/22,20439174
2017/04/23,515739
2017/04/24,8702385
2017/04/25,5102691
2017/04/26,10338180
2017/04/27,69341644
2017/04/28,27518214
2017/04/29,24066172
2017/04/30,3346006
2017/05/01,32901177
2017/05/02,18555200
2017/05/03,18239209
2017/05/04,41996341
2017/05/05,49792243
2017/05/06,36549043
2017/05/07,24714668
2017/05/08,64634881
2017/05/09,20182536
2017/05/10,15005166
2017/05/11,5584366
2017/05/12,14230368
2017/05/13,50572256
2017/05/14,11570515
2017/05/15,42776478
2017/05/16,24355704
2017/05/17,7632042
2017/05/18,60152364
2017/05/19,233345415
2017/05/20,147443438
2017/05/21,146215615
2017/05/22,191471384
2017/05/23,169162624
2017/05/24,15661721
2017/05/25,247601
2017/05/26,15218952
2017/05/27,107470518
2017/05/28,73170544
2017/05/29,8904208
2017/05/30,53548929
2017/05/31,79333818
2017/06/01,126533035
2017/06/02,85760441
2017/06/03,108557579
2017/06/04,217294
2017/06/05,20231685
2017/06/06,72338867
2017/06/07,23528387
2017/06/08,27483909
2017/06/09,55055013
2017/06/10,104977071
2017/06/11,110154934
2017/06/12,682062434
2017/06/13,347225267
2017/06/14,154340555
2017/06/15,65786230
2017/06/16,74703400
2017/06/17,116115050
2017/06/18,5971804
2017/06/19,136901772
2017/06/20,98676367
2017/06/21,259474500
2017/06/22,427514034
2017/06/23,504157267
2017/06/24,132019747
2017/06/25,365183618
2017/06/26,1167698657
2017/06/27,1154784124
2017/06/28,607035454
2017/06/29,7465645
2017/06/30,19673696
2017/07/01,24906733
2017/07/02,8313613
2017/07/03,193493321
2017/07/04,142437953
2017/07/05,77632510
2017/07/06,51747971
2017/07/07,141643564
2017/07/08,321340950
2017/07/09,534447353
2017/07/10,469847990
2017/07/11,489872418
2017/07/12,30010050
2017/07/13,164286383
2017/07/14,117948213
2017/07/15,11982045
2017/07/16,10440417
2017/07/17,12111258
2017/07/18,48550908
2017/07/19,46817889
2017/07/20,6136274
2017/07/21,43894920
2017/07/22,204739136
2017/07/23,310634970
2017/07/24,320148268
2017/07/25,76622801
2017/07/26,56182545
2017/07/27,23246425
2017/07/28,33205126
2017/07/29,119279654
2017/07/30,114999374
2017/07/31,407675654
2017/08/01,289888095
2017/08/02,210598253
2017/08/03,13325350
2017/08/04,55358273
2017/08/05,65318703
2017/08/06,1428182
2017/08/07,41526200
2017/08/08,332005670
2017/08/09,158105137
2017/08/10,207282408
2017/08/11,297724670
2017/08/12,44248136
2017/08/13,69518211
2017/08/14,802290737
2017/08/15,775450783
2017/08/16,6686694
2017/08/17,15341956
2017/08/18,73980356
2017/08/19,505677124
2017/08/20,1317533444
2017/08/21,463006451
2017/08/22,442126140
2017/08/23,139466300
2017/08/24,122065443
2017/08/25,89734948
2017/08/26,394680801
2017/08/27,409711495
2017/08/28,311093580
2017/08/29,642389828
2017/08/30,245948230
2017/08/31,34833337
2017/09/01,41433835
2017/09/02,492423593
2017/09/03,625885796
2017/09/04,1875232671
2017/09/05,2096248553
2017/09/06,57567341
2017/09/07,234130475
2017/09/08,260561211
2017/09/09,230985058
2017/09/10,820595438
2017/09/11,248765395
2017/09/12,838248150
2017/09/13,327163293
2017/09/14,247231282
2017/09/15,711940499
2017/09/16,959149158
2017/09/17,2321592001
2017/09/18,632408243
2017/09/19,620102441
2017/09/20,194647653
2017/09/21,64018773
2017/09/22,309364965
2017/09/23,271658565
2017/09/24,17769030
2017/09/25,147721074
2017/09/26,60656018
2017/09/27,14263823
2017/09/28,82047020
2017/09/29,65617886
2017/09/30,146227864
2017/10/01,293706379
2017/10/02,101024299
2017/10/03,188640654
2017/10/04,47628342
2017/10/05,49291608
2017/10/06,5408296
2017/10/07,33691274
2017/10/08,21332900
2017/10/09,37473601
2017/10/10,328419573
2017/10/11,189309415
2017/10/12,14254042
2017/10/13,231400257
2017/10/14,325822372
2017/10/15,525593380
2017/10/16,15926598
2017/10/17,721653414
2017/10/18,508720814
2017/10/19,217872414
2017/10/20,83956428
2017/10/21,82613175
2017/10/22,42375718
2017/10/23,41793083
2017/10/24,7594143
2017/10/25,107843171
