Date,activeaddresses7sma
2016/01/01,3444
2016/01/02,3460
2016/01/03,3503
2016/01/04,3520
2016/01/05,3548
2016/01/06,3623
2016/01/07,3675
2016/01/08,3738
2016/01/09,3784
2016/01/10,3851
2016/01/11,3938
2016/01/12,4039
2016/01/13,4073
2016/01/14,4060
2016/01/15,4134
2016/01/16,4143
2016/01/17,4102
2016/01/18,4110
2016/01/19,4070
2016/01/20,4162
2016/01/21,4191
2016/01/22,4182
2016/01/23,4317
2016/01/24,4535
2016/01/25,4725
2016/01/26,5006
2016/01/27,5130
2016/01/28,5405
2016/01/29,5630
2016/01/30,5788
2016/01/31,5902
2016/02/01,5924
2016/02/02,5880
2016/02/03,5927
2016/02/04,5860
2016/02/05,5926
2016/02/06,5856
2016/02/07,5798
2016/02/08,5853
2016/02/09,5968
2016/02/10,6269
2016/02/11,6914
2016/02/12,7231
2016/02/13,7623
2016/02/14,7864
2016/02/15,8072
2016/02/16,8228
2016/02/17,8204
2016/02/18,7840
2016/02/19,7710
2016/02/20,7573
2016/02/21,7701
2016/02/22,7781
2016/02/23,7869
2016/02/24,7918
2016/02/25,8103
2016/02/26,8165
2016/02/27,8304
2016/02/28,8377
2016/02/29,8535
2016/03/01,8807
2016/03/02,9232
2016/03/03,9656
2016/03/04,10166
2016/03/05,10924
2016/03/06,11532
2016/03/07,11732
2016/03/08,12061
2016/03/09,12192
2016/03/10,12382
2016/03/11,12470
2016/03/12,12487
2016/03/13,12546
2016/03/14,13023
2016/03/15,13222
2016/03/16,13442
2016/03/17,13551
2016/03/18,13970
2016/03/19,13983
2016/03/20,14056
2016/03/21,14026
2016/03/22,14015
2016/03/23,14162
2016/03/24,14160
2016/03/25,14014
2016/03/26,14016
2016/03/27,14144
2016/03/28,14311
2016/03/29,14730
2016/03/30,15158
2016/03/31,15397
2016/04/01,15533
2016/04/02,15699
2016/04/03,15774
2016/04/04,15937
2016/04/05,15942
2016/04/06,15669
2016/04/07,15858
2016/04/08,15867
2016/04/09,16093
2016/04/10,16331
2016/04/11,16342
2016/04/12,16354
2016/04/13,16607
2016/04/14,16609
2016/04/15,16767
2016/04/16,16748
2016/04/17,16768
2016/04/18,16906
2016/04/19,16941
2016/04/20,16936
2016/04/21,16990
2016/04/22,17095
2016/04/23,17181
2016/04/24,17244
2016/04/25,17288
2016/04/26,17377
2016/04/27,17415
2016/04/28,17410
2016/04/29,17810
2016/04/30,19095
2016/05/01,19510
2016/05/02,20406
2016/05/03,20823
2016/05/04,21154
2016/05/05,21599
2016/05/06,21653
2016/05/07,20759
2016/05/08,20924
2016/05/09,20715
2016/05/10,20829
2016/05/11,21360
2016/05/12,21874
2016/05/13,22728
2016/05/14,23317
2016/05/15,23468
2016/05/16,23315
2016/05/17,23588
2016/05/18,23948
2016/05/19,24116
2016/05/20,23782
2016/05/21,23663
2016/05/22,23433
2016/05/23,24029
2016/05/24,24129
2016/05/25,23883
2016/05/26,24746
2016/05/27,25367
2016/05/28,27592
2016/05/29,28218
2016/05/30,27994
2016/05/31,28117
2016/06/01,27978
2016/06/02,26841
2016/06/03,26084
2016/06/04,23741
2016/06/05,23283
2016/06/06,23224
2016/06/07,23004
2016/06/08,23044
2016/06/09,23026
2016/06/10,23138
2016/06/11,22819
2016/06/12,23161
2016/06/13,23871
2016/06/14,24622
2016/06/15,24877
2016/06/16,25049
2016/06/17,26653
2016/06/18,28474
2016/06/19,29084
2016/06/20,28934
2016/06/21,28765
2016/06/22,29379
2016/06/23,29558
2016/06/24,28236
2016/06/25,26911
2016/06/26,26636
2016/06/27,26220
2016/06/28,26131
2016/06/29,25506
2016/06/30,25444
2016/07/01,25287
2016/07/02,25520
2016/07/03,25176
2016/07/04,25370
2016/07/05,25204
2016/07/06,25123
2016/07/07,25122
2016/07/08,25289
2016/07/09,25270
2016/07/10,25309
2016/07/11,25152
2016/07/12,25129
2016/07/13,24767
2016/07/14,24874
2016/07/15,24807
2016/07/16,24735
2016/07/17,24181
2016/07/18,23996
2016/07/19,24702
2016/07/20,25924
2016/07/21,26308
2016/07/22,27164
2016/07/23,27774
2016/07/24,29928
2016/07/25,31300
2016/07/26,32842
2016/07/27,33788
2016/07/28,34477
2016/07/29,34291
2016/07/30,34111
2016/07/31,33112
2016/08/01,32584
2016/08/02,30750
2016/08/03,29611
2016/08/04,29043
2016/08/05,28670
2016/08/06,28498
2016/08/07,28155
2016/08/08,27863
2016/08/09,28115
2016/08/10,27864
