Date,activeaddresses90mom
2016/01/01,1353
2016/01/02,1419
2016/01/03,1441
2016/01/04,1526
2016/01/05,1529
2016/01/06,1784
2016/01/07,1984
2016/01/08,1936
2016/01/09,1846
2016/01/10,2010
2016/01/11,2100
2016/01/12,2064
2016/01/13,1912
2016/01/14,1798
2016/01/15,2361
2016/01/16,1890
2016/01/17,1644
2016/01/18,2372
2016/01/19,1873
2016/01/20,2694
2016/01/21,1887
2016/01/22,1986
2016/01/23,2600
2016/01/24,2827
2016/01/25,3072
2016/01/26,3453
2016/01/27,2632
2016/01/28,2817
2016/01/29,2882
2016/01/30,2809
2016/01/31,2952
2016/02/01,2678
2016/02/02,2717
2016/02/03,2960
2016/02/04,2805
2016/02/05,3313
2016/02/06,2150
2016/02/07,2554
2016/02/08,3283
2016/02/09,3408
2016/02/10,5163
2016/02/11,7328
2016/02/12,5724
2016/02/13,5361
2016/02/14,4421
2016/02/15,4652
2016/02/16,4696
2016/02/17,4894
2016/02/18,4922
2016/02/19,5062
2016/02/20,4371
2016/02/21,5566
2016/02/22,5424
2016/02/23,5576
2016/02/24,5386
2016/02/25,6341
2016/02/26,5538
2016/02/27,5608
2016/02/28,6134
2016/02/29,6736
2016/03/01,7681
2016/03/02,8564
2016/03/03,9336
2016/03/04,9148
2016/03/05,10548
2016/03/06,10094
2016/03/07,8044
2016/03/08,9783
2016/03/09,9377
2016/03/10,10419
2016/03/11,8854
2016/03/12,10606
2016/03/13,9936
2016/03/14,10938
2016/03/15,10738
2016/03/16,9979
2016/03/17,10524
2016/03/18,11958
2016/03/19,10463
2016/03/20,10547
2016/03/21,10445
2016/03/22,10493
2016/03/23,11364
2016/03/24,10744
2016/03/25,10823
2016/03/26,10471
2016/03/27,11288
2016/03/28,11556
2016/03/29,13418
2016/03/30,13947
2016/03/31,12165
2016/04/01,11669
2016/04/02,11332
2016/04/03,11694
2016/04/04,12499
2016/04/05,12926
2016/04/06,11674
2016/04/07,13042
2016/04/08,11412
2016/04/09,12453
2016/04/10,12748
2016/04/11,11868
2016/04/12,12765
2016/04/13,13542
2016/04/14,12538
2016/04/15,12457
2016/04/16,12606
2016/04/17,12830
2016/04/18,13115
