Date,activeaddresses90rsi
2016/01/01,54.054
2016/01/02,54.23
2016/01/03,54.417
2016/01/04,54.684
2016/01/05,54.657
2016/01/06,55.144
2016/01/07,55.764
2016/01/08,55.143
2016/01/09,54.954
2016/01/10,55.541
2016/01/11,56.192
2016/01/12,56.445
2016/01/13,55.43
2016/01/14,55.061
2016/01/15,56.233
2016/01/16,54.528
2016/01/17,54.079
2016/01/18,55.64
2016/01/19,54.856
2016/01/20,56.45
2016/01/21,54.739
2016/01/22,55.174
2016/01/23,56.353
2016/01/24,57.416
2016/01/25,58.284
2016/01/26,59.156
2016/01/27,57.699
2016/01/28,58.808
2016/01/29,58.253
2016/01/30,58.296
2016/01/31,58.619
2016/02/01,57.796
2016/02/02,57.627
2016/02/03,57.978
2016/02/04,57.118
2016/02/05,58.745
2016/02/06,56.059
2016/02/07,56.561
2016/02/08,57.645
2016/02/09,58.391
2016/02/10,61.138
2016/02/11,64.592
2016/02/12,60.624
2016/02/13,59.658
2016/02/14,57.742
2016/02/15,58.217
2016/02/16,58.222
2016/02/17,58.539
2016/02/18,57.963
2016/02/19,58.111
2016/02/20,57.091
2016/02/21,58.747
2016/02/22,58.667
2016/02/23,58.749
2016/02/24,58.577
2016/02/25,59.7
2016/02/26,57.948
2016/02/27,58.097
2016/02/28,58.966
2016/02/29,59.829
2016/03/01,61.078
2016/03/02,62.464
2016/03/03,63.38
2016/03/04,63.002
2016/03/05,65.274
2016/03/06,64.185
2016/03/07,59.569
2016/03/08,61.694
2016/03/09,60.96
2016/03/10,62.235
2016/03/11,60.645
2016/03/12,62.125
2016/03/13,61.752
2016/03/14,62.434
2016/03/15,62.088
2016/03/16,61.655
2016/03/17,62.01
2016/03/18,63.375
2016/03/19,60.801
2016/03/20,61.022
2016/03/21,60.868
2016/03/22,60.778
2016/03/23,61.693
2016/03/24,60.496
2016/03/25,60.802
2016/03/26,60.019
2016/03/27,61.181
2016/03/28,61.371
2016/03/29,63.075
2016/03/30,63.944
2016/03/31,60.74
2016/04/01,60.096
2016/04/02,59.698
2016/04/03,60.154
2016/04/04,60.929
2016/04/05,61.503
2016/04/06,59.989
2016/04/07,61.108
2016/04/08,58.745
2016/04/09,59.911
2016/04/10,60.394
2016/04/11,59.332
2016/04/12,59.878
2016/04/13,60.474
2016/04/14,59.708
2016/04/15,58.922
2016/04/16,58.931
2016/04/17,59.672
2016/04/18,59.709
2016/04/19,59.548
2016/04/20,59.903
2016/04/21,59.683
2016/04/22,59.369
2016/04/23,59.191
2016/04/24,59.803
2016/04/25,59.675
2016/04/26,59.862
2016/04/27,59.895
2016/04/28,59.233
2016/04/29,61.628
2016/04/30,66.301
2016/05/01,59.712
2016/05/02,62.006
2016/05/03,58.751
2016/05/04,58.183
2016/05/05,58.419
2016/05/06,58.287
2016/05/07,57.726
2016/05/08,59.116
2016/05/09,59.555
2016/05/10,58.676
2016/05/11,60.24
2016/05/12,60.376
2016/05/13,61.789
2016/05/14,59.483
2016/05/15,58.49
2016/05/16,57.172
2016/05/17,58.508
2016/05/18,60.266
2016/05/19,59.294
2016/05/20,58.234
2016/05/21,57.473
2016/05/22,55.982
2016/05/23,58.492
2016/05/24,57.438
2016/05/25,57.736
2016/05/26,61.19
2016/05/27,59.018
2016/05/28,63.58
2016/05/29,55.648
2016/05/30,54.766
2016/05/31,55.225
2016/06/01,54.537
2016/06/02,54.354
2016/06/03,54.2
2016/06/04,53.778
2016/06/05,53.848
2016/06/06,54.354
2016/06/07,54.321
2016/06/08,54.555
2016/06/09,54.144
2016/06/10,54.428
2016/06/11,52.392
2016/06/12,54.542
2016/06/13,56.092
2016/06/14,56.183
2016/06/15,54.661
2016/06/16,53.996
2016/06/17,58.115
2016/06/18,57
2016/06/19,55.272
2016/06/20,54.543
2016/06/21,54.575
2016/06/22,55.513
2016/06/23,53.575
2016/06/24,53.62
2016/06/25,52.626
2016/06/26,53.985
2016/06/27,52.892
2016/06/28,53.756
2016/06/29,53.245
2016/06/30,53.068
2016/07/01,52.838
2016/07/02,52.991
2016/07/03,52.828
2016/07/04,53.268
2016/07/05,53.203
2016/07/06,52.933
2016/07/07,52.981
2016/07/08,53.226
2016/07/09,52.831
2016/07/10,52.841
2016/07/11,52.748
2016/07/12,53.064
2016/07/13,51.728
2016/07/14,53.087
2016/07/15,52.826
2016/07/16,52.419
2016/07/17,50.981
2016/07/18,51.929
2016/07/19,54.544
2016/07/20,54.76
2016/07/21,53.722
2016/07/22,54.685
2016/07/23,53.582
2016/07/24,56.098
2016/07/25,54.851
2016/07/26,57.391
2016/07/27,56.008
2016/07/28,54.427
2016/07/29,53.208
2016/07/30,52.298
2016/07/31,52.837
2016/08/01,52.899
2016/08/02,52.571
2016/08/03,52.984
2016/08/04,52.893
2016/08/05,52.17
2016/08/06,51.747
2016/08/07,51.921
2016/08/08,52.103
2016/08/09,53.031
2016/08/10,52.244
2016/08/11,53.104
2016/08/12,51.73
2016/08/13,51.432
2016/08/14,51.561
2016/08/15,51.845
2016/08/16,52.742
2016/08/17,51.745
2016/08/18,51.636
2016/08/19,51.775
2016/08/20,51.726
2016/08/21,51.796
2016/08/22,51.565
2016/08/23,52.416
2016/08/24,51.658
2016/08/25,52.392
2016/08/26,51.759
2016/08/27,51.859
2016/08/28,51.744
2016/08/29,52.171
2016/08/30,51.774
2016/08/31,52.485
2016/09/01,52.626
2016/09/02,52.416
2016/09/03,51.686
