Date,activeaddresses90wma
2016/01/01,2985
2016/01/02,3001
2016/01/03,3019
2016/01/04,3037
2016/01/05,3056
2016/01/06,3078
2016/01/07,3104
2016/01/08,3126
2016/01/09,3146
2016/01/10,3170
2016/01/11,3200
2016/01/12,3230
2016/01/13,3254
2016/01/14,3275
2016/01/15,3305
2016/01/16,3323
2016/01/17,3338
2016/01/18,3365
2016/01/19,3386
2016/01/20,3420
2016/01/21,3442
2016/01/22,3467
2016/01/23,3502
2016/01/24,3547
2016/01/25,3599
2016/01/26,3659
2016/01/27,3708
2016/01/28,3768
2016/01/29,3823
2016/01/30,3878
2016/01/31,3935
2016/02/01,3985
2016/02/02,4034
2016/02/03,4085
2016/02/04,4130
2016/02/05,4190
2016/02/06,4229
2016/02/07,4273
2016/02/08,4327
2016/02/09,4388
2016/02/10,4481
2016/02/11,4619
2016/02/12,4722
2016/02/13,4814
2016/02/14,4886
2016/02/15,4964
2016/02/16,5041
2016/02/17,5120
2016/02/18,5194
2016/02/19,5267
2016/02/20,5330
2016/02/21,5414
2016/02/22,5496
2016/02/23,5578
2016/02/24,5656
2016/02/25,5749
2016/02/26,5823
2016/02/27,5898
2016/02/28,5984
2016/02/29,6080
2016/03/01,6194
2016/03/02,6327
2016/03/03,6474
2016/03/04,6614
2016/03/05,6793
2016/03/06,6958
2016/03/07,7070
2016/03/08,7218
2016/03/09,7356
2016/03/10,7515
2016/03/11,7653
2016/03/12,7818
2016/03/13,7975
2016/03/14,8144
2016/03/15,8306
2016/03/16,8461
2016/03/17,8619
2016/03/18,8804
2016/03/19,8953
2016/03/20,9103
2016/03/21,9249
2016/03/22,9392
2016/03/23,9550
2016/03/24,9690
2016/03/25,9834
2016/03/26,9964
2016/03/27,10116
2016/03/28,10270
2016/03/29,10458
2016/03/30,10662
2016/03/31,10819
2016/04/01,10963
2016/04/02,11099
2016/04/03,11241
2016/04/04,11399
2016/04/05,11566
2016/04/06,11708
2016/04/07,11873
2016/04/08,11998
2016/04/09,12148
2016/04/10,12306
2016/04/11,12444
2016/04/12,12593
2016/04/13,12752
2016/04/14,12896
2016/04/15,13024
2016/04/16,13149
2016/04/17,13289
2016/04/18,13427
2016/04/19,13559
2016/04/20,13696
2016/04/21,13826
2016/04/22,13948
2016/04/23,14065
2016/04/24,14193
2016/04/25,14316
2016/04/26,14440
2016/04/27,14562
2016/04/28,14672
2016/04/29,14835
2016/04/30,15129
2016/05/01,15298
2016/05/02,15535
2016/05/03,15699
2016/05/04,15847
2016/05/05,15998
2016/05/06,16143
2016/05/07,16272
2016/05/08,16442
2016/05/09,16621
2016/05/10,16777
2016/05/11,16982
2016/05/12,17187
2016/05/13,17439
2016/05/14,17633
2016/05/15,17799
2016/05/16,17928
2016/05/17,18101
2016/05/18,18334
2016/05/19,18538
2016/05/20,18710
2016/05/21,18858
2016/05/22,18962
2016/05/23,19156
2016/05/24,19316
2016/05/25,19484
2016/05/26,19794
2016/05/27,20033
2016/05/28,20494
2016/05/29,20661
2016/05/30,20787
2016/05/31,20934
2016/06/01,21048
2016/06/02,21152
2016/06/03,21246
2016/06/04,21321
2016/06/05,21396
2016/06/06,21494
2016/06/07,21587
2016/06/08,21689
2016/06/09,21772
2016/06/10,21865
2016/06/11,21872
2016/06/12,21983
2016/06/13,22172
2016/06/14,22363
2016/06/15,22485
2016/06/16,22575
2016/06/17,22896
2016/06/18,23162
2016/06/19,23342
2016/06/20,23482
2016/06/21,23621
2016/06/22,23813
2016/06/23,23904
2016/06/24,23996
2016/06/25,24033
2016/06/26,24149
2016/06/27,24204
2016/06/28,24310
2016/06/29,24387
2016/06/30,24452
2016/07/01,24502
2016/07/02,24559
2016/07/03,24605
2016/07/04,24675
2016/07/05,24739
2016/07/06,24787
2016/07/07,24835
