Date,confirmationtime7roc
2016/01/01,3.992
2016/01/02,-1.786
2016/01/03,-2.259
2016/01/04,-0.294
2016/01/05,-2.829
2016/01/06,-1.218
2016/01/07,1.185
2016/01/08,-5.622
2016/01/09,-0.078
2016/01/10,0.805
2016/01/11,-0.215
2016/01/12,3.976
2016/01/13,1.759
2016/01/14,-2.141
2016/01/15,1.81
2016/01/16,1.05
2016/01/17,1.132
2016/01/18,0.69
2016/01/19,-0.845
2016/01/20,-0.715
2016/01/21,2.559
2016/01/22,1.538
2016/01/23,2.394
2016/01/24,-2.554
2016/01/25,3.913
2016/01/26,-3.494
2016/01/27,1.104
2016/01/28,-1.898
2016/01/29,0.522
2016/01/30,-1.774
2016/01/31,6.076
2016/02/01,-2.672
2016/02/02,3.976
2016/02/03,-4.155
2016/02/04,-0.059
2016/02/05,-1.288
2016/02/06,0.602
2016/02/07,-4.226
2016/02/08,-1.104
2016/02/09,-1.978
2016/02/10,4.797
2016/02/11,0.857
2016/02/12,0.258
2016/02/13,-2.081
2016/02/14,1.944
2016/02/15,1.93
2016/02/16,0.597
2016/02/17,2.141
2016/02/18,0.4
2016/02/19,0
2016/02/20,0.832
2016/02/21,-1.286
2016/02/22,-2.508
2016/02/23,1.127
2016/02/24,-3.42
2016/02/25,-2.516
2016/02/26,-0.435
2016/02/27,1.182
2016/02/28,0.517
2016/02/29,5.871
2016/03/01,-1.643
2016/03/02,-1.121
2016/03/03,2.274
2016/03/04,1.221
2016/03/05,-2.842
2016/03/06,2.486
2016/03/07,-4.099
2016/03/08,0.698
2016/03/09,1.944
2016/03/10,-3.503
2016/03/11,-1.402
2016/03/12,2.289
2016/03/13,-5.38
2016/03/14,-1.605
2016/03/15,-16.09
2016/03/16,-17.195
2016/03/17,-14.568
2016/03/18,-15.045
2016/03/19,-17.412
2016/03/20,-13.954
2016/03/21,-14.781
2016/03/22,-1.515
2016/03/23,0.854
2016/03/24,-0.311
2016/03/25,-1.714
2016/03/26,-0.213
2016/03/27,-0.314
2016/03/28,-0.083
2016/03/29,1.015
2016/03/30,-1.207
2016/03/31,1.329
2016/04/01,-0.247
2016/04/02,2.679
2016/04/03,0.182
2016/04/04,-1.43
2016/04/05,-0.381
2016/04/06,0.716
2016/04/07,1.142
2016/04/08,-0.344
2016/04/09,0.051
2016/04/10,-0.495
2016/04/11,2.51
2016/04/12,0.299
2016/04/13,-0.183
2016/04/14,-1.129
2016/04/15,0.71
2016/04/16,-1.429
2016/04/17,0.831
2016/04/18,-1.949
2016/04/19,0.771
2016/04/20,-0.579
2016/04/21,0.518
2016/04/22,0.464
2016/04/23,-0.529
2016/04/24,0.568
2016/04/25,-0.803
2016/04/26,0.286
2016/04/27,-0.198
2016/04/28,-0.663
2016/04/29,0.017
2016/04/30,-0.116
2016/05/01,0.656
2016/05/02,0.395
2016/05/03,-1.685
2016/05/04,1.371
2016/05/05,-0.116
2016/05/06,0.133
2016/05/07,1.169
2016/05/08,-1.801
2016/05/09,0.596
2016/05/10,0.699
2016/05/11,1.116
2016/05/12,-1.017
2016/05/13,-0.693
2016/05/14,0.504
2016/05/15,0.599
2016/05/16,1.392
2016/05/17,-0.972
2016/05/18,-2.458
2016/05/19,1.464
2016/05/20,0.447
2016/05/21,-0.385
2016/05/22,-1.134
2016/05/23,-0.865
2016/05/24,1.015
2016/05/25,0.564
2016/05/26,-0.133
2016/05/27,-0.132
2016/05/28,-0.631
2016/05/29,1.383
2016/05/30,0.1
2016/05/31,1.247
2016/06/01,-0.166
2016/06/02,-0.873
2016/06/03,0.265
2016/06/04,0.05
2016/06/05,0.637
2016/06/06,-1.654
2016/06/07,-0.902
2016/06/08,-0.854
2016/06/09,-0.328
2016/06/10,2.152
2016/06/11,-1.603
2016/06/12,-1.682
2016/06/13,0.394
2016/06/14,-0.746
2016/06/15,1.398
2016/06/16,1.28
2016/06/17,0.906
2016/06/18,3.821
2016/06/19,-2.523
2016/06/20,2.269
2016/06/21,0.6
2016/06/22,-2.15
2016/06/23,0.2
2016/06/24,-3.194
2016/06/25,-1.817
2016/06/26,2.809
2016/06/27,-1.702
2016/06/28,-1.121
2016/06/29,2.47
2016/06/30,0.301
2016/07/01,-1.387
2016/07/02,-0.083
2016/07/03,0.116
2016/07/04,-0.247
2016/07/05,1.984
2016/07/06,-1.593
2016/07/07,-0.845
2016/07/08,2.185
2016/07/09,-2.008
2016/07/10,-0.017
2016/07/11,0.63
2016/07/12,-0.949
2016/07/13,0.033
2016/07/14,0.583
2016/07/15,0.134
2016/07/16,0.74
2016/07/17,0.282
2016/07/18,-1.31
2016/07/19,0.603
2016/07/20,2.355
2016/07/21,-2.486
2016/07/22,0.52
2016/07/23,-0.197
2016/07/24,1.55
2016/07/25,1.31
2016/07/26,2.772
2016/07/27,-3.709
2016/07/28,1.2
2016/07/29,-0.368
2016/07/30,1.873
2016/07/31,-1.526
2016/08/01,1.158
2016/08/02,-1.442
2016/08/03,3.192
2016/08/04,-1.793
2016/08/05,-1.418
2016/08/06,0.05
2016/08/07,-0.79
2016/08/08,-1.617
2016/08/09,-3.85
2016/08/10,-1.156
2016/08/11,2.044
2016/08/12,0.848
2016/08/13,-0.895
2016/08/14,0.713
2016/08/15,-0.509
2016/08/16,1.255
2016/08/17,0.749
2016/08/18,-0.525
2016/08/19,0
2016/08/20,-0.38
2016/08/21,-0.822
2016/08/22,0.197
2016/08/23,0.648
2016/08/24,-0.727
2016/08/25,0.098
2016/08/26,0.133
2016/08/27,-0.346
2016/08/28,0.812
2016/08/29,1.064
2016/08/30,-0.183
2016/08/31,-0.329
2016/09/01,1.753
2016/09/02,-1.347
2016/09/03,2.135
2016/09/04,0.199
2016/09/05,-1.02
2016/09/06,0.551
2016/09/07,-0.736
2016/09/08,-0.449
2016/09/09,0.23
2016/09/10,-0.833
2016/09/11,-1.149
2016/09/12,0.214
2016/09/13,-0.167
2016/09/14,0.443
2016/09/15,-0.249
2016/09/16,0.148
2016/09/17,-0.745
2016/09/18,8.842
2016/09/19,-5.399
2016/09/20,-2.659
2016/09/21,0.478
2016/09/22,4.96
2016/09/23,-2.586
2016/09/24,2.842
2016/09/25,-10.675
2016/09/26,9.687
2016/09/27,1.883
2016/09/28,-0.721
2016/09/29,-6.203
2016/09/30,3.628
2016/10/01,1.678
2016/10/02,3.279
2016/10/03,-5.819
2016/10/04,-0.395
2016/10/05,4.968
2016/10/06,2.906
2016/10/07,2.055
2016/10/08,-6.774
2016/10/09,0.314
2016/10/10,2.698
2016/10/11,0.446
2016/10/12,-1.574
2016/10/13,-2.633
2016/10/14,-3.158
2016/10/15,2.87
2016/10/16,-0.099
2016/10/17,1.376
2016/10/18,-1.128
2016/10/19,2.355
2016/10/20,-2.922
2016/10/21,-0.295
2016/10/22,-0.232
2016/10/23,1.035
2016/10/24,-1.748
2016/10/25,1.51
2016/10/26,-5.282
2016/10/27,4.653
2016/10/28,2.591
2016/10/29,6.581
2016/10/30,-1.089
2016/10/31,-0.443
2016/11/01,3.237
2016/11/02,2.419
2016/11/03,1.143
2016/11/04,0.661
2016/11/05,-5.47
