Date,confirmationtime7rsi
2016/01/01,64.659
2016/01/02,43.983
2016/01/03,41.263
2016/01/04,45.121
2016/01/05,42.543
2016/01/06,46.802
2016/01/07,58.095
2016/01/08,40.465
2016/01/09,47.619
2016/01/10,48.194
2016/01/11,46.797
2016/01/12,63.093
2016/01/13,54.939
2016/01/14,46.619
2016/01/15,47.244
2016/01/16,51.48
2016/01/17,52.658
2016/01/18,47.807
2016/01/19,59.925
2016/01/20,50.785
2016/01/21,59.076
2016/01/22,52.935
2016/01/23,61.4
2016/01/24,37.957
2016/01/25,59.655
2016/01/26,43.027
2016/01/27,52.469
2016/01/28,48.201
2016/01/29,52.8
2016/01/30,50.371
2016/01/31,59.352
2016/02/01,49.121
2016/02/02,53.019
2016/02/03,39.255
2016/02/04,47.924
2016/02/05,48.946
2016/02/06,52.979
2016/02/07,45.872
2016/02/08,47.173
2016/02/09,48.623
2016/02/10,56.908
2016/02/11,50.951
2016/02/12,49.512
2016/02/13,43.465
2016/02/14,54.653
2016/02/15,56.162
2016/02/16,49.767
2016/02/17,65.528
2016/02/18,49.983
2016/02/19,46.978
2016/02/20,45.313
2016/02/21,44.903
2016/02/22,39.891
2016/02/23,56.118
2016/02/24,49.093
2016/02/25,39.8
2016/02/26,48.193
2016/02/27,54.722
2016/02/28,50.352
2016/02/29,67.868
2016/03/01,46.65
2016/03/02,44.401
2016/03/03,50.359
2016/03/04,52.055
2016/03/05,40.667
2016/03/06,58.118
2016/03/07,49.223
2016/03/08,49.885
2016/03/09,52.165
2016/03/10,37.831
2016/03/11,48.185
2016/03/12,51.322
2016/03/13,40.484
2016/03/14,46.667
2016/03/15,21.466
2016/03/16,20.877
2016/03/17,20.094
2016/03/18,26.902
2016/03/19,24.47
2016/03/20,27.917
2016/03/21,30.181
2016/03/22,27.82
2016/03/23,35.285
2016/03/24,30.492
2016/03/25,33.358
2016/03/26,32.078
2016/03/27,36.87
2016/03/28,41.557
2016/03/29,40.726
2016/03/30,37.786
2016/03/31,41.257
2016/04/01,35.896
2016/04/02,53.263
2016/04/03,43.75
2016/04/04,39.603
2016/04/05,45.83
2016/04/06,49.218
2016/04/07,55.062
2016/04/08,39.729
2016/04/09,55.998
2016/04/10,44.889
2016/04/11,54.985
2016/04/12,48.602
2016/04/13,48.602
2016/04/14,48.027
2016/04/15,44.189
2016/04/16,49.178
2016/04/17,49.707
2016/04/18,44.358
2016/04/19,56.256
2016/04/20,45.545
2016/04/21,53.216
2016/04/22,47.828
2016/04/23,45.247
2016/04/24,55.201
