Date,difficulty
2016/01/01,8547423168622
2016/01/02,8147466230776
2016/01/03,8312405051132
2016/01/04,8334160179746
2016/01/05,8305862081374
2016/01/06,8422692292474
2016/01/07,8210108041818
2016/01/08,8302400427732
2016/01/09,8432800952952
2016/01/10,8336741119272
2016/01/11,8828185121710
2016/01/12,8889943291452
2016/01/13,8483670874692
2016/01/14,8735311016259
2016/01/15,8996159875428
2016/01/16,9202357320653
2016/01/17,9068025912262
2016/01/18,9453949920663
2016/01/19,9538638577308
2016/01/20,9413915812865
2016/01/21,9598498035045
2016/01/22,9897015391775
2016/01/23,10058506402712
2016/01/24,10133271762313
2016/01/25,10330115760968
2016/01/26,10610740377311
2016/01/27,10820104860440
2016/01/28,10448729611759
2016/01/29,10883144596127
2016/01/30,10876076582573
2016/01/31,10695941618405
2016/02/01,10917496712104
2016/02/02,10674149809000
2016/02/03,10857187473955
2016/02/04,11113782318764
2016/02/05,11176125215396
2016/02/06,10866809984202
2016/02/07,11050374664896
2016/02/08,11539861599132
2016/02/09,11245300787262
2016/02/10,11659329295275
2016/02/11,11993771419073
2016/02/12,11553025501417
2016/02/13,12097405750510
2016/02/14,12496874954742
2016/02/15,12874765159967
2016/02/16,12696234323475
2016/02/17,12721918819636
2016/02/18,12182109035011
2016/02/19,12651425826479
2016/02/20,12814163599943
2016/02/21,12958930145498
2016/02/22,13431503887479
2016/02/23,13783585059878
2016/02/24,13623470026221
2016/02/25,13573804476023
2016/02/26,14049401938205
2016/02/27,14564934405736
2016/02/28,14737238949086
2016/02/29,14936560617533
2016/03/01,14453452049416
2016/03/02,14989908705152
2016/03/03,15598739569340
2016/03/04,16140974830922
2016/03/05,16473095997037
2016/03/06,17342300214193
2016/03/07,17164269285635
2016/03/08,17491910018497
2016/03/09,17866774613765
2016/03/10,18006278290287
2016/03/11,18682021537567
2016/03/12,19654913106689
2016/03/13,20149570959697
2016/03/14,20065505230856
2016/03/15,17572301377575
2016/03/16,17777795755128
2016/03/17,18038767959468
2016/03/18,18300379671848
2016/03/19,18651701693615
2016/03/20,19423415211247
2016/03/21,19268502008579
2016/03/22,19567681020918
2016/03/23,18765991442708
2016/03/24,19801092917697
2016/03/25,20871590725202
2016/03/26,21414194355380
2016/03/27,21976992064253
2016/03/28,21768012224480
2016/03/29,22513734563842
2016/03/30,22822470238901
2016/03/31,23889368498740
2016/04/01,23749184001916
2016/04/02,23519625245384
2016/04/03,24295726637777
2016/04/04,25245856096051
2016/04/05,25705810157077
2016/04/06,25667142451062
2016/04/07,24640313534812
2016/04/08,26139886978680
2016/04/09,26843451780219
2016/04/10,27083828046070
2016/04/11,27012246684283
2016/04/12,26095428773645
2016/04/13,27243186215275
2016/04/14,27545262683293
2016/04/15,28306534530571
2016/04/16,28880936928078
2016/04/17,28221429752159
2016/04/18,29523844031978
2016/04/19,30029498659251
2016/04/20,30156012963421
2016/04/21,30871752725768
2016/04/22,29740314823373
2016/04/23,30869146732545
2016/04/24,30604025165805
2016/04/25,31524069461265
2016/04/26,31493382681039
2016/04/27,31083174173488
2016/04/28,32024006272664
2016/04/29,32660935988733
2016/04/30,33709009937442
2016/05/01,34484421796505
2016/05/02,32280889382512
2016/05/03,34161609204975
2016/05/04,34166289192929
2016/05/05,33872427102189
2016/05/06,34080544388464
2016/05/07,34085336706042
2016/05/08,34463404033410
2016/05/09,34882607577232
2016/05/10,35703011453120
2016/05/11,34839727897735
2016/05/12,34608512198166
2016/05/13,36814650249264
2016/05/14,36846069041979
2016/05/15,37114899680922
2016/05/16,37376623466503
2016/05/17,36463139572998
2016/05/18,37900960505087
2016/05/19,39517401677764
2016/05/20,40047746083290
2016/05/21,40654525787850
2016/05/22,40058981490723
2016/05/23,40332255283091
2016/05/24,41104663045275
2016/05/25,41015841728828
2016/05/26,41950285242071
2016/05/27,41742234718648
2016/05/28,42703696493831
2016/05/29,43618542041733
2016/05/30,43392447615367
2016/05/31,43586142396051
2016/06/01,42000407824271
2016/06/02,42903044759328
2016/06/03,44992049996386
2016/06/04,44999428189553
2016/06/05,44880971424897
2016/06/06,45278057471814
2016/06/07,46207450596924
2016/06/08,45850620155155
2016/06/09,48157817866211
2016/06/10,46862157371591
2016/06/11,46817185510805
2016/06/12,47367807453292
2016/06/13,49146195319201
2016/06/14,49640268914919
2016/06/15,49733793897128
2016/06/16,49684925896551
2016/06/17,48374588782332
2016/06/18,45684736911911
2016/06/19,49439350923956
2016/06/20,51170755663800
2016/06/21,49998634763390
2016/06/22,51003976141944
2016/06/23,53456647788164
2016/06/24,52791881070021
2016/06/25,53445634197051
2016/06/26,53892495389683
2016/06/27,55306308815143
2016/06/28,55833352404452
2016/06/29,54938285777453
2016/06/30,54998811559619
2016/07/01,55250198968443
2016/07/02,56611950439754
2016/07/03,57748654813312
2016/07/04,57434077769050
2016/07/05,58422132175057
2016/07/06,57054356483459
2016/07/07,57701438555504
2016/07/08,57863292797925
2016/07/09,56397382202774
2016/07/10,58464106349394
2016/07/11,59261327451818
2016/07/12,59736577470535
2016/07/13,59851040240448
2016/07/14,59835050330498
2016/07/15,58712475117659
2016/07/16,58591318439182
2016/07/17,59611231131587
2016/07/18,59773542463192
2016/07/19,60392956399108
2016/07/20,58929113774391
2016/07/21,59762632002726
2016/07/22,59595509484017
2016/07/23,60796529061177
2016/07/24,60911953245187
2016/07/25,58041221653187
2016/07/26,57484752193098
2016/07/27,51386968380958
2016/07/28,55687364932491
2016/07/29,55145824712935
2016/07/30,54679107435443
2016/07/31,54482543366798
2016/08/01,54442484651247
2016/08/02,50796904183649
2016/08/03,48632916886891
2016/08/04,51089912313125
2016/08/05,53305074165704
2016/08/06,53004484865260
2016/08/07,53577776788041
2016/08/08,54810196442943
2016/08/09,56754741398786
2016/08/10,58859667311533
2016/08/11,60119489659431
2016/08/12,60031378269376
2016/08/13,59674470740231
2016/08/14,59899407846695
2016/08/15,59513861569381
2016/08/16,61567314128600
2016/08/17,61462888119907
2016/08/18,61110173225302
2016/08/19,62459105280758
2016/08/20,63447188528481
2016/08/21,63102927461073
2016/08/22,64445867907625
2016/08/23,65758103112503
2016/08/24,65492730197364
2016/08/25,67337962999723
2016/08/26,70034672663922
2016/08/27,69019820278748
2016/08/28,68797829802067
2016/08/29,68147882283450
2016/08/30,68219697735023
2016/08/31,69058725654724
2016/09/01,70595857020692
2016/09/02,70130151569579
2016/09/03,68510100107468
2016/09/04,65871410022757
2016/09/05,67661361367207
2016/09/06,68158019829501
2016/09/07,68604908925659
2016/09/08,68487010668140
2016/09/09,68267961806404
2016/09/10,69729338832157
2016/09/11,71177645474007
