Date,difficulty14rsi
2016/01/01,55.194
2016/01/02,44.07
2016/01/03,48.665
2016/01/04,49.257
2016/01/05,48.474
2016/01/06,51.876
2016/01/07,45.933
2016/01/08,48.682
2016/01/09,52.367
2016/01/10,49.544
2016/01/11,61.097
2016/01/12,62.266
2016/01/13,51.335
2016/01/14,56.436
2016/01/15,61
2016/01/16,64.193
2016/01/17,60.706
2016/01/18,66.36
2016/01/19,67.466
2016/01/20,64.122
2016/01/21,66.749
2016/01/22,70.51
2016/01/23,72.333
2016/01/24,73.16
2016/01/25,75.258
2016/01/26,77.908
2016/01/27,79.659
2016/01/28,69.185
2016/01/29,73.564
2016/01/30,73.381
2016/01/31,68.698
2016/02/01,71.138
2016/02/02,65.133
2016/02/03,67.364
2016/02/04,70.24
2016/02/05,70.91
2016/02/06,63.29
2016/02/07,65.649
2016/02/08,71.001
2016/02/09,64.49
2016/02/10,68.818
2016/02/11,71.808
2016/02/12,63.207
2016/02/13,68.263
2016/02/14,71.372
2016/02/15,73.97
2016/02/16,70.706
2016/02/17,70.905
2016/02/18,61.459
2016/02/19,65.733
2016/02/20,67.096
2016/02/21,68.303
2016/02/22,71.925
2016/02/23,74.283
2016/02/24,71.348
2016/02/25,70.419
2016/02/26,73.922
2016/02/27,77.089
2016/02/28,78.048
2016/02/29,79.137
2016/03/01,70.068
2016/03/02,73.675
2016/03/03,77.055
2016/03/04,79.571
2016/03/05,80.949
2016/03/06,83.992
2016/03/07,81.134
2016/03/08,82.326
2016/03/09,83.602
2016/03/10,84.064
2016/03/11,86.103
2016/03/12,88.404
2016/03/13,89.368
2016/03/14,88.029
2016/03/15,59.534
2016/03/16,60.664
2016/03/17,62.111
2016/03/18,63.559
2016/03/19,65.467
2016/03/20,69.273
2016/03/21,67.661
2016/03/22,69.153
2016/03/23,61.024
2016/03/24,66.5
2016/03/25,71.033
2016/03/26,73.025
2016/03/27,74.949
2016/03/28,72.87
2016/03/29,75.484
2016/03/30,76.493
2016/03/31,79.617
2016/04/01,78.147
2016/04/02,75.684
2016/04/03,78.187
2016/04/04,80.794
2016/04/05,81.921
2016/04/06,81.488
2016/04/07,70.794
2016/04/08,75.791
2016/04/09,77.717
2016/04/10,78.351
2016/04/11,77.643
2016/04/12,69.036
2016/04/13,73.062
2016/04/14,74.019
2016/04/15,76.305
