Date,difficulty30ema
2016/01/01,8347253284060
2016/01/02,8334363796751
2016/01/03,8332947103485
2016/01/04,8333025366470
2016/01/05,8331272896464
2016/01/06,8337170922013
2016/01/07,8328973316839
2016/01/08,8327258936897
2016/01/09,8334068099223
2016/01/10,8334240552129
2016/01/11,8366107943715
2016/01/12,8399903772601
2016/01/13,8405308101769
2016/01/14,8426598612381
2016/01/15,8463344500319
2016/01/16,8511022746792
2016/01/17,8546958434887
2016/01/18,8605474014615
2016/01/19,8665678179950
2016/01/20,8713951575622
2016/01/21,8771019089133
2016/01/22,8843664011884
2016/01/23,8922040940325
2016/01/24,9000184864324
2016/01/25,9085986857656
2016/01/26,9184358052472
2016/01/27,9289890104599
2016/01/28,9364653943771
2016/01/29,9462621082632
2016/01/30,9553811760048
2016/01/31,9627497557361
2016/02/01,9710723309280
2016/02/02,9772879857649
2016/02/03,9842835187733
2016/02/04,9924831776832
2016/02/05,10005560385772
2016/02/06,10061124875993
2016/02/07,10124947443019
2016/02/08,10216232227284
2016/02/09,10282623747283
2016/02/10,10371443460057
2016/02/11,10476109779993
2016/02/12,10545588213633
2016/02/13,10645705474077
2016/02/14,10765135763152
2016/02/15,10901240885527
2016/02/16,11017046913782
2016/02/17,11127038649644
2016/02/18,11195107706764
2016/02/19,11289063714488
2016/02/20,11387457255485
2016/02/21,11488842603228
2016/02/22,11614175589308
2016/02/23,11754137490635
2016/02/24,11874739589705
2016/02/25,11984356679145
2016/02/26,12117585405536
2016/02/27,12275478889420
2016/02/28,12434302119076
2016/02/29,12595738151234
2016/03/01,12715590660795
2016/03/02,12862320857205
2016/03/03,13038863999923
2016/03/04,13239000182568
2016/03/05,13447651525437
2016/03/06,13698919182776
2016/03/07,13922490157154
2016/03/08,14152775309499
2016/03/09,14392388167839
2016/03/10,14625542369287
2016/03/11,14887250702724
2016/03/12,15194841825561
2016/03/13,15514501769699
2016/03/14,15808114896225
2016/03/15,15921933378893
2016/03/16,16041666435424
2016/03/17,16170511695040
2016/03/18,16307922532253
2016/03/19,16459134091051
2016/03/20,16650378034289
2016/03/21,16819289258437
2016/03/22,16996604856016
2016/03/23,17110758829351
2016/03/24,17284328770535
2016/03/25,17515765025675
2016/03/26,17767276595333
