Date,difficulty30mom
2016/01/01,729423416686
2016/01/02,559150711984
2016/01/03,479381481441
2016/01/04,170419481277
2016/01/05,453747094876
2016/01/06,774441876075
2016/01/07,662122733869
2016/01/08,952228810703
2016/01/09,660045849136
2016/01/10,276443406123
2016/01/11,783091581260
2016/01/12,417684533659
2016/01/13,-92215323043
2016/01/14,-33216189781
2016/01/15,433722249713
2016/01/16,468264228385
2016/01/17,288415887508
2016/01/18,735336556698
2016/01/19,998688119776
2016/01/20,901069643030
2016/01/21,858290012592
2016/01/22,1365098958826
2016/01/23,1489996557680
2016/01/24,1587244069249
2016/01/25,1874475947225
2016/01/26,2021988148584
2016/01/27,2288218484024
2016/01/28,1843294047606
2016/01/29,2405616895462
2016/01/30,2333407065838
2016/01/31,2148518449783
2016/02/01,2770030481328
2016/02/02,2361744757868
2016/02/03,2523027294208
2016/02/04,2807920237389
2016/02/05,2753432922922
2016/02/06,2656701942384
2016/02/07,2747974237163
2016/02/08,3107060646179
2016/02/09,2908559667990
2016/02/10,2831144173564
2016/02/11,3103828127621
2016/02/12,3069354626725
2016/02/13,3362094734251
2016/02/14,3500715079313
2016/02/15,3672407839314
2016/02/16,3628208411213
2016/02/17,3267968898973
2016/02/18,2643470457704
2016/02/19,3237510013614
2016/02/20,3215665564899
2016/02/21,3061914753723
2016/02/22,3372997484766
2016/02/23,3650313297565
2016/02/24,3293354265252
2016/02/25,2963064098712
2016/02/26,3229297077765
2016/02/27,4116204793977
2016/02/28,3854094352960
2016/02/29,4060484034960
2016/03/01,3757510431010
2016/03/02,4072411993049
2016/03/03,4924589760339
2016/03/04,5283787356967
2016/03/05,5359313678273
2016/03/06,6166174998797
2016/03/07,6297459301433
2016/03/08,6441535353602
2016/03/09,6326913014634
2016/03/10,6760977503025
2016/03/11,7022692242292
2016/03/12,7661141687617
2016/03/13,8596545458280
2016/03/14,7968099480346
2016/03/15,5075426422834
2016/03/16,4903030595161
2016/03/17,5342533635992
2016/03/18,5578460852212
2016/03/19,6469592658604
2016/03/20,6771989384768
2016/03/21,6454338408636
2016/03/22,6608750875420
2016/03/23,5334487555230
2016/03/24,6017507857819
2016/03/25,7248120698981
2016/03/26,7840389879357
2016/03/27,7927590126048
2016/03/28,7203077818744
2016/03/29,7776495614756
2016/03/30,7885909621368
2016/03/31,9435916449325
2016/04/01,8759275296763
2016/04/02,7920885676045
2016/04/03,8154751806855
2016/04/04,8772760099014
2016/04/05,8363509942884
2016/04/06,8502873165427
2016/04/07,7148403516315
2016/04/08,8273112364915
2016/04/09,8837173489932
2016/04/10,8401806508503
2016/04/11,7357333577594
2016/04/12,5945857813948
2016/04/13,7177680984419
2016/04/14,9972961305717
2016/04/15,10528738775443
2016/04/16,10842168968611
2016/04/17,9921050080310
2016/04/18,10872142338362
2016/04/19,10606083448004
2016/04/20,10887510954842
2016/04/21,11304071704850
2016/04/22,10974323380665
2016/04/23,11068053814848
2016/04/24,9732434440603
2016/04/25,10109875105885
2016/04/26,9516390616786
2016/04/27,9315161949007
2016/04/28,9510271708821
2016/04/29,9838465749833
2016/04/30,9819641438701
2016/05/01,10735237794589
2016/05/02,8761264137128
2016/05/03,9865882567198
2016/05/04,8920433096878
2016/05/05,8166616945113
2016/05/06,8413401937402
2016/05/07,9445023171230
2016/05/08,8323517054730
2016/05/09,8039155797014
2016/05/10,8619183407050
2016/05/11,7827481213452
2016/05/12,8513083424521
2016/05/13,9571464033990
2016/05/14,9300806358687
2016/05/15,8808365150350
2016/05/16,8495686538425
2016/05/17,8241709820839
2016/05/18,8377116473109
2016/05/19,9487903018513
2016/05/20,9891733119868
2016/05/21,9782773062083
2016/05/22,10318666667350
2016/05/23,9463108550545
2016/05/24,10500637879470
2016/05/25,9491772267563
2016/05/26,10456902561032
2016/05/27,10659060545161
2016/05/28,10679690221168
2016/05/29,10957606053000
2016/05/30,9683437677925
2016/05/31,9101720599546
2016/06/01,9719518441759
2016/06/02,8741435554354
2016/06/03,10825760803457
2016/06/04,11127001087364
2016/06/05,10800427036432
2016/06/06,11192720765772
2016/06/07,11744046563514
2016/06/08,10968012577922
2016/06/09,12454806413091
2016/06/10,12022429473856
2016/06/11,12208673312639
2016/06/12,10553157204028
2016/06/13,12300126277222
2016/06/14,12525369233998
2016/06/15,12357170430624
2016/06/16,13221786323553
2016/06/17,10473628277245
2016/06/18,6167335234147
2016/06/19,9391604840666
2016/06/20,10516229875950
2016/06/21,9939653272667
2016/06/22,10671720858854
2016/06/23,12351984742889
2016/06/24,11776039341193
2016/06/25,11495348954980
2016/06/26,12150260671035
2016/06/27,12602612321312
2016/06/28,12214810362719
2016/06/29,11545838162087
2016/06/30,11412669163568
2016/07/01,13249791144171
2016/07/02,13708905680426
2016/07/03,12756604816926
2016/07/04,12434649579497
2016/07/05,13541160750161
2016/07/06,11776299011645
2016/07/07,11493987958581
2016/07/08,12012672642771
2016/07/09,8239564336563
2016/07/10,11601948977803
2016/07/11,12444141941013
2016/07/12,12368770017243
2016/07/13,10704844921247
2016/07/14,10194781415579
2016/07/15,8978681220531
2016/07/16,8906392542631
2016/07/17,11236642349255
2016/07/18,14088805551281
2016/07/19,10953605475153
2016/07/20,7758358110590
2016/07/21,9763997239337
2016/07/22,8591533342072
2016/07/23,7339881273013
2016/07/24,8120072175166
2016/07/25,4595587456136
2016/07/26,3592256803415
2016/07/27,-3919340434185
2016/07/28,-145987471961
2016/07/29,207538935481
2016/07/30,-319704124176
2016/07/31,-767655601644
2016/08/01,-2169465788507
2016/08/02,-6951750629664
2016/08/03,-8801160882159
2016/08/04,-7332219861933
2016/08/05,-3749282317755
2016/08/06,-4696953690245
2016/08/07,-4285516009884
2016/08/08,-1587185759830
2016/08/09,-1709364950608
2016/08/10,-401660140286
2016/08/11,382912188895
2016/08/12,180338028928
2016/08/13,-160579590268
2016/08/14,1186932729037
2016/08/15,922543130199
2016/08/16,1956082997013
2016/08/17,1689345656714
2016/08/18,717216826194
2016/08/19,3529991506367
2016/08/20,3684556525755
2016/08/21,3507417977056
2016/08/22,3649338846448
2016/08/23,4846149867316
2016/08/24,7451508544177
2016/08/25,9853210806625
2016/08/26,18647704282964
2016/08/27,13332455346258
2016/08/28,13652005089132
2016/08/29,13468774848006
2016/08/30,13737154368225
2016/08/31,14616241003477
2016/09/01,19798952837044
2016/09/02,21497234682688
2016/09/03,17420187794343
2016/09/04,12566335857053
2016/09/05,14656876501947
2016/09/06,14580243041460
2016/09/07,13794712482716
2016/09/08,11732269269354
2016/09/09,9408294494872
2016/09/10,9609849172727
2016/09/11,11146267204630
2016/09/12,11550927615844
2016/09/13,11754724335160
2016/09/14,13032246198352
2016/09/15,11548850055674
2016/09/16,11182468355418
2016/09/17,14310541988448
2016/09/18,9764998775058
2016/09/19,-546617061715
2016/09/20,11654760801804
2016/09/21,13483249113807
2016/09/22,5565253842470
2016/09/23,7177054533462
2016/09/24,6872997201482
2016/09/25,5433281305891
2016/09/26,6423429117679
2016/09/27,2724032466183
2016/09/28,13230712499817
2016/09/29,15491346975352
2016/09/30,14264714295874
2016/10/01,5708506055992
2016/10/02,5875083079240
2016/10/03,13050685434227
2016/10/04,20642277328854
