Date,difficulty30std
2016/01/01,824561374873
2016/01/02,781531409007
2016/01/03,758624748281
2016/01/04,755305558913
2016/01/05,731630526344
2016/01/06,679694716012
2016/01/07,606193410082
2016/01/08,459690526495
2016/01/09,383420674547
2016/01/10,354945932341
2016/01/11,335360285507
2016/01/12,360908383845
2016/01/13,360807598794
2016/01/14,358008047580
2016/01/15,396031504572
2016/01/16,457722275618
2016/01/17,487405730183
2016/01/18,581036447860
2016/01/19,673245831152
2016/01/20,729220495399
2016/01/21,804343908950
2016/01/22,912763077051
2016/01/23,1027999261283
2016/01/24,1133305742613
2016/01/25,1245365533305
2016/01/26,1383832364561
2016/01/27,1526327514765
2016/01/28,1598963141447
2016/01/29,1704648479148
2016/01/30,1792598795040
2016/01/31,1844880421729
2016/02/01,1876785947489
2016/02/02,1882819252853
2016/02/03,1892975979294
2016/02/04,1909183504895
2016/02/05,1924352183618
2016/02/06,1873629305751
2016/02/07,1829286313041
2016/02/08,1826631971689
2016/02/09,1760184922271
2016/02/10,1770830973378
2016/02/11,1805310960678
2016/02/12,1717623816361
2016/02/13,1694871434452
2016/02/14,1730081014748
2016/02/15,1813452111883
2016/02/16,1819726746751
2016/02/17,1846923518578
2016/02/18,1806080246542
2016/02/19,1772942781913
2016/02/20,1755623568946
2016/02/21,1766230042543
2016/02/22,1830139764317
2016/02/23,1921446783808
2016/02/24,1978762151062
2016/02/25,2031127003486
2016/02/26,2135502604650
2016/02/27,2249320810144
2016/02/28,2387884398486
2016/02/29,2517976000675
2016/03/01,2543215947040
2016/03/02,2622264334111
2016/03/03,2722700942848
2016/03/04,2874076679570
2016/03/05,3047427631198
2016/03/06,3304220814310
2016/03/07,3438839263555
2016/03/08,3581686458826
2016/03/09,3766113142196
2016/03/10,3885698780169
2016/03/11,4079132879171
2016/03/12,4376700357989
2016/03/13,4628125372514
2016/03/14,4839473027956
2016/03/15,4794156406131
2016/03/16,4767193940051
2016/03/17,4718122623140
2016/03/18,4660213827129
2016/03/19,4536378570260
2016/03/20,4484268126371
2016/03/21,4391806462548
2016/03/22,4295943580153
2016/03/23,4155193368117
2016/03/24,4090624880003
2016/03/25,4067478390407
2016/03/26,4040996442175
2016/03/27,4081000760328
2016/03/28,4093875396131
2016/03/29,4160238785433
2016/03/30,4224727260002
2016/03/31,4301555968080
2016/04/01,4343493961718
2016/04/02,4359718200057
2016/04/03,4472505759687
2016/04/04,4681325987955
2016/04/05,4958060289483
2016/04/06,5139192157703
2016/04/07,5175444608040
2016/04/08,5358974662160
2016/04/09,5577200003327
2016/04/10,5810050211303
2016/04/11,6037171128159
2016/04/12,6159200084262
2016/04/13,6350726064949
2016/04/14,6323527032144
2016/04/15,6326204876929
2016/04/16,6342994407033
2016/04/17,6243905332769
2016/04/18,6245967528662
2016/04/19,6311194491854
2016/04/20,6292113874503
2016/04/21,6305220089484
2016/04/22,6000069038230
2016/04/23,5858574538405
2016/04/24,5743937398821
2016/04/25,5717622779994
2016/04/26,5679118311970
2016/04/27,5502195325127
2016/04/28,5440348170372
2016/04/29,5412183935148
2016/04/30,5558581937677
2016/05/01,5708082907326
2016/05/02,5509576570810
2016/05/03,5525038837120
2016/05/04,5574150731644
2016/05/05,5579503275010
2016/05/06,5546392761230
2016/05/07,5320918325794
2016/05/08,5251600888536
2016/05/09,5243123012220
2016/05/10,5289223192094
2016/05/11,5183529818049
2016/05/12,4872756967892
2016/05/13,4872464589349
2016/05/14,4834417333360
2016/05/15,4850018990767
2016/05/16,4895116534123
2016/05/17,4695409465163
2016/05/18,4747848313659
2016/05/19,5003413195902
2016/05/20,5258006334199
2016/05/21,5576734444718
2016/05/22,5607547371585
