Date,difficulty30trx
2016/01/01,0.353
2016/01/02,0.347
2016/01/03,0.341
2016/01/04,0.334
2016/01/05,0.326
2016/01/06,0.318
2016/01/07,0.309
2016/01/08,0.3
2016/01/09,0.291
2016/01/10,0.282
2016/01/11,0.274
2016/01/12,0.269
2016/01/13,0.263
2016/01/14,0.257
2016/01/15,0.253
2016/01/16,0.252
2016/01/17,0.251
2016/01/18,0.252
2016/01/19,0.255
2016/01/20,0.259
2016/01/21,0.264
2016/01/22,0.271
2016/01/23,0.28
2016/01/24,0.291
2016/01/25,0.303
2016/01/26,0.317
2016/01/27,0.333
2016/01/28,0.35
2016/01/29,0.367
2016/01/30,0.385
2016/01/31,0.403
2016/02/01,0.42
2016/02/02,0.437
2016/02/03,0.452
2016/02/04,0.467
2016/02/05,0.482
2016/02/06,0.496
2016/02/07,0.508
2016/02/08,0.52
2016/02/09,0.532
2016/02/10,0.543
2016/02/11,0.556
2016/02/12,0.567
2016/02/13,0.578
2016/02/14,0.591
2016/02/15,0.605
2016/02/16,0.62
2016/02/17,0.635
2016/02/18,0.647
2016/02/19,0.659
2016/02/20,0.67
2016/02/21,0.681
2016/02/22,0.693
2016/02/23,0.705
2016/02/24,0.718
2016/02/25,0.73
2016/02/26,0.742
2016/02/27,0.755
2016/02/28,0.77
2016/02/29,0.785
2016/03/01,0.799
2016/03/02,0.813
2016/03/03,0.828
2016/03/04,0.844
2016/03/05,0.863
2016/03/06,0.884
2016/03/07,0.906
2016/03/08,0.929
2016/03/09,0.954
2016/03/10,0.978
2016/03/11,1.004
2016/03/12,1.032
2016/03/13,1.062
2016/03/14,1.093
2016/03/15,1.117
2016/03/16,1.135
2016/03/17,1.149
2016/03/18,1.159
2016/03/19,1.167
2016/03/20,1.173
2016/03/21,1.177
2016/03/22,1.18
2016/03/23,1.18
2016/03/24,1.179
2016/03/25,1.179
2016/03/26,1.18
2016/03/27,1.184
2016/03/28,1.187
2016/03/29,1.192
2016/03/30,1.198
2016/03/31,1.206
2016/04/01,1.215
2016/04/02,1.223
2016/04/03,1.232
2016/04/04,1.242
2016/04/05,1.253
2016/04/06,1.265
2016/04/07,1.273
2016/04/08,1.282
2016/04/09,1.292
2016/04/10,1.301
2016/04/11,1.309
2016/04/12,1.315
2016/04/13,1.319
2016/04/14,1.322
2016/04/15,1.325
2016/04/16,1.329
2016/04/17,1.33
2016/04/18,1.332
2016/04/19,1.334
2016/04/20,1.336
2016/04/21,1.338
2016/04/22,1.337
2016/04/23,1.337
2016/04/24,1.334
2016/04/25,1.332
2016/04/26,1.328
2016/04/27,1.323
2016/04/28,1.317
2016/04/29,1.311
2016/04/30,1.306
2016/05/01,1.302
2016/05/02,1.296
2016/05/03,1.29
2016/05/04,1.283
2016/05/05,1.275
2016/05/06,1.267
2016/05/07,1.257
2016/05/08,1.246
2016/05/09,1.234
2016/05/10,1.223
2016/05/11,1.211
2016/05/12,1.197
2016/05/13,1.185
2016/05/14,1.173
2016/05/15,1.161
2016/05/16,1.15
2016/05/17,1.138
2016/05/18,1.127
2016/05/19,1.117
2016/05/20,1.109
2016/05/21,1.103
2016/05/22,1.097
2016/05/23,1.091
2016/05/24,1.086
2016/05/25,1.081
2016/05/26,1.076
2016/05/27,1.071
2016/05/28,1.067
2016/05/29,1.063
2016/05/30,1.06
2016/05/31,1.057
2016/06/01,1.051
2016/06/02,1.045
2016/06/03,1.04
2016/06/04,1.034
2016/06/05,1.029
2016/06/06,1.023
2016/06/07,1.018
2016/06/08,1.012
2016/06/09,1.008
2016/06/10,1.004
2016/06/11,0.998
2016/06/12,0.993
2016/06/13,0.988
2016/06/14,0.984
2016/06/15,0.981
2016/06/16,0.977
2016/06/17,0.972
2016/06/18,0.964
2016/06/19,0.955
2016/06/20,0.948
2016/06/21,0.94
2016/06/22,0.932
2016/06/23,0.926
2016/06/24,0.921
2016/06/25,0.916
2016/06/26,0.912
2016/06/27,0.91
2016/06/28,0.908
2016/06/29,0.906
2016/06/30,0.904
2016/07/01,0.901
2016/07/02,0.899
2016/07/03,0.897
2016/07/04,0.895
2016/07/05,0.894
2016/07/06,0.892
2016/07/07,0.889
2016/07/08,0.885
2016/07/09,0.88
2016/07/10,0.874
2016/07/11,0.868
2016/07/12,0.863
2016/07/13,0.857
2016/07/14,0.851
2016/07/15,0.843
2016/07/16,0.835
2016/07/17,0.826
2016/07/18,0.817
2016/07/19,0.807
2016/07/20,0.796
2016/07/21,0.785
2016/07/22,0.773
2016/07/23,0.761
2016/07/24,0.749
2016/07/25,0.736
2016/07/26,0.721
2016/07/27,0.701
2016/07/28,0.679
2016/07/29,0.657
2016/07/30,0.633
2016/07/31,0.608
2016/08/01,0.583
2016/08/02,0.555
2016/08/03,0.525
2016/08/04,0.494
2016/08/05,0.464
2016/08/06,0.435
2016/08/07,0.407
2016/08/08,0.381
2016/08/09,0.357
2016/08/10,0.337
2016/08/11,0.321
2016/08/12,0.308
2016/08/13,0.297
2016/08/14,0.288
2016/08/15,0.281
2016/08/16,0.275
2016/08/17,0.272
2016/08/18,0.27
2016/08/19,0.269
2016/08/20,0.271
2016/08/21,0.273
2016/08/22,0.277
2016/08/23,0.282
2016/08/24,0.289
2016/08/25,0.297
2016/08/26,0.307
2016/08/27,0.319
2016/08/28,0.332
2016/08/29,0.344
2016/08/30,0.356
2016/08/31,0.368
2016/09/01,0.381
2016/09/02,0.393
2016/09/03,0.403
2016/09/04,0.412
2016/09/05,0.418
2016/09/06,0.424
2016/09/07,0.429
2016/09/08,0.432
2016/09/09,0.435
2016/09/10,0.437
2016/09/11,0.439
2016/09/12,0.442
2016/09/13,0.444
2016/09/14,0.446
2016/09/15,0.449
2016/09/16,0.452
2016/09/17,0.456
2016/09/18,0.458
2016/09/19,0.456
2016/09/20,0.455
2016/09/21,0.455
2016/09/22,0.455
2016/09/23,0.454
2016/09/24,0.453
2016/09/25,0.452
2016/09/26,0.452
2016/09/27,0.449
2016/09/28,0.45
2016/09/29,0.454
2016/09/30,0.46
2016/10/01,0.464
2016/10/02,0.467
2016/10/03,0.47
2016/10/04,0.477
2016/10/05,0.482
2016/10/06,0.489
2016/10/07,0.489
2016/10/08,0.488
2016/10/09,0.489
2016/10/10,0.491
2016/10/11,0.496
2016/10/12,0.501
2016/10/13,0.504
2016/10/14,0.51
2016/10/15,0.519
2016/10/16,0.53
2016/10/17,0.542
2016/10/18,0.554
2016/10/19,0.565
2016/10/20,0.575
2016/10/21,0.589
2016/10/22,0.605
2016/10/23,0.621
2016/10/24,0.638
2016/10/25,0.655
2016/10/26,0.673
2016/10/27,0.69
2016/10/28,0.705
2016/10/29,0.711
2016/10/30,0.708
2016/10/31,0.699
2016/11/01,0.681
2016/11/02,0.654
2016/11/03,0.619
2016/11/04,0.575
2016/11/05,0.524
2016/11/06,0.468
2016/11/07,0.409
2016/11/08,0.353
2016/11/09,0.3
2016/11/10,0.247
2016/11/11,0.195
2016/11/12,0.144
2016/11/13,0.095
2016/11/14,0.051
2016/11/15,0.011
2016/11/16,-0.026
2016/11/17,-0.061
2016/11/18,-0.093
2016/11/19,-0.12
2016/11/20,-0.142
2016/11/21,-0.156
2016/11/22,-0.165
2016/11/23,-0.172
2016/11/24,-0.179
2016/11/25,-0.187
2016/11/26,-0.195
2016/11/27,-0.204
2016/11/28,-0.212
2016/11/29,-0.219
2016/11/30,-0.226
2016/12/01,-0.231
2016/12/02,-0.235
2016/12/03,-0.237
2016/12/04,-0.236
2016/12/05,-0.233
2016/12/06,-0.231
2016/12/07,-0.227
