Date,difficulty3roc
2016/01/01,-0.674
2016/01/02,-3.893
2016/01/03,-2.695
2016/01/04,-2.495
2016/01/05,1.944
2016/01/06,1.327
2016/01/07,-1.488
2016/01/08,-0.042
2016/01/09,0.12
2016/01/10,1.542
2016/01/11,6.333
2016/01/12,5.421
2016/01/13,1.762
2016/01/14,-1.052
2016/01/15,1.195
2016/01/16,8.471
2016/01/17,3.809
2016/01/18,5.089
2016/01/19,3.654
2016/01/20,3.814
2016/01/21,1.529
2016/01/22,3.757
2016/01/23,6.847
2016/01/24,5.571
2016/01/25,4.376
2016/01/26,5.49
2016/01/27,6.778
2016/01/28,1.148
2016/01/29,2.567
2016/01/30,0.517
2016/01/31,2.366
2016/02/01,0.316
2016/02/02,-1.857
2016/02/03,1.508
2016/02/04,1.798
2016/02/05,4.703
2016/02/06,0.089
2016/02/07,-0.571
2016/02/08,3.255
2016/02/09,3.483
2016/02/10,5.511
2016/02/11,3.933
2016/02/12,2.736
2016/02/13,3.757
2016/02/14,4.195
2016/02/15,11.441
2016/02/16,4.95
2016/02/17,1.801
2016/02/18,-5.38
2016/02/19,-0.353
2016/02/20,0.725
2016/02/21,6.377
2016/02/22,6.166
2016/02/23,7.565
2016/02/24,5.128
2016/02/25,1.059
2016/02/26,1.929
2016/02/27,6.911
2016/02/28,8.571
2016/02/29,6.315
2016/03/01,-0.765
2016/03/02,1.714
2016/03/03,4.433
2016/03/04,11.676
2016/03/05,9.895
2016/03/06,11.178
2016/03/07,6.34
2016/03/08,6.185
2016/03/09,3.024
2016/03/10,4.906
2016/03/11,6.804
2016/03/12,10.008
2016/03/13,11.903
2016/03/14,7.405
2016/03/15,-10.596
2016/03/16,-11.771
2016/03/17,-10.101
2016/03/18,4.143
2016/03/19,4.916
2016/03/20,7.676
2016/03/21,5.29
2016/03/22,4.911
2016/03/23,-3.385
2016/03/24,2.764
2016/03/25,6.664
2016/03/26,14.112
2016/03/27,10.989
2016/03/28,4.295
2016/03/29,5.135
2016/03/30,3.847
2016/03/31,9.745
2016/04/01,5.488
2016/04/02,3.055
2016/04/03,1.701
2016/04/04,6.302
2016/04/05,9.295
2016/04/06,5.645
2016/04/07,-2.399
2016/04/08,1.689
2016/04/09,4.583
2016/04/10,9.917
2016/04/11,3.337
2016/04/12,-2.787
2016/04/13,0.588
2016/04/14,1.973
2016/04/15,8.473
2016/04/16,6.012
2016/04/17,2.455
2016/04/18,4.3
2016/04/19,3.977
2016/04/20,6.855
2016/04/21,4.565
2016/04/22,-0.963
2016/04/23,2.365
2016/04/24,-0.867
2016/04/25,5.998
2016/04/26,2.022
2016/04/27,1.566
2016/04/28,1.586
2016/04/29,3.707
2016/04/30,8.448
2016/05/01,7.683
2016/05/02,-1.164
2016/05/03,1.343
2016/05/04,-0.923
2016/05/05,4.93
2016/05/06,-0.237
2016/05/07,-0.237
2016/05/08,1.745
2016/05/09,2.353
2016/05/10,4.746
2016/05/11,1.092
2016/05/12,-0.786
2016/05/13,3.114
2016/05/14,5.759
2016/05/15,7.242
2016/05/16,1.526
2016/05/17,-1.039
2016/05/18,2.118
2016/05/19,5.728
2016/05/20,9.831
2016/05/21,7.265
2016/05/22,1.37
2016/05/23,0.71
2016/05/24,1.107
2016/05/25,2.389
2016/05/26,4.012
2016/05/27,1.551
2016/05/28,4.115
2016/05/29,3.977
2016/05/30,3.953
2016/05/31,2.066
2016/06/01,-3.71
2016/06/02,-1.128
2016/06/03,3.226
2016/06/04,7.14
2016/06/05,4.61
2016/06/06,0.636
2016/06/07,2.685
2016/06/08,2.16
2016/06/09,6.36
2016/06/10,1.417
2016/06/11,2.108
2016/06/12,-1.64
2016/06/13,4.874
2016/06/14,6.03
2016/06/15,4.995
2016/06/16,1.096
2016/06/17,-2.55
2016/06/18,-8.141
2016/06/19,-0.494
2016/06/20,5.78
2016/06/21,9.443
2016/06/22,3.165
2016/06/23,4.467
2016/06/24,5.587
2016/06/25,4.787
2016/06/26,0.815
2016/06/27,4.763
2016/06/28,4.468
2016/06/29,1.941
2016/06/30,-0.556
2016/07/01,-1.044
2016/07/02,3.046
2016/07/03,5
2016/07/04,3.953
2016/07/05,3.198
2016/07/06,-1.202
2016/07/07,0.466
2016/07/08,-0.957
2016/07/09,-1.151
2016/07/10,1.322
2016/07/11,2.416
2016/07/12,5.921
2016/07/13,2.372
2016/07/14,0.968
2016/07/15,-1.714
2016/07/16,-2.105
2016/07/17,-0.374
2016/07/18,1.807
2016/07/19,3.075
2016/07/20,-1.144
2016/07/21,-0.018
2016/07/22,-1.32
2016/07/23,3.169
2016/07/24,1.923
2016/07/25,-2.608
2016/07/26,-5.447
2016/07/27,-15.637
2016/07/28,-4.055
2016/07/29,-4.069
2016/07/30,6.407
2016/07/31,-2.164
2016/08/01,-1.275
2016/08/02,-7.1
2016/08/03,-10.737
2016/08/04,-6.158
2016/08/05,4.938
2016/08/06,8.989
2016/08/07,4.87
2016/08/08,2.824
2016/08/09,7.075
2016/08/10,9.858
2016/08/11,9.687
2016/08/12,5.773
2016/08/13,1.384
2016/08/14,-0.366
2016/08/15,-0.862
2016/08/16,3.172
2016/08/17,2.61
2016/08/18,2.682
2016/08/19,1.448
2016/08/20,3.228
2016/08/21,3.261
2016/08/22,3.181
2016/08/23,3.642
2016/08/24,3.787
2016/08/25,4.488
2016/08/26,6.503
2016/08/27,5.385
