Date,difficulty3sma
2016/01/01,8522540128674
2016/01/02,8412519638711
2016/01/03,8335764816843
2016/01/04,8264677153885
2016/01/05,8317475770751
2016/01/06,8354238184532
2016/01/07,8312887471889
2016/01/08,8311733587341
2016/01/09,8315103140834
2016/01/10,8357314166652
2016/01/11,8532575731312
2016/01/12,8684956510811
2016/01/13,8733933095951
2016/01/14,8702975060801
2016/01/15,8738380588793
2016/01/16,8977942737447
2016/01/17,9088847702781
2016/01/18,9241444384526
2016/01/19,9353538136744
2016/01/20,9468834770279
2016/01/21,9517017475072
2016/01/22,9636476413228
2016/01/23,9851339943177
2016/01/24,10029597852267
2016/01/25,10173964641998
2016/01/26,10358042633531
2016/01/27,10586986999573
2016/01/28,10626524949837
2016/01/29,10717326356109
2016/01/30,10735983596820
2016/01/31,10818387599035
2016/02/01,10829838304361
2016/02/02,10762529379836
2016/02/03,10816277998353
2016/02/04,10881706533906
2016/02/05,11049031669371
2016/02/06,11052239172787
2016/02/07,11031103288165
2016/02/08,11152348749410
2016/02/09,11278512350430
2016/02/10,11481497227223
2016/02/11,11632800500536
2016/02/12,11735375405255
2016/02/13,11881400890333
2016/02/14,12049102068890
2016/02/15,12489681955073
2016/02/16,12689291479395
2016/02/17,12764306101026
2016/02/18,12533420726041
2016/02/19,12518484560376
2016/02/20,12549232820478
2016/02/21,12808173190640
2016/02/22,13068199210973
2016/02/23,13391339697618
2016/02/24,13612852991192
2016/02/25,13660286520707
2016/02/26,13748892146816
2016/02/27,14062713606655
2016/02/28,14450525097676
2016/02/29,14746244657452
2016/03/01,14709083872012
2016/03/02,14793307124034
2016/03/03,15014033441302
2016/03/04,15576541035138
2016/03/05,16070936799099
2016/03/06,16652123680717
2016/03/07,16993221832288
2016/03/08,17332826506108
2016/03/09,17507651305966
2016/03/10,17788320974183
2016/03/11,18185024813873
2016/03/12,18781070978181
2016/03/13,19495501867984
2016/03/14,19956663099081
2016/03/15,19262459189376
2016/03/16,18471867454520
2016/03/17,17796288364057
2016/03/18,18038981128815
2016/03/19,18330283108310
2016/03/20,18791832192237
2016/03/21,19114539637814
2016/03/22,19419866080248
2016/03/23,19200724824068
2016/03/24,19378255127108
2016/03/25,19812891695202
2016/03/26,20695625999426
2016/03/27,21420925714945
2016/03/28,21719732881371
2016/03/29,22086246284192
2016/03/30,22368072342408
2016/03/31,23075191100494
2016/04/01,23487007579852
2016/04/02,23719392582013
2016/04/03,23854845295025
2016/04/04,24353735993071
2016/04/05,25082464296968
2016/04/06,25539602901396
2016/04/07,25337755380983
2016/04/08,25482447654851
2016/04/09,25874550764570
2016/04/10,26689055601656
2016/04/11,26979842170191
2016/04/12,26730501167999
2016/04/13,26783620557734
2016/04/14,26961292557404
2016/04/15,27698327809713
2016/04/16,28244244713981
