Date,difficulty3wma
2016/01/01,8534189373334
2016/01/02,8346652424385
2016/01/03,8296595130595
2016/01/04,8295792812047
2016/01/05,8316385275792
2016/01/06,8368993536653
2016/01/07,8296928465297
2016/01/08,8291684943218
2016/01/09,8352218626024
2016/01/10,8363037615243
2016/01/11,8598473092772
2016/01/12,8777156872842
2016/01/13,8676514054782
2016/01/14,8677203014936
2016/01/15,8823795422250
2016/01/16,9055783788179
2016/01/17,9100825375587
2016/01/18,9283376484528
2016/01/19,9431973580919
2016/01/20,9462162418979
2016/01/21,9526994051362
2016/01/22,9716993009714
2016/01/23,9928008004456
2016/01/24,10068973914024
2016/01/25,10219232868374
2016/01/26,10437620736031
2016/01/27,10668651849486
2016/01/28,10599523155578
2016/01/29,10727832978723
2016/01/30,10807208091956
2016/01/31,10787187102749
2016/02/01,10836741659283
2016/02/02,10758897411603
2016/02/03,10806226458662
2016/02/04,10954978618867
2016/02/05,11102187959612
2016/02/06,11011077117028
2016/02/07,11010144863082
2016/02/08,11264524018565
2016/02/09,11311000037491
2016/02/10,11501408509914
2016/02/11,11757545605839
2016/02/12,11717658106279
2016/02/13,11898673278907
2016/02/14,12206410311111
2016/02/15,12619241856649
2016/02/16,12722518040851
2016/02/17,12738831710972
2016/02/18,12447733177964
2016/02/19,12506735728183
2016/02/20,12654575247967
2016/02/21,12859423910477
2016/02/22,13171089258896
2016/02/23,13528782183349
2016/02/24,13644847347650
2016/02/25,13625323090065
2016/02/26,13819880798814
2016/02/27,14227901928274
2016/02/28,14565164599490
2016/02/29,14808182359419
2016/03/01,14661786055400
2016/03/02,14802198471971
2016/03/03,15204914694624
2016/03/04,15768385389433
2016/03/05,16216662870383
2016/03/06,16852344577930
2016/03/07,17108417380388
2016/03/08,17357761473493
2016/03/09,17624735527321
2016/03/10,17874049019482
2016/03/11,18320899301174
2016/03/12,19055843447582
2016/03/13,19740093438340
2016/03/14,20025095119776
2016/03/15,18832914259023
2016/03/16,18090582541899
2016/03/17,17874032794373
2016/03/18,18126078448269
2016/03/19,18432438730669
2016/03/20,18979004782137
2016/03/21,19217339690308
2016/03/22,19443910381860
2016/03/23,19116973063090
2016/03/24,19417157109905
2016/03/25,20163824908952
2016/03/26,20964476239041
2016/03/27,21605159271454
2016/03/28,21778702526222
2016/03/29,22175703367457
2016/03/30,22543815344812
2016/03/31,23304463422978
2016/04/01,23641459873688
2016/04/02,23657768706455
2016/04/03,23945935734336
2016/04/04,24641441134849
2016/04/05,25317478216852
2016/04/06,25609817293899
2016/04/07,25160172610607
2016/04/08,25561238409455
2016/04/09,26241740472139
2016/04/10,26846379112888
2016/04/11,27007974654202
2016/04/12,26565767955929
2016/04/13,26822110479567
2016/04/14,27202931542346
