Date,difficulty90var
2016/01/01,8.6978574682948E+23
2016/01/02,8.5511938768144E+23
2016/01/03,8.4430192791151E+23
2016/01/04,8.3259895532215E+23
2016/01/05,8.0984620135581E+23
2016/01/06,7.8747098013793E+23
2016/01/07,7.65627725951E+23
2016/01/08,7.4067550906665E+23
2016/01/09,7.2025660404097E+23
2016/01/10,6.973231482607E+23
2016/01/11,6.8934836437702E+23
2016/01/12,6.851464218574E+23
2016/01/13,6.626945694838E+23
2016/01/14,6.2735704309907E+23
2016/01/15,6.0393457672037E+23
2016/01/16,5.8249190801556E+23
2016/01/17,5.5259260421257E+23
2016/01/18,5.272149976763E+23
2016/01/19,5.0333818552136E+23
2016/01/20,4.6514861138418E+23
2016/01/21,4.3673687218834E+23
2016/01/22,4.3429584821713E+23
2016/01/23,4.4674435850235E+23
2016/01/24,4.5756226301562E+23
2016/01/25,4.7383455715287E+23
2016/01/26,5.1095363460077E+23
2016/01/27,5.6165397391935E+23
2016/01/28,6.0020204476417E+23
2016/01/29,6.6473819059203E+23
2016/01/30,7.2635456769549E+23
2016/01/31,7.7487688996328E+23
2016/02/01,8.2442674638079E+23
2016/02/02,8.6801195753072E+23
2016/02/03,9.1502435692461E+23
2016/02/04,9.7304724685886E+23
2016/02/05,1.0304015078503E+24
2016/02/06,1.0724377960872E+24
2016/02/07,1.1220592793106E+24
2016/02/08,1.1964640805834E+24
2016/02/09,1.2484017770363E+24
2016/02/10,1.3228562100893E+24
2016/02/11,1.4182249266823E+24
2016/02/12,1.482833263247E+24
2016/02/13,1.5853970219936E+24
2016/02/14,1.7143462333874E+24
2016/02/15,1.8658766013318E+24
2016/02/16,2.0044563306368E+24
2016/02/17,2.1437053957149E+24
2016/02/18,2.2250059621992E+24
2016/02/19,2.3221632297943E+24
2016/02/20,2.4226136045595E+24
2016/02/21,2.5287220502612E+24
2016/02/22,2.6708399410967E+24
2016/02/23,2.830194417713E+24
2016/02/24,2.9643867429903E+24
2016/02/25,3.083624326983E+24
2016/02/26,3.248632139112E+24
2016/02/27,3.4551889438803E+24
2016/02/28,3.6712088596323E+24
2016/02/29,3.9012301324878E+24
2016/03/01,4.0663941694248E+24
2016/03/02,4.263030546361E+24
2016/03/03,4.5284473592839E+24
2016/03/04,4.8629640492079E+24
2016/03/05,5.2087730112052E+24
2016/03/06,5.6473709078642E+24
2016/03/07,6.0297899593346E+24
2016/03/08,6.4229965400908E+24
2016/03/09,6.8785741107654E+24
2016/03/10,7.3500563534531E+24
2016/03/11,7.905330829596E+24
2016/03/12,8.6329294934421E+24
2016/03/13,9.4303925238133E+24
2016/03/14,1.0190520725857E+25
2016/03/15,1.0503945145233E+25
2016/03/16,1.0836287910872E+25
2016/03/17,1.1187157691606E+25
2016/03/18,1.1549323230191E+25
2016/03/19,1.1926334852022E+25
2016/03/20,1.2395081166848E+25
2016/03/21,1.2828013067067E+25
2016/03/22,1.3263577408298E+25
2016/03/23,1.3552634983168E+25
2016/03/24,1.3968496585686E+25
2016/03/25,1.4526178917371E+25
2016/03/26,1.5158580142356E+25
2016/03/27,1.5853510930316E+25
2016/03/28,1.6470794190846E+25
2016/03/29,1.717826914643E+25
2016/03/30,1.7907423793915E+25
2016/03/31,1.8817388326383E+25
2016/04/01,1.9589523943954E+25
2016/04/02,2.0273375170242E+25
2016/04/03,2.1071228843356E+25
2016/04/04,2.2022690291064E+25
2016/04/05,2.3031163913487E+25
2016/04/06,2.3926179393793E+25
2016/04/07,2.452600402531E+25
2016/04/08,2.5422361479673E+25
2016/04/09,2.6401377844102E+25
2016/04/10,2.7432700972878E+25
2016/04/11,2.8373124154266E+25
2016/04/12,2.8950446759826E+25
2016/04/13,2.9762390380192E+25
2016/04/14,3.0607301265736E+25
2016/04/15,3.1594052372723E+25
2016/04/16,3.2619096392099E+25
2016/04/17,3.344361446639E+25
2016/04/18,3.453403351292E+25
2016/04/19,3.5642769369992E+25
2016/04/20,3.671494606052E+25
2016/04/21,3.7937711594894E+25
2016/04/22,3.8774199205452E+25
2016/04/23,3.9829323713292E+25
2016/04/24,4.0742915455653E+25
2016/04/25,4.1857979808028E+25
2016/04/26,4.289514815263E+25
2016/04/27,4.3645943423101E+25
2016/04/28,4.4629175540769E+25
2016/04/29,4.5679371392137E+25
2016/04/30,4.6883432640187E+25
2016/05/01,4.824200825359E+25
2016/05/02,4.8779649003752E+25
2016/05/03,4.9764705061827E+25
2016/05/04,5.067410429455E+25
2016/05/05,5.1382878072916E+25
2016/05/06,5.1950135262917E+25
2016/05/07,5.2429709687832E+25
2016/05/08,5.2997870075602E+25
2016/05/09,5.3480583666626E+25
2016/05/10,5.4159843095355E+25
2016/05/11,5.4538770619908E+25
2016/05/12,5.4618383786695E+25
2016/05/13,5.5313347623291E+25
