Date,fee_to_reward30rocUSD
2016/01/01,37.866
2016/01/02,88.107
2016/01/03,51.607
2016/01/04,58.007
2016/01/05,228.69
2016/01/06,566.692
2016/01/07,592.177
2016/01/08,162.41
2016/01/09,246.063
2016/01/10,54.611
2016/01/11,11.612
2016/01/12,48.742
2016/01/13,-19.661
2016/01/14,-76.059
2016/01/15,-48.162
2016/01/16,-28.848
2016/01/17,-46.894
2016/01/18,8.948
2016/01/19,5.262
2016/01/20,-51.319
2016/01/21,-63.517
2016/01/22,-59.488
2016/01/23,-60.472
2016/01/24,-12.515
2016/01/25,32.662
2016/01/26,-54.9
2016/01/27,60.975
2016/01/28,25.233
2016/01/29,-49.015
2016/01/30,42.922
2016/01/31,117.713
2016/02/01,70.945
2016/02/02,61.636
2016/02/03,30.965
2016/02/04,-42.726
2016/02/05,-40.668
2016/02/06,96.845
2016/02/07,89.807
2016/02/08,-4.848
2016/02/09,90.573
2016/02/10,131.889
2016/02/11,72.411
2016/02/12,-44.455
2016/02/13,34.51
2016/02/14,21.319
2016/02/15,36.785
2016/02/16,96.091
2016/02/17,34.335
2016/02/18,-18.072
2016/02/19,90.973
2016/02/20,29.066
2016/02/21,-11.596
2016/02/22,77.981
2016/02/23,306.158
2016/02/24,24.54
2016/02/25,-16.439
2016/02/26,-12.51
2016/02/27,-30.506
2016/02/28,-22.958
2016/02/29,-2.226
2016/03/01,-2.668
2016/03/02,19.118
2016/03/03,19.218
2016/03/04,28.565
2016/03/05,4.964
2016/03/06,4.701
2016/03/07,-75.276
2016/03/08,-30.709
2016/03/09,-24.742
2016/03/10,-57.752
2016/03/11,-66.247
2016/03/12,-45.731
2016/03/13,-23.836
2016/03/14,-20.766
2016/03/15,-26.197
2016/03/16,-34.739
2016/03/17,-21.646
2016/03/18,-43.695
2016/03/19,23.213
2016/03/20,-17.326
2016/03/21,3.114
2016/03/22,-20.581
2016/03/23,-13.254
2016/03/24,-63.518
2016/03/25,-34.739
2016/03/26,-6.825
2016/03/27,-67.645
2016/03/28,-21.653
2016/03/29,-30.292
2016/03/30,-14.156
2016/03/31,-36.711
2016/04/01,-46.787
2016/04/02,-56.519
2016/04/03,-56.306
2016/04/04,-38.906
2016/04/05,-38.641
2016/04/06,-39.76
2016/04/07,-43.122
2016/04/08,-21.815
2016/04/09,-15.702
2016/04/10,-16.823
2016/04/11,-34.532
2016/04/12,-22.2
2016/04/13,-1.835
2016/04/14,29.082
2016/04/15,-3.335
2016/04/16,-43.961
2016/04/17,6.706
2016/04/18,-53.841
2016/04/19,-45.804
2016/04/20,-27.441
2016/04/21,16.507
2016/04/22,-37.095
2016/04/23,-51.884
2016/04/24,-43.503
2016/04/25,-32.156
2016/04/26,13.898
2016/04/27,-23.724
2016/04/28,-6.197
2016/04/29,-33.252
2016/04/30,25.672
2016/05/01,55.502
2016/05/02,47.389
2016/05/03,48.933
2016/05/04,11.763
2016/05/05,8.087
2016/05/06,58.78
2016/05/07,11.18
2016/05/08,14.911
2016/05/09,27.782
2016/05/10,42.518
2016/05/11,66.677
2016/05/12,65.384
2016/05/13,28.269
2016/05/14,11.346
2016/05/15,33.603
2016/05/16,59.568
2016/05/17,-5.676
2016/05/18,71.378
2016/05/19,70.88
2016/05/20,58.168
2016/05/21,17.208
2016/05/22,37.497
2016/05/23,50.105
2016/05/24,25.71
2016/05/25,36.703
2016/05/26,60.117
2016/05/27,82.827
2016/05/28,216.329
2016/05/29,64.051
2016/05/30,-0.544
2016/05/31,-15.921
2016/06/01,13.607
2016/06/02,-3.986
2016/06/03,-9.357
2016/06/04,-21.59
2016/06/05,-30.87
2016/06/06,5.13
2016/06/07,131.721
2016/06/08,6.721
2016/06/09,3.447
2016/06/10,-7.404
2016/06/11,-30.013
