Date,fee_to_reward3trxUSD
2016/01/01,-10.657
2016/01/02,-14.025
2016/01/03,-14.567
2016/01/04,-12.494
2016/01/05,7.003
2016/01/06,20.405
2016/01/07,20.006
2016/01/08,3.469
2016/01/09,-1.609
2016/01/10,-6.487
2016/01/11,-8.762
2016/01/12,-8.507
2016/01/13,5.269
2016/01/14,1.14
2016/01/15,-4.314
2016/01/16,-7.105
2016/01/17,-9.942
2016/01/18,-4.754
2016/01/19,2.54
2016/01/20,-1.765
2016/01/21,-4.446
2016/01/22,-0.143
2016/01/23,-3.377
2016/01/24,-3.177
2016/01/25,7.175
2016/01/26,9.965
2016/01/27,17.439
2016/01/28,11.158
2016/01/29,4.743
2016/01/30,0.386
2016/01/31,-1.833
2016/02/01,-3.375
2016/02/02,-4.396
2016/02/03,-5.503
2016/02/04,-3.558
2016/02/05,0.322
2016/02/06,35.794
2016/02/07,17.087
2016/02/08,2.41
2016/02/09,-1.384
2016/02/10,0.205
2016/02/11,-1.377
2016/02/12,-5.437
2016/02/13,-6.841
2016/02/14,-8.673
2016/02/15,-8.11
2016/02/16,-5.848
2016/02/17,-0.827
2016/02/18,-1.875
2016/02/19,-0.63
2016/02/20,-3.075
2016/02/21,-4.158
2016/02/22,-2.461
2016/02/23,23.609
2016/02/24,16.206
2016/02/25,2.758
2016/02/26,0.955
2016/02/27,-4.612
2016/02/28,-7.526
2016/02/29,-6.541
2016/03/01,-4.933
2016/03/02,-1.919
2016/03/03,-0.702
2016/03/04,-0.669
2016/03/05,-0.952
2016/03/06,0.835
2016/03/07,-1.078
2016/03/08,-1.839
2016/03/09,-3.824
2016/03/10,-7.034
2016/03/11,-8.76
2016/03/12,-6.541
2016/03/13,-3.688
2016/03/14,-0.138
2016/03/15,-1.963
2016/03/16,-3.547
2016/03/17,-0.941
2016/03/18,-0.348
2016/03/19,6.672
2016/03/20,6.323
2016/03/21,3.3
2016/03/22,-1.32
2016/03/23,-1.086
2016/03/24,2.777
2016/03/25,4.435
2016/03/26,2.329
2016/03/27,-4.765
2016/03/28,-5.997
2016/03/29,-6.282
2016/03/30,-1.001
2016/03/31,-1.502
2016/04/01,-2.919
2016/04/02,-5.955
2016/04/03,-7.564
2016/04/04,-4.151
2016/04/05,1.117
2016/04/06,0.355
2016/04/07,-0.928
2016/04/08,0.14
2016/04/09,-1.387
2016/04/10,-2.95
2016/04/11,-3.577
2016/04/12,-1.068
2016/04/13,6.38
2016/04/14,8.635
2016/04/15,3.491
2016/04/16,-2.904
2016/04/17,0.019
2016/04/18,-2.09
2016/04/19,-3.94
2016/04/20,-2.147
2016/04/21,3.205
2016/04/22,0.625
2016/04/23,-2.251
2016/04/24,-1.914
2016/04/25,-0.626
2016/04/26,-0.555
2016/04/27,-1.497
2016/04/28,-0.666
2016/04/29,0.545
2016/04/30,5.806
2016/05/01,10.743
2016/05/02,6.003
2016/05/03,1.983
2016/05/04,0.223
2016/05/05,1.054
2016/05/06,3.426
2016/05/07,-0.285
2016/05/08,-0.911
2016/05/09,-1.784
2016/05/10,-1.448
2016/05/11,0.971
2016/05/12,5.123
2016/05/13,7.996
2016/05/14,5.145
2016/05/15,1.105
2016/05/16,-2.346
2016/05/17,-3.752
2016/05/18,-1.357
2016/05/19,0.096
2016/05/20,2.438
2016/05/21,2.608
2016/05/22,-0.59
2016/05/23,-2.187
2016/05/24,-2.942
2016/05/25,-1.464
2016/05/26,1.066
2016/05/27,3.12
2016/05/28,16.805
2016/05/29,8.851
2016/05/30,0.499
2016/05/31,-3.734
2016/06/01,-5.322
2016/06/02,-7.034
2016/06/03,-7.622
2016/06/04,-7.335
2016/06/05,-6.318
2016/06/06,-4.372
2016/06/07,16.295
2016/06/08,7.904
2016/06/09,1.01
2016/06/10,-1.968
2016/06/11,-3.87
2016/06/12,-3.579
2016/06/13,0.362
2016/06/14,3.413
2016/06/15,1.311
2016/06/16,3.462
2016/06/17,66.581
2016/06/18,65.946
2016/06/19,16.22
2016/06/20,-2.122
2016/06/21,-7.226
2016/06/22,-10.78
2016/06/23,-14.427
2016/06/24,-14.823
2016/06/25,-15.354
2016/06/26,-15.037
2016/06/27,-13.43
2016/06/28,-9.684
2016/06/29,2.479
2016/06/30,19.618
2016/07/01,9.948
2016/07/02,-2.447
2016/07/03,-7.18
2016/07/04,-9.454
2016/07/05,-8.43
2016/07/06,-6.834
2016/07/07,-6.067
2016/07/08,-0.302
2016/07/09,6.645
2016/07/10,1.588
2016/07/11,-2.004
2016/07/12,-1.891
2016/07/13,-4.175
2016/07/14,-2.246
2016/07/15,-1.701
2016/07/16,-3.605
2016/07/17,-6.214
2016/07/18,-4.784
2016/07/19,-0.929
2016/07/20,23.287
2016/07/21,12.283
2016/07/22,5.231
2016/07/23,-0.022
2016/07/24,-0.717
2016/07/25,0.044
2016/07/26,3.165
2016/07/27,1.246
2016/07/28,7.424
2016/07/29,5.038
2016/07/30,-1.852
2016/07/31,-5.708
2016/08/01,-6.714
2016/08/02,-4.966
2016/08/03,-3.469
2016/08/04,-2.928
2016/08/05,-3.31
2016/08/06,-4.305
2016/08/07,-4.077
2016/08/08,7.32
2016/08/09,3.994
2016/08/10,1.26
2016/08/11,-0.633
2016/08/12,-2.167
