Date,fee_to_reward7rsiUSD
2016/01/01,41.955
2016/01/02,43.015
2016/01/03,42.97
2016/01/04,43.945
2016/01/05,58.919
2016/01/06,61.157
2016/01/07,61.207
2016/01/08,42.765
2016/01/09,48.813
2016/01/10,43.804
2016/01/11,43.633
2016/01/12,44.448
2016/01/13,61.383
2016/01/14,45.296
2016/01/15,43.907
2016/01/16,43.775
2016/01/17,40.919
2016/01/18,50.131
2016/01/19,53.368
2016/01/20,42.871
2016/01/21,44.112
2016/01/22,51.915
2016/01/23,43.084
2016/01/24,47.123
2016/01/25,59.164
2016/01/26,55.864
2016/01/27,66.593
2016/01/28,54.263
2016/01/29,51.841
2016/01/30,49.936
2016/01/31,49.361
2016/02/01,46.957
2016/02/02,45.057
2016/02/03,41.907
2016/02/04,49.119
2016/02/05,55.214
2016/02/06,86.765
2016/02/07,50.007
2016/02/08,46.773
2016/02/09,51.131
2016/02/10,54.39
2016/02/11,49.31
2016/02/12,44.556
2016/02/13,45.799
2016/02/14,42.468
2016/02/15,44.425
2016/02/16,45.949
2016/02/17,51.574
2016/02/18,43.852
2016/02/19,48.921
2016/02/20,42.5
2016/02/21,43.37
2016/02/22,47.465
2016/02/23,76.346
2016/02/24,53.092
2016/02/25,45.325
2016/02/26,52.85
2016/02/27,44.733
2016/02/28,44.933
2016/02/29,47.645
2016/03/01,47.224
2016/03/02,49.953
2016/03/03,48.42
2016/03/04,47.527
2016/03/05,46.984
2016/03/06,52.139
2016/03/07,44.119
2016/03/08,45.892
2016/03/09,40.603
2016/03/10,35.062
2016/03/11,34.306
2016/03/12,42.562
2016/03/13,43.313
2016/03/14,48.543
2016/03/15,38.261
2016/03/16,37.866
2016/03/17,49.075
2016/03/18,44.644
2016/03/19,63.205
2016/03/20,53.033
2016/03/21,49.418
2016/03/22,42.026
2016/03/23,50.869
2016/03/24,59.117
2016/03/25,58.123
2016/03/26,50.173
2016/03/27,34.703
2016/03/28,44.445
2016/03/29,41.903
2016/03/30,54.792
2016/03/31,44.501
2016/04/01,43.295
2016/04/02,37.947
2016/04/03,37.429
2016/04/04,47.762
2016/04/05,53.092
2016/04/06,44.319
2016/04/07,44.073
2016/04/08,49.508
2016/04/09,42.721
2016/04/10,41.022
2016/04/11,40.654
2016/04/12,50.103
2016/04/13,65.407
2016/04/14,62.502
2016/04/15,46.486
2016/04/16,38.332
2016/04/17,56.688
2016/04/18,44.563
2016/04/19,43.8
2016/04/20,50.316
2016/04/21,58.801
2016/04/22,45.599
2016/04/23,44.224
2016/04/24,48.939
2016/04/25,50.3
2016/04/26,47.769
2016/04/27,44.817
2016/04/28,49.899
2016/04/29,51.826
2016/04/30,66.647
2016/05/01,73.131
2016/05/02,51.764
2016/05/03,50.888
2016/05/04,52.33
2016/05/05,58.381
2016/05/06,64.745
2016/05/07,44.134
2016/05/08,51.592
2016/05/09,47.541
2016/05/10,50.174
2016/05/11,57.801
2016/05/12,66.659
2016/05/13,70.785
2016/05/14,55.708
2016/05/15,48.646
2016/05/16,43.316
2016/05/17,43.731
2016/05/18,56.055
2016/05/19,53.403
2016/05/20,61.142
2016/05/21,56.522
2016/05/22,42.347
2016/05/23,44.344
2016/05/24,42.459
2016/05/25,51.49
2016/05/26,58.216
2016/05/27,62.162
2016/05/28,86.675
2016/05/29,50.156
2016/05/30,45.503
2016/05/31,45.373
2016/06/01,44.936
2016/06/02,40.424
2016/06/03,39.788
2016/06/04,39.053
2016/06/05,39.006
2016/06/06,41.67
2016/06/07,77.148
2016/06/08,46.312
2016/06/09,46.692
2016/06/10,47.429
2016/06/11,45.421
2016/06/12,47.29
2016/06/13,54.38
2016/06/14,55.782
2016/06/15,47.438
2016/06/16,57.492
2016/06/17,90.872
2016/06/18,92.277
2016/06/19,45.559
2016/06/20,45.558
2016/06/21,49.234
2016/06/22,45.333
2016/06/23,42.166
2016/06/24,43.951
2016/06/25,41.705
2016/06/26,41.369
2016/06/27,41.557
2016/06/28,43.422
2016/06/29,53.408
2016/06/30,62.84
2016/07/01,47.165
2016/07/02,41.573
2016/07/03,44.004
2016/07/04,42.673
2016/07/05,44.554
2016/07/06,44.025
2016/07/07,42.754
2016/07/08,50.741
2016/07/09,55.537
2016/07/10,43.684
2016/07/11,44.243
2016/07/12,47.555
2016/07/13,42.07
2016/07/14,48.692
2016/07/15,46.054
2016/07/16,41.805
2016/07/17,38.783
2016/07/18,45.115
2016/07/19,49.709
2016/07/20,76.076
2016/07/21,48.831
2016/07/22,51.004
2016/07/23,48.231
2016/07/24,51.432
2016/07/25,52.379
2016/07/26,57.491
2016/07/27,49.421
2016/07/28,63.923
2016/07/29,52.358
2016/07/30,43.804
2016/07/31,43.705
2016/08/01,44.294
2016/08/02,47.647
2016/08/03,46.495
2016/08/04,44.846
2016/08/05,42.455
2016/08/06,39.614
2016/08/07,41.296
2016/08/08,68.077
2016/08/09,46.476
2016/08/10,48.522
2016/08/11,47.409
2016/08/12,45.461
2016/08/13,40.921
2016/08/14,40.094
2016/08/15,44.238
2016/08/16,50.594
2016/08/17,46.918
2016/08/18,56.253
2016/08/19,48.35
2016/08/20,43.246
2016/08/21,46.666
2016/08/22,49.251
2016/08/23,81.4
2016/08/24,46.855
2016/08/25,48.52
2016/08/26,48.04
2016/08/27,45.625
2016/08/28,43.678
2016/08/29,47.465
2016/08/30,50.536
2016/08/31,47.768
2016/09/01,50.455
2016/09/02,63.391
2016/09/03,44.955
2016/09/04,61.631
2016/09/05,45.965
2016/09/06,49.761
2016/09/07,49.913
2016/09/08,55.623
2016/09/09,55.949
2016/09/10,43.059
2016/09/11,43.761
2016/09/12,50.792
2016/09/13,46.406
2016/09/14,52.351
2016/09/15,52.637
2016/09/16,63.79
2016/09/17,49.173
2016/09/18,45.864
2016/09/19,39.241
2016/09/20,48.25
2016/09/21,45.734
2016/09/22,70.336
2016/09/23,55.509
2016/09/24,66.884
2016/09/25,62.274
2016/09/26,78.698
2016/09/27,62.13
2016/09/28,53.326
2016/09/29,42.898
2016/09/30,42.856
2016/10/01,59.566
2016/10/02,56.804
2016/10/03,50.676
2016/10/04,59.213
2016/10/05,47.954
2016/10/06,43.547
2016/10/07,41.941
2016/10/08,44.645
2016/10/09,49.513
2016/10/10,46.868
2016/10/11,39.414
2016/10/12,42.001
2016/10/13,68.646
2016/10/14,55.046
2016/10/15,53.303
2016/10/16,51.196
2016/10/17,54.104
2016/10/18,63.815
2016/10/19,60.225
2016/10/20,41.441
2016/10/21,38.171
2016/10/22,33.287
2016/10/23,32.921
2016/10/24,47.231
2016/10/25,44.81
2016/10/26,40.446
2016/10/27,39.744
2016/10/28,42.438
2016/10/29,40.076
2016/10/30,37.844
2016/10/31,41.408
2016/11/01,52.317
2016/11/02,40.548
2016/11/03,40.99
2016/11/04,34.657
2016/11/05,38.225
2016/11/06,36.774
2016/11/07,43.778
2016/11/08,48.668
2016/11/09,55.537
2016/11/10,55.699
2016/11/11,64.749
2016/11/12,45.497
2016/11/13,49.371
2016/11/14,55.909
2016/11/15,54.749
2016/11/16,50.721
2016/11/17,44.207
2016/11/18,47.981
2016/11/19,38.525
2016/11/20,47.803
2016/11/21,53.794
2016/11/22,59.695
2016/11/23,84.642
2016/11/24,60.384
2016/11/25,59.446
2016/11/26,67.5
2016/11/27,79.323
2016/11/28,80.774
2016/11/29,67.297
2016/11/30,37.963
2016/12/01,35.601
2016/12/02,36.101
2016/12/03,35.21
2016/12/04,36.085
2016/12/05,40.246
2016/12/06,42.557
2016/12/07,43.142
2016/12/08,43.593
2016/12/09,40.006
2016/12/10,37.805
2016/12/11,48.475
2016/12/12,42.679
2016/12/13,41.925
2016/12/14,48.008
2016/12/15,48.118
2016/12/16,41.667
2016/12/17,45.709
2016/12/18,37.964
2016/12/19,54.382
2016/12/20,63.091
2016/12/21,72.305
2016/12/22,51.625
2016/12/23,42.294
2016/12/24,38.734
2016/12/25,36.818
2016/12/26,36.066
2016/12/27,54.852
2016/12/28,48.549
2016/12/29,57.978
2016/12/30,61.745
2016/12/31,44.06
2017/01/01,40.736
2017/01/02,44.649
2017/01/03,57.709
2017/01/04,55.946
2017/01/05,50.437
2017/01/06,46.536
2017/01/07,44.35
2017/01/08,49.381
2017/01/09,53.824
2017/01/10,58.778
2017/01/11,50.467
2017/01/12,54.642
2017/01/13,51.615
2017/01/14,39.6
2017/01/15,41.86
2017/01/16,48.19
2017/01/17,61.258
2017/01/18,49.591
2017/01/19,44.059
2017/01/20,50.713
2017/01/21,44.481
2017/01/22,54.32
2017/01/23,52.887
2017/01/24,63.444
2017/01/25,55.345
