Date,fee_to_rewardUSD
2016/01/01,0.0582
2016/01/02,0.0684
2016/01/03,0.0679
2016/01/04,0.0751
2016/01/05,0.206
2016/01/06,0.231
2016/01/07,0.231
2016/01/08,0.0898
2016/01/09,0.137
2016/01/10,0.0933
2016/01/11,0.0918
2016/01/12,0.0965
2016/01/13,0.217
2016/01/14,0.0966
2016/01/15,0.0842
2016/01/16,0.0831
2016/01/17,0.0622
2016/01/18,0.113
2016/01/19,0.132
2016/01/20,0.0697
2016/01/21,0.0757
2016/01/22,0.115
2016/01/23,0.0657
2016/01/24,0.0845
2016/01/25,0.152
2016/01/26,0.137
2016/01/27,0.21
2016/01/28,0.151
2016/01/29,0.139
2016/01/30,0.129
2016/01/31,0.127
2016/02/01,0.117
2016/02/02,0.11
2016/02/03,0.0984
2016/02/04,0.118
2016/02/05,0.137
2016/02/06,0.455
2016/02/07,0.171
2016/02/08,0.131
2016/02/09,0.178
2016/02/10,0.213
2016/02/11,0.166
2016/02/12,0.121
2016/02/13,0.13
2016/02/14,0.102
2016/02/15,0.114
2016/02/16,0.122
2016/02/17,0.152
2016/02/18,0.108
2016/02/19,0.133
2016/02/20,0.0978
2016/02/21,0.101
2016/02/22,0.117
2016/02/23,0.343
2016/02/24,0.189
2016/02/25,0.114
2016/02/26,0.184
2016/02/27,0.105
2016/02/28,0.107
2016/02/29,0.126
2016/03/01,0.123
2016/03/02,0.139
2016/03/03,0.131
2016/03/04,0.126
2016/03/05,0.124
2016/03/06,0.143
2016/03/07,0.113
2016/03/08,0.118
2016/03/09,0.0984
2016/03/10,0.0751
2016/03/11,0.0719
2016/03/12,0.0903
2016/03/13,0.0919
2016/03/14,0.103
2016/03/15,0.0754
2016/03/16,0.0742
2016/03/17,0.0955
2016/03/18,0.0855
2016/03/19,0.134
2016/03/20,0.11
2016/03/21,0.101
2016/03/22,0.0805
2016/03/23,0.101
2016/03/24,0.125
2016/03/25,0.123
2016/03/26,0.106
2016/03/27,0.0595
2016/03/28,0.0824
2016/03/29,0.0744
2016/03/30,0.108
2016/03/31,0.078
2016/04/01,0.0741
2016/04/02,0.0569
2016/04/03,0.0553
2016/04/04,0.0758
2016/04/05,0.0879
2016/04/06,0.0678
2016/04/07,0.0672
2016/04/08,0.0769
2016/04/09,0.0633
2016/04/10,0.0598
2016/04/11,0.0591
2016/04/12,0.0715
2016/04/13,0.101
2016/04/14,0.0973
2016/04/15,0.0717
2016/04/16,0.0535
2016/04/17,0.0912
2016/04/18,0.0617
2016/04/19,0.0596
2016/04/20,0.0731
2016/04/21,0.0937
2016/04/22,0.0638
2016/04/23,0.0603
2016/04/24,0.0696
2016/04/25,0.0722
2016/04/26,0.0678
2016/04/27,0.0628
2016/04/28,0.0698
2016/04/29,0.0724
2016/04/30,0.098
2016/05/01,0.115
2016/05/02,0.0839
2016/05/03,0.0823
2016/05/04,0.0847
2016/05/05,0.095
2016/05/06,0.108
2016/05/07,0.0747
2016/05/08,0.0884
2016/05/09,0.0809
2016/05/10,0.0852
2016/05/11,0.0985
2016/05/12,0.118
2016/05/13,0.13
2016/05/14,0.108
2016/05/15,0.0958
2016/05/16,0.0854
2016/05/17,0.086
2016/05/18,0.106
2016/05/19,0.102
2016/05/20,0.116
2016/05/21,0.11
2016/05/22,0.0877
2016/05/23,0.0905
2016/05/24,0.0875
2016/05/25,0.0987
2016/05/26,0.109
2016/05/27,0.115
2016/05/28,0.221
2016/05/29,0.119
2016/05/30,0.0975
2016/05/31,0.0969
2016/06/01,0.0953
2016/06/02,0.079
2016/06/03,0.0768
2016/06/04,0.0745
2016/06/05,0.0744
2016/06/06,0.0785
2016/06/07,0.205
2016/06/08,0.0863
2016/06/09,0.0881
2016/06/10,0.0912
2016/06/11,0.0828
2016/06/12,0.0888
2016/06/13,0.112
2016/06/14,0.117
2016/06/15,0.0938
2016/06/16,0.125
2016/06/17,0.643
2016/06/18,0.746
2016/06/19,0.159
2016/06/20,0.159
2016/06/21,0.221
2016/06/22,0.153
2016/06/23,0.0984
2016/06/24,0.12
