Date,hashrate
2016/01/01,526080043796
2016/01/02,528053698175
2016/01/03,544840649374
2016/01/04,541290799401
2016/01/05,548861090240
2016/01/06,552182610632
2016/01/07,526218703270
2016/01/08,550687942230
2016/01/09,551657034472
2016/01/10,537946675624
2016/01/11,561657576052
2016/01/12,541092686637
2016/01/13,530560897082
2016/01/14,553750991919
2016/01/15,567139411682
2016/01/16,574085617131
2016/01/17,568321719087
2016/01/18,591499464715
2016/01/19,584880064828
2016/01/20,588126075577
2016/01/21,584138167496
2016/01/22,610658435633
2016/01/23,608804210103
2016/01/24,650658976677
2016/01/25,624622219811
2016/01/26,673085445474
2016/01/27,663597075386
2016/01/28,652271801201
2016/01/29,670039338114
2016/01/30,668791594515
2016/01/31,646688845759
2016/02/01,679240541887
2016/02/02,648634013329
2016/02/03,696796696967
2016/02/04,694226017950
2016/02/05,698595552827
2016/02/06,674528669042
2016/02/07,693340554522
2016/02/08,723386657108
2016/02/09,699338436984
2016/02/10,718057329716
2016/02/11,747546711562
2016/02/12,720869052804
2016/02/13,765950669837
2016/02/14,775298804747
2016/02/15,794712612388
2016/02/16,789639709927
2016/02/17,770078994275
2016/02/18,750945258002
2016/02/19,794783219653
2016/02/20,800295691793
2016/02/21,808846880926
2016/02/22,844642383440
2016/02/23,849490910313
2016/02/24,846587713730
2016/02/25,855874001111
2016/02/26,881651031093
2016/02/27,896853524619
2016/02/28,915812758040
2016/02/29,885965041543
2016/03/01,900562920443
2016/03/02,939133918966
2016/03/03,957272847075
2016/03/04,982821086060
2016/03/05,1030054717986
2016/03/06,1036733655665
2016/03/07,1047340044431
2016/03/08,1060230669041
2016/03/09,1080955371409
2016/03/10,1124356306383
2016/03/11,1152216595865
2016/03/12,1215700099243
2016/03/13,1291076502129
2016/03/14,1246558725868
2016/03/15,1295479530865
2016/03/16,1322233879118
2016/03/17,1369126446533
2016/03/18,1354841058934
2016/03/19,1419687675841
2016/03/20,1451318582726
2016/03/21,1429138053075
2016/03/22,1466450428498
2016/03/23,1389293532704
2016/03/24,1505188788529
2016/03/25,1574226191933
2016/03/26,1620682564584
2016/03/27,1641833074167
2016/03/28,1608136382092
2016/03/29,1670778019603
2016/03/30,1712185700381
2016/03/31,1769035745511
2016/04/01,1789817393680
2016/04/02,1726949885023
2016/04/03,1825846322391
2016/04/04,1909197642345
2016/04/05,1918397536244
2016/04/06,1894439759421
2016/04/07,1812659262510
2016/04/08,1973048220070
