Date,hashrate14std
2016/01/01,19851578716
2016/01/02,20418011035
2016/01/03,20240955720
2016/01/04,19613509252
2016/01/05,15321090469
2016/01/06,15125593698
2016/01/07,16705082046
2016/01/08,17757087751
2016/01/09,17714597012
2016/01/10,17649548318
2016/01/11,20590828411
2016/01/12,20596709596
2016/01/13,21104432615
2016/01/14,22001909851
2016/01/15,23373098328
2016/01/16,25525521798
2016/01/17,27310845712
2016/01/18,33965362397
2016/01/19,37317167473
2016/01/20,40566656059
2016/01/21,38037719167
2016/01/22,44389583747
2016/01/23,48148837413
2016/01/24,59330095572
2016/01/25,62640322312
2016/01/26,72781425854
2016/01/27,72116470307
2016/01/28,70695385537
2016/01/29,72655834298
2016/01/30,72868308167
2016/01/31,66592972714
2016/02/01,67486365575
2016/02/02,61369792482
2016/02/03,60304137485
2016/02/04,52985481748
2016/02/05,50654539718
2016/02/06,41139513637
2016/02/07,42079018135
2016/02/08,42185297142
2016/02/09,43567556232
2016/02/10,46882203658
2016/02/11,54090187022
2016/02/12,55073384674
2016/02/13,64510562169
2016/02/14,67780589875
2016/02/15,78242335209
2016/02/16,76235368456
2016/02/17,77000563047
2016/02/18,74280738197
2016/02/19,76449608899
2016/02/20,70961821597
2016/02/21,68021325624
2016/02/22,76766106922
2016/02/23,76194086404
2016/02/24,74702321873
2016/02/25,77892325205
2016/02/26,76585308878
2016/02/27,84713450494
2016/02/28,94561175866
2016/02/29,96874555818
2016/03/01,98829169635
2016/03/02,101501090205
2016/03/03,96521803790
2016/03/04,103112805290
2016/03/05,117232648963
2016/03/06,125270225558
2016/03/07,135397298776
2016/03/08,142712804599
2016/03/09,147288765859
2016/03/10,156526501487
2016/03/11,168815893244
2016/03/12,191163291680
2016/03/13,225410999221
2016/03/14,226808857294
2016/03/15,230678430376
2016/03/16,236637602577
2016/03/17,244871146288
2016/03/18,242463906417
2016/03/19,252944322923
2016/03/20,259304653987
2016/03/21,250542403258
2016/03/22,239399677911
2016/03/23,209046520296
2016/03/24,197142066520
2016/03/25,195641616006
2016/03/26,208796755964
2016/03/27,229058704081
2016/03/28,219719849410
2016/03/29,224155038615
2016/03/30,231938052069
2016/03/31,250684880081
2016/04/01,257060178870
2016/04/02,252756709234
2016/04/03,264514497822
2016/04/04,278892973885
2016/04/05,287309680112
2016/04/06,251819315954
2016/04/07,222855269184
2016/04/08,228528922110
2016/04/09,229235593659
2016/04/10,240964355320
2016/04/11,217286504836
2016/04/12,194308801073
2016/04/13,187185296384
2016/04/14,186715224303
2016/04/15,200730713258
2016/04/16,191205580304
2016/04/17,184228064045
2016/04/18,214375714411
2016/04/19,233294977212
2016/04/20,248969944223
2016/04/21,234130789089
2016/04/22,232011909438
2016/04/23,237527141218
2016/04/24,241501607055
2016/04/25,248826775371
2016/04/26,214438154153
2016/04/27,197175973772
2016/04/28,181135090156
2016/04/29,186486789857
2016/04/30,213003301513
2016/05/01,202558069179
2016/05/02,196498504069
2016/05/03,209699851177
2016/05/04,214436620430
2016/05/05,217180341542
2016/05/06,196759451040
2016/05/07,189131096246
2016/05/08,172749563541
2016/05/09,178963475041
2016/05/10,174020754212
2016/05/11,143477153397
2016/05/12,127859974169
2016/05/13,168924530955
2016/05/14,191294779342
2016/05/15,208037993091
2016/05/16,196193087849
2016/05/17,202546294710
2016/05/18,223471844198
2016/05/19,250339861822
2016/05/20,279415603065
2016/05/21,294358177267
2016/05/22,301448027106
2016/05/23,303328259273
2016/05/24,314456420628
2016/05/25,292442775902
2016/05/26,276085758029
2016/05/27,287356870028
2016/05/28,295364462640
2016/05/29,297003266779
2016/05/30,278029635733
2016/05/31,230111548997
2016/06/01,196207881767
2016/06/02,177748539856
2016/06/03,206909010054
2016/06/04,219599949633
2016/06/05,205236095920
2016/06/06,207382836560
2016/06/07,214035645714
2016/06/08,217940144332
2016/06/09,261813289704
2016/06/10,247877720109
2016/06/11,259884910857
2016/06/12,272186296374
2016/06/13,304610463709
2016/06/14,321542474081
2016/06/15,297916888368
2016/06/16,274699762323
2016/06/17,307250788352
2016/06/18,304108164250
2016/06/19,288328651269
2016/06/20,278778197858
2016/06/21,258261663865
2016/06/22,254998677697
2016/06/23,286973351665
2016/06/24,252208532758
2016/06/25,235024633874
2016/06/26,237439346900
2016/06/27,274635412688
2016/06/28,312718644595
2016/06/29,308034432938
2016/06/30,295597074354
2016/07/01,316114455941
2016/07/02,310234225917
2016/07/03,330319152459
2016/07/04,323206454921
2016/07/05,277256403797
2016/07/06,259989521978
2016/07/07,247760477939
2016/07/08,226889111421
2016/07/09,185196449695
2016/07/10,172030473213
2016/07/11,182846749666
2016/07/12,193453487030
2016/07/13,186009212492
2016/07/14,158351574505
2016/07/15,140866511944
2016/07/16,121861169208
2016/07/17,121653270678
2016/07/18,143985459704
2016/07/19,144613949813
2016/07/20,135457745837
2016/07/21,144746626072
2016/07/22,132283268363
2016/07/23,141809840054
2016/07/24,131873688054
2016/07/25,148667948810
2016/07/26,227466628677
2016/07/27,334318377916
2016/07/28,346541085529
2016/07/29,372569122571
2016/07/30,407281021576
2016/07/31,421504479175
2016/08/01,426547140903
2016/08/02,495632724161
2016/08/03,578334203186
2016/08/04,541132162875
2016/08/05,516823842677
2016/08/06,437277840354
2016/08/07,362965994867
2016/08/08,322055014129
2016/08/09,362117667434
2016/08/10,419291930402
2016/08/11,481322612225
2016/08/12,533828122996
2016/08/13,565647054950
2016/08/14,593624894027
2016/08/15,614120664109
2016/08/16,592771674507
2016/08/17,497133780201
2016/08/18,481128312894
2016/08/19,456636247535
2016/08/20,397899369620
2016/08/21,356573524866
2016/08/22,312713343525
2016/08/23,332192362957
2016/08/24,346830161719
2016/08/25,387706097564
2016/08/26,450977392543
2016/08/27,475503525031
2016/08/28,464167095794
2016/08/29,427774621537
2016/08/30,401134865830
2016/08/31,371225188249
2016/09/01,357234502541
2016/09/02,320849120222
2016/09/03,281266964554
2016/09/04,265826665865
2016/09/05,235388895042
2016/09/06,223488232149
2016/09/07,204424569752
2016/09/08,200417402556
2016/09/09,194866051707
2016/09/10,191645916643
2016/09/11,235545745806
2016/09/12,261205249294
2016/09/13,272814535187
2016/09/14,325828867937
2016/09/15,362722761807
2016/09/16,383845940177
2016/09/17,429387017985
2016/09/18,404288816709
2016/09/19,399297908679
2016/09/20,429829368192
2016/09/21,502456530906
2016/09/22,477691161635
2016/09/23,523408094128
2016/09/24,555130749075
2016/09/25,643993478683
2016/09/26,645161969116
2016/09/27,682658932662
2016/09/28,731296079367
2016/09/29,789200095962
2016/09/30,795553165529
2016/10/01,841880159776
2016/10/02,762291453361
2016/10/03,623771017397
2016/10/04,637488403114
2016/10/05,651067317998
2016/10/06,499069917974
2016/10/07,462308284731
2016/10/08,448083274652
2016/10/09,482917744225
2016/10/10,408680329401
2016/10/11,420568040240
2016/10/12,385088766734
2016/10/13,406302468350
2016/10/14,436575873147
2016/10/15,502848637194
2016/10/16,614307573514
2016/10/17,596374070435
2016/10/18,630520241561
2016/10/19,636582425248
2016/10/20,683416779209
2016/10/21,669120243023
2016/10/22,682441261364
2016/10/23,657162233012
2016/10/24,642796756926
2016/10/25,639969171533
2016/10/26,546706961484
2016/10/27,467496346535
2016/10/28,434713587992
2016/10/29,947854039402
2016/10/30,1293402768784
2016/10/31,1428091759169
2016/11/01,1763948599814
2016/11/02,2140824499893
2016/11/03,2432315482096
2016/11/04,2686510125103
2016/11/05,2876632954154
2016/11/06,3000595073624
2016/11/07,2898355054526
2016/11/08,2659887568180
2016/11/09,2314423286505
2016/11/10,1893545787095
2016/11/11,1382753847602
2016/11/12,1255784864450
2016/11/13,1134451250391
2016/11/14,839476436240
2016/11/15,817794191376
2016/11/16,844912471932
2016/11/17,847169173101
2016/11/18,836453852338
2016/11/19,782814383626
2016/11/20,780553397268
2016/11/21,997910864089
2016/11/22,1084279589682
2016/11/23,1137118343886
2016/11/24,1076911738104
2016/11/25,973253921098
2016/11/26,864712609624
2016/11/27,823842495172
2016/11/28,804230782492
2016/11/29,784223464399
2016/11/30,761985728189
2016/12/01,680924545503
2016/12/02,663124533261
2016/12/03,662439875780
2016/12/04,619197154055
2016/12/05,437867794993
2016/12/06,345865647951
2016/12/07,230424615486
2016/12/08,296125577070
2016/12/09,376049695421
2016/12/10,468399769116
2016/12/11,572748051505
2016/12/12,605718499395
2016/12/13,660250286352
2016/12/14,648376254666
2016/12/15,618355322403
2016/12/16,613531679202
2016/12/17,649197624554
2016/12/18,702868785453
2016/12/19,687266601270
2016/12/20,649078633288
2016/12/21,583705540145
2016/12/22,529478374467
2016/12/23,509086846959
2016/12/24,594158691745
2016/12/25,619957121628
2016/12/26,602564247431
2016/12/27,625256205366
2016/12/28,649440308448
2016/12/29,672371681791
2016/12/30,693863292923
2016/12/31,698569084951
2017/01/01,665405889723
2017/01/02,618330715833
2017/01/03,498788999405
2017/01/04,464393434599
2017/01/05,552888831278
2017/01/06,669969919057
2017/01/07,776816930962
2017/01/08,876396894957
2017/01/09,1012548987797
2017/01/10,1088337845781
2017/01/11,1135427584868
2017/01/12,1153455993205
2017/01/13,1154706043684
2017/01/14,1124956197944
2017/01/15,1071806018915
2017/01/16,955214861050
2017/01/17,731358928612
2017/01/18,644067204359
2017/01/19,665036158380
2017/01/20,582735452719
2017/01/21,572459670880
2017/01/22,540473161448
2017/01/23,568738143010
2017/01/24,542947362851
2017/01/25,512793512460
2017/01/26,521341621049
2017/01/27,508277451020
2017/01/28,486000628034
2017/01/29,463768423226
2017/01/30,454829522124
2017/01/31,404824939126
2017/02/01,273912420589
2017/02/02,294949541198
2017/02/03,218038291987
2017/02/04,214028175248
2017/02/05,322284771386
2017/02/06,431551847451
2017/02/07,485022280182
2017/02/08,544710123292
2017/02/09,594077825682
2017/02/10,676747539980
2017/02/11,742763238258
2017/02/12,772228200813
2017/02/13,835868045522
2017/02/14,885756635627
2017/02/15,876923137488
2017/02/16,860074167032
2017/02/17,796847898669
2017/02/18,741701697328
2017/02/19,769570218368
2017/02/20,786496755704
2017/02/21,812332304112
2017/02/22,789568847366
2017/02/23,716817898497
2017/02/24,685485425670
2017/02/25,700453621461
2017/02/26,819488061422
2017/02/27,903575797953
2017/02/28,1094449560178
2017/03/01,1112263436141
2017/03/02,1111966911409
2017/03/03,1193422939609
2017/03/04,1196745100626
2017/03/05,1301255004463
2017/03/06,1348825573570
2017/03/07,1365451735705
2017/03/08,1392113152222
2017/03/09,1350769044760
2017/03/10,1242667414393
2017/03/11,1192487600607
2017/03/12,1188464391148
2017/03/13,1255826634572
2017/03/14,1307098202793
2017/03/15,1299243909857
2017/03/16,1289660551059
2017/03/17,1497518364359
2017/03/18,1598487890238
2017/03/19,1560728733669
2017/03/20,1661343364008
2017/03/21,1594210157928
2017/03/22,1622053344527
2017/03/23,1696552570914
2017/03/24,1661324139984
2017/03/25,1621716573049
2017/03/26,1686814810086
2017/03/27,1942181901184
2017/03/28,1905802656007
2017/03/29,2014747817263
2017/03/30,2047539407998
2017/03/31,2226794154969
2017/04/01,2280959614305
2017/04/02,2077110697714
2017/04/03,1945925935138
2017/04/04,1784228420900
2017/04/05,1709145646206
2017/04/06,1641890075480
2017/04/07,1507835214451
2017/04/08,1292429764428
2017/04/09,1164920173081
2017/04/10,1151622527293
2017/04/11,1104302167854
2017/04/12,1130139338081
2017/04/13,1084725478593
2017/04/14,1459074435898
2017/04/15,1522710906442
2017/04/16,1597916055921
2017/04/17,1441109850869
2017/04/18,1571062515233
2017/04/19,1650943302245
2017/04/20,1696183263394
2017/04/21,1836922630741
2017/04/22,1934563440529
2017/04/23,1991486371617
2017/04/24,1826147004178
2017/04/25,1885760534690
2017/04/26,1771146096369
2017/04/27,1467088484424
2017/04/28,1866640578589
2017/04/29,2139406044757
2017/04/30,2178532488741
2017/05/01,2234591727125
2017/05/02,2284021071456
2017/05/03,2272997056095
2017/05/04,2147663888894
2017/05/05,2286225763418
2017/05/06,2312544517950
2017/05/07,2429015930207
2017/05/08,2177550732440
2017/05/09,2283862610074
2017/05/10,2096702281275
2017/05/11,1940414364213
2017/05/12,2233297106209
2017/05/13,2324242590700
2017/05/14,2419033355095
2017/05/15,2673749053407
2017/05/16,2868080077741
2017/05/17,2719366218693
2017/05/18,2515126574857
2017/05/19,2707498506827
2017/05/20,2934737871758
2017/05/21,3303840792928
2017/05/22,3599996929713
2017/05/23,3634824106080
