Date,hashrate30roc
2016/01/01,9.189
2016/01/02,4.709
2016/01/03,10.471
2016/01/04,5.738
2016/01/05,12.55
2016/01/06,14.166
2016/01/07,12.075
2016/01/08,11.403
2016/01/09,9.277
2016/01/10,4.545
2016/01/11,8.45
2016/01/12,-2.82
2016/01/13,-1.973
2016/01/14,-1.064
2016/01/15,6.19
2016/01/16,3.629
2016/01/17,2.926
2016/01/18,7.773
2016/01/19,9.713
2016/01/20,10.665
2016/01/21,3.397
2016/01/22,10.425
2016/01/23,12.849
2016/01/24,20.674
2016/01/25,17.995
2016/01/26,23.402
2016/01/27,21.726
2016/01/28,20.303
2016/01/29,25.347
2016/01/30,23.228
2016/01/31,22.926
2016/02/01,28.631
2016/02/02,19.05
2016/02/03,28.729
2016/02/04,26.485
2016/02/05,26.515
2016/02/06,28.184
2016/02/07,25.904
2016/02/08,31.13
2016/02/09,30.001
2016/02/10,27.846
2016/02/11,38.155
2016/02/12,35.869
2016/02/13,38.32
2016/02/14,36.703
2016/02/15,38.431
2016/02/16,38.942
2016/02/17,30.191
2016/02/18,28.393
2016/02/19,35.138
2016/02/20,37.005
2016/02/21,32.455
2016/02/22,38.738
2016/02/23,30.559
2016/02/24,35.536
2016/02/25,27.157
2016/02/26,32.859
2016/02/27,37.497
2016/02/28,36.68
2016/02/29,32.473
2016/03/01,39.258
2016/03/02,38.262
2016/03/03,47.583
2016/03/04,41.048
2016/03/05,48.375
2016/03/06,48.403
2016/03/07,55.27
2016/03/08,52.916
2016/03/09,49.43
2016/03/10,60.774
2016/03/11,60.463
2016/03/12,62.625
2016/03/13,79.1
2016/03/14,62.747
2016/03/15,67.094
2016/03/16,66.379
2016/03/17,73.386
2016/03/18,75.935
2016/03/19,89.053
2016/03/20,82.606
2016/03/21,78.576
2016/03/22,81.301
2016/03/23,64.483
2016/03/24,77.187
2016/03/25,85.95
2016/03/26,89.36
2016/03/27,86.223
2016/03/28,79.309
2016/03/29,82.437
2016/03/30,93.257
2016/03/31,96.437
2016/04/01,90.582
2016/04/02,80.403
2016/04/03,85.776
2016/04/04,85.349
2016/04/05,85.042
2016/04/06,80.881
2016/04/07,70.968
2016/04/08,82.528
2016/04/09,74.339
2016/04/10,76.792
2016/04/11,62.176
2016/04/12,49.524
2016/04/13,62.641
2016/04/14,57.5
2016/04/15,60.499
2016/04/16,57.113
2016/04/17,54.947
2016/04/18,56.711
2016/04/19,53.224
2016/04/20,58.82
2016/04/21,56.109
2016/04/22,59.727
2016/04/23,53.765
2016/04/24,44.962
2016/04/25,47.945
2016/04/26,41.782
2016/04/27,45.726
2016/04/28,43.52
2016/04/29,42.826
2016/04/30,43.651
2016/05/01,40.783
2016/05/02,41.013
2016/05/03,40.779
2016/05/04,33.058
2016/05/05,32.856
2016/05/06,35.054
2016/05/07,40.502
2016/05/08,31.609
2016/05/09,33.647
2016/05/10,31.501
2016/05/11,30.688
2016/05/12,36.787
2016/05/13,38.781
2016/05/14,35.692
2016/05/15,31.402
2016/05/16,29.313
2016/05/17,32.293
2016/05/18,30.027
2016/05/19,33.065
2016/05/20,33.044
2016/05/21,32.945
2016/05/22,36.708
2016/05/23,31.689
2016/05/24,35.736
2016/05/25,30.387
2016/05/26,35.805
2016/05/27,35.494
2016/05/28,35.659
2016/05/29,33.951
2016/05/30,28.532
2016/05/31,28.051
