Date,hashrate30rsi
2016/01/01,53.009
2016/01/02,53.253
2016/01/03,55.291
2016/01/04,54.769
2016/01/05,55.693
2016/01/06,56.1
2016/01/07,52.221
2016/01/08,55.238
2016/01/09,55.354
2016/01/10,53.339
2016/01/11,56.191
2016/01/12,53.27
2016/01/13,51.842
2016/01/14,54.613
2016/01/15,56.121
2016/01/16,56.89
2016/01/17,56.047
2016/01/18,58.599
2016/01/19,57.611
2016/01/20,57.97
2016/01/21,57.352
2016/01/22,60.267
2016/01/23,59.971
2016/01/24,64.096
2016/01/25,60.11
2016/01/26,64.376
2016/01/27,63.011
2016/01/28,61.404
2016/01/29,62.938
2016/01/30,62.757
2016/01/31,59.611
2016/02/01,62.477
2016/02/02,58.443
2016/02/03,62.395
2016/02/04,62.069
2016/02/05,62.414
2016/02/06,59.337
2016/02/07,60.896
2016/02/08,63.226
2016/02/09,60.254
2016/02/10,61.703
2016/02/11,63.852
2016/02/12,60.667
2016/02/13,63.821
2016/02/14,64.433
2016/02/15,65.68
2016/02/16,65.064
2016/02/17,62.715
2016/02/18,60.505
2016/02/19,63.549
2016/02/20,63.911
2016/02/21,64.477
2016/02/22,66.736
2016/02/23,67.03
2016/02/24,66.665
2016/02/25,67.255
2016/02/26,68.837
2016/02/27,69.73
2016/02/28,70.808
2016/02/29,66.925
2016/03/01,67.818
2016/03/02,70.03
2016/03/03,70.999
2016/03/04,72.305
2016/03/05,74.501
2016/03/06,74.793
2016/03/07,75.259
2016/03/08,75.821
2016/03/09,76.701
2016/03/10,78.404
2016/03/11,79.404
2016/03/12,81.43
2016/03/13,83.432
2016/03/14,78.276
2016/03/15,79.702
2016/03/16,80.429
2016/03/17,81.622
2016/03/18,80.083
2016/03/19,81.703
2016/03/20,82.424
2016/03/21,80.133
2016/03/22,81.05
2016/03/23,73.768
2016/03/24,76.981
2016/03/25,78.597
2016/03/26,79.594
2016/03/27,80.032
2016/03/28,77.297
2016/03/29,78.697
2016/03/30,79.559
2016/03/31,80.67
2016/04/01,81.059
2016/04/02,76.254
2016/04/03,78.343
2016/04/04,79.886
2016/04/05,80.048
2016/04/06,78.345
2016/04/07,72.871
2016/04/08,76.239
2016/04/09,75.462
2016/04/10,76.917
2016/04/11,73.099
2016/04/12,70.815
2016/04/13,72.882
2016/04/14,73.145
2016/04/15,74.744
2016/04/16,75.283
2016/04/17,72.422
2016/04/18,74.821
2016/04/19,74.765
2016/04/20,75.597
2016/04/21,75.944
2016/04/22,72.119
2016/04/23,73.963
2016/04/24,72.282
2016/04/25,74.427
2016/04/26,70.992
2016/04/27,71.299
2016/04/28,72.351
2016/04/29,73.238
2016/04/30,74.914
2016/05/01,73.842
2016/05/02,69.773
2016/05/03,72.298
2016/05/04,70.935
2016/05/05,71.091
2016/05/06,71.28
2016/05/07,70.712
2016/05/08,71.706
2016/05/09,72.157
2016/05/10,73.285
2016/05/11,68.325
2016/05/12,69.657
2016/05/13,72.85
2016/05/14,70.842
2016/05/15,71.206
2016/05/16,70.887
2016/05/17,70.679
2016/05/18,72.836
2016/05/19,73.97
2016/05/20,74.962
2016/05/21,75.341
2016/05/22,74.856
2016/05/23,75.097
2016/05/24,75.929
2016/05/25,76.402
2016/05/26,76.971
2016/05/27,77.198
2016/05/28,78.423
2016/05/29,78.767
2016/05/30,78.233
2016/05/31,75.977
2016/06/01,72.868
2016/06/02,74.22
2016/06/03,77.122
2016/06/04,76.277
2016/06/05,72.74
2016/06/06,74.725
2016/06/07,75.107
2016/06/08,75.315
2016/06/09,77.76
2016/06/10,68.385
2016/06/11,70.626
2016/06/12,71.032
2016/06/13,73.075
2016/06/14,73.567
2016/06/15,72.327
2016/06/16,72.273
2016/06/17,74.354
2016/06/18,70.677
2016/06/19,72.065
2016/06/20,70.528
2016/06/21,68.352
2016/06/22,70.879
2016/06/23,72.038
2016/06/24,71.818
2016/06/25,71.191
2016/06/26,72.952
2016/06/27,73.985
2016/06/28,74.665
2016/06/29,70.865
2016/06/30,71.211
2016/07/01,72.616
2016/07/02,72.789
2016/07/03,74.147
2016/07/04,73.722
2016/07/05,73.742
2016/07/06,73.785
2016/07/07,73.117
2016/07/08,73.503
2016/07/09,73.665
2016/07/10,74.152
2016/07/11,75.241
2016/07/12,75.201
2016/07/13,76.184
2016/07/14,73.984
2016/07/15,70.782
2016/07/16,71.259
2016/07/17,71.587
2016/07/18,73.773
2016/07/19,71.237
2016/07/20,67.429
2016/07/21,70.655
2016/07/22,64.374
2016/07/23,67.685
2016/07/24,63.653
2016/07/25,59.339
2016/07/26,53.976
2016/07/27,50.039
2016/07/28,55.066
2016/07/29,53.055
2016/07/30,51.399
2016/07/31,52.595
2016/08/01,50.788
2016/08/02,45.284
2016/08/03,43.296
2016/08/04,49.367
2016/08/05,50.978
2016/08/06,49.172
2016/08/07,51.395
2016/08/08,52.675
2016/08/09,55.948
2016/08/10,57.209
2016/08/11,58.552
2016/08/12,58.324
2016/08/13,57.356
2016/08/14,57.514
2016/08/15,57.839
2016/08/16,59.504
2016/08/17,59.38
2016/08/18,60.862
2016/08/19,59.721
2016/08/20,61.811
2016/08/21,62.518
2016/08/22,62.966
2016/08/23,64.203
2016/08/24,63.932
2016/08/25,65.433
2016/08/26,67.57
2016/08/27,67.539
2016/08/28,65.8
2016/08/29,64.117
2016/08/30,64.003
2016/08/31,65.549
2016/09/01,66.282
2016/09/02,67.307
2016/09/03,60.312
2016/09/04,57.24
2016/09/05,60.133
2016/09/06,59.044
2016/09/07,60.894
2016/09/08,59.646
2016/09/09,60.096
2016/09/10,60.805
2016/09/11,63.67
2016/09/12,63.28
2016/09/13,62.586
2016/09/14,65.09
2016/09/15,64.789
2016/09/16,63.936
2016/09/17,66.622
2016/09/18,53.055
2016/09/19,54.719
2016/09/20,61.845
2016/09/21,63.556
2016/09/22,55.81
2016/09/23,61.166
2016/09/24,61.341
2016/09/25,63.242
2016/09/26,58.584
2016/09/27,61.299
2016/09/28,61.778
2016/09/29,62.889
2016/09/30,60.655
2016/10/01,62.419
2016/10/02,63.805
2016/10/03,62.039
2016/10/04,63.155
2016/10/05,62.639
2016/10/06,63.08
2016/10/07,60.187
2016/10/08,62.445
2016/10/09,63.412
2016/10/10,63.751
2016/10/11,64.395
2016/10/12,61.078
2016/10/13,63.184
2016/10/14,65.225
2016/10/15,65.794
2016/10/16,67.144
2016/10/17,62.216
2016/10/18,64.186
2016/10/19,64.118
2016/10/20,65.944
2016/10/21,66.74
2016/10/22,66.81
2016/10/23,63.941
2016/10/24,65.083
2016/10/25,65.846
2016/10/26,66.419
2016/10/27,64.415
2016/10/28,60.348
2016/10/29,45.663
2016/10/30,44.429
2016/10/31,47.942
2016/11/01,41.798
2016/11/02,38.84
2016/11/03,37.696
2016/11/04,35.853
2016/11/05,34.707
2016/11/06,34.438
2016/11/07,40.629
2016/11/08,44.532
2016/11/09,43.819
2016/11/10,41.607
2016/11/11,40.941
2016/11/12,41.597
2016/11/13,44.443
2016/11/14,45.778
2016/11/15,46.016
2016/11/16,45.359
2016/11/17,44.044
2016/11/18,46.715
2016/11/19,48.766
2016/11/20,52.13
2016/11/21,54.183
2016/11/22,51.66
2016/11/23,51.299
2016/11/24,47.417
2016/11/25,47.468
2016/11/26,47.906
2016/11/27,47.818
2016/11/28,49.21
2016/11/29,48.581
2016/11/30,46.939
2016/12/01,47.385
2016/12/02,47.948
2016/12/03,50.012
2016/12/04,49.545
2016/12/05,48.489
2016/12/06,48.164
2016/12/07,49.224
2016/12/08,51.483
2016/12/09,52.484
2016/12/10,53.439
2016/12/11,54.672
2016/12/12,52.649
2016/12/13,54.129
2016/12/14,53.803
2016/12/15,53.481
2016/12/16,55.002
2016/12/17,55.622
2016/12/18,57.347
2016/12/19,57.268
2016/12/20,58.498
2016/12/21,57.947
2016/12/22,55.613
2016/12/23,51.25
2016/12/24,48.215
2016/12/25,50.527
2016/12/26,52.239
2016/12/27,50.473
2016/12/28,50.143
2016/12/29,49.961
2016/12/30,50.021
2016/12/31,50.628
2017/01/01,50.682
2017/01/02,50.85
2017/01/03,50.89
2017/01/04,56.591
2017/01/05,57.782
2017/01/06,58.059
2017/01/07,60.004
2017/01/08,60.213
2017/01/09,61.983
2017/01/10,61.998
2017/01/11,62.572
2017/01/12,63.161
2017/01/13,64.213
2017/01/14,64.363
2017/01/15,65.545
2017/01/16,65.45
2017/01/17,64.303
2017/01/18,63.351
2017/01/19,67.385
2017/01/20,63.577
2017/01/21,65.115
2017/01/22,65.409
2017/01/23,66.498
2017/01/24,64.959
2017/01/25,65.117
2017/01/26,66.796
2017/01/27,64.987
2017/01/28,65.268
2017/01/29,62.904
2017/01/30,64.746
2017/01/31,64.686
2017/02/01,63.012
2017/02/02,64.537
2017/02/03,62.54
2017/02/04,63.869
2017/02/05,66.586
2017/02/06,67.324
2017/02/07,67.172
2017/02/08,68.051
2017/02/09,67.456
2017/02/10,69.465
2017/02/11,69.868
2017/02/12,70.694
2017/02/13,71.585
2017/02/14,72.318
2017/02/15,72.577
2017/02/16,71.912
2017/02/17,73.148
2017/02/18,73.791
2017/02/19,74.855
2017/02/20,75.119
2017/02/21,76.509
2017/02/22,74.179
2017/02/23,74.363
2017/02/24,74.696
2017/02/25,76.641
2017/02/26,78.926
2017/02/27,79.124
2017/02/28,81.392
2017/03/01,74.895
2017/03/02,75.816
2017/03/03,77.799
2017/03/04,75.529
2017/03/05,77.9
2017/03/06,78.032
2017/03/07,76.905
2017/03/08,78.763
2017/03/09,78.872
2017/03/10,78.993
2017/03/11,79.988
2017/03/12,80.148
2017/03/13,82.056
2017/03/14,79.317
2017/03/15,80.693
2017/03/16,81.251
2017/03/17,83.462
2017/03/18,83.939
2017/03/19,74.159
2017/03/20,77.454
2017/03/21,74.341
2017/03/22,75.522
2017/03/23,77.125
2017/03/24,76.204
2017/03/25,76.534
2017/03/26,78.815
2017/03/27,80.49
2017/03/28,76.443
2017/03/29,78.226
2017/03/30,78.331
2017/03/31,79.446
2017/04/01,76.769
2017/04/02,76.581
2017/04/03,70.22
2017/04/04,73.333
2017/04/05,74.67
2017/04/06,73.699
2017/04/07,74.468
2017/04/08,74.712
2017/04/09,72.076
2017/04/10,72.272
2017/04/11,74.002
2017/04/12,73.121
2017/04/13,70.357
2017/04/14,74.866
2017/04/15,70.92
2017/04/16,71.812
2017/04/17,72.576
2017/04/18,73.606
2017/04/19,72.105
2017/04/20,72.656
2017/04/21,73.964
2017/04/22,74.202
2017/04/23,75.384
2017/04/24,70.457
2017/04/25,72.787
2017/04/26,70.962
2017/04/27,71.782
2017/04/28,74.834
2017/04/29,75.871
2017/04/30,72.687
2017/05/01,73.27
2017/05/02,73.363
2017/05/03,74.178
2017/05/04,72.036
2017/05/05,74.658
2017/05/06,74.354
2017/05/07,75.277
2017/05/08,72.972
2017/05/09,75.29
2017/05/10,73.803
2017/05/11,74.705
2017/05/12,76.404
2017/05/13,72.785
2017/05/14,74.406
2017/05/15,76.057
2017/05/16,76.748
2017/05/17,69.423
2017/05/18,71.309
2017/05/19,73.198
2017/05/20,74.47
2017/05/21,75.814
2017/05/22,77.049
2017/05/23,72.099
2017/05/24,73.254
2017/05/25,73.492
2017/05/26,73.597
2017/05/27,75.027
2017/05/28,74.113
2017/05/29,77.015
2017/05/30,79.573
2017/05/31,75.849
2017/06/01,78.009
2017/06/02,74.62
2017/06/03,75.871
2017/06/04,76.916
2017/06/05,77.85
2017/06/06,78.379
2017/06/07,79.894
2017/06/08,80.211
2017/06/09,79.963
2017/06/10,81.804
2017/06/11,82.627
2017/06/12,82.425
2017/06/13,83.561
2017/06/14,84.323
2017/06/15,84.881
2017/06/16,85.402
2017/06/17,86.339
2017/06/18,86.882
2017/06/19,87.182
2017/06/20,87.709
2017/06/21,87.947
2017/06/22,88.258
2017/06/23,86.802
2017/06/24,87.521
2017/06/25,87.873
2017/06/26,88.817
2017/06/27,88.478
2017/06/28,89.195
2017/06/29,89.843
2017/06/30,89.885
2017/07/01,90.242
2017/07/02,90.445
2017/07/03,91.125
2017/07/04,91.631
2017/07/05,85.967
2017/07/06,86.537
2017/07/07,87.057
2017/07/08,87.24
2017/07/09,87.502
2017/07/10,87.979
2017/07/11,86.471
2017/07/12,81.242
2017/07/13,81.67
2017/07/14,77.596
2017/07/15,79.434
2017/07/16,80.522
2017/07/17,71.931
2017/07/18,73.358
2017/07/19,75.455
2017/07/20,76.978
2017/07/21,76.433
2017/07/22,75.97
2017/07/23,77.79
2017/07/24,73.399
2017/07/25,75.813
2017/07/26,75.179
2017/07/27,72.736
2017/07/28,74.094
2017/07/29,72.264
2017/07/30,73.979
2017/07/31,75.169
2017/08/01,75.086
2017/08/02,72.838
2017/08/03,67.443
2017/08/04,69.82
2017/08/05,68.5
2017/08/06,69.302
2017/08/07,70.996
2017/08/08,71.662
2017/08/09,72.778
2017/08/10,70.135
2017/08/11,70.986
2017/08/12,72.787
2017/08/13,73.01
2017/08/14,74.244
2017/08/15,75.006
2017/08/16,75.254
2017/08/17,76.025
2017/08/18,74.602
2017/08/19,76.759
2017/08/20,72.983
2017/08/21,74.483
2017/08/22,74.602
2017/08/23,75.927
2017/08/24,74.13
2017/08/25,70.895
2017/08/26,71.343
2017/08/27,70.529
2017/08/28,65.864
2017/08/29,70.475
2017/08/30,70.751
2017/08/31,68.223
2017/09/01,68.902
2017/09/02,68.767
2017/09/03,68.099
2017/09/04,69.2
2017/09/05,69.53
2017/09/06,68.123
2017/09/07,69.69
2017/09/08,72.846
2017/09/09,68.868
2017/09/10,66.634
2017/09/11,66.648
2017/09/12,70.285
2017/09/13,64.386
2017/09/14,65.733
2017/09/15,67.965
2017/09/16,65.465
2017/09/17,66.004
2017/09/18,63.361
2017/09/19,65.193
2017/09/20,63.772
2017/09/21,65.034
2017/09/22,63.89
2017/09/23,58.951
2017/09/24,60.906
2017/09/25,55.791
2017/09/26,56.837
2017/09/27,58.709
2017/09/28,55.198
2017/09/29,51.727
2017/09/30,51.327
2017/10/01,54.706
2017/10/02,54.387
2017/10/03,54.254
2017/10/04,56.383
2017/10/05,58.705
2017/10/06,54.433
2017/10/07,52.695
2017/10/08,55.04
2017/10/09,55.462
2017/10/10,56.42
2017/10/11,58.485
2017/10/12,55.217
2017/10/13,58.147
2017/10/14,54.207
2017/10/15,56.351
2017/10/16,58.168
2017/10/17,59.679
2017/10/18,59.112
2017/10/19,61.404
2017/10/20,60.779
2017/10/21,60.296
2017/10/22,61.53
2017/10/23,60.527
2017/10/24,62.663
2017/10/25,60.099
2017/10/26,56.931
2017/10/27,21.86
2017/10/28,21.86
2017/10/29,21.86
2017/10/30,21.86
2017/10/31,21.86
2017/11/01,55.836
2017/11/02,54.732
2017/11/03,54.396
2017/11/04,53.982
2017/11/05,54.9
2017/11/06,54.358
2017/11/07,54.208
2017/11/08,54.635
2017/11/09,54.16
2017/11/10,54.496
2017/11/11,54.484
2017/11/12,55.027
2017/11/13,54.815
2017/11/14,54.073
2017/11/15,54.219
2017/11/16,53.189
2017/11/17,53.422
2017/11/18,53.103
2017/11/19,53.488
2017/11/20,55.36
2017/11/21,54.91
2017/11/22,54.785
2017/11/23,55.801
2017/11/24,56.516
2017/11/25,56.655
2017/11/26,56.595
2017/11/27,55.945
2017/11/28,55.171
2017/11/29,55.8
2017/11/30,56.239
2017/12/01,56.455
2017/12/02,56.491
2017/12/03,54.892
2017/12/04,56.254
2017/12/05,55.214
