Date,hashrate30sma
2016/01/01,528511868894
2016/01/02,529303427221
2016/01/03,531024844078
2016/01/04,532003971762
2016/01/05,534044014736
2016/01/06,536327838789
2016/01/07,538217685727
2016/01/08,540096574561
2016/01/09,541657642241
2016/01/10,542437244932
2016/01/11,543895961776
2016/01/12,543372622320
2016/01/13,543016756501
2016/01/14,542818201319
2016/01/15,543920211412
2016/01/16,544590317026
2016/01/17,545128904122
2016/01/18,546550968280
2016/01/19,548276975909
2016/01/20,550166290243
2016/01/21,550805978610
2016/01/22,552727634724
2016/01/23,555038328297
2016/01/24,558754058325
2016/01/25,561929391328
2016/01/26,566184214169
2016/01/27,570132168397
2016/01/28,573801461650
2016/01/29,578317820488
2016/01/30,582520033878
2016/01/31,586540327276
2016/02/01,591579888734
2016/02/02,595039667532
2016/02/03,600223197451
2016/02/04,605068695041
2016/02/05,609949126448
2016/02/06,614892791973
2016/02/07,619647879050
2016/02/08,625372199804
2016/02/09,630751925183
2016/02/10,635965250305
2016/02/11,642847051136
2016/02/12,649190656327
2016/02/13,656263978924
2016/02/14,663202625360
2016/02/15,670556858535
2016/02/16,677934124896
2016/02/17,683886775881
2016/02/18,689422282321
2016/02/19,696310853790
2016/02/20,703516104600
2016/02/21,710122386109
2016/02/22,717983658554
2016/02/23,724611389675
2016/02/24,732010239473
2016/02/25,738103191327
2016/02/26,745371656517
2016/02/27,753524380631
2016/02/28,761716827962
2016/02/29,768955942863
2016/03/01,777418412019
2016/03/02,786081524588
2016/03/03,796369485713
2016/03/04,805903632016
2016/03/05,817097922018
2016/03/06,828369192112
2016/03/07,840796237959
2016/03/08,853025908443
2016/03/09,864944865586
2016/03/10,879112127899
2016/03/11,893584103437
2016/03/12,909189216360
2016/03/13,928196131338
2016/03/14,944216399872
2016/03/15,961555757409
2016/03/16,979139799634
2016/03/17,998456024187
2016/03/18,1017948093009
2016/03/19,1040239506937
2016/03/20,1062124019040
2016/03/21,1083085431082
2016/03/22,1105005549335
2016/03/23,1123160587643
2016/03/24,1145017183584
2016/03/25,1169271799524
2016/03/26,1194765418307
2016/03/27,1220104819742
2016/03/28,1243814248325
2016/03/29,1268979757044
2016/03/30,1296520445671
2016/03/31,1325469539840
2016/04/01,1353825655664
2016/04/02,1379481556929
2016/04/03,1407582398140
2016/04/04,1436887162286
2016/04/05,1466275958305
2016/04/06,1494512615471
2016/04/07,1519593568587
2016/04/08,1549329996876
2016/04/09,1577191106502
2016/04/10,1606684715406
2016/04/11,1631880566346
2016/04/12,1653193786021
2016/04/13,1679222541177
2016/04/14,1704052394505
2016/04/15,1730716849528
2016/04/16,1756781799426
2016/04/17,1781596457690
2016/04/18,1808433578213
2016/04/19,1834181796705
2016/04/20,1862202628526
2016/04/21,1889629426875
2016/04/22,1917288853042
2016/04/23,1944264175755
2016/04/24,1967857658252
2016/04/25,1993758942755
2016/04/26,2016625036661
2016/04/27,2041135984882
2016/04/28,2065373544042
2016/04/29,2089815627390
2016/04/30,2115555400274
2016/05/01,2139887061339
2016/05/02,2163496059858
2016/05/03,2188314866525
2016/05/04,2209353104704
2016/05/05,2230363225710
2016/05/06,2252499357489
2016/05/07,2276971173715
2016/05/08,2297759909411
2016/05/09,2319745056223
2016/05/10,2341134808797
2016/05/11,2361302400661
2016/05/12,2384974534497
2016/05/13,2411183011295
2016/05/14,2435458073647
2016/05/15,2457671268265
2016/05/16,2478689223394
2016/05/17,2501286295322
2016/05/18,2523554379414
2016/05/19,2548063694275
2016/05/20,2573064088945
2016/05/21,2598203890141
2016/05/22,2625356353487
2016/05/23,2649803609596
2016/05/24,2676987368605
2016/05/25,2701274258999
2016/05/26,2729057016952
2016/05/27,2756783585507
2016/05/28,2785286159596
2016/05/29,2812961020198
2016/05/30,2837129973486
2016/05/31,2860690631853
2016/06/01,2885176380396
2016/06/02,2907501970637
2016/06/03,2936601580708
