Date,hashrate3ema
2016/01/01,533358975777
2016/01/02,530706336976
2016/01/03,537773493175
2016/01/04,539532146288
2016/01/05,544196618264
2016/01/06,548189614448
2016/01/07,537204158859
2016/01/08,543946050544
2016/01/09,547801542508
2016/01/10,542874109066
2016/01/11,552265842559
2016/01/12,546679264598
2016/01/13,538620080840
2016/01/14,546185536379
2016/01/15,556662474031
2016/01/16,565374045581
2016/01/17,566847882334
2016/01/18,579173673525
2016/01/19,582026869176
2016/01/20,585076472377
2016/01/21,584607319936
2016/01/22,597632877784
2016/01/23,603218543944
2016/01/24,626938760310
2016/01/25,625780490060
2016/01/26,649432967767
2016/01/27,656515021576
2016/01/28,654393411389
2016/01/29,662216374751
2016/01/30,665503984633
2016/01/31,656096415196
2016/02/01,667668478542
2016/02/02,658151245935
2016/02/03,677473971451
2016/02/04,685849994701
2016/02/05,692222773764
2016/02/06,683375721403
2016/02/07,688358137962
2016/02/08,705872397535
2016/02/09,702605417260
2016/02/10,710331373488
2016/02/11,728939042525
2016/02/12,724904047665
2016/02/13,745427358751
2016/02/14,760363081749
2016/02/15,777537847068
2016/02/16,783588778498
2016/02/17,776833886386
2016/02/18,763889572194
2016/02/19,779336395923
2016/02/20,789816043858
2016/02/21,799331462392
2016/02/22,821986922916
2016/02/23,835738916614
2016/02/24,841163315172
2016/02/25,848518658142
2016/02/26,865084844617
2016/02/27,880969184618
2016/02/28,898390971329
2016/02/29,892178006436
2016/03/01,896370463439
2016/03/02,917752191203
2016/03/03,937512519139
2016/03/04,960166802599
2016/03/05,995110760293
2016/03/06,1015922207979
2016/03/07,1031631126205
2016/03/08,1045930897623
2016/03/09,1063443134516
2016/03/10,1093899720449
2016/03/11,1123058158157
2016/03/12,1169379128700
2016/03/13,1230227815414
2016/03/14,1238393270641
2016/03/15,1266936400753
2016/03/16,1294585139935
2016/03/17,1331855793234
2016/03/18,1343348426084
2016/03/19,1381518050963
2016/03/20,1416418316844
2016/03/21,1422778184960
2016/03/22,1444614306729
2016/03/23,1416953919716
2016/03/24,1461071354123
2016/03/25,1517648773028
2016/03/26,1569165668806
2016/03/27,1605499371487
2016/03/28,1606817876789
2016/03/29,1638797948196
2016/03/30,1675491824288
2016/03/31,1722263784900
2016/04/01,1756040589290
2016/04/02,1741495237157
2016/04/03,1783670779774
2016/04/04,1846434211060
2016/04/05,1882415873652
2016/04/06,1888427816537
2016/04/07,1850543539523
2016/04/08,1911795879797
2016/04/09,1935992737492
2016/04/10,1986508800232
2016/04/11,1979042213841
2016/04/12,1954757653113
2016/04/13,1991089516825
2016/04/14,2015732323762
2016/04/15,2068949926782
2016/04/16,2110012435128
2016/04/17,2104646620992
2016/04/18,2164723956263
2016/04/19,2194244546874
2016/04/20,2232003777294
2016/04/21,2260629078130
2016/04/22,2239852697918
2016/04/23,2277150583917
2016/04/24,2279590625392
2016/04/25,2338655862528
2016/04/26,2333235876932
2016/04/27,2338350352825
2016/04/28,2368127573621
2016/04/29,2406787887222
2016/04/30,2474008409630
2016/05/01,2496887817626
2016/05/02,2466053829114
2016/05/03,2518232175752
2016/05/04,2529288481735
2016/05/05,2538994824072
2016/05/06,2548759268445
2016/05/07,2547786508865
2016/05/08,2572248399910
2016/05/09,2595996199727
2016/05/10,2637356819952
2016/05/11,2606980101660
2016/05/12,2623808604559
2016/05/13,2718742144520
2016/05/14,2743684572891
2016/05/15,2766123970620
2016/05/16,2773868783984
2016/05/17,2775530874334
2016/05/18,2834187344311
2016/05/19,2896615963820
2016/05/20,2958195405814
2016/05/21,3000821910330
2016/05/22,3017236064204
2016/05/23,3032551108696
2016/05/24,3065047272915
2016/05/25,3095687542206
2016/05/26,3128493086065
2016/05/27,3151877485719
2016/05/28,3202429751406
2016/05/29,3239061885145
2016/05/30,3252679707911
2016/05/31,3239633342273
2016/06/01,3204712819584
2016/06/02,3222445524600
2016/06/03,3317889307219
2016/06/04,3357377692969
2016/06/05,3341784358267
2016/06/06,3391838330348
2016/06/07,3428640296867
2016/06/08,3453407183774
2016/06/09,3546561053473
2016/06/10,3485054234564
2016/06/11,3520420918911
2016/06/12,3550742623155
2016/06/13,3632945927663
2016/06/14,3691176215427
2016/06/15,3704780184528
2016/06/16,3710909568986
2016/06/17,3783817160507
2016/06/18,3773475693511
2016/06/19,3813762838973
2016/06/20,3813675156549
2016/06/21,3784431945132
2016/06/22,3849176183609
2016/06/23,3921396986562
2016/06/24,3954539376220
2016/06/25,3962844797880
2016/06/26,4026576530350
2016/06/27,4095821178233
2016/06/28,4155868024992
2016/06/29,4135497482415
2016/06/30,4136819738630
2016/07/01,4185537648168
2016/07/02,4215913005607
2016/07/03,4279717348421
2016/07/04,4306203045632
2016/07/05,4320109054014
2016/07/06,4328516329270
2016/07/07,4324894714566
2016/07/08,4335271591180
2016/07/09,4345490342111
2016/07/10,4365636624834
2016/07/11,4410267060354
2016/07/12,4432166990268
2016/07/13,4474762502185
2016/07/14,4473106105446
2016/07/15,4437507219488
2016/07/16,4432598804019
2016/07/17,4438940320964
2016/07/18,4504303821575
2016/07/19,4509170702194
2016/07/20,4467431573322
2016/07/21,4534378583112
2016/07/22,4484223031880
2016/07/23,4552325590534
2016/07/24,4524983703931
2016/07/25,4438891318972
2016/07/26,4293213272158
2016/07/27,4134000491697
2016/07/28,4182450199827
2016/07/29,4160028150755
2016/07/30,4109049446099
2016/07/31,4114651917827
2016/08/01,4074013899171
2016/08/02,3905175800406
2016/08/03,3759906099562
2016/08/04,3847883389035
2016/08/05,3939533644140
2016/08/06,3932171501849
2016/08/07,3994868982844
2016/08/08,4065877350694
2016/08/09,4209599248275
2016/08/10,4325993638636
2016/08/11,4432984732366
2016/08/12,4480600068439
2016/08/13,4479803850777
2016/08/14,4484741176398
2016/08/15,4497934869439
2016/08/16,4560204615565
2016/08/17,4588487651806
2016/08/18,4652634911471
2016/08/19,4659404930246
2016/08/20,4734184175496
2016/08/21,4796679498437
2016/08/22,4843753660718
2016/08/23,4911608518997
2016/08/24,4940103275437
2016/08/25,5008369607566
2016/08/26,5125222004038
2016/08/27,5183064057915
2016/08/28,5178926123576
2016/08/29,5144270617889
2016/08/30,5124754017045
2016/08/31,5168517673700
2016/09/01,5216555015175
2016/09/02,5277885160739
2016/09/03,5171016589637
2016/09/04,5048919013901
2016/09/05,5082419419475
2016/09/06,5074243389280
2016/09/07,5133079845661
2016/09/08,5134341476064
2016/09/09,5149927586566
2016/09/10,5181244819549
2016/09/11,5297729563349
2016/09/12,5347741704606
2016/09/13,5358366487451
2016/09/14,5454590975321
2016/09/15,5496602107574
2016/09/16,5500607976450
2016/09/17,5603138441979
2016/09/18,5320769903445
2016/09/19,5237752582335
2016/09/20,5492713245253
2016/09/21,5705636374108
2016/09/22,5556344210754
2016/09/23,5761510630454
2016/09/24,5874192588200
2016/09/25,6042550300061
2016/09/26,5951576754993
2016/09/27,6067396757610
2016/09/28,6155096066651
2016/09/29,6268621358901
2016/09/30,6240026472552
2016/10/01,6334766860818
2016/10/02,6472119233003
2016/10/03,6473658786588
2016/10/04,6545446691282
2016/10/05,6562093981875
2016/10/06,6597658485544
2016/10/07,6508365975025
2016/10/08,6599406574685
2016/10/09,6706050855055
2016/10/10,6780830942925
2016/10/11,6858668182411
2016/10/12,6777959038468
2016/10/13,6866024754035
2016/10/14,7044741289762
2016/10/15,7173161513683
2016/10/16,7332210310071
2016/10/17,7227771147413
2016/10/18,7308791597479
2016/10/19,7346707058911
2016/10/20,7493867428679
2016/10/21,7625684258675
2016/10/22,7696710955053
2016/10/23,7627463482758
2016/10/24,7669959058621
2016/10/25,7743763898286
2016/10/26,7820383306731
2016/10/27,7787545892458
2016/10/28,7617445499769
2016/10/29,6775773491406
2016/10/30,6271479658832
2016/10/31,6220812975909
2016/11/01,5742578718385
2016/11/02,5243267145948
2016/11/03,4885757522252
2016/11/04,4524990450035
2016/11/05,4225800225849
2016/11/06,4048211824997
2016/11/07,4324361185366
2016/11/08,4725380707171
2016/11/09,4862966072589
2016/11/10,4729812207336
2016/11/11,4600382931911
2016/11/12,4578336649510
2016/11/13,4757523236450
2016/11/14,4939977468573
2016/11/15,5047713056088
2016/11/16,5048980972075
2016/11/17,4943428756423
2016/11/18,5068192283096
2016/11/19,5274522801257
2016/11/20,5631719429812
2016/11/21,5977967890865
2016/11/22,5966576701979
2016/11/23,5933902914406
2016/11/24,5612372816315
2016/11/25,5455389775642
2016/11/26,5408604946302
2016/11/27,5378460260464
2016/11/28,5460966242796
2016/11/29,5456416198330
2016/11/30,5333000240725
2016/12/01,5300658807197
2016/12/02,5321000643395
2016/12/03,5467497524006
2016/12/04,5509425750966
2016/12/05,5459744822699
2016/12/06,5413314083084
2016/12/07,5455163593662
2016/12/08,5619312725123
2016/12/09,5766905480590
2016/12/10,5903717018777
2016/12/11,6054498773786
2016/12/12,6014322954195
2016/12/13,6091628475871
2016/12/14,6112045795174
2016/12/15,6104628881738
2016/12/16,6197207577300
2016/12/17,6283317120960
2016/12/18,6439277598127
2016/12/19,6513339867890
2016/12/20,6630958570821
2016/12/21,6664023625471
2016/12/22,6569799178624
2016/12/23,6296321410402
2016/12/24,5984011091576
2016/12/25,5961812884674
2016/12/26,6054655135102
2016/12/27,5999468509580
2016/12/28,5952761587314
2016/12/29,5919125924297
2016/12/30,5905595222266
2016/12/31,5931459311211
2017/01/01,5947206918566
2017/01/02,5963709173240
2017/01/03,5973944004936
2017/01/04,6288787744813
2017/01/05,6518959094926
2017/01/06,6651006080379
2017/01/07,6838325262693
2017/01/08,6945259342043
2017/01/09,7113123559743
2017/01/10,7198036153505
2017/01/11,7277398407630
2017/01/12,7354780111177
2017/01/13,7461615359562
2017/01/14,7524701618026
2017/01/15,7633083415807
2017/01/16,7684029912606
2017/01/17,7670823209948
2017/01/18,7632185006461
2017/01/19,7871634746012
2017/01/20,7855272206406
2017/01/21,7949685554129
2017/01/22,8016864991296
2017/01/23,8124916841420
2017/01/24,8124776707138
2017/01/25,8134966642114
2017/01/26,8251121498138
2017/01/27,8247111616782
2017/01/28,8263025760342
2017/01/29,8189792591183
2017/01/30,8266415185815
2017/01/31,8302673860167
2017/02/01,8264154601034
2017/02/02,8335910678967
2017/02/03,8303653622844
2017/02/04,8365837715838
2017/02/05,8570324986442
2017/02/06,8722952584644
2017/02/07,8794281205119
2017/02/08,8888688224891
2017/02/09,8917161034924
2017/02/10,9067470514119
2017/02/11,9171129095122
2017/02/12,9281831521196
2017/02/13,9402243711157
2017/02/14,9517219268183
2017/02/15,9594086320546
2017/02/16,9614003775973
2017/02/17,9713878572640
2017/02/18,9812255572960
2017/02/19,9944259275850
2017/02/20,10031197160354
2017/02/21,10188633630797
2017/02/22,10205408469115
2017/02/23,10227885831073
2017/02/24,10264318164513
2017/02/25,10438628876088
2017/02/26,10738696415597
2017/02/27,10908659840252
2017/02/28,11243831533835
2017/03/01,11218305175333
2017/03/02,11294573266907
2017/03/03,11542351906282
2017/03/04,11591954917015
2017/03/05,11880745614866
2017/03/06,12041013685388
2017/03/07,12083613908677
2017/03/08,12324668288671
2017/03/09,12458858412750
2017/03/10,12540765543286
2017/03/11,12705776469366
2017/03/12,12808651066639
2017/03/13,13122413588698
2017/03/14,13188193880127
2017/03/15,13409067625984
2017/03/16,13600771524863
2017/03/17,14060296031705
2017/03/18,14378589635678
2017/03/19,14146492163505
2017/03/20,14504734011347
2017/03/21,14533250444497
2017/03/22,14722360211748
2017/03/23,15074123586596
2017/03/24,15204126760041
2017/03/25,15321340955494
2017/03/26,15771993065880
2017/03/27,16332102709248
2017/03/28,16395448563738
2017/03/29,16768316108074
2017/03/30,16975856947014
2017/03/31,17309216575179
2017/04/01,17325525745017
2017/04/02,17323063656262
2017/04/03,16943118436844
2017/04/04,17267594212466
2017/04/05,17680993856038
2017/04/06,17823895434923
2017/04/07,18038238233077
2017/04/08,18191041939754
2017/04/09,18098840795116
2017/04/10,18085488113698
2017/04/11,18377850556418
2017/04/12,18468194393487
2017/04/13,18335215085878
2017/04/14,19086088744013
2017/04/15,19172520721071
2017/04/16,19383444844550
2017/04/17,19636235904830
2017/04/18,19967464026535
2017/04/19,20023308957840
2017/04/20,20156031816500
2017/04/21,20480407613456
2017/04/22,20690523547006
2017/04/23,21039875315230
2017/04/24,20854329838322
2017/04/25,21217646814254
2017/04/26,21255540204930
2017/04/27,21435638587497
2017/04/28,22194353066579
2017/04/29,22830670242420
2017/04/30,22884828468844
2017/05/01,23044624855088
2017/05/02,23145389105326
2017/05/03,23379557824194
2017/05/04,23323949755836
2017/05/05,23894422889901
2017/05/06,24154477400063
2017/05/07,24507789827400
2017/05/08,24494846547413
2017/05/09,25050080273033
2017/05/10,25200152246407
2017/05/11,25497669342613
2017/05/12,26096505639013
2017/05/13,26073947660059
2017/05/14,26478656035897
2017/05/15,27146730900745
2017/05/16,27688318290492
2017/05/17,27226030045989
2017/05/18,27483013939752
2017/05/19,28150669122006
2017/05/20,28878850881138
2017/05/21,29689068245422
2017/05/22,30535421723532
2017/05/23,30385338661417
2017/05/24,30682757410023
2017/05/25,30909501588829
2017/05/26,31056620859534
2017/05/27,31601718342822
2017/05/28,31770451912696
2017/05/29,32894496567643
2017/05/30,34579272816017
2017/05/31,34942953776834
2017/06/01,36095869447247
2017/06/02,36195530189884
2017/06/03,36795596713064
2017/06/04,37583675478108
2017/06/05,38437559876055
2017/06/06,39133196957953
2017/06/07,40300463745235
2017/06/08,41065074122057
2017/06/09,41412874141561
2017/06/10,42676382667512
2017/06/11,43850782623021
2017/06/12,44409538345920
2017/06/13,45465806716945
2017/06/14,46558707243346
2017/06/15,47540284017439
2017/06/16,48452090999446
2017/06/17,49719030440778
2017/06/18,50857350117116
2017/06/19,51714086271733
2017/06/20,52664402687858
