Date,hashrate3trx
2016/01/01,-0.36
2016/01/02,-0.469
2016/01/03,-0.051
2016/01/04,0.149
2016/01/05,0.379
2016/01/06,0.525
2016/01/07,-0.078
2016/01/08,0.102
2016/01/09,0.3
2016/01/10,0.047
2016/01/11,0.404
2016/01/12,0.135
2016/01/13,-0.334
2016/01/14,-0.022
2016/01/15,0.543
2016/01/16,0.943
2016/01/17,0.867
2016/01/18,1.181
2016/01/19,1.081
2016/01/20,0.914
2016/01/21,0.621
2016/01/22,0.954
2016/01/23,1.031
2016/01/24,1.791
2016/01/25,1.46
2016/01/26,1.975
2016/01/27,1.869
2016/01/28,1.275
2016/01/29,1.111
2016/01/30,0.914
2016/01/31,0.275
2016/02/01,0.489
2016/02/02,0.057
2016/02/03,0.668
2016/02/04,0.964
2016/02/05,1.028
2016/02/06,0.455
2016/02/07,0.383
2016/02/08,0.909
2016/02/09,0.688
2016/02/10,0.738
2016/02/11,1.227
2016/02/12,0.889
2016/02/13,1.299
2016/02/14,1.581
2016/02/15,1.824
2016/02/16,1.612
2016/02/17,0.923
2016/02/18,0.101
2016/02/19,0.374
2016/02/20,0.688
2016/02/21,0.897
2016/02/22,1.442
2016/02/23,1.635
2016/02/24,1.427
2016/02/25,1.235
2016/02/26,1.371
2016/02/27,1.524
2016/02/28,1.678
2016/02/29,1.103
2016/03/01,0.802
2016/03/02,1.129
2016/03/03,1.472
2016/03/04,1.799
2016/03/05,2.356
2016/03/06,2.42
2016/03/07,2.206
2016/03/08,1.942
2016/03/09,1.809
2016/03/10,2.05
2016/03/11,2.268
2016/03/12,2.806
2016/03/13,3.57
2016/03/14,2.967
2016/03/15,2.651
2016/03/16,2.453
2016/03/17,2.518
2016/03/18,2.099
2016/03/19,2.191
2016/03/20,2.301
2016/03/21,1.843
2016/03/22,1.653
2016/03/23,0.688
2016/03/24,1.061
2016/03/25,1.873
2016/03/26,2.468
2016/03/27,2.57
2016/03/28,1.94
2016/03/29,1.803
2016/03/30,1.882
2016/03/31,2.137
2016/04/01,2.153
2016/04/02,1.379
2016/04/03,1.458
2016/04/04,2.008
2016/04/05,2.125
2016/04/06,1.682
2016/04/07,0.627
2016/04/08,1.041
2016/04/09,1.201
2016/04/10,1.601
2016/04/11,1.186
2016/04/12,0.47
2016/04/13,0.642
2016/04/14,0.836
2016/04/15,1.343
2016/04/16,1.632
2016/04/17,1.214
2016/04/18,1.531
2016/04/19,1.565
2016/04/20,1.613
2016/04/21,1.54
2016/04/22,0.889
2016/04/23,0.926
2016/04/24,0.727
2016/04/25,1.15
2016/04/26,0.899
2016/04/27,0.665
2016/04/28,0.761
2016/04/29,1.006
2016/04/30,1.523
2016/05/01,1.494
2016/05/02,0.785
2016/05/03,0.947
2016/05/04,0.857
2016/05/05,0.715
2016/05/06,0.596
2016/05/07,0.407
2016/05/08,0.499
2016/05/09,0.629
2016/05/10,0.906
2016/05/11,0.449
2016/05/12,0.385
2016/05/13,1.184
2016/05/14,1.311
2016/05/15,1.216
2016/05/16,0.953
2016/05/17,0.662
2016/05/18,0.957
2016/05/19,1.348
2016/05/20,1.644
2016/05/21,1.663
2016/05/22,1.379
2016/05/23,1.087
2016/05/24,1.012
2016/05/25,0.99
2016/05/26,1.003
2016/05/27,0.941
2016/05/28,1.094
2016/05/29,1.145
2016/05/30,0.972
2016/05/31,0.58
2016/06/01,0.066
2016/06/02,0.06
2016/06/03,0.784
2016/06/04,1.068
2016/06/05,0.745
2016/06/06,0.856
2016/06/07,0.942
2016/06/08,0.907
2016/06/09,1.354
2016/06/10,0.667
2016/06/11,0.586
2016/06/12,0.636
2016/06/13,1.073
2016/06/14,1.317
2016/06/15,1.132
2016/06/16,0.841
2016/06/17,1.054
2016/06/18,0.767
2016/06/19,0.773
2016/06/20,0.577
2016/06/21,0.19
2016/06/22,0.474
2016/06/23,0.899
2016/06/24,0.99
2016/06/25,0.814
2016/06/26,0.972
2016/06/27,1.201
2016/06/28,1.326
2016/06/29,0.889
2016/06/30,0.565
2016/07/01,0.64
2016/07/02,0.68
2016/07/03,0.901
2016/07/04,0.884
2016/07/05,0.737
2016/07/06,0.563
2016/07/07,0.357
2016/07/08,0.277
2016/07/09,0.246
2016/07/10,0.293
2016/07/11,0.488
2016/07/12,0.539
2016/07/13,0.658
2016/07/14,0.511
2016/07/15,0.145
2016/07/16,-0.009
2016/07/17,-0.01
2016/07/18,0.36
2016/07/19,0.389
2016/07/20,0.065
2016/07/21,0.342
2016/07/22,0.045
2016/07/23,0.339
2016/07/24,0.175
2016/07/25,-0.386
2016/07/26,-1.241
2016/07/27,-2.054
2016/07/28,-1.498
2016/07/29,-1.12
2016/07/30,-1.048
2016/07/31,-0.74
2016/08/01,-0.723
2016/08/02,-1.561
2016/08/03,-2.294
2016/08/04,-1.389
2016/08/05,-0.229
2016/08/06,0.077
2016/08/07,0.534
2016/08/08,0.964
