Date,hashrate7mom
2016/01/01,-13107032057
2016/01/02,-1308531537
2016/01/03,-600110876
2016/01/04,-3867649148
2016/01/05,6668086629
2016/01/06,17634037660
2016/01/07,-16506489554
2016/01/08,24607898434
2016/01/09,23603336296
2016/01/10,-6893973751
2016/01/11,20366776651
2016/01/12,-7768403603
2016/01/13,-21621713550
2016/01/14,27532288649
2016/01/15,16451469453
2016/01/16,22428582659
2016/01/17,30375043463
2016/01/18,29841888664
2016/01/19,43787378192
2016/01/20,57565178495
2016/01/21,30387175577
2016/01/22,43519023951
2016/01/23,34718592972
2016/01/24,82337257590
2016/01/25,33122755095
2016/01/26,88205380646
2016/01/27,75470999809
2016/01/28,68133633706
2016/01/29,59380902481
2016/01/30,59987384412
2016/01/31,-3970130917
2016/02/01,54618322076
2016/02/02,-24451432145
2016/02/03,33199621581
2016/02/04,41954216749
2016/02/05,28556214713
2016/02/06,5737074527
2016/02/07,46651708763
2016/02/08,44146115221
2016/02/09,50704423656
2016/02/10,21260632750
2016/02/11,53320693611
2016/02/12,22273499978
2016/02/13,91422000795
2016/02/14,81958250225
2016/02/15,71325955280
2016/02/16,90301272942
2016/02/17,52021664559
2016/02/18,3398546440
2016/02/19,73914166848
2016/02/20,34345021956
2016/02/21,33548076178
2016/02/22,49929771052
2016/02/23,59851200386
2016/02/24,76508719455
2016/02/25,104928743109
2016/02/26,86867811440
2016/02/27,96557832827
2016/02/28,106965877114
2016/02/29,41322658104
2016/03/01,51072010130
2016/03/02,92546205236
2016/03/03,101398845964
2016/03/04,101170054967
2016/03/05,133201193367
2016/03/06,120920897625
2016/03/07,161375002888
2016/03/08,159667748598
2016/03/09,141821452443
2016/03/10,167083459308
2016/03/11,169395509805
2016/03/12,185645381257
2016/03/13,254342846464
2016/03/14,199218681437
2016/03/15,235248861824
2016/03/16,241278507709
2016/03/17,244770140150
2016/03/18,202624463070
2016/03/19,203987576598
2016/03/20,160242080597
2016/03/21,182579327206
2016/03/22,170970897633
2016/03/23,67059653586
2016/03/24,136062341996
2016/03/25,219385132999
2016/03/26,200994888744
2016/03/27,190514491441
2016/03/28,178998329017
2016/03/29,204327591104
2016/03/30,322892167677
2016/03/31,263846956983
2016/04/01,215591201747
2016/04/02,106267320439
2016/04/03,184013248224
2016/04/04,301061260254
2016/04/05,247619516642
2016/04/06,182254059040
2016/04/07,43623516998
2016/04/08,183230826390
2016/04/09,233239710164
2016/04/10,211178540581
2016/04/11,62377985106
2016/04/12,12075556140
2016/04/13,132981621115
2016/04/14,227715868190
2016/04/15,149119309732
2016/04/16,190885348287
2016/04/17,62255943884
2016/04/18,253225664084
2016/04/19,293292045100
2016/04/20,242341627177
2016/04/21,248879248267
2016/04/22,96908787903
2016/04/23,163373526442
2016/04/24,182749860013
2016/04/25,172919808129
2016/04/26,104050753853
2016/04/27,73701821004
2016/04/28,108650415450
2016/04/29,226371883118
2016/04/30,226780462122
2016/05/01,237736558753
2016/05/02,37498740938
2016/05/03,242594631053
2016/05/04,196879959000
2016/05/05,150796371992
2016/05/06,113075511994
2016/05/07,5584817246
2016/05/08,76943065333
2016/05/09,184524158942
2016/05/10,108306917787
2016/05/11,36258595651
2016/05/12,91935941049
2016/05/13,255151971664
2016/05/14,221813251978
2016/05/15,191853077394
2016/05/16,161869597802
2016/05/17,98475524508
2016/05/18,316240430919
2016/05/19,318407475871
2016/05/20,206099163326
2016/05/21,274821413583
2016/05/22,245086849729
2016/05/23,266252555842
2016/05/24,320350472448
2016/05/25,233483997209
2016/05/26,202254046595
2016/05/27,155487037565
2016/05/28,209533602248
2016/05/29,242043800807
2016/05/30,218431377487
2016/05/31,129043539503
2016/06/01,43464485397
2016/06/02,78879599693
2016/06/03,238071204465
2016/06/04,143884061626
2016/06/05,50497004680
2016/06/06,175594771752
2016/06/07,238855286751
2016/06/08,308381773786
2016/06/09,399536693555
2016/06/10,10214325817
2016/06/11,158921524540
2016/06/12,254873303834
2016/06/13,273256929742
2016/06/14,283964239805
2016/06/15,240210082949
2016/06/16,77324030271
2016/06/17,433177336373
2016/06/18,207346623256
2016/06/19,272985657037
2016/06/20,98438241954
2016/06/21,5782230522
2016/06/22,195536268458
2016/06/23,276578836072
2016/06/24,130957013851
2016/06/25,208015993025
2016/06/26,236258278383
2016/06/27,351478351992
2016/06/28,460726138036
2016/06/29,201206517751
2016/06/30,144524205330
2016/07/01,246573791828
2016/07/02,275138143506
2016/07/03,253213428416
2016/07/04,167622916727
2016/07/05,118100190646
2016/07/06,221796664688
2016/07/07,183131105016
2016/07/08,111392910087
2016/07/09,109420729996
2016/07/10,42261216322
2016/07/11,122208753032
2016/07/12,120051857785
2016/07/13,180434409575
2016/07/14,150176608846
2016/07/15,56259865736
2016/07/16,71981295509
2016/07/17,59498930352
2016/07/18,114769826311
2016/07/19,59970662631
2016/07/20,-91665569652
2016/07/21,129875884193
2016/07/22,32159147119
2016/07/23,192737760637
2016/07/24,52359979420
2016/07/25,-216868388173
2016/07/26,-366502357469
2016/07/27,-450904733215
2016/07/28,-370425684944
2016/07/29,-296461378965
2016/07/30,-562357407745
2016/07/31,-377387427774
2016/08/01,-319423053498
2016/08/02,-411197523704
2016/08/03,-360151312517
2016/08/04,-295039229450
2016/08/05,-106422202438
2016/08/06,-133261381885
2016/08/07,-62687925716
2016/08/08,103509838028
2016/08/09,616983444217
2016/08/10,827751630278
2016/08/11,604115147590
2016/08/12,497031505266
2016/08/13,554198273557
2016/08/14,432112038180
2016/08/15,374242843936
2016/08/16,269153215834
2016/08/17,174382659052
2016/08/18,176806345039
2016/08/19,137959544510
2016/08/20,329955787631
2016/08/21,369496319359
2016/08/22,379699260520
2016/08/23,356989015584
2016/08/24,351827343830
2016/08/25,359853768558
2016/08/26,575899451491
2016/08/27,431942691046
2016/08/28,315613367860
2016/08/29,218787289203
2016/08/30,125774038926
2016/08/31,243683298477
2016/09/01,187956416955
2016/09/02,97140905792
2016/09/03,-176758093257
2016/09/04,-247966751073
2016/09/05,6304712847
2016/09/06,-39170057117
2016/09/07,-20365028313
2016/09/08,-128989250183
2016/09/09,-173701609235
2016/09/10,148414033997
2016/09/11,487392868984
2016/09/12,281834020815
2016/09/13,302923911212
2016/09/14,358899161149
2016/09/15,403010133362
2016/09/16,339100148256
2016/09/17,493106854977
2016/09/18,-375812942239
2016/09/19,-243018584638
2016/09/20,378682637875
2016/09/21,367744039772
2016/09/22,-131561192428
2016/09/23,462063204830
2016/09/24,281205638436
2016/09/25,1172506647012
2016/09/26,705867948699
2016/09/27,435542852056
2016/09/28,324235872729
2016/09/29,975094603751
2016/09/30,244754536049
2016/10/01,442632703139
2016/10/02,398563593265
2016/10/03,614595130250
2016/10/04,434017835748
2016/10/05,335945896775
2016/10/06,251076338062
2016/10/07,207641878304
2016/10/08,260939925259
2016/10/09,203223530239
2016/10/10,380412690621
2016/10/11,319270825923
2016/10/12,118508622057
2016/10/13,320867480389
2016/10/14,804384360981
2016/10/15,611134563261
2016/10/16,678563971034
2016/10/17,267720953960
2016/10/18,453306625648
2016/10/19,687372625817
2016/10/20,686937328846
2016/10/21,534043263182
2016/10/22,466155913827
2016/10/23,66956904004
2016/10/24,589122649729
2016/10/25,427756690405
2016/10/26,512380194834
2016/10/27,113680679738
2016/10/28,-310155981591
2016/10/29,-1833636168389
2016/10/30,-1791030184204
2016/10/31,-1542308341498
2016/11/01,-2553224277089
2016/11/02,-3153047141665
2016/11/03,-3226460579629
2016/11/04,-3283121729261
2016/11/05,-2007491481380
2016/11/06,-1896562402114
2016/11/07,-1569635747252
2016/11/08,-137944231884
2016/11/09,256595864496
2016/11/10,68410443527
2016/11/11,306730278667
2016/11/12,629680365448
