Date,hashrate7var
2016/01/01,5.3584465715878E+19
2016/01/02,5.6997235513174E+19
2016/01/03,5.5721442191688E+19
2016/01/04,4.9263796834041E+19
2016/01/05,6.4402619272163E+19
2016/01/06,8.4802017362696E+19
2016/01/07,1.0803049069831E+20
2016/01/08,9.6837821102142E+19
2016/01/09,7.2801342192271E+19
2016/01/10,7.9142730250574E+19
2016/01/11,1.1346787303211E+20
2016/01/12,1.1679376811688E+20
2016/01/13,1.3535322497855E+20
2016/01/14,9.748933091931E+19
2016/01/15,1.4907052957072E+20
2016/01/16,2.2695695564278E+20
2016/01/17,2.1520119842486E+20
2016/01/18,3.6687082989943E+20
2016/01/19,3.535740379007E+20
2016/01/20,1.571091320764E+20
2016/01/21,8.2214201787228E+19
2016/01/22,1.574265022233E+20
2016/01/23,1.8724985062755E+20
2016/01/24,4.8580027334842E+20
2016/01/25,5.14325215904E+20
2016/01/26,8.9914709474688E+20
2016/01/27,9.0901068525469E+20
2016/01/28,5.6918665909841E+20
2016/01/29,4.9418153254267E+20
2016/01/30,2.4569311439035E+20
2016/01/31,2.5547486995166E+20
2016/02/01,1.1528231006717E+20
2016/02/02,1.3072246176441E+20
2016/02/03,2.8725553676872E+20
2016/02/04,3.3743351100537E+20
2016/02/05,4.2080246188095E+20
2016/02/06,4.1278908523898E+20
2016/02/07,2.7581720975463E+20
2016/02/08,4.5917691431014E+20
2016/02/09,1.7573546607543E+20
2016/02/10,2.2879696501449E+20
2016/02/11,4.857613320983E+20
2016/02/12,4.877572722121E+20
2016/02/13,5.58280106378E+20
2016/02/14,6.6121036823137E+20
2016/02/15,1.0316302257433E+21
2016/02/16,8.2706747063171E+20
2016/02/17,5.5186524385665E+20
2016/02/18,5.350703299069E+20
2016/02/19,2.3437774912005E+20
2016/02/20,2.6701321031443E+20
2016/02/21,3.3819205534188E+20
2016/02/22,7.5286437345352E+20
2016/02/23,1.1139245146566E+21
2016/02/24,1.1170341409463E+21
2016/02/25,5.8515666991241E+20
2016/02/26,6.6870992805327E+20
2016/02/27,6.8587250594938E+20
2016/02/28,6.8097981072009E+20
2016/02/29,5.8914625144412E+20
2016/03/01,5.2122552708085E+20
2016/03/02,5.9845673766417E+20
2016/03/03,6.7900197913767E+20
2016/03/04,1.0829196690394E+21
2016/03/05,2.1656885508438E+21
2016/03/06,2.9644017246695E+21
2016/03/07,2.6570390673358E+21
2016/03/08,1.9338060668872E+21
