Date,hashrate7wma
2016/01/01,537005194239
2016/01/02,534536181221
2016/01/03,536310639273
2016/01/04,537219067362
2016/01/05,540158198488
2016/01/06,543689563761
2016/01/07,540100165134
2016/01/08,543217593731
2016/01/09,545698441873
2016/01/10,543908724007
2016/01/11,548292944596
2016/01/12,546808557951
2016/01/13,542968666903
2016/01/14,545698503620
2016/01/15,550792149254
2016/01/16,557034793770
2016/01/17,561035442966
2016/01/18,569745705588
2016/01/19,575735336500
2016/01/20,580972635165
2016/01/21,583157057576
2016/01/22,590886290752
2016/01/23,596597716689
2016/01/24,611532884522
2016/01/25,617018246795
2016/01/26,633436459944
2016/01/27,644332388406
2016/01/28,649701605472
2016/01/29,657079362704
2016/01/30,662024437520
2016/01/31,659301418561
2016/02/01,664858114023
2016/02/02,660812522986
2016/02/03,669680868292
2016/02/04,676720843074
2016/02/05,683354836690
2016/02/06,682952244550
2016/02/07,687047728260
2016/02/08,696988605161
2016/02/09,699340780059
2016/02/10,704561805867
2016/02/11,716395868824
2016/02/12,719656206605
2016/02/13,733391466502
2016/02/14,746198688670
2016/02/15,760932282382
2016/02/16,771850294934
2016/02/17,774653083111
2016/02/18,770814520628
2016/02/19,777814071899
2016/02/20,783551949531
2016/02/21,790201016521
2016/02/22,804600813560
2016/02/23,818429536209
2016/02/24,829394916842
2016/02/25,839949415053
2016/02/26,853200715649
2016/02/27,867150217790
2016/02/28,882391034256
2016/02/29,886349711700
2016/03/01,892482049652
2016/03/02,906433136873
2016/03/03,921613734506
2016/03/04,939560004528
2016/03/05,965701466284
2016/03/06,988755476982
2016/03/07,1010142481385
2016/03/08,1028988748980
2016/03/09,1047313772574
2016/03/10,1071423978039
2016/03/11,1096531989470
2016/03/12,1131461037110
2016/03/13,1178603993284
2016/03/14,1205533832305
2016/03/15,1237578919666
2016/03/16,1267910849025
2016/03/17,1301348830678
2016/03/18,1322473674710
2016/03/19,1352573585003
2016/03/20,1383295951424
2016/03/21,1402750253983
2016/03/22,1425011960140
2016/03/23,1421878338861
2016/03/24,1445323543911
2016/03/25,1481168730455
2016/03/26,1520792826840
2016/03/27,1558526161737
2016/03/28,1581031234635
2016/03/29,1612803919447
2016/03/30,1647631110484
2016/03/31,1685138949673
2016/04/01,1718419095298
2016/04/02,1728282677982
2016/04/03,1759075108563
2016/04/04,1804133467411
2016/04/05,1840739611867
2016/04/06,1862512757952
2016/04/07,1857331706271
2016/04/08,1890689911231
2016/04/09,1914289501885
2016/04/10,1948767919836
2016/04/11,1959341938172
2016/04/12,1957412537559
2016/04/13,1979288939122
2016/04/14,1999654434614
2016/04/15,2032335320304
2016/04/16,2066917369779
2016/04/17,2081733551231
2016/04/18,2125706427286
2016/04/19,2160376491111
2016/04/20,2196071306597
2016/04/21,2227983906783
2016/04/22,2233463447073
2016/04/23,2259324997275
2016/04/24,2271247327915
2016/04/25,2305565486038
2016/04/26,2316231634647
2016/04/27,2327093919249
2016/04/28,2348933987382
2016/04/29,2378779535137
2016/04/30,2424485555585
2016/05/01,2456726847209
2016/05/02,2459340701195
2016/05/03,2494412984879
2016/05/04,2513304740930
2016/05/05,2527254164546
2016/05/06,2538273640050
2016/05/07,2542327213529
2016/05/08,2558655464666
2016/05/09,2577994176332
2016/05/10,2605486099622
2016/05/11,2603581404503
2016/05/12,2616390190562
2016/05/13,2669175194411
2016/05/14,2701585457038
2016/05/15,2731057909581
2016/05/16,2751941023752
2016/05/17,2765937922693
2016/05/18,2805330551016
2016/05/19,2849979070496
2016/05/20,2898438460529
2016/05/21,2945455557916
2016/05/22,2980208055627
2016/05/23,3009761435339
2016/05/24,3042225116186
2016/05/25,3070443802322
2016/05/26,3099066478879
2016/05/27,3123956610491
2016/05/28,3162723666548
2016/05/29,3199685380116
2016/05/30,3225653550175
2016/05/31,3233892961099
2016/06/01,3223325004248
2016/06/02,3228801227528
2016/06/03,3274749037303
2016/06/04,3308077551281
2016/06/05,3318598584984
2016/06/06,3356241473950
2016/06/07,3393500611308
2016/06/08,3425412154533
2016/06/09,3486695276104
2016/06/10,3479667353168
2016/06/11,3505334679782
2016/06/12,3531645418698
2016/06/13,3582374765813
2016/06/14,3631909254621
2016/06/15,3663546576045
2016/06/16,3686268665889
2016/06/17,3741150632869
2016/06/18,3757164349315
2016/06/19,3788501768696
2016/06/20,3799974072748
2016/06/21,3793331040199
2016/06/22,3826164421511
2016/06/23,3871938706520
2016/06/24,3906351170046
2016/06/25,3931953710779
2016/06/26,3979916619723
2016/06/27,4038131123835
2016/06/28,4096505091070
2016/06/29,4113227570397
2016/06/30,4128517866413
2016/07/01,4162674974383
2016/07/02,4191034076837
2016/07/03,4233875149070
2016/07/04,4264964647476
2016/07/05,4290399193030
2016/07/06,4312343010165
2016/07/07,4322452891680
2016/07/08,4332116218571
2016/07/09,4340316383556
2016/07/10,4352127118956
2016/07/11,4379707172281
2016/07/12,4402714983361
2016/07/13,4437258001571
2016/07/14,4453879857376
2016/07/15,4447752919070
2016/07/16,4446062213601
2016/07/17,4446198609918
2016/07/18,4475306415505
2016/07/19,4486407863881
2016/07/20,4473281218286
2016/07/21,4507336630149
2016/07/22,4494939089513
2016/07/23,4527983175044
2016/07/24,4523447186158
2016/07/25,4480830477179
2016/07/26,4394643140610
2016/07/27,4278358295423
2016/07/28,4242205239889
2016/07/29,4195958221534
2016/07/30,4140415269511
2016/07/31,4120502422650
2016/08/01,4092348070949
2016/08/02,4001342140726
2016/08/03,3894596510618
2016/08/04,3881019497334
2016/08/05,3901810404572
2016/08/06,3899808469832
2016/08/07,3935755146230
2016/08/08,3993770490793
2016/08/09,4102197912256
2016/08/10,4210856931495
2016/08/11,4314350341785
2016/08/12,4393328105694
2016/08/13,4442252801566
2016/08/14,4474052419179
2016/08/15,4495781979115
2016/08/16,4531982173000
2016/08/17,4557143833622
2016/08/18,4601080412908
2016/08/19,4626050674341
2016/08/20,4681790927117
2016/08/21,4738299894778
2016/08/22,4789525815724
2016/08/23,4849349937364
2016/08/24,4893708114954
2016/08/25,4952510507219
2016/08/26,5039820594383
2016/08/27,5106270771814
2016/08/28,5140764943926
2016/08/29,5147693940784
2016/08/30,5145714681885
2016/08/31,5166004471562
2016/09/01,5190669042868
2016/09/02,5227276622410
2016/09/03,5191648061946
2016/09/04,5128000645434
2016/09/05,5120483781038
2016/09/06,5100278631836
2016/09/07,5112934648984
2016/09/08,5112239689679
2016/09/09,5123629136959
2016/09/10,5152984302005
2016/09/11,5227452029492
2016/09/12,5280397753480
2016/09/13,5316087332832
2016/09/14,5386414249294
2016/09/15,5440872782731
2016/09/16,5472438248493
2016/09/17,5542156760221
2016/09/18,5427447427192
2016/09/19,5355243459037
2016/09/20,5439953387784
2016/09/21,5553860335305
2016/09/22,5526756703229
2016/09/23,5644257935856
2016/09/24,5750306285117
2016/09/25,5902319942356
2016/09/26,5924882161702
2016/09/27,6002888199027
2016/09/28,6080233788359
2016/09/29,6180837343959
2016/09/30,6203937326045
2016/10/01,6272814990421
2016/10/02,6370875432996
2016/10/03,6421133145273
2016/10/04,6484950095419
2016/10/05,6523643077698
2016/10/06,6563958421421
2016/10/07,6541769371894
2016/10/08,6580007968459
2016/10/09,6639489272248
2016/10/10,6702441566658
2016/10/11,6772031291320
2016/10/12,6770404604643
2016/10/13,6828755610946
2016/10/14,6942988903351
2016/10/15,7048025160892
2016/10/16,7178654526245
2016/10/17,7193067683635
2016/10/18,7264539394081
2016/10/19,7318524200381
2016/10/20,7412061303858
2016/10/21,7510183253859
2016/10/22,7591791370866
2016/10/23,7604370652137
2016/10/24,7653118271414
2016/10/25,7707104321923
2016/10/26,7765671842082
2016/10/27,7770366510320
2016/10/28,7694160311506
2016/10/29,7250720206025
2016/10/30,6831038192361
2016/10/31,6576061659102
2016/11/01,6149717108578
2016/11/02,5684461917542
2016/11/03,5277888634255
2016/11/04,4895539955771
2016/11/05,4571042280721
2016/11/06,4304244085627
2016/11/07,4287652042434
2016/11/08,4458590839596
2016/11/09,4602994018727
2016/11/10,4637259785858
2016/11/11,4637656151464
2016/11/12,4648432041917
2016/11/13,4731824211959
2016/11/14,4823572337069
2016/11/15,4904934656657
2016/11/16,4958959593981
2016/11/17,4958116535551
2016/11/18,5037428358704
2016/11/19,5162928768080
2016/11/20,5382424756753
2016/11/21,5648167024708
2016/11/22,5778730702556
2016/11/23,5867243252786
2016/11/24,5772767049479
2016/11/25,5664004486877
2016/11/26,5567329165303
2016/11/27,5471528893946
2016/11/28,5447396373921
2016/11/29,5428246054892
2016/11/30,5366500959579
2016/12/01,5344140738465
2016/12/02,5340841270422
2016/12/03,5404171364185
2016/12/04,5442835126716
2016/12/05,5438924996827
2016/12/06,5428984312436
2016/12/07,5454611168609
2016/12/08,5541584897829
2016/12/09,5642919704669
2016/12/10,5755292243292
2016/12/11,5893619412288
2016/12/12,5950808713062
2016/12/13,6036548899567
2016/12/14,6084526699086
2016/12/15,6100997068839
2016/12/16,6154405653599
2016/12/17,6214321192128
2016/12/18,6318943222336
2016/12/19,6407679212903
2016/12/20,6514807023100
2016/12/21,6588361139310
2016/12/22,6586371569661
2016/12/23,6457686271775
2016/12/24,6250748921912
2016/12/25,6135708830158
2016/12/26,6096054536683
2016/12/27,6021307251845
2016/12/28,5965727997600
2016/12/29,5933258857238
2016/12/30,5923507726989
2016/12/31,5934741999646
2017/01/01,5937183245624
2017/01/02,5943105151094
2017/01/03,5955993407230
2017/01/04,6122319934217
2017/01/05,6300107743448
2017/01/06,6455531915599
2017/01/07,6639782913059
2017/01/08,6792516831584
2017/01/09,6963547949998
2017/01/10,7088613012671
2017/01/11,7185746414300
2017/01/12,7274832633562
2017/01/13,7373597073641
2017/01/14,7449145918637
2017/01/15,7543037546783
2017/01/16,7610690124162
2017/01/17,7642788846300
2017/01/18,7645489150929
2017/01/19,7769117228305
2017/01/20,7800454362746
2017/01/21,7873429553848
2017/01/22,7940094304268
2017/01/23,8031755148499
2017/01/24,8078547524410
2017/01/25,8113790613324
2017/01/26,8184863297429
2017/01/27,8215742617259
2017/01/28,8241146048184
2017/01/29,8217567179996
2017/01/30,8249446651643
2017/01/31,8276368772919
2017/02/01,8267313168838
2017/02/02,8300891176907
2017/02/03,8298959123047
2017/02/04,8335172850026
2017/02/05,8452759835311
2017/02/06,8572029772223
2017/02/07,8669787748309
2017/02/08,8778107175909
2017/02/09,8850009114198
2017/02/10,8970734479289
2017/02/11,9071912356990
2017/02/12,9172285164359
2017/02/13,9283126971254
2017/02/14,9398243662091
2017/02/15,9495671954152
2017/02/16,9559275849112
2017/02/17,9643256086177
2017/02/18,9730171360806
2017/02/19,9835785490473
2017/02/20,9927448742689
2017/02/21,10054828646724
2017/02/22,10125741306735
2017/02/23,10184012154769
2017/02/24,10232864044690
2017/02/25,10342370452444
2017/02/26,10533250558687
2017/02/27,10699720457511
2017/02/28,10956982196247
2017/03/01,11073654506401
2017/03/02,11200178326631
