Date,median_transaction_fee30rocUSD
2016/01/01,13.496
2016/01/02,18.831
2016/01/03,19.724
2016/01/04,14.95
2016/01/05,239.509
2016/01/06,241.551
2016/01/07,254.792
2016/01/08,24.839
2016/01/09,56.274
2016/01/10,26.815
2016/01/11,0.311
2016/01/12,21.134
2016/01/13,-26.017
2016/01/14,-79.176
2016/01/15,3.16
2016/01/16,28.456
2016/01/17,10.392
2016/01/18,86.876
2016/01/19,48.996
2016/01/20,34.793
2016/01/21,-25.092
2016/01/22,-40.481
2016/01/23,66.778
2016/01/24,145.1
2016/01/25,151.555
2016/01/26,-10.86
2016/01/27,180.484
2016/01/28,188.147
2016/01/29,-8.758
2016/01/30,164.123
2016/01/31,148.755
2016/02/01,130.059
2016/02/02,128.133
2016/02/03,149.726
2016/02/04,-12.78
2016/02/05,-8.819
2016/02/06,152.485
2016/02/07,172.001
2016/02/08,143.58
2016/02/09,222.348
2016/02/10,313.755
2016/02/11,319.794
2016/02/12,86.883
2016/02/13,337.745
2016/02/14,294.599
2016/02/15,340.555
2016/02/16,293.799
2016/02/17,159.426
2016/02/18,144.898
2016/02/19,206.972
2016/02/20,190.947
2016/02/21,143.049
2016/02/22,195.233
2016/02/23,184.668
2016/02/24,127.748
2016/02/25,118.955
2016/02/26,107.765
2016/02/27,110.737
2016/02/28,150.566
2016/02/29,154.649
2016/03/01,182.689
2016/03/02,259.162
2016/03/03,313.287
2016/03/04,281.317
2016/03/05,339.424
2016/03/06,339.97
2016/03/07,44.864
2016/03/08,256.203
2016/03/09,240.3
2016/03/10,33.217
2016/03/11,1.748
2016/03/12,4.581
2016/03/13,-3.006
2016/03/14,7.871
2016/03/15,3.799
2016/03/16,-3.206
2016/03/17,-4.61
2016/03/18,-7.652
2016/03/19,5.19
2016/03/20,-9.025
2016/03/21,-1.116
2016/03/22,4.768
2016/03/23,-7.848
2016/03/24,-25.282
2016/03/25,-25.795
2016/03/26,-27.465
2016/03/27,-28.629
2016/03/28,-28.061
2016/03/29,-28.276
2016/03/30,-26.487
2016/03/31,-30.324
2016/04/01,-41.827
2016/04/02,-50.437
2016/04/03,-50.35
2016/04/04,-59.516
2016/04/05,-59.49
2016/04/06,-59.004
2016/04/07,-56.74
2016/04/08,-62.616
2016/04/09,-17.406
2016/04/10,-22.31
2016/04/11,-34.295
2016/04/12,-45.055
2016/04/13,-41.9
2016/04/14,-34.088
2016/04/15,-37.12
2016/04/16,-28.647
2016/04/17,-9.423
2016/04/18,-14.583
2016/04/19,-11.675
2016/04/20,-21.79
2016/04/21,-27.08
2016/04/22,-32.539
2016/04/23,-29.758
2016/04/24,-24.156
2016/04/25,-31.508
2016/04/26,-31.532
2016/04/27,-32.082
2016/04/28,-35.793
2016/04/29,-36.789
2016/04/30,-29.738
2016/05/01,-24.963
2016/05/02,-16.423
2016/05/03,-16.213
2016/05/04,-15.375
2016/05/05,-15.106
2016/05/06,-8.577
2016/05/07,-10.228
2016/05/08,-5.986
2016/05/09,-1.861
2016/05/10,8.173
2016/05/11,14.185
2016/05/12,28.66
2016/05/13,35.15
2016/05/14,21.692
2016/05/15,21.793
2016/05/16,26.731
2016/05/17,26.76
2016/05/18,43.205
2016/05/19,54.083
2016/05/20,66.983
2016/05/21,60.949
2016/05/22,75.778
2016/05/23,75.663
2016/05/24,58.994
2016/05/25,59.128
2016/05/26,69.988
2016/05/27,48.794
2016/05/28,78.631
2016/05/29,61.674
2016/05/30,50.666
2016/05/31,52.266
2016/06/01,44.989
2016/06/02,43.517
2016/06/03,42.928
2016/06/04,42.671
2016/06/05,41.788
2016/06/06,48.491
2016/06/07,56.721
2016/06/08,53.437
2016/06/09,54.103
2016/06/10,45.111
2016/06/11,36.274
2016/06/12,38.88
2016/06/13,62.768
2016/06/14,79.186
2016/06/15,74.606
2016/06/16,66.066
2016/06/17,54.508
2016/06/18,8.885
2016/06/19,-15.072
2016/06/20,-13.654
2016/06/21,-7.171
2016/06/22,0.914
2016/06/23,-0.004
2016/06/24,11.687
2016/06/25,13.929
2016/06/26,23.067
2016/06/27,4.55
2016/06/28,8.532
2016/06/29,2.638
2016/06/30,29.511
2016/07/01,-12.642
2016/07/02,-13.236
2016/07/03,-13.044
2016/07/04,-15.344
2016/07/05,-23.806
2016/07/06,-23.625
2016/07/07,-30.988
2016/07/08,-27.92
2016/07/09,-23.843
2016/07/10,-22.755
2016/07/11,-23.541
2016/07/12,-28.372
2016/07/13,-37.131
2016/07/14,-39.13
2016/07/15,-35.101
2016/07/16,-39.626
2016/07/17,-43.804
2016/07/18,-25.294
2016/07/19,-7.472
2016/07/20,10.998
2016/07/21,-4.989
2016/07/22,-5.067
2016/07/23,10.887
2016/07/24,-3.105
2016/07/25,-6.008
2016/07/26,-7.81
2016/07/27,-5.986
2016/07/28,3.946
2016/07/29,-0.716
2016/07/30,-26.388
2016/07/31,0.221
2016/08/01,-3.458
2016/08/02,-14.044
2016/08/03,-12.571
2016/08/04,2.369
2016/08/05,3.439
2016/08/06,6.506
2016/08/07,4.543
2016/08/08,0.064
2016/08/09,7.476
2016/08/10,15.367
2016/08/11,12.671
2016/08/12,13.601
2016/08/13,5.534
2016/08/14,-3.686
2016/08/15,-4.969
2016/08/16,-0.778
2016/08/17,-3.073
2016/08/18,0.408
2016/08/19,-17.681
2016/08/20,-10.507
2016/08/21,-17.385
2016/08/22,-22.039
2016/08/23,-7.85
2016/08/24,-17.02
2016/08/25,-12.882
2016/08/26,-13.212
2016/08/27,-17.526
2016/08/28,-12.915
2016/08/29,-11.37
2016/08/30,-8.535
2016/08/31,-2.03
2016/09/01,19.78
2016/09/02,30.395
2016/09/03,11.197
2016/09/04,23.449
2016/09/05,9.339
2016/09/06,6.133
2016/09/07,15.388
2016/09/08,7.073
2016/09/09,1.056
2016/09/10,-1.414
2016/09/11,0.272
2016/09/12,2.415
2016/09/13,4.766
2016/09/14,14.104
2016/09/15,15.317
2016/09/16,18.761
2016/09/17,11.54
2016/09/18,18.921
2016/09/19,16.66
2016/09/20,22.977
2016/09/21,22.766
2016/09/22,18.78
2016/09/23,123.756
2016/09/24,104.727
2016/09/25,157.263
2016/09/26,173.502
2016/09/27,145.791
2016/09/28,89.275
2016/09/29,77.168
2016/09/30,74.137
2016/10/01,101.586
2016/10/02,78.309
2016/10/03,80.152
2016/10/04,104.53
2016/10/05,37.356
2016/10/06,34.401
2016/10/07,14.183
2016/10/08,11.929
2016/10/09,23.96
2016/10/10,21.445
2016/10/11,21.351
2016/10/12,23.929
2016/10/13,496.157
2016/10/14,160.351
2016/10/15,288.118
2016/10/16,183.865
2016/10/17,176.676
2016/10/18,153.73
2016/10/19,44.239
2016/10/20,10.333
2016/10/21,9.212
2016/10/22,2.564
2016/10/23,-42.08
2016/10/24,-34.758
2016/10/25,-50.509
2016/10/26,-53.139
2016/10/27,-47.479
2016/10/28,-33.745
2016/10/29,-32.432
2016/10/30,-38.063
2016/10/31,-43.436
2016/11/01,-43.127
2016/11/02,-42.387
2016/11/03,-54.788
2016/11/04,-25.627
2016/11/05,-17.035
2016/11/06,-15.122
2016/11/07,-11.606
2016/11/08,-18.381
2016/11/09,-18.053
2016/11/10,-12.942
2016/11/11,-19.635
2016/11/12,-83.133
2016/11/13,-62.948
2016/11/14,-74.993
2016/11/15,-67.54
2016/11/16,-65.049
2016/11/17,-63.57
2016/11/18,-38.684
2016/11/19,-23.119
2016/11/20,-26.44
2016/11/21,-20.686
2016/11/22,-25.683
2016/11/23,-23.507
2016/11/24,-6.475
2016/11/25,-34.818
2016/11/26,-18.189
2016/11/27,-16.116
2016/11/28,-9.792
2016/11/29,-12.763
2016/11/30,-33.034
2016/12/01,-30.672
2016/12/02,-24.057
2016/12/03,-31.263
2016/12/04,-29.965
2016/12/05,-38.192
2016/12/06,-39.119
2016/12/07,-24.629
2016/12/08,-25.616
2016/12/09,-21.505
2016/12/10,-29.593
2016/12/11,-25.331
2016/12/12,-22.562
2016/12/13,-25.54
2016/12/14,-27.204
2016/12/15,-27.796
2016/12/16,-30.04
2016/12/17,-31.051
2016/12/18,-31.42
2016/12/19,-24.197
2016/12/20,-22.975
2016/12/21,-19.187
2016/12/22,-21.969
2016/12/23,-30.06
2016/12/24,-41.387
2016/12/25,-16.324
2016/12/26,-34.945
2016/12/27,-33.643
2016/12/28,-34.634
