Date,median_transaction_fee30trxUSD
2016/01/01,1.324
2016/01/02,1.286
2016/01/03,1.236
2016/01/04,1.177
2016/01/05,1.158
2016/01/06,1.168
2016/01/07,1.2
2016/01/08,1.205
2016/01/09,1.196
2016/01/10,1.17
2016/01/11,1.13
2016/01/12,1.083
2016/01/13,1.075
2016/01/14,1.052
2016/01/15,1.02
2016/01/16,0.98
2016/01/17,0.936
2016/01/18,0.897
2016/01/19,0.862
2016/01/20,0.826
2016/01/21,0.791
2016/01/22,0.764
2016/01/23,0.741
2016/01/24,0.729
2016/01/25,0.735
2016/01/26,0.761
2016/01/27,0.802
2016/01/28,0.855
2016/01/29,0.91
2016/01/30,0.963
2016/01/31,1.012
2016/02/01,1.052
2016/02/02,1.084
2016/02/03,1.113
2016/02/04,1.141
2016/02/05,1.166
2016/02/06,1.271
2016/02/07,1.357
2016/02/08,1.432
2016/02/09,1.505
2016/02/10,1.587
2016/02/11,1.683
2016/02/12,1.804
2016/02/13,1.924
2016/02/14,2.039
2016/02/15,2.154
2016/02/16,2.255
2016/02/17,2.335
2016/02/18,2.391
2016/02/19,2.431
2016/02/20,2.457
2016/02/21,2.47
2016/02/22,2.479
2016/02/23,2.498
2016/02/24,2.517
2016/02/25,2.54
2016/02/26,2.56
2016/02/27,2.579
2016/02/28,2.596
2016/02/29,2.61
2016/03/01,2.623
2016/03/02,2.646
2016/03/03,2.688
2016/03/04,2.739
2016/03/05,2.813
2016/03/06,2.898
2016/03/07,2.981
2016/03/08,3.049
2016/03/09,3.111
2016/03/10,3.115
2016/03/11,3.071
2016/03/12,2.998
2016/03/13,2.908
2016/03/14,2.803
2016/03/15,2.686
2016/03/16,2.563
2016/03/17,2.432
2016/03/18,2.293
2016/03/19,2.151
2016/03/20,2.007
2016/03/21,1.866
2016/03/22,1.73
2016/03/23,1.601
2016/03/24,1.477
2016/03/25,1.357
2016/03/26,1.242
2016/03/27,1.133
2016/03/28,1.029
2016/03/29,0.932
2016/03/30,0.841
2016/03/31,0.757
2016/04/01,0.678
2016/04/02,0.604
2016/04/03,0.535
2016/04/04,0.47
2016/04/05,0.409
2016/04/06,0.35
2016/04/07,0.294
2016/04/08,0.238
2016/04/09,0.184
2016/04/10,0.129
2016/04/11,0.073
2016/04/12,0.017
2016/04/13,-0.04
2016/04/14,-0.095
2016/04/15,-0.148
2016/04/16,-0.199
2016/04/17,-0.246
2016/04/18,-0.29
2016/04/19,-0.33
2016/04/20,-0.368
2016/04/21,-0.404
2016/04/22,-0.439
2016/04/23,-0.472
2016/04/24,-0.504
2016/04/25,-0.534
2016/04/26,-0.564
2016/04/27,-0.593
2016/04/28,-0.621
2016/04/29,-0.647
2016/04/30,-0.671
2016/05/01,-0.69
2016/05/02,-0.703
2016/05/03,-0.712
2016/05/04,-0.716
2016/05/05,-0.716
2016/05/06,-0.713
2016/05/07,-0.707
2016/05/08,-0.699
2016/05/09,-0.689
2016/05/10,-0.678
2016/05/11,-0.664
2016/05/12,-0.648
2016/05/13,-0.627
2016/05/14,-0.605
2016/05/15,-0.582
2016/05/16,-0.556
2016/05/17,-0.526
2016/05/18,-0.489
2016/05/19,-0.444
2016/05/20,-0.391
2016/05/21,-0.335
2016/05/22,-0.276
2016/05/23,-0.214
2016/05/24,-0.153
2016/05/25,-0.096
2016/05/26,-0.043
2016/05/27,0.004
2016/05/28,0.05
2016/05/29,0.092
2016/05/30,0.131
2016/05/31,0.168
2016/06/01,0.206
2016/06/02,0.243
2016/06/03,0.278
2016/06/04,0.312
2016/06/05,0.343
2016/06/06,0.373
2016/06/07,0.403
2016/06/08,0.432
2016/06/09,0.459
2016/06/10,0.484
2016/06/11,0.506
2016/06/12,0.526
2016/06/13,0.55
2016/06/14,0.581
2016/06/15,0.615
2016/06/16,0.656
2016/06/17,0.702
2016/06/18,0.739
2016/06/19,0.761
2016/06/20,0.769
2016/06/21,0.769
2016/06/22,0.766
2016/06/23,0.756
2016/06/24,0.743
2016/06/25,0.728
2016/06/26,0.711
2016/06/27,0.693
2016/06/28,0.671
2016/06/29,0.646
2016/06/30,0.629
2016/07/01,0.607
2016/07/02,0.58
2016/07/03,0.55
2016/07/04,0.516
2016/07/05,0.478
2016/07/06,0.437
2016/07/07,0.393
2016/07/08,0.347
2016/07/09,0.302
2016/07/10,0.258
2016/07/11,0.214
2016/07/12,0.17
2016/07/13,0.128
2016/07/14,0.088
2016/07/15,0.052
2016/07/16,0.02
2016/07/17,-0.01
2016/07/18,-0.038
2016/07/19,-0.064
2016/07/20,-0.084
2016/07/21,-0.101
2016/07/22,-0.112
2016/07/23,-0.116
2016/07/24,-0.117
2016/07/25,-0.116
2016/07/26,-0.113
2016/07/27,-0.11
2016/07/28,-0.103
2016/07/29,-0.097
2016/07/30,-0.091
2016/07/31,-0.087
2016/08/01,-0.084
2016/08/02,-0.087
2016/08/03,-0.093
2016/08/04,-0.101
2016/08/05,-0.111
2016/08/06,-0.122
2016/08/07,-0.133
2016/08/08,-0.144
2016/08/09,-0.153
2016/08/10,-0.16
2016/08/11,-0.166
2016/08/12,-0.17
2016/08/13,-0.173
2016/08/14,-0.176
2016/08/15,-0.179
2016/08/16,-0.183
2016/08/17,-0.187
2016/08/18,-0.19
2016/08/19,-0.194
2016/08/20,-0.198
2016/08/21,-0.202
2016/08/22,-0.205
2016/08/23,-0.205
2016/08/24,-0.206
2016/08/25,-0.206
2016/08/26,-0.206
2016/08/27,-0.205
2016/08/28,-0.205
2016/08/29,-0.205
2016/08/30,-0.204
2016/08/31,-0.203
2016/09/01,-0.2
2016/09/02,-0.192
2016/09/03,-0.184
2016/09/04,-0.172
2016/09/05,-0.161
2016/09/06,-0.15
2016/09/07,-0.139
2016/09/08,-0.126
2016/09/09,-0.113
2016/09/10,-0.102
2016/09/11,-0.092
2016/09/12,-0.082
2016/09/13,-0.073
2016/09/14,-0.063
2016/09/15,-0.051
2016/09/16,-0.038
2016/09/17,-0.026
2016/09/18,-0.013
2016/09/19,0
2016/09/20,0.015
2016/09/21,0.031
2016/09/22,0.051
2016/09/23,0.095
2016/09/24,0.155
2016/09/25,0.241
2016/09/26,0.35
2016/09/27,0.469
2016/09/28,0.579
2016/09/29,0.677
2016/09/30,0.763
2016/10/01,0.85
2016/10/02,0.931
2016/10/03,1.003
2016/10/04,1.078
2016/10/05,1.13
2016/10/06,1.16
2016/10/07,1.171
2016/10/08,1.165
2016/10/09,1.148
2016/10/10,1.12
2016/10/11,1.083
2016/10/12,1.041
2016/10/13,1.104
2016/10/14,1.175
2016/10/15,1.283
2016/10/16,1.391
2016/10/17,1.493
2016/10/18,1.583
2016/10/19,1.636
2016/10/20,1.653
2016/10/21,1.641
2016/10/22,1.605
2016/10/23,1.551
2016/10/24,1.483
2016/10/25,1.405
2016/10/26,1.319
2016/10/27,1.229
2016/10/28,1.135
2016/10/29,1.038
2016/10/30,0.94
2016/10/31,0.842
2016/11/01,0.746
2016/11/02,0.651
2016/11/03,0.558
2016/11/04,0.467
2016/11/05,0.379
2016/11/06,0.294
2016/11/07,0.213
2016/11/08,0.135
2016/11/09,0.06
2016/11/10,-0.01
2016/11/11,-0.078
2016/11/12,-0.142
2016/11/13,-0.201
2016/11/14,-0.257
2016/11/15,-0.309
2016/11/16,-0.358
2016/11/17,-0.404
2016/11/18,-0.447
2016/11/19,-0.488
2016/11/20,-0.526
2016/11/21,-0.562
2016/11/22,-0.596
2016/11/23,-0.628
2016/11/24,-0.653
2016/11/25,-0.68
2016/11/26,-0.705
2016/11/27,-0.726
2016/11/28,-0.744
2016/11/29,-0.761
2016/11/30,-0.779
2016/12/01,-0.798
2016/12/02,-0.818
2016/12/03,-0.838
2016/12/04,-0.859
2016/12/05,-0.882
2016/12/06,-0.906
2016/12/07,-0.928
2016/12/08,-0.948
2016/12/09,-0.967
2016/12/10,-0.983
2016/12/11,-0.999
2016/12/12,-1.012
