Date,median_transaction_fee7rsiUSD
2016/01/01,45.465
2016/01/02,45.523
2016/01/03,45.676
2016/01/04,45.59
2016/01/05,63.833
2016/01/06,62.109
2016/01/07,62.582
2016/01/08,42.144
2016/01/09,45.369
2016/01/10,43.466
2016/01/11,43.144
2016/01/12,45.12
2016/01/13,66.989
2016/01/14,45.468
2016/01/15,46.47
2016/01/16,46.474
2016/01/17,46.407
2016/01/18,52.794
2016/01/19,51.915
2016/01/20,48.888
2016/01/21,50.026
2016/01/22,55.637
2016/01/23,53.718
2016/01/24,61.409
2016/01/25,67.792
2016/01/26,71.939
2016/01/27,72.155
2016/01/28,73.204
2016/01/29,59.191
2016/01/30,57.468
2016/01/31,52.763
2016/02/01,47.222
2016/02/02,47.795
2016/02/03,55.143
2016/02/04,58.93
2016/02/05,58.394
2016/02/06,92.942
2016/02/07,48.081
2016/02/08,50.651
2016/02/09,53.205
2016/02/10,58.788
2016/02/11,62.253
2016/02/12,67.63
2016/02/13,58.452
2016/02/14,57.526
2016/02/15,61.846
2016/02/16,54.965
2016/02/17,50.172
2016/02/18,46.081
2016/02/19,51.595
2016/02/20,50.841
2016/02/21,50.69
2016/02/22,60.395
2016/02/23,69.727
2016/02/24,64.417
2016/02/25,68.875
2016/02/26,63.144
2016/02/27,65.851
2016/02/28,68.425
2016/02/29,67.757
2016/03/01,71.948
2016/03/02,82.138
2016/03/03,87.545
2016/03/04,87.588
2016/03/05,92.297
2016/03/06,91.647
2016/03/07,75.594
2016/03/08,63.437
2016/03/09,70.713
2016/03/10,29.234
2016/03/11,28.528
2016/03/12,34.747
2016/03/13,39.563
2016/03/14,37.582
2016/03/15,35.778
2016/03/16,38.204
2016/03/17,33.612
2016/03/18,30.011
2016/03/19,32.437
2016/03/20,31.243
2016/03/21,36.612
2016/03/22,41.114
2016/03/23,42.954
2016/03/24,40.221
2016/03/25,36.577
2016/03/26,42.51
2016/03/27,37.711
2016/03/28,43.168
2016/03/29,47.081
2016/03/30,49.749
2016/03/31,49.218
2016/04/01,47.284
2016/04/02,45.128
2016/04/03,45.796
2016/04/04,42.113
2016/04/05,41.692
2016/04/06,31.313
2016/04/07,28.727
2016/04/08,23.225
2016/04/09,20.765
2016/04/10,14.276
2016/04/11,13.566
2016/04/12,10.858
2016/04/13,10.642
2016/04/14,28.149
2016/04/15,27.533
2016/04/16,27
2016/04/17,51.919
2016/04/18,48.254
2016/04/19,47.703
2016/04/20,38.717
2016/04/21,36.517
2016/04/22,29.177
2016/04/23,29.532
2016/04/24,36.038
2016/04/25,29.147
2016/04/26,22.814
2016/04/27,32.95
2016/04/28,30.046
2016/04/29,31.536
2016/04/30,55.022
2016/05/01,63.309
2016/05/02,73.999
2016/05/03,74.536
2016/05/04,71.721
2016/05/05,71.87
2016/05/06,73.829
2016/05/07,60.103
2016/05/08,58.855
2016/05/09,62.577
2016/05/10,58.199
2016/05/11,67.424
2016/05/12,75.334
2016/05/13,80.733
2016/05/14,66.299
2016/05/15,64.225
2016/05/16,70.796
2016/05/17,83.177
2016/05/18,88.829
2016/05/19,91.374
2016/05/20,92.272
2016/05/21,76.219
2016/05/22,78.803
2016/05/23,78.856
2016/05/24,57.915
2016/05/25,49.23
2016/05/26,49.713
2016/05/27,36.057
2016/05/28,58.853
2016/05/29,46.867
2016/05/30,50.643
2016/05/31,58.046
2016/06/01,62.943
2016/06/02,62.07
2016/06/03,59.344
2016/06/04,59.184
2016/06/05,60.444
2016/06/06,62.066
2016/06/07,70.724
2016/06/08,68.58
2016/06/09,65.915
2016/06/10,57.201
2016/06/11,51.065
2016/06/12,65.954
2016/06/13,80.845
2016/06/14,86.495
2016/06/15,86.953
2016/06/16,89.828
2016/06/17,91.013
2016/06/18,42.668
2016/06/19,30.96
2016/06/20,29.638
2016/06/21,39.01
2016/06/22,46.437
2016/06/23,40.484
2016/06/24,46.246
2016/06/25,48.413
2016/06/26,46.68
2016/06/27,46.22
2016/06/28,40.218
2016/06/29,37.872
2016/06/30,68.159
2016/07/01,41.261
2016/07/02,40.749
2016/07/03,40.194
2016/07/04,38.69
2016/07/05,33.746
2016/07/06,34.762
2016/07/07,32.076
2016/07/08,36.28
2016/07/09,41.897
2016/07/10,41.147
2016/07/11,38.5
2016/07/12,38.116
2016/07/13,37.239
2016/07/14,47.884
2016/07/15,58.807
2016/07/16,56.517
2016/07/17,48.779
2016/07/18,49.738
2016/07/19,48.64
2016/07/20,71.001
2016/07/21,59.768
2016/07/22,69.063
2016/07/23,75.007
2016/07/24,60.724
2016/07/25,59.33
2016/07/26,52.82
2016/07/27,55.164
2016/07/28,61.621
2016/07/29,48.53
2016/07/30,48.073
2016/07/31,41.724
2016/08/01,35.298
2016/08/02,24.708
2016/08/03,24.059
2016/08/04,35.534
2016/08/05,39.477
2016/08/06,36.748
2016/08/07,40.887
2016/08/08,41.964
2016/08/09,55.417
2016/08/10,62.627
2016/08/11,55.792
2016/08/12,55.87
2016/08/13,51.623
2016/08/14,46.773
2016/08/15,40.836
2016/08/16,41.225
2016/08/17,36.73
2016/08/18,47.705
2016/08/19,35.519
2016/08/20,45.413
2016/08/21,46.441
2016/08/22,49.835
2016/08/23,71.044
2016/08/24,45.057
2016/08/25,47.249
2016/08/26,49.617
2016/08/27,47.916
2016/08/28,44.349
2016/08/29,48.514
2016/08/30,46.302
2016/08/31,52.555
2016/09/01,68.975
2016/09/02,78.428
2016/09/03,53.332
2016/09/04,68.395
2016/09/05,47.964
2016/09/06,46.845
2016/09/07,56.959
2016/09/08,55.265
2016/09/09,52.921
2016/09/10,45.435
2016/09/11,48.223
2016/09/12,49.204
2016/09/13,50.036
2016/09/14,61.134
2016/09/15,63.063
2016/09/16,65.012
2016/09/17,55.145
2016/09/18,57.997
2016/09/19,60.865
2016/09/20,71.509
2016/09/21,72.85
2016/09/22,80.898
2016/09/23,96.097
2016/09/24,82.119
2016/09/25,88.629
2016/09/26,89.748
2016/09/27,71.51
2016/09/28,51.197
2016/09/29,47.197
2016/09/30,47.359
2016/10/01,60.719
2016/10/02,56.713
2016/10/03,50.052
2016/10/04,64.845
2016/10/05,39.364
2016/10/06,38.58
2016/10/07,36.711
2016/10/08,35.897
2016/10/09,40.259
2016/10/10,37.735
2016/10/11,38.728
2016/10/12,40.54
2016/10/13,90.157
2016/10/14,54.369
2016/10/15,62.09
2016/10/16,53.872
2016/10/17,52.565
2016/10/18,50.859
2016/10/19,42.049
2016/10/20,39.958
2016/10/21,39.94
2016/10/22,39.938
2016/10/23,39.288
2016/10/24,40.215
2016/10/25,39.598
2016/10/26,39.575
2016/10/27,39.384
2016/10/28,39.028
2016/10/29,37.557
2016/10/30,35.314
2016/10/31,41.689
2016/11/01,40.097
2016/11/02,37.3
2016/11/03,37.95
2016/11/04,36.104
2016/11/05,41.988
2016/11/06,39.112
2016/11/07,39.918
2016/11/08,40.661
2016/11/09,35.857
2016/11/10,44.477
2016/11/11,40.071
2016/11/12,41.767
2016/11/13,44.317
2016/11/14,46.942
2016/11/15,41.746
2016/11/16,44.447
2016/11/17,39.971
2016/11/18,35.969
2016/11/19,39.143
2016/11/20,33.095
2016/11/21,48.5
2016/11/22,34.483
2016/11/23,45.43
2016/11/24,63.911
2016/11/25,35.688
2016/11/26,50.08
2016/11/27,50.792
2016/11/28,52.146
2016/11/29,43.504
2016/11/30,36.403
2016/12/01,36.017
2016/12/02,37.405
2016/12/03,32.537
2016/12/04,31.281
2016/12/05,28.88
2016/12/06,25.826
2016/12/07,48.58
2016/12/08,48.064
2016/12/09,46.64
2016/12/10,43.525
2016/12/11,44.25
2016/12/12,51.278
2016/12/13,48.333
2016/12/14,47.598
2016/12/15,40.44
2016/12/16,38.311
2016/12/17,32.613
2016/12/18,28.828
2016/12/19,50.373
2016/12/20,45.948
2016/12/21,62.511
2016/12/22,43.638
2016/12/23,40.313
2016/12/24,39.264
2016/12/25,38.655
2016/12/26,35.347
2016/12/27,40.807
2016/12/28,41.397
2016/12/29,62.736
2016/12/30,61.287
2016/12/31,55.598
2017/01/01,59.722
2017/01/02,59.298
2017/01/03,80.587
2017/01/04,82.598
2017/01/05,83.672
2017/01/06,62.015
2017/01/07,63.399
2017/01/08,73.684
2017/01/09,74.439
2017/01/10,78.295
2017/01/11,52.208
2017/01/12,49.492
2017/01/13,47.236
2017/01/14,43.424
2017/01/15,49.072
2017/01/16,46.565
2017/01/17,56.742
2017/01/18,56.931
2017/01/19,57.674
2017/01/20,63.477
2017/01/21,66.524
2017/01/22,67.957
2017/01/23,64.83
2017/01/24,71.053
2017/01/25,55.412
2017/01/26,72.152
2017/01/27,54.896
2017/01/28,47.8
2017/01/29,57.927
2017/01/30,47.027
2017/01/31,59.77
2017/02/01,55.141
2017/02/02,47.596
2017/02/03,49.399
2017/02/04,57.188
2017/02/05,56.98
2017/02/06,57.061
2017/02/07,77.325
2017/02/08,62.051
2017/02/09,53.274
2017/02/10,52.107
2017/02/11,58.003
2017/02/12,47.235
2017/02/13,64.766
2017/02/14,72.753
2017/02/15,66.361
2017/02/16,54.781
2017/02/17,59.65
2017/02/18,52.972
2017/02/19,53.243
2017/02/20,52.86
2017/02/21,69.739
