Date,median_transaction_feeUSD
2016/01/01,0.00101
2016/01/02,0.00101
2016/01/03,0.00103
2016/01/04,0.00102
2016/01/05,0.00305
2016/01/06,0.00291
2016/01/07,0.00297
2016/01/08,0.00104
2016/01/09,0.00134
2016/01/10,0.00114
2016/01/11,0.00111
2016/01/12,0.00123
2016/01/13,0.00332
2016/01/14,0.0012
2016/01/15,0.0013
2016/01/16,0.0013
2016/01/17,0.0013
2016/01/18,0.00179
2016/01/19,0.00173
2016/01/20,0.00154
2016/01/21,0.0016
2016/01/22,0.00191
2016/01/23,0.00183
2016/01/24,0.00225
2016/01/25,0.00268
2016/01/26,0.00301
2016/01/27,0.00303
2016/01/28,0.0031
2016/01/29,0.0027
2016/01/30,0.00265
2016/01/31,0.00251
2016/02/01,0.00233
2016/02/02,0.00235
2016/02/03,0.00255
2016/02/04,0.00266
2016/02/05,0.00265
2016/02/06,0.00749
2016/02/07,0.00283
2016/02/08,0.00326
2016/02/09,0.00367
2016/02/10,0.00458
2016/02/11,0.00518
2016/02/12,0.0062
2016/02/13,0.00524
2016/02/14,0.00514
2016/02/15,0.00574
2016/02/16,0.00511
2016/02/17,0.00464
2016/02/18,0.00424
2016/02/19,0.00472
2016/02/20,0.00466
2016/02/21,0.00465
2016/02/22,0.0054
2016/02/23,0.0064
2016/02/24,0.0061
2016/02/25,0.00659
2016/02/26,0.00629
2016/02/27,0.00653
2016/02/28,0.00677
2016/02/29,0.00674
2016/03/01,0.00709
2016/03/02,0.00838
2016/03/03,0.00971
2016/03/04,0.00972
2016/03/05,0.0117
2016/03/06,0.0117
2016/03/07,0.0108
2016/03/08,0.0101
2016/03/09,0.0111
2016/03/10,0.00489
2016/03/11,0.00466
2016/03/12,0.00542
2016/03/13,0.00602
2016/03/14,0.00565
2016/03/15,0.00534
2016/03/16,0.00556
2016/03/17,0.00487
2016/03/18,0.00429
2016/03/19,0.00446
2016/03/20,0.0043
2016/03/21,0.00461
2016/03/22,0.00487
2016/03/23,0.00498
2016/03/24,0.00479
2016/03/25,0.00453
2016/03/26,0.00478
2016/03/27,0.00449
2016/03/28,0.0047
2016/03/29,0.00485
2016/03/30,0.00496
2016/03/31,0.00494
2016/04/01,0.00488
2016/04/02,0.00481
2016/04/03,0.00483
2016/04/04,0.00474
2016/04/05,0.00473
2016/04/06,0.00445
2016/04/07,0.00436
2016/04/08,0.00415
2016/04/09,0.00404
2016/04/10,0.00362
2016/04/11,0.00356
2016/04/12,0.00331
2016/04/13,0.00328
2016/04/14,0.00352
2016/04/15,0.00349
2016/04/16,0.00348
2016/04/17,0.00388
2016/04/18,0.00381
2016/04/19,0.00379
2016/04/20,0.00361
2016/04/21,0.00355
2016/04/22,0.00336
2016/04/23,0.00336
2016/04/24,0.00343
2016/04/25,0.00327
2016/04/26,0.00307
2016/04/27,0.00319
2016/04/28,0.00312
2016/04/29,0.00313
2016/04/30,0.00347
2016/05/01,0.00366
2016/05/02,0.00402
2016/05/03,0.00404
2016/05/04,0.00401
2016/05/05,0.00401
2016/05/06,0.00407
2016/05/07,0.00391
2016/05/08,0.0039
2016/05/09,0.00396
2016/05/10,0.00392
2016/05/11,0.00407
2016/05/12,0.00425
2016/05/13,0.00444
2016/05/14,0.00428
2016/05/15,0.00426
2016/05/16,0.00441
2016/05/17,0.00492
2016/05/18,0.00545
2016/05/19,0.00585
2016/05/20,0.00602
2016/05/21,0.00572
2016/05/22,0.0059
2016/05/23,0.0059
2016/05/24,0.00546
2016/05/25,0.00521
2016/05/26,0.00522
2016/05/27,0.00475
2016/05/28,0.00557
2016/05/29,0.00506
2016/05/30,0.00523
2016/05/31,0.00557
2016/06/01,0.00583
2016/06/02,0.0058
2016/06/03,0.00573
2016/06/04,0.00572
2016/06/05,0.00576
2016/06/06,0.00581
2016/06/07,0.00611
2016/06/08,0.00608
2016/06/09,0.00604
2016/06/10,0.0059
2016/06/11,0.0058
2016/06/12,0.00616
2016/06/13,0.00697
2016/06/14,0.00763
2016/06/15,0.00769
2016/06/16,0.00817
2016/06/17,0.00842
2016/06/18,0.00637
2016/06/19,0.00511
2016/06/20,0.00494
2016/06/21,0.00548
2016/06/22,0.00596
2016/06/23,0.00546
2016/06/24,0.00582
2016/06/25,0.00595
2016/06/26,0.00585
2016/06/27,0.00582
2016/06/28,0.0055
2016/06/29,0.00536
2016/06/30,0.00721
2016/07/01,0.00509
2016/07/02,0.00504
2016/07/03,0.00498
2016/07/04,0.00485
2016/07/05,0.00439
2016/07/06,0.00444
2016/07/07,0.00422
2016/07/08,0.00438
2016/07/09,0.0046
2016/07/10,0.00456
2016/07/11,0.00443
2016/07/12,0.00441
2016/07/13,0.00438
2016/07/14,0.00464
2016/07/15,0.00499
2016/07/16,0.00494
2016/07/17,0.00473
2016/07/18,0.00476
2016/07/19,0.00473
2016/07/20,0.00548
2016/07/21,0.0052
2016/07/22,0.00566
2016/07/23,0.00606
2016/07/24,0.00564
2016/07/25,0.00559
2016/07/26,0.00539
2016/07/27,0.00547
2016/07/28,0.00571
2016/07/29,0.00533
2016/07/30,0.00531
2016/07/31,0.0051
2016/08/01,0.00486
2016/08/02,0.00428
2016/08/03,0.00424
2016/08/04,0.0045
2016/08/05,0.00459
2016/08/06,0.00449
2016/08/07,0.00458
2016/08/08,0.0046
2016/08/09,0.0049
2016/08/10,0.00511
2016/08/11,0.00497
2016/08/12,0.00498
2016/08/13,0.0049
2016/08/14,0.00481
2016/08/15,0.00469
2016/08/16,0.0047
2016/08/17,0.00461
2016/08/18,0.00475
2016/08/19,0.00451
2016/08/20,0.00466
2016/08/21,0.00467
2016/08/22,0.00472
2016/08/23,0.00519
2016/08/24,0.00464
2016/08/25,0.00469
2016/08/26,0.00475
2016/08/27,0.00471
2016/08/28,0.00464
2016/08/29,0.00471
2016/08/30,0.00467
2016/08/31,0.00476
2016/09/01,0.00513
2016/09/02,0.00552
2016/09/03,0.005
2016/09/04,0.00567
2016/09/05,0.00491
2016/09/06,0.00486
2016/09/07,0.00531
2016/09/08,0.00525
2016/09/09,0.00517
2016/09/10,0.0049
2016/09/11,0.00499
2016/09/12,0.00502
2016/09/13,0.00504
2016/09/14,0.00535
2016/09/15,0.00541
2016/09/16,0.00548
2016/09/17,0.0053
2016/09/18,0.00537
2016/09/19,0.00543
2016/09/20,0.00575
2016/09/21,0.0058
2016/09/22,0.00617
2016/09/23,0.0104
2016/09/24,0.00961
2016/09/25,0.0122
2016/09/26,0.0129
2016/09/27,0.0114
2016/09/28,0.00891
2016/09/29,0.00827
2016/09/30,0.00829
2016/10/01,0.0103
2016/10/02,0.00985
2016/10/03,0.00901
2016/10/04,0.0116
2016/10/05,0.00675
2016/10/06,0.00653
2016/10/07,0.00606
2016/10/08,0.00587
2016/10/09,0.00641
2016/10/10,0.00596
2016/10/11,0.00606
2016/10/12,0.00622
2016/10/13,0.03
2016/10/14,0.0139
2016/10/15,0.021
2016/10/16,0.0155
2016/10/17,0.0147
2016/10/18,0.0136
2016/10/19,0.00784
2016/10/20,0.00634
2016/10/21,0.00633
2016/10/22,0.00633
2016/10/23,0.00601
2016/10/24,0.00627
2016/10/25,0.00605
2016/10/26,0.00604
2016/10/27,0.00599
2016/10/28,0.0059
2016/10/29,0.00559
2016/10/30,0.00514
2016/10/31,0.00585
2016/11/01,0.0056
2016/11/02,0.00519
2016/11/03,0.00524
2016/11/04,0.00502
2016/11/05,0.00542
2016/11/06,0.00514
2016/11/07,0.00519
2016/11/08,0.00523
2016/11/09,0.00488
2016/11/10,0.00527
2016/11/11,0.005
2016/11/12,0.00507
2016/11/13,0.00516
2016/11/14,0.00526
2016/11/15,0.00505
2016/11/16,0.00512
2016/11/17,0.00496
2016/11/18,0.00481
2016/11/19,0.00487
2016/11/20,0.00466
2016/11/21,0.00502
2016/11/22,0.00447
2016/11/23,0.0048
2016/11/24,0.00565
2016/11/25,0.00394
2016/11/26,0.0049
2016/11/27,0.00495
2016/11/28,0.00504
2016/11/29,0.00448
2016/11/30,0.00392
2016/12/01,0.00388
2016/12/02,0.00394
2016/12/03,0.0036
2016/12/04,0.00351
2016/12/05,0.00335
2016/12/06,0.00313
2016/12/07,0.00391
2016/12/08,0.00389
2016/12/09,0.00383
2016/12/10,0.00371
2016/12/11,0.00373
2016/12/12,0.00392
2016/12/13,0.00384
2016/12/14,0.00383
2016/12/15,0.00364
2016/12/16,0.00358
2016/12/17,0.00342
2016/12/18,0.0033
2016/12/19,0.0037
2016/12/20,0.00359
2016/12/21,0.00406
2016/12/22,0.00349
2016/12/23,0.00335
2016/12/24,0.00331
2016/12/25,0.00329
2016/12/26,0.00319
2016/12/27,0.00329
2016/12/28,0.0033
2016/12/29,0.00379
2016/12/30,0.00377
2016/12/31,0.00366
2017/01/01,0.00376
2017/01/02,0.00375
2017/01/03,0.00463
2017/01/04,0.00479
2017/01/05,0.00488
2017/01/06,0.00445
2017/01/07,0.0045
2017/01/08,0.005
2017/01/09,0.00505
2017/01/10,0.00529
2017/01/11,0.00461
2017/01/12,0.00451
2017/01/13,0.00443
2017/01/14,0.00431
2017/01/15,0.00446
2017/01/16,0.00439
2017/01/17,0.00466
2017/01/18,0.00466
2017/01/19,0.00468
2017/01/20,0.00482
2017/01/21,0.00491
2017/01/22,0.00494
2017/01/23,0.00491
2017/01/24,0.00505
2017/01/25,0.00485
2017/01/26,0.00532
2017/01/27,0.00498
2017/01/28,0.00481
2017/01/29,0.00509
2017/01/30,0.0048
2017/01/31,0.00522
2017/02/01,0.00509
2017/02/02,0.00487
2017/02/03,0.00492
2017/02/04,0.00515
2017/02/05,0.00514
2017/02/06,0.00514
2017/02/07,0.00596
2017/02/08,0.0056
2017/02/09,0.00533
2017/02/10,0.0053
2017/02/11,0.00549
2017/02/12,0.00518
2017/02/13,0.0059
2017/02/14,0.00643
2017/02/15,0.00624
2017/02/16,0.00583
2017/02/17,0.00607
2017/02/18,0.00583
2017/02/19,0.00584
2017/02/20,0.00583
2017/02/21,0.0066
2017/02/22,0.00639
2017/02/23,0.00585
2017/02/24,0.00605
2017/02/25,0.00679
2017/02/26,0.0063
2017/02/27,0.00673
2017/02/28,0.00719
2017/03/01,0.00729
2017/03/02,0.00798
2017/03/03,0.00831
2017/03/04,0.00887
2017/03/05,0.0084
2017/03/06,0.00884
2017/03/07,0.00877
2017/03/08,0.00755
2017/03/09,0.00791
2017/03/10,0.00784
2017/03/11,0.00833
2017/03/12,0.00936
2017/03/13,0.012
2017/03/14,0.0126
2017/03/15,0.0128
2017/03/16,0.0175
2017/03/17,0.0199
2017/03/18,0.0165
2017/03/19,0.0172
2017/03/20,0.0183
2017/03/21,0.0181
2017/03/22,0.0174
2017/03/23,0.0184
2017/03/24,0.0194
2017/03/25,0.0213
2017/03/26,0.0223
2017/03/27,0.0233
2017/03/28,0.0223
2017/03/29,0.024
2017/03/30,0.0226
2017/03/31,0.0211
2017/04/01,0.0218
2017/04/02,0.0219
2017/04/03,0.0192
2017/04/04,0.0189
2017/04/05,0.0206
2017/04/06,0.0186
2017/04/07,0.0214
2017/04/08,0.0188
2017/04/09,0.02
2017/04/10,0.0191
2017/04/11,0.0193
2017/04/12,0.0203
2017/04/13,0.0214
2017/04/14,0.022
2017/04/15,0.0212
2017/04/16,0.0223
2017/04/17,0.0221
2017/04/18,0.0227
2017/04/19,0.0234
2017/04/20,0.0225
2017/04/21,0.0236
2017/04/22,0.0225
2017/04/23,0.0224
2017/04/24,0.023
2017/04/25,0.023
2017/04/26,0.0218
2017/04/27,0.0254
2017/04/28,0.0304
2017/04/29,0.0309
2017/04/30,0.0321
2017/05/01,0.0365
2017/05/02,0.0353
2017/05/03,0.0341
2017/05/04,0.0375
2017/05/05,0.0407
2017/05/06,0.0388
2017/05/07,0.0408
2017/05/08,0.0373
2017/05/09,0.0369
2017/05/10,0.0383
2017/05/11,0.0383
2017/05/12,0.04
2017/05/13,0.0395
2017/05/14,0.0399
2017/05/15,0.0414
2017/05/16,0.0404
2017/05/17,0.043
2017/05/18,0.0425
2017/05/19,0.0491
2017/05/20,0.057
2017/05/21,0.0611
2017/05/22,0.0736
2017/05/23,0.0755
2017/05/24,0.0869
2017/05/25,0.0903
2017/05/26,0.0782
2017/05/27,0.0664
2017/05/28,0.077
2017/05/29,0.0784
2017/05/30,0.0958
2017/05/31,0.114
2017/06/01,0.111
2017/06/02,0.104
2017/06/03,0.1
2017/06/04,0.12
2017/06/05,0.114
2017/06/06,0.119
2017/06/07,0.125
2017/06/08,0.123
2017/06/09,0.12
2017/06/10,0.132
2017/06/11,0.157
2017/06/12,0.186
2017/06/13,0.182
2017/06/14,0.167
2017/06/15,0.153
2017/06/16,0.154
2017/06/17,0.158
2017/06/18,0.16
2017/06/19,0.158
2017/06/20,0.203
2017/06/21,0.419
2017/06/22,0.34
2017/06/23,0.344
2017/06/24,0.336
2017/06/25,0.25
2017/06/26,0.204
2017/06/27,0.19
2017/06/28,0.282
2017/06/29,0.225
2017/06/30,0.134
2017/07/01,0.123
2017/07/02,0.118
2017/07/03,0.145
2017/07/04,0.122
2017/07/05,0.116
2017/07/06,0.117
2017/07/07,0.117
2017/07/08,0.111
2017/07/09,0.115
2017/07/10,0.0951
2017/07/11,0.0874
2017/07/12,0.0909
2017/07/13,0.0922
2017/07/14,0.0825
2017/07/15,0.0851
2017/07/16,0.069
2017/07/17,0.0756
2017/07/18,0.095
2017/07/19,0.0976
2017/07/20,0.0934
2017/07/21,0.102
2017/07/22,0.0987
2017/07/23,0.102
2017/07/24,0.101
2017/07/25,0.0993
2017/07/26,0.0944
2017/07/27,0.0924
2017/07/28,0.087
2017/07/29,0.0805
2017/07/30,0.0879
2017/07/31,0.0878
2017/08/01,0.112
2017/08/02,0.102
2017/08/03,0.1
2017/08/04,0.0938
2017/08/05,0.105
2017/08/06,0.115
2017/08/07,0.117
2017/08/08,0.124
2017/08/09,0.139
2017/08/10,0.133
2017/08/11,0.143
2017/08/12,0.148
2017/08/13,0.138
2017/08/14,0.133
2017/08/15,0.139
2017/08/16,0.183
2017/08/17,0.16
2017/08/18,0.208
2017/08/19,0.138
2017/08/20,0.136
2017/08/21,0.147
2017/08/22,0.143
2017/08/23,0.141
2017/08/24,0.142
2017/08/25,0.152
2017/08/26,0.146
2017/08/27,0.149
2017/08/28,0.152
2017/08/29,0.184
2017/08/30,0.201
2017/08/31,0.292
2017/09/01,0.248
2017/09/02,0.217
2017/09/03,0.169
2017/09/04,0.182
2017/09/05,0.191
2017/09/06,0.286
2017/09/07,0.289
2017/09/08,0.335
2017/09/09,0.226
2017/09/10,0.186
2017/09/11,0.143
2017/09/12,0.16
2017/09/13,0.131
2017/09/14,0.134
2017/09/15,0.164
2017/09/16,0.231
2017/09/17,0.213
2017/09/18,0.182
2017/09/19,0.136
2017/09/20,0.161
2017/09/21,0.128
2017/09/22,0.122
2017/09/23,0.122
2017/09/24,0.151
2017/09/25,0.14
2017/09/26,0.154
2017/09/27,0.143
2017/09/28,0.142
2017/09/29,0.135
2017/09/30,0.182
2017/10/01,0.159
2017/10/02,0.153
2017/10/03,0.156
2017/10/04,0.159
2017/10/05,0.144
2017/10/06,0.177
2017/10/07,0.156
2017/10/08,0.159
2017/10/09,0.159
2017/10/10,0.144
2017/10/11,0.153
2017/10/12,0.157
2017/10/13,0.181
2017/10/14,0.186
2017/10/15,0.17
2017/10/16,0.143
2017/10/17,0.0953
2017/10/18,0.0956
2017/10/19,0.073
2017/10/20,0.0772
2017/10/21,0.0625
2017/10/22,0.0497
2017/10/23,0.0899
2017/10/24,0.0956
2017/10/25,0.064
2017/10/26,0.056
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,0.112
2017/11/02,0.12
2017/11/03,0.0836
2017/11/04,0.0599
2017/11/05,0.049
2017/11/06,0.0255
2017/11/07,0.0621
2017/11/08,0.112
2017/11/09,0.134
2017/11/10,0.111
2017/11/11,0.129
2017/11/12,0.13
2017/11/13,0.132
2017/11/14,0.138
2017/11/15,0.141
2017/11/16,0.138
2017/11/17,0.126
2017/11/18,0.105
2017/11/19,0.149
2017/11/20,0.151
2017/11/21,0.153
2017/11/22,0.154
2017/11/23,0.167
2017/11/24,0.181
2017/11/25,0.146
2017/11/26,0.193
2017/11/27,0.2
2017/11/28,0.198
2017/11/29,0.198
2017/11/30,0.183
2017/12/01,0.186
2017/12/02,0.172
2017/12/03,0.197
2017/12/04,0.205
2017/12/05,0.292
2017/12/06,0.388
2017/12/07,0.583
2017/12/08,0.605
2017/12/09,0.646
2017/12/10,0.491
2017/12/11,0.402
2017/12/12,0.518
2017/12/13,0.446
2017/12/14,0.714
2017/12/15,0.676
2017/12/16,0.583
2017/12/17,0.376
2017/12/18,0.324
2017/12/19,0.584
2017/12/20,0.67
2017/12/21,0.68
2017/12/22,0.573
2017/12/23,0.613
2017/12/24,0.417
2017/12/25,0.316
2017/12/26,0.329
2017/12/27,0.331
2017/12/28,0.297
2017/12/29,0.31
2017/12/30,0.296
2017/12/31,0.318
2018/01/01,0.331
2018/01/02,0.357
2018/01/03,0.391
2018/01/04,0.599
2018/01/05,1.608
2018/01/06,2.093
2018/01/07,1.999
2018/01/08,2.181
2018/01/09,2.25
2018/01/10,3.137
2018/01/11,2.547
2018/01/12,1.558
2018/01/13,2.078
2018/01/14,1.765
2018/01/15,1.455
2018/01/16,1.239
2018/01/17,1.023
2018/01/18,1.252
2018/01/19,1.147
2018/01/20,1.181
2018/01/21,1.118
2018/01/22,0.648
2018/01/23,0.848
2018/01/24,0.853
2018/01/25,0.804
2018/01/26,0.441
2018/01/27,0.454
2018/01/28,0.499
2018/01/29,0.9
2018/01/30,0.527
2018/01/31,0.508
2018/02/01,1.05
2018/02/02,0.684
2018/02/03,0.567
2018/02/04,0.419
2018/02/05,0.326
2018/02/06,0.314
2018/02/07,0.42
2018/02/08,0.342
2018/02/09,0.35
2018/02/10,0.366
2018/02/11,0.347
2018/02/12,0.36
2018/02/13,0.356
2018/02/14,0.372
2018/02/15,0.392
2018/02/16,0.393
2018/02/17,0.406
2018/02/18,0.496
2018/02/19,0.395
2018/02/20,0.395
2018/02/21,0.299
2018/02/22,0.245
2018/02/23,0.32
2018/02/24,0.356
2018/02/25,0.3
2018/02/26,0.257
2018/02/27,0.262
2018/02/28,0.366
2018/03/01,0.313
2018/03/02,0.363
2018/03/03,0.254
2018/03/04,0.359
2018/03/05,0.362
2018/03/06,0.347
2018/03/07,0.329
2018/03/08,0.25
2018/03/09,0.189
2018/03/10,0.152
2018/03/11,0.144
2018/03/12,0.147
2018/03/13,0.111
2018/03/14,0.101
2018/03/15,0.108
2018/03/16,0.112
2018/03/17,0.0937
2018/03/18,0.105
2018/03/19,0.0818
2018/03/20,0.0913
2018/03/21,0.0893
2018/03/22,0.0809
2018/03/23,0.088
2018/03/24,0.0657
2018/03/25,0.0691
2018/03/26,0.084
2018/03/27,0.0687
2018/03/28,0.0722
2018/03/29,0.062
2018/03/30,0.0415
2018/03/31,0.0422
2018/04/01,0.0404
2018/04/02,0.0409
2018/04/03,0.0426
2018/04/04,0.0411
2018/04/05,0.0419
2018/04/06,0.0316
2018/04/07,0.0322
2018/04/08,0.0332
2018/04/09,0.0348
2018/04/10,0.0356
2018/04/11,0.0441
2018/04/12,0.0473
2018/04/13,0.0547
2018/04/14,0.0459
2018/04/15,0.0514
2018/04/16,0.0563
2018/04/17,0.044
2018/04/18,0.0648
