Date,mediantransactionvalue14emaUSD
2016/01/01,0.831
2016/01/02,0.9
2016/01/03,0.956
2016/01/04,0.994
2016/01/05,0.861
2016/01/06,0.746
2016/01/07,0.647
2016/01/08,0.706
2016/01/09,0.758
2016/01/10,0.827
2016/01/11,0.88
2016/01/12,0.963
2016/01/13,0.835
2016/01/14,0.892
2016/01/15,1.003
2016/01/16,1.083
2016/01/17,1.153
2016/01/18,1.201
2016/01/19,1.138
2016/01/20,1.293
2016/01/21,1.4
2016/01/22,1.422
2016/01/23,1.556
2016/01/24,1.72
2016/01/25,1.799
2016/01/26,1.925
2016/01/27,1.773
2016/01/28,1.868
2016/01/29,1.968
2016/01/30,2.087
2016/01/31,2.186
2016/02/01,2.225
2016/02/02,2.251
2016/02/03,2.331
2016/02/04,2.397
2016/02/05,2.441
2016/02/06,2.116
2016/02/07,2.252
2016/02/08,2.445
2016/02/09,2.675
2016/02/10,3.11
2016/02/11,3.418
2016/02/12,3.964
2016/02/13,4.186
2016/02/14,4.388
2016/02/15,4.625
2016/02/16,4.738
2016/02/17,4.683
2016/02/18,4.671
2016/02/19,4.706
2016/02/20,4.746
2016/02/21,4.805
2016/02/22,4.929
2016/02/23,5.128
2016/02/24,5.298
2016/02/25,5.516
2016/02/26,5.625
2016/02/27,5.786
2016/02/28,6.006
2016/02/29,6.177
2016/03/01,6.396
2016/03/02,6.737
2016/03/03,7.222
2016/03/04,7.612
2016/03/05,8.441
2016/03/06,8.904
2016/03/07,9.24
2016/03/08,9.399
2016/03/09,9.657
2016/03/10,10.24
2016/03/11,10.417
2016/03/12,10.974
2016/03/13,11.556
2016/03/14,12.028
2016/03/15,12.262
2016/03/16,12.561
2016/03/17,12.561
2016/03/18,12.37
2016/03/19,12.146
2016/03/20,11.927
2016/03/21,11.857
2016/03/22,11.868
2016/03/23,11.919
2016/03/24,11.857
2016/03/25,11.699
2016/03/26,11.582
2016/03/27,11.529
2016/03/28,11.522
2016/03/29,11.575
2016/03/30,11.65
2016/03/31,11.715
2016/04/01,11.734
2016/04/02,11.746
2016/04/03,11.764
2016/04/04,11.732
2016/04/05,11.597
2016/04/06,11.502
2016/04/07,11.381
2016/04/08,11.196
2016/04/09,11.017
2016/04/10,10.731
2016/04/11,10.46
2016/04/12,10.127
2016/04/13,9.816
2016/04/14,9.636
2016/04/15,9.467
2016/04/16,9.333
2016/04/17,9.125
