Date,mediantransactionvalue14stdUSD
2016/01/01,1.053
2016/01/02,1.064
2016/01/03,1.106
2016/01/04,1.134
2016/01/05,1.134
2016/01/06,1.134
2016/01/07,1.166
2016/01/08,1.171
2016/01/09,1.182
2016/01/10,1.13
2016/01/11,1.146
2016/01/12,1.19
2016/01/13,1.19
2016/01/14,1.191
2016/01/15,1.221
2016/01/16,1.252
2016/01/17,1.284
2016/01/18,1.309
2016/01/19,1.2
2016/01/20,1.213
2016/01/21,1.09
2016/01/22,1.084
2016/01/23,1.192
2016/01/24,1.358
2016/01/25,1.387
2016/01/26,1.487
2016/01/27,1.257
2016/01/28,1.261
2016/01/29,1.307
2016/01/30,1.366
2016/01/31,1.395
2016/02/01,1.358
2016/02/02,1.078
2016/02/03,1.11
2016/02/04,1.121
2016/02/05,1.021
2016/02/06,1.65
2016/02/07,1.687
2016/02/08,1.821
2016/02/09,2.022
2016/02/10,2.427
2016/02/11,2.726
2016/02/12,3.51
2016/02/13,3.655
2016/02/14,3.76
2016/02/15,3.841
2016/02/16,3.768
2016/02/17,3.674
2016/02/18,3.557
2016/02/19,3.402
2016/02/20,2.144
2016/02/21,1.84
2016/02/22,1.632
2016/02/23,1.553
2016/02/24,1.602
2016/02/25,1.736
2016/02/26,1.473
2016/02/27,1.599
2016/02/28,1.826
2016/02/29,1.97
2016/03/01,2.177
2016/03/02,2.4
2016/03/03,2.931
2016/03/04,3.185
2016/03/05,4.438
2016/03/06,4.639
2016/03/07,4.66
2016/03/08,4.552
2016/03/09,4.453
2016/03/10,4.832
2016/03/11,4.476
2016/03/12,4.574
2016/03/13,4.722
2016/03/14,4.506
2016/03/15,3.972
2016/03/16,3.633
2016/03/17,3.393
2016/03/18,3.197
2016/03/19,3.361
2016/03/20,3.534
2016/03/21,3.536
2016/03/22,3.348
2016/03/23,3.27
2016/03/24,3.266
2016/03/25,3.379
2016/03/26,3.288
2016/03/27,2.858
2016/03/28,2.29
2016/03/29,1.998
2016/03/30,1.249
2016/03/31,1.156
2016/04/01,1.166
2016/04/02,1.096
2016/04/03,0.943
2016/04/04,0.936
2016/04/05,1.034
2016/04/06,1.013
2016/04/07,1.107
2016/04/08,1.277
2016/04/09,1.475
2016/04/10,1.93
2016/04/11,2.284
2016/04/12,2.666
2016/04/13,2.896
2016/04/14,2.858
2016/04/15,2.797
2016/04/16,2.641
2016/04/17,2.457
2016/04/18,2.12
2016/04/19,1.928
2016/04/20,1.626
2016/04/21,1.312
2016/04/22,1.123
2016/04/23,0.886
2016/04/24,0.858
2016/04/25,0.882
2016/04/26,0.979
2016/04/27,0.986
2016/04/28,1.057
2016/04/29,1.115
2016/04/30,1.106
2016/05/01,1.126
2016/05/02,1.267
2016/05/03,1.422
2016/05/04,1.563
2016/05/05,1.687
2016/05/06,1.788
2016/05/07,1.826
2016/05/08,1.842
2016/05/09,1.812
2016/05/10,1.65
2016/05/11,1.532
2016/05/12,1.337
2016/05/13,1.142
2016/05/14,0.965
2016/05/15,0.838
2016/05/16,0.922
2016/05/17,1.38
2016/05/18,2.087
2016/05/19,2.789
2016/05/20,3.376
2016/05/21,3.531
2016/05/22,3.65
2016/05/23,3.708
2016/05/24,3.483
2016/05/25,3.203
2016/05/26,4.289
