Date,mediantransactionvalue3momUSD
2016/01/01,0.666
2016/01/02,1.348
2016/01/03,0.06
2016/01/04,-0.31
2016/01/05,-1.348
2016/01/06,-1.32
2016/01/07,-1.238
2016/01/08,1.089
2016/01/09,1.097
2016/01/10,1.28
2016/01/11,0.133
2016/01/12,0.407
2016/01/13,-1.28
2016/01/14,0.042
2016/01/15,0.222
2016/01/16,1.603
2016/01/17,0.343
2016/01/18,-0.209
2016/01/19,-0.879
2016/01/20,0.694
2016/01/21,0.579
2016/01/22,0.843
2016/01/23,0.13
2016/01/24,0.692
2016/01/25,0.74
2016/01/26,0.313
2016/01/27,-1.998
2016/01/28,0.179
2016/01/29,-0.127
2016/01/30,2.073
2016/01/31,0.34
2016/02/01,-0.135
2016/02/02,-0.445
2016/02/03,0.032
2016/02/04,0.343
2016/02/05,0.31
2016/02/06,-2.857
2016/02/07,0.313
2016/02/08,0.974
2016/02/09,4.171
2016/02/10,2.796
2016/02/11,1.723
2016/02/12,3.339
2016/02/13,-0.301
2016/02/14,0.276
2016/02/15,-1.348
2016/02/16,-0.154
2016/02/17,-1.38
2016/02/18,-1.569
2016/02/19,-0.541
2016/02/20,0.684
2016/02/21,0.592
2016/02/22,0.798
2016/02/23,1.42
2016/02/24,1.217
2016/02/25,1.199
2016/02/26,-0.095
2016/02/27,0.436
2016/02/28,0.496
2016/02/29,0.962
2016/03/01,0.981
2016/03/02,1.526
2016/03/03,3.085
2016/03/04,2.323
2016/03/05,4.87
2016/03/06,1.539
2016/03/07,1.28
2016/03/08,-3.388
2016/03/09,-0.58
2016/03/10,2.606
2016/03/11,1.123
2016/03/12,3.265
2016/03/13,1.307
2016/03/14,3.532
2016/03/15,-0.815
2016/03/16,-0.832
2016/03/17,-2.532
2016/03/18,-2.659
2016/03/19,-3.815
2016/03/20,-2.057
2016/03/21,0.275
2016/03/22,1.253
2016/03/23,1.746
2016/03/24,0.049
2016/03/25,-1.268
2016/03/26,-1.428
2016/03/27,-0.263
2016/03/28,0.796
2016/03/29,1.097
2016/03/30,0.954
2016/03/31,0.667
2016/04/01,-0.059
2016/04/02,-0.323
2016/04/03,-0.252
2016/04/04,-0.334
2016/04/05,-1.102
2016/04/06,-1.004
2016/04/07,-0.925
2016/04/08,-0.722
2016/04/09,-1.031
2016/04/10,-1.726
2016/04/11,-1.301
2016/04/12,-1.885
2016/04/13,-1.078
2016/04/14,-0.226
2016/04/15,0.397
2016/04/16,0.667
2016/04/17,-0.696
2016/04/18,0.863
2016/04/19,0.714
2016/04/20,0.961
2016/04/21,-0.756
2016/04/22,-1.013
2016/04/23,-0.575
2016/04/24,-0.198
2016/04/25,-0.281
2016/04/26,-0.701
2016/04/27,-0.518
2016/04/28,-0.342
2016/04/29,0.078
2016/04/30,0.525
2016/05/01,1.256
2016/05/02,2.181
2016/05/03,1.518
2016/05/04,0.829
2016/05/05,-0.094
2016/05/06,-0.105
2016/05/07,-0.164
2016/05/08,-0.275
2016/05/09,-0.202
2016/05/10,-0.049
2016/05/11,0.384
2016/05/12,0.717
2016/05/13,1.456
2016/05/14,0.681
2016/05/15,-0.044
2016/05/16,-0.279
2016/05/17,1.478
2016/05/18,2.977
2016/05/19,3.412
2016/05/20,2.601
2016/05/21,0.48
2016/05/22,0.1
2016/05/23,-0.165
2016/05/24,-0.395
2016/05/25,-1.687
2016/05/26,-7.784
2016/05/27,-1.757
2016/05/28,-11.328
2016/05/29,0.547
2016/05/30,0.976
2016/05/31,12.099
2016/06/01,6.798
2016/06/02,1.39
2016/06/03,0.473
2016/06/04,-4.241
2016/06/05,-0.1
2016/06/06,0.185
2016/06/07,-2.442
2016/06/08,0.731
2016/06/09,0.532
2016/06/10,6.085
2016/06/11,-0.62
2016/06/12,-3.075
2016/06/13,3.309
2016/06/14,3.077
2016/06/15,7.016
2016/06/16,2.929
2016/06/17,-11.705
2016/06/18,-10.402
2016/06/19,-9.815
2016/06/20,3.089
2016/06/21,4.04
2016/06/22,4.478
2016/06/23,4.705
2016/06/24,-4.845
2016/06/25,-0.015
2016/06/26,-5.064
2016/06/27,6.745
2016/06/28,-1.076
2016/06/29,-4.014
2016/06/30,-12.612
2016/07/01,-0.97
2016/07/02,8.063
2016/07/03,10.615
2016/07/04,-0.594
2016/07/05,-1.533
2016/07/06,-1.277
2016/07/07,-1.485
2016/07/08,-2.276
2016/07/09,0.238
2016/07/10,0.807
2016/07/11,2.376
2016/07/12,-0.833
2016/07/13,-0.403
2016/07/14,-3.884
2016/07/15,1.903
2016/07/16,-3.386
2016/07/17,4.617
2016/07/18,-0.563
2016/07/19,4.571
2016/07/20,-8.587
2016/07/21,-1.573
2016/07/22,1.825
2016/07/23,10.851
2016/07/24,3.794
2016/07/25,-0.084
2016/07/26,-0.514
2016/07/27,-0.996
2016/07/28,-0.645
2016/07/29,-2.1
2016/07/30,-1.071
2016/07/31,-0.583
2016/08/01,0.63
2016/08/02,-1.123
2016/08/03,-8.205
2016/08/04,-0.853
2016/08/05,0.577
2016/08/06,6.755
2016/08/07,0.175
2016/08/08,0.018
2016/08/09,0.962
2016/08/10,0.035
2016/08/11,-1.458
2016/08/12,-4.641
2016/08/13,-3.413
2016/08/14,1.955
2016/08/15,2.55
2016/08/16,-2.917
2016/08/17,-5.92
2016/08/18,-4.296
2016/08/19,2.225
2016/08/20,2.573
2016/08/21,2.643
2016/08/22,0.074
2016/08/23,-2.558
2016/08/24,-3.141
2016/08/25,-2.975
2016/08/26,-1.149
2016/08/27,-0.123
2016/08/28,5.986
2016/08/29,-0.624
2016/08/30,0.018
2016/08/31,-2.04
2016/09/01,8.36
2016/09/02,-2.135
2016/09/03,0.625
2016/09/04,-6.649
2016/09/05,8.088
2016/09/06,-4.254
2016/09/07,-3.216
2016/09/08,-7.996
2016/09/09,-1.691
2016/09/10,6.089
2016/09/11,9.249
2016/09/12,4.841
2016/09/13,3.611
2016/09/14,-9.078
2016/09/15,-4.843
2016/09/16,-9.125
2016/09/17,3.737
2016/09/18,7.495
2016/09/19,10.078
2016/09/20,7.148
2016/09/21,3.772
2016/09/22,-10.851
2016/09/23,-0.32
2016/09/24,-0.787
2016/09/25,11.064
2016/09/26,-0.469
2016/09/27,0.017
2016/09/28,0.139
2016/09/29,0.408
2016/09/30,0.257
2016/10/01,-7.985
2016/10/02,-0.127
2016/10/03,-0.058
2016/10/04,-5.286
2016/10/05,-3.169
2016/10/06,-6.714
2016/10/07,12.692
2016/10/08,2.258
2016/10/09,5.782
2016/10/10,-0.849
2016/10/11,-0.321
2016/10/12,-2.578
2016/10/13,-10.68
2016/10/14,-0.03
2016/10/15,2.519
2016/10/16,10.909
2016/10/17,0.019
2016/10/18,-4.833
2016/10/19,0.04
2016/10/20,0.159
2016/10/21,-4.176
2016/10/22,-0.032
2016/10/23,-0.096
2016/10/24,0.902
2016/10/25,-3.971
2016/10/26,-0.496
2016/10/27,7.255
2016/10/28,3.148
2016/10/29,-0.839
2016/10/30,-0.766
2016/10/31,-0.113
2016/11/01,-4.981
2016/11/02,-3.679
2016/11/03,-0.245
2016/11/04,5.331
2016/11/05,4.087
2016/11/06,0.103
2016/11/07,-0.135
2016/11/08,-0.202
2016/11/09,-0.37
2016/11/10,-0.323
2016/11/11,-0.457
2016/11/12,-0.52
2016/11/13,-0.487
2016/11/14,-0.384
2016/11/15,-0.099
2016/11/16,0.083
2016/11/17,-0.037
2016/11/18,-0.338
2016/11/19,-0.534
2016/11/20,-0.402
2016/11/21,-0.113
2016/11/22,-7.598
2016/11/23,-8.98
2016/11/24,-0.08
2016/11/25,-1.984
2016/11/26,6.823
2016/11/27,-6.241
2016/11/28,3.591
2016/11/29,-3.338
2016/11/30,2.131
2016/12/01,4.818
2016/12/02,3.882
2016/12/03,2.503
2016/12/04,-1.842
2016/12/05,-0.729
2016/12/06,-1.051
2016/12/07,1.135
2016/12/08,1.255
2016/12/09,1.534
2016/12/10,0.544
2016/12/11,-0.302
2016/12/12,-0.027
2016/12/13,-3.824
2016/12/14,-4.818
2016/12/15,-3.946
2016/12/16,0.09
2016/12/17,4.269
2016/12/18,3.44
2016/12/19,-0.617
2016/12/20,-2.408
2016/12/21,-4.379
2016/12/22,-2.286
2016/12/23,1.934
2016/12/24,3.793
2016/12/25,5.551
2016/12/26,0.065
2016/12/27,-2.297
2016/12/28,-2.441
2016/12/29,0.87
2016/12/30,-0.441
2016/12/31,3.243
2017/01/01,0.152
2017/01/02,3.683
2017/01/03,-2.224
2017/01/04,2.208
2017/01/05,2.298
2017/01/06,4.245
2017/01/07,-0.663
2017/01/08,-0.496
2017/01/09,0.409
2017/01/10,-3.542
2017/01/11,0.053
