Date,mediantransactionvalue7rsiUSD
2016/01/01,60.764
2016/01/02,57.33
2016/01/03,56.802
2016/01/04,55.082
2016/01/05,35.913
2016/01/06,35.913
2016/01/07,35.913
2016/01/08,56.88
2016/01/09,57.004
2016/01/10,59.979
2016/01/11,58.495
2016/01/12,63.651
2016/01/13,35.879
2016/01/14,55.093
2016/01/15,60.18
2016/01/16,58.128
2016/01/17,58.184
2016/01/18,56.288
2016/01/19,42.119
2016/01/20,63.45
2016/01/21,60.096
2016/01/22,51.829
2016/01/23,61.826
2016/01/24,65.301
2016/01/25,57.129
2016/01/26,62.15
2016/01/27,38.586
2016/01/28,55.622
2016/01/29,56.708
2016/01/30,58.904
2016/01/31,58.376
2016/02/01,53.282
2016/02/02,52.294
2016/02/03,58.482
2016/02/04,57.83
2016/02/05,55.688
2016/02/06,25.117
2016/02/07,56.884
2016/02/08,60.408
2016/02/09,63.32
2016/02/10,72.249
2016/02/11,66.772
2016/02/12,75.616
2016/02/13,59.091
2016/02/14,59.469
2016/02/15,62.207
2016/02/16,55.703
2016/02/17,46.179
2016/02/18,48.596
2016/02/19,51.777
2016/02/20,52.451
2016/02/21,54.445
2016/02/22,60.341
2016/02/23,66.647
2016/02/24,66.26
2016/02/25,71.073
2016/02/26,59.756
2016/02/27,65.196
2016/02/28,70.582
2016/02/29,67.688
2016/03/01,72.63
2016/03/02,80.217
2016/03/03,85.903
2016/03/04,81.435
2016/03/05,90.544
2016/03/06,69.798
2016/03/07,65.312
2016/03/08,56.789
2016/03/09,62.049
2016/03/10,73.41
2016/03/11,55.625
2016/03/12,67.081
2016/03/13,69.323
2016/03/14,67.562
2016/03/15,58.212
2016/03/16,61.615
2016/03/17,49.042
2016/03/18,41.693
2016/03/19,39.595
2016/03/20,38.636
2016/03/21,46.045
2016/03/22,50.284
2016/03/23,52.75
2016/03/24,45.861
2016/03/25,39.966
2016/03/26,41.635
2016/03/27,45.955
2016/03/28,49.36
2016/03/29,54.636
2016/03/30,57.207
2016/03/31,57.147
2016/04/01,52.127
2016/04/02,51.321
2016/04/03,52.676
2016/04/04,44.908
2016/04/05,32.349
2016/04/06,36.592
2016/04/07,32.566
2016/04/08,25.488
2016/04/09,24.06
2016/04/10,16.608
2016/04/11,15.56
2016/04/12,12.024
2016/04/13,11.327
2016/04/14,30.096
2016/04/15,28.987
2016/04/16,31.827
2016/04/17,24.085
2016/04/18,52.433
2016/04/19,51.689
2016/04/20,44.804
2016/04/21,41.064
2016/04/22,36.88
2016/04/23,36.751
2016/04/24,39.9
2016/04/25,33.4
2016/04/26,27.583
2016/04/27,36.539
2016/04/28,33.151
2016/04/29,32.998
2016/04/30,53.571
2016/05/01,62.847
2016/05/02,73.671
2016/05/03,74.456
2016/05/04,69.494
2016/05/05,69.271
2016/05/06,70.4
2016/05/07,61.918
2016/05/08,57.746
2016/05/09,61.463
2016/05/10,58.312
2016/05/11,66.587
2016/05/12,75.273
2016/05/13,82.595
2016/05/14,66.633
2016/05/15,59.433
2016/05/16,66.699
2016/05/17,79.62
2016/05/18,85.815
2016/05/19,88.603
2016/05/20,89.905
2016/05/21,72.59
2016/05/22,75.635
2016/05/23,76.997
2016/05/24,58.127
2016/05/25,48.027
2016/05/26,19.419
2016/05/27,49.087
2016/05/28,25.77
2016/05/29,43.777
2016/05/30,55.12
2016/05/31,56.542
2016/06/01,57.995
2016/06/02,57.826
2016/06/03,57.187
2016/06/04,43.927
2016/06/05,56.032
2016/06/06,56.338
2016/06/07,38.216
2016/06/08,56.186
2016/06/09,55.963
2016/06/10,52.832
2016/06/11,54.353
2016/06/12,46.393
2016/06/13,60.463
2016/06/14,61.194
2016/06/15,64.483
2016/06/16,67.274
2016/06/17,32.219
2016/06/18,39.197
2016/06/19,43.685
2016/06/20,40.924
2016/06/21,50.431
2016/06/22,55.528
2016/06/23,52.22
2016/06/24,38.734
2016/06/25,54.973
2016/06/26,43.194
2016/06/27,54.09
2016/06/28,52.576
2016/06/29,37.731
2016/06/30,34.407
