Date,mediantransactionvalue7smaUSD
2016/01/01,0.779
2016/01/02,0.842
2016/01/03,1.031
2016/01/04,1.085
2016/01/05,0.959
2016/01/06,0.959
2016/01/07,0.779
2016/01/08,0.713
2016/01/09,0.678
2016/01/10,0.672
2016/01/11,0.67
2016/01/12,0.885
2016/01/13,0.885
2016/01/14,1.065
2016/01/15,1.156
2016/01/16,1.228
2016/01/17,1.275
2016/01/18,1.317
2016/01/19,1.206
2016/01/20,1.534
2016/01/21,1.653
2016/01/22,1.63
2016/01/23,1.748
2016/01/24,1.917
2016/01/25,2.03
2016/01/26,2.318
2016/01/27,2.103
2016/01/28,2.158
2016/01/29,2.308
2016/01/30,2.37
2016/01/31,2.375
2016/02/01,2.4
2016/02/02,2.354
2016/02/03,2.649
2016/02/04,2.698
2016/02/05,2.713
2016/02/06,2.305
2016/02/07,2.349
2016/02/08,2.524
2016/02/09,2.774
2016/02/10,3.214
2016/02/11,3.585
2016/02/12,4.268
2016/02/13,5.073
2016/02/14,5.439
2016/02/15,5.79
2016/02/16,5.977
2016/02/17,5.747
2016/02/18,5.628
2016/02/19,5.26
2016/02/20,5.171
2016/02/21,5.097
2016/02/22,5.036
2016/02/23,5.171
2016/02/24,5.469
2016/02/25,5.803
2016/02/26,6.002
2016/02/27,6.264
2016/02/28,6.585
2016/02/29,6.807
2016/03/01,7.006
2016/03/02,7.371
2016/03/03,7.863
2016/03/04,8.408
2016/03/05,9.406
2016/03/06,10.047
2016/03/07,10.637
2016/03/08,11.011
2016/03/09,11.351
2016/03/10,11.873
2016/03/11,12.076
2016/03/12,12.186
2016/03/13,12.675
2016/03/14,13.199
2016/03/15,13.677
2016/03/16,14.13
2016/03/17,13.921
2016/03/18,13.858
2016/03/19,13.299
2016/03/20,12.609
2016/03/21,12.082
2016/03/22,11.818
2016/03/23,11.497
2016/03/24,11.338
2016/03/25,11.273
2016/03/26,11.292
2016/03/27,11.39
2016/03/28,11.4
2016/03/29,11.396
2016/03/30,11.381
2016/03/31,11.479
2016/04/01,11.648
2016/04/02,11.791
2016/04/03,11.89
2016/04/04,11.898
2016/04/05,11.726
2016/04/06,11.546
2016/04/07,11.327
2016/04/08,11.06
2016/04/09,10.779
2016/04/10,10.349
2016/04/11,9.944
2016/04/12,9.551
2016/04/13,9.111
2016/04/14,8.806
2016/04/15,8.573
2016/04/16,8.375
2016/04/17,8.217
2016/04/18,8.293
2016/04/19,8.466
2016/04/20,8.6
2016/04/21,8.6
2016/04/22,8.572
2016/04/23,8.528
2016/04/24,8.6
2016/04/25,8.408
2016/04/26,8.162
2016/04/27,8.022
2016/04/28,7.89
2016/04/29,7.799
2016/04/30,7.817
2016/05/01,7.892
2016/05/02,8.153
2016/05/03,8.488
2016/05/04,8.756
2016/05/05,9.052
2016/05/06,9.361
2016/05/07,9.53
2016/05/08,9.608
2016/05/09,9.576
2016/05/10,9.521
2016/05/11,9.535
2016/05/12,9.619
2016/05/13,9.787
2016/05/14,9.923
2016/05/15,10.039
2016/05/16,10.197
2016/05/17,10.55
2016/05/18,11.037
2016/05/19,11.58
2016/05/20,12.097
2016/05/21,12.555
2016/05/22,13.118
2016/05/23,13.651
2016/05/24,13.842
2016/05/25,13.739
2016/05/26,12.673
2016/05/27,12.241
2016/05/28,10.451
2016/05/29,9.449
2016/05/30,9.18
2016/05/31,9.175
2016/06/01,9.384
2016/06/02,10.426
2016/06/03,10.74
2016/06/04,11.962
2016/06/05,12.911
2016/06/06,13.111
2016/06/07,12.256
2016/06/08,12.339
2016/06/09,12.417
2016/06/10,12.363
2016/06/11,12.963
2016/06/12,12.616
2016/06/13,13.009
2016/06/14,14.397
2016/06/15,14.948
2016/06/16,15.683
2016/06/17,14.531
2016/06/18,13.684
2016/06/19,13.456
2016/06/20,12.272
2016/06/21,11.563
2016/06/22,10.973
2016/06/23,10.042
2016/06/24,10.313
2016/06/25,11.207
2016/06/26,10.955
2016/06/27,11.748
2016/06/28,11.911
2016/06/29,10.446
2016/06/30,8.765
2016/07/01,9.481
2016/07/02,9.17
2016/07/03,9.729
2016/07/04,9.397
2016/07/05,9.021
2016/07/06,9.971
2016/07/07,11.229
2016/07/08,10.666
2016/07/09,10.498
2016/07/10,10.354
2016/07/11,10.216
2016/07/12,10.148
2016/07/13,10.129
2016/07/14,9.648
2016/07/15,10.177
2016/07/16,9.641
2016/07/17,9.704
2016/07/18,9.813
2016/07/19,10.049
2016/07/20,8.943
2016/07/21,9.382
2016/07/22,9.607
2016/07/23,10.534
2016/07/24,10.856
2016/07/25,11.149
2016/07/26,11.35
2016/07/27,12.757
2016/07/28,13.182
2016/07/29,12.823
2016/07/30,12.526
2016/07/31,12.326
2016/08/01,12.068
2016/08/02,11.684
2016/08/03,10.455
2016/08/04,10.167
2016/08/05,10.166
2016/08/06,10.054
2016/08/07,9.875
2016/08/08,9.786
2016/08/09,9.973
2016/08/10,10.971
2016/08/11,10.795
2016/08/12,10.236
2016/08/13,9.782
2016/08/14,9.861
2016/08/15,9.663
2016/08/16,8.655
2016/08/17,7.883
2016/08/18,7.28
2016/08/19,7.253
2016/08/20,7.336
2016/08/21,6.831
2016/08/22,6.45
2016/08/23,6.585
2016/08/24,6.477
2016/08/25,6.285
2016/08/26,5.937
2016/08/27,5.444
2016/08/28,5.729
2016/08/29,5.282
2016/08/30,5.157
2016/08/31,5.6
2016/09/01,6.772
2016/09/02,6.506
2016/09/03,7.055
2016/09/04,6.423
2016/09/05,7.401
2016/09/06,7.34
2016/09/07,6.539
2016/09/08,5.182
2016/09/09,5.184
2016/09/10,5.164
2016/09/11,6.077
2016/09/12,5.616
2016/09/13,6.719
2016/09/14,6.795
2016/09/15,6.784
2016/09/16,6.825
2016/09/17,6.565
2016/09/18,6.304
2016/09/19,7.093
2016/09/20,7.338
2016/09/21,8.912
2016/09/22,8.844
2016/09/23,10.347
2016/09/24,11.274
2016/09/25,11.716
2016/09/26,11.712
2016/09/27,11.621
2016/09/28,11.543
2016/09/29,13.148
2016/09/30,13.139
2016/10/01,12.033
2016/10/02,12.039
2016/10/03,12.09
2016/10/04,10.226
2016/10/05,9.759
2016/10/06,8.792
2016/10/07,8.705
2016/10/08,9.702
2016/10/09,9.579
2016/10/10,9.379
2016/10/11,11.085
2016/10/12,11.046
2016/10/13,10.279
2016/10/14,10.168
2016/10/15,10.167
2016/10/16,10.132
2016/10/17,10.145
2016/10/18,9.499
2016/10/19,9.839
2016/10/20,11.4
2016/10/21,10.162
2016/10/22,10.137
2016/10/23,10.126
2016/10/24,9.014
2016/10/25,9.112
2016/10/26,9.025
2016/10/27,8.926
2016/10/28,10.071
2016/10/29,9.868
2016/10/30,9.674
2016/10/31,10.673
2016/11/01,10.326
2016/11/02,9.678
2016/11/03,9.605
2016/11/04,9.57
2016/11/05,9.625
2016/11/06,9.677
2016/11/07,9.639
2016/11/08,10.377
2016/11/09,10.901
2016/11/10,10.852
2016/11/11,10.763
2016/11/12,10.629
2016/11/13,10.496
2016/11/14,10.371
2016/11/15,10.252
2016/11/16,10.183
2016/11/17,10.099
2016/11/18,9.998
2016/11/19,9.927
2016/11/20,9.855
2016/11/21,9.792
2016/11/22,8.649
2016/11/23,7.283
2016/11/24,7.214
2016/11/25,5.836
2016/11/26,5.521
2016/11/27,4.618
2016/11/28,3.769
2016/11/29,4.063
2016/11/30,4.746
2016/12/01,4.598
2016/12/02,5.729
2016/12/03,5.796
2016/12/04,6.276
2016/12/05,6.79
2016/12/06,7.183
2016/12/07,7.521
2016/12/08,7.526
2016/12/09,7.584
2016/12/10,7.642
2016/12/11,7.867
2016/12/12,8.025
2016/12/13,7.687
2016/12/14,7.062
2016/12/15,6.477
2016/12/16,5.932
2016/12/17,5.839
2016/12/18,5.789
2016/12/19,5.16
2016/12/20,5.269
2016/12/21,5.281
2016/12/22,4.89
2016/12/23,5.262
2016/12/24,5.207
2016/12/25,5.117
2016/12/26,5.587
2016/12/27,5.547
2016/12/28,5.734
2016/12/29,6.655
2016/12/30,6.276
2016/12/31,6.384
2017/01/01,6.533
2017/01/02,6.671
2017/01/03,6.79
2017/01/04,7.604
2017/01/05,7.946
2017/01/06,8.734
2017/01/07,8.989
2017/01/08,9.239
2017/01/09,9.559
2017/01/10,9.626
2017/01/11,9.568
2017/01/12,8.749
2017/01/13,7.774
2017/01/14,7.67
2017/01/15,6.932
2017/01/16,6.815
2017/01/17,6.826
2017/01/18,6.845
2017/01/19,7.629
2017/01/20,8.671
2017/01/21,8.906
2017/01/22,8.972
2017/01/23,8.613
2017/01/24,8.219
2017/01/25,7.508
