Date,mediantransactionvalue7trxUSD
2016/01/01,0.178
2016/01/02,2.952
2016/01/03,4.866
2016/01/04,5.727
2016/01/05,3.441
2016/01/06,0.439
2016/01/07,-2.407
2016/01/08,-2.764
2016/01/09,-1.904
2016/01/10,-0.199
2016/01/11,1.493
2016/01/12,3.396
2016/01/13,1.995
2016/01/14,1.957
2016/01/15,3.275
2016/01/16,4.56
2016/01/17,5.451
2016/01/18,5.719
2016/01/19,4.342
2016/01/20,4.931
2016/01/21,5.677
2016/01/22,5.456
2016/01/23,5.921
2016/01/24,6.792
2016/01/25,6.866
2016/01/26,6.939
2016/01/27,4.89
2016/01/28,4.054
2016/01/29,3.833
2016/01/30,4.006
2016/01/31,4.169
2016/02/01,3.926
2016/02/02,3.455
2016/02/03,3.248
2016/02/04,3.089
2016/02/05,2.849
2016/02/06,0.714
2016/02/07,0.291
2016/02/08,0.996
2016/02/09,2.343
2016/02/10,4.79
2016/02/11,6.67
2016/02/12,8.916
2016/02/13,9.387
2016/02/14,8.927
2016/02/15,8.251
2016/02/16,7.16
2016/02/17,5.565
2016/02/18,4.122
2016/02/19,3.049
2016/02/20,2.27
2016/02/21,1.758
2016/02/22,1.585
2016/02/23,1.77
2016/02/24,2.024
2016/02/25,2.386
2016/02/26,2.492
2016/02/27,2.583
2016/02/28,2.772
2016/02/29,2.867
2016/03/01,2.996
2016/03/02,3.355
2016/03/03,4.022
2016/03/04,4.519
2016/03/05,5.614
2016/03/06,6.102
2016/03/07,6.011
2016/03/08,5.4
2016/03/09,4.79
2016/03/10,4.686
2016/03/11,4.248
2016/03/12,4.192
2016/03/13,4.307
2016/03/14,4.327
2016/03/15,4.022
2016/03/16,3.678
2016/03/17,3.048
2016/03/18,2.185
2016/03/19,1.292
2016/03/20,0.49
2016/03/21,-0.047
2016/03/22,-0.324
2016/03/23,-0.406
2016/03/24,-0.489
2016/03/25,-0.651
2016/03/26,-0.795
2016/03/27,-0.851
2016/03/28,-0.812
2016/03/29,-0.666
2016/03/30,-0.456
2016/03/31,-0.245
2016/04/01,-0.098
2016/04/02,-0.006
2016/04/03,0.057
2016/04/04,0.05
2016/04/05,-0.095
2016/04/06,-0.252
2016/04/07,-0.424
2016/04/08,-0.652
2016/04/09,-0.88
2016/04/10,-1.196
2016/04/11,-1.516
2016/04/12,-1.875
2016/04/13,-2.205
2016/04/14,-2.355
2016/04/15,-2.389
2016/04/16,-2.321
2016/04/17,-2.293
2016/04/18,-2.025
2016/04/19,-1.664
2016/04/20,-1.361
2016/04/21,-1.154
2016/04/22,-1.055
2016/04/23,-1.005
2016/04/24,-0.949
2016/04/25,-0.953
2016/04/26,-1.046
2016/04/27,-1.096
2016/04/28,-1.143
2016/04/29,-1.168
2016/04/30,-1.024
2016/05/01,-0.714
2016/05/02,-0.194
2016/05/03,0.354
2016/05/04,0.786
2016/05/05,1.081
2016/05/06,1.264
2016/05/07,1.305
2016/05/08,1.239
2016/05/09,1.145
2016/05/10,1.022
2016/05/11,0.947
2016/05/12,0.969
2016/05/13,1.126
2016/05/14,1.212
2016/05/15,1.192
2016/05/16,1.183
2016/05/17,1.373
2016/05/18,1.786
2016/05/19,2.319
2016/05/20,2.829
2016/05/21,3.043
2016/05/22,3.113
2016/05/23,3.083
2016/05/24,2.807
2016/05/25,2.329
2016/05/26,1.048
2016/05/27,0.285
2016/05/28,-1.499
2016/05/29,-2.681
2016/05/30,-2.713
2016/05/31,-2.071
2016/06/01,-1.075
2016/06/02,-0.058
2016/06/03,0.776
2016/06/04,0.805
2016/06/05,1.059
2016/06/06,1.359
2016/06/07,0.688
2016/06/08,0.715
2016/06/09,0.998
2016/06/10,1.175
2016/06/11,1.331
2016/06/12,1.096
2016/06/13,1.41
2016/06/14,1.907
2016/06/15,2.525
2016/06/16,3.17
2016/06/17,1.937
2016/06/18,0.491
2016/06/19,-0.619
2016/06/20,-1.592
2016/06/21,-1.93
2016/06/22,-1.646
2016/06/23,-1.242
2016/06/24,-1.557
2016/06/25,-1.238
2016/06/26,-1.459
2016/06/27,-1.105
2016/06/28,-0.629
2016/06/29,-1.371
2016/06/30,-2.885
2016/07/01,-3.049
2016/07/02,-2.548
2016/07/03,-1.782
2016/07/04,-1.026
2016/07/05,-0.533
2016/07/06,-0.207
2016/07/07,-0.081
2016/07/08,-0.341
2016/07/09,-0.321
2016/07/10,-0.174
2016/07/11,-0.038
2016/07/12,-0.015
2016/07/13,0.028
2016/07/14,-0.503
2016/07/15,-0.393
2016/07/16,-0.761
2016/07/17,-0.615
2016/07/18,-0.254
2016/07/19,0.195
2016/07/20,-0.786
2016/07/21,-1.114
2016/07/22,-0.51
2016/07/23,0.434
2016/07/24,1.356
2016/07/25,2.051
2016/07/26,2.435
2016/07/27,2.504
2016/07/28,2.416
2016/07/29,1.983
2016/07/30,1.533
2016/07/31,1.22
2016/08/01,0.913
2016/08/02,0.48
2016/08/03,-0.807
2016/08/04,-1.34
2016/08/05,-1.429
2016/08/06,-1.323
2016/08/07,-1.099
2016/08/08,-0.83
2016/08/09,-0.468
2016/08/10,-0.219
2016/08/11,-0.263
2016/08/12,-0.781
2016/08/13,-1.344
2016/08/14,-1.247
2016/08/15,-1.138
2016/08/16,-1.779
2016/08/17,-2.503
2016/08/18,-3.189
2016/08/19,-3.491
2016/08/20,-3.321
2016/08/21,-2.938
2016/08/22,-2.648
2016/08/23,-2.66
2016/08/24,-2.928
2016/08/25,-3.418
2016/08/26,-3.826
2016/08/27,-4.057
2016/08/28,-2.972
2016/08/29,-2.74
2016/08/30,-2.704
2016/08/31,-1.961
2016/09/01,0.085
2016/09/02,0.01
2016/09/03,0.502
2016/09/04,0.405
2016/09/05,1.324
2016/09/06,0.943
2016/09/07,-0.387
2016/09/08,-1.823
2016/09/09,-3.124
2016/09/10,-2.737
2016/09/11,-0.657
2016/09/12,0.717
2016/09/13,2.704
2016/09/14,2.181
2016/09/15,0.679
2016/09/16,-0.909
2016/09/17,-1.4
2016/09/18,-0.455
2016/09/19,1.706
2016/09/20,4.129
2016/09/21,6.054
2016/09/22,4.547
2016/09/23,4.498
2016/09/24,4.796
2016/09/25,5.062
2016/09/26,5.096
2016/09/27,4.948
2016/09/28,4.693
2016/09/29,4.352
2016/09/30,3.957
2016/10/01,2.347
2016/10/02,1.681
2016/10/03,1.468
2016/10/04,-0.419
2016/10/05,-1.295
2016/10/06,-2.11
2016/10/07,-1.87
2016/10/08,-1.222
2016/10/09,-0.459
2016/10/10,0.172
2016/10/11,0.654
2016/10/12,0.65
2016/10/13,-0.844
2016/10/14,-1.122
2016/10/15,-0.77
2016/10/16,-0.211
2016/10/17,0.332
2016/10/18,0.082
2016/10/19,0.255
2016/10/20,0.572
2016/10/21,-0.457
2016/10/22,-0.543
2016/10/23,-0.219
2016/10/24,-0.972
2016/10/25,-1.453
2016/10/26,-1.198
2016/10/27,-0.65
2016/10/28,-0.07
2016/10/29,0.337
2016/10/30,0.593
2016/10/31,0.816
2016/11/01,0.111
2016/11/02,-0.667
2016/11/03,-0.73
2016/11/04,-0.449
2016/11/05,-0.048
2016/11/06,0.334
2016/11/07,0.62
2016/11/08,0.803
2016/11/09,0.865
2016/11/10,0.841
2016/11/11,0.746
2016/11/12,0.583
2016/11/13,0.401
2016/11/14,0.225
2016/11/15,0.077
2016/11/16,-0.016
2016/11/17,-0.1
2016/11/18,-0.21
2016/11/19,-0.32
2016/11/20,-0.416
2016/11/21,-0.486
2016/11/22,-1.692
2016/11/23,-3.44
2016/11/24,-3.776
2016/11/25,-4.962
2016/11/26,-5.111
2016/11/27,-5.451
2016/11/28,-5.737
2016/11/29,-5.829
2016/11/30,-5.471
2016/12/01,-4.13
2016/12/02,-2.508
2016/12/03,-0.964
2016/12/04,-0.013
2016/12/05,0.675
2016/12/06,1.022
2016/12/07,1.38
2016/12/08,1.838
2016/12/09,2.19
2016/12/10,2.374
2016/12/11,2.39
2016/12/12,2.327
2016/12/13,1.341
2016/12/14,-0.099
2016/12/15,-1.287
2016/12/16,-2.161
2016/12/17,-2.066
2016/12/18,-1.468
2016/12/19,-1.621
2016/12/20,-1.763
2016/12/21,-2.288
2016/12/22,-3.342
2016/12/23,-3.074
2016/12/24,-2.148
2016/12/25,-1.02
2016/12/26,0.049
2016/12/27,0.289
2016/12/28,0.082
2016/12/29,0.629
2016/12/30,0.416
2016/12/31,0.861
2017/01/01,1.554
2017/01/02,2.179
2017/01/03,1.997
2017/01/04,2.679
2017/01/05,3.52
2017/01/06,4.066
2017/01/07,4.244
2017/01/08,4.202
2017/01/09,4.091
2017/01/10,3.041
