Date,mediantransactionvalueUSD
2016/01/01,1.548
2016/01/02,1.348
2016/01/03,1.32
2016/01/04,1.238
2016/01/05,0
2016/01/06,0
2016/01/07,0
2016/01/08,1.089
2016/01/09,1.097
2016/01/10,1.28
2016/01/11,1.222
2016/01/12,1.504
2016/01/13,0
2016/01/14,1.264
2016/01/15,1.726
2016/01/16,1.603
2016/01/17,1.607
2016/01/18,1.517
2016/01/19,0.724
2016/01/20,2.3
2016/01/21,2.096
2016/01/22,1.566
2016/01/23,2.43
2016/01/24,2.787
2016/01/25,2.306
2016/01/26,2.743
2016/01/27,0.789
2016/01/28,2.485
2016/01/29,2.617
2016/01/30,2.862
2016/01/31,2.825
2016/02/01,2.481
2016/02/02,2.417
2016/02/03,2.857
2016/02/04,2.824
2016/02/05,2.727
2016/02/06,0
2016/02/07,3.137
2016/02/08,3.702
2016/02/09,4.171
2016/02/10,5.933
2016/02/11,5.424
2016/02/12,7.511
2016/02/13,5.632
2016/02/14,5.7
2016/02/15,6.162
2016/02/16,5.478
2016/02/17,4.321
2016/02/18,4.594
2016/02/19,4.937
2016/02/20,5.004
2016/02/21,5.185
2016/02/22,5.735
2016/02/23,6.424
2016/02/24,6.402
2016/02/25,6.935
2016/02/26,6.329
2016/02/27,6.839
2016/02/28,7.431
2016/02/29,7.29
2016/03/01,7.82
2016/03/02,8.957
2016/03/03,10.375
2016/03/04,10.143
2016/03/05,13.827
2016/03/06,11.914
2016/03/07,11.423
2016/03/08,10.439
2016/03/09,11.334
2016/03/10,14.029
2016/03/11,11.562
2016/03/12,14.599
2016/03/13,15.336
2016/03/14,15.095
2016/03/15,13.784
2016/03/16,14.504
2016/03/17,12.562
2016/03/18,11.125
2016/03/19,10.689
2016/03/20,10.505
2016/03/21,11.4
2016/03/22,11.942
2016/03/23,12.251
2016/03/24,11.45
2016/03/25,10.675
2016/03/26,10.822
2016/03/27,11.187
2016/03/28,11.47
2016/03/29,11.919
2016/03/30,12.141
2016/03/31,12.138
2016/04/01,11.86
2016/04/02,11.818
2016/04/03,11.885
2016/04/04,11.526
2016/04/05,10.716
2016/04/06,10.882
2016/04/07,10.601
2016/04/08,9.993
2016/04/09,9.851
2016/04/10,8.875
2016/04/11,8.693
2016/04/12,7.966
2016/04/13,7.797
2016/04/14,8.467
2016/04/15,8.363
2016/04/16,8.464
2016/04/17,7.771
2016/04/18,9.226
2016/04/19,9.178
2016/04/20,8.731
2016/04/21,8.47
2016/04/22,8.165
2016/04/23,8.156
2016/04/24,8.272
2016/04/25,7.885
2016/04/26,7.455
2016/04/27,7.753
2016/04/28,7.542
2016/04/29,7.533
2016/04/30,8.278
2016/05/01,8.798
2016/05/02,9.714
2016/05/03,9.797
