Date,mining_profitability
2016/01/01,4.76E-8
2016/01/02,5.01E-8
2016/01/03,4.98E-8
2016/01/04,4.93E-8
2016/01/05,4.96E-8
2016/01/06,4.89E-8
2016/01/07,5.12E-8
2016/01/08,5.04E-8
2016/01/09,5.32E-8
2016/01/10,5.5E-8
2016/01/11,5.07E-8
2016/01/12,5.63E-8
2016/01/13,5.66E-8
2016/01/14,5.55E-8
2016/01/15,5.87E-8
2016/01/16,5.74E-8
2016/01/17,5.79E-8
2016/01/18,6.4E-8
2016/01/19,6.13E-8
2016/01/20,6.62E-8
2016/01/21,6.78E-8
2016/01/22,6.54E-8
2016/01/23,7.38E-8
2016/01/24,8.98E-8
2016/01/25,9.48E-8
2016/01/26,1.04E-7
2016/01/27,9.47E-8
2016/01/28,1.02E-7
2016/01/29,9.8E-8
2016/01/30,9.89E-8
2016/01/31,9.49E-8
2016/02/01,8.66E-8
2016/02/02,8.93E-8
2016/02/03,9.52E-8
2016/02/04,9.71E-8
2016/02/05,9.61E-8
2016/02/06,9.89E-8
2016/02/07,1.04E-7
2016/02/08,1.15E-7
2016/02/09,1.32E-7
2016/02/10,1.59E-7
2016/02/11,1.75E-7
2016/02/12,2.17E-7
2016/02/13,1.75E-7
2016/02/14,1.66E-7
2016/02/15,1.81E-7
2016/02/16,1.63E-7
2016/02/17,1.37E-7
2016/02/18,1.41E-7
2016/02/19,1.51E-7
2016/02/20,1.48E-7
2016/02/21,1.45E-7
2016/02/22,1.63E-7
2016/02/23,1.76E-7
2016/02/24,1.82E-7
2016/02/25,1.97E-7
2016/02/26,1.81E-7
2016/02/27,1.82E-7
2016/02/28,1.86E-7
2016/02/29,1.83E-7
2016/03/01,1.99E-7
2016/03/02,2.27E-7
2016/03/03,2.53E-7
2016/03/04,2.44E-7
2016/03/05,2.88E-7
2016/03/06,2.73E-7
2016/03/07,2.57E-7
2016/03/08,2.34E-7
2016/03/09,2.52E-7
2016/03/10,2.76E-7
2016/03/11,2.54E-7
2016/03/12,2.8E-7
2016/03/13,3.03E-7
2016/03/14,2.85E-7
2016/03/15,3.07E-7
2016/03/16,3.15E-7
2016/03/17,2.72E-7
2016/03/18,2.36E-7
2016/03/19,2.39E-7
2016/03/20,2.23E-7
2016/03/21,2.41E-7
2016/03/22,2.51E-7
2016/03/23,2.67E-7
2016/03/24,2.43E-7
2016/03/25,2.19E-7
2016/03/26,2.14E-7
2016/03/27,2.06E-7
2016/03/28,2.18E-7
2016/03/29,2.18E-7
2016/03/30,2.19E-7
2016/03/31,2.09E-7
2016/04/01,2.07E-7
2016/04/02,2.06E-7
2016/04/03,2.0E-7
2016/04/04,1.89E-7
2016/04/05,1.77E-7
2016/04/06,1.75E-7
2016/04/07,1.79E-7
2016/04/08,1.6E-7
2016/04/09,1.52E-7
2016/04/10,1.35E-7
2016/04/11,1.33E-7
2016/04/12,1.28E-7
2016/04/13,1.21E-7
2016/04/14,1.29E-7
2016/04/15,1.25E-7
2016/04/16,1.21E-7
2016/04/17,1.39E-7
2016/04/18,1.3E-7
2016/04/19,1.27E-7
2016/04/20,1.2E-7
2016/04/21,1.16E-7
2016/04/22,1.14E-7
2016/04/23,1.1E-7
2016/04/24,1.13E-7
2016/04/25,1.05E-7
2016/04/26,9.84E-8
2016/04/27,1.03E-7
2016/04/28,9.81E-8
2016/04/29,9.67E-8
2016/04/30,1.04E-7
2016/05/01,1.07E-7
2016/05/02,1.26E-7
2016/05/03,1.19E-7
2016/05/04,1.18E-7
2016/05/05,1.19E-7
2016/05/06,1.2E-7
2016/05/07,1.16E-7
2016/05/08,1.14E-7
2016/05/09,1.15E-7
2016/05/10,1.1E-7
2016/05/11,1.18E-7
2016/05/12,1.24E-7
2016/05/13,1.21E-7
2016/05/14,1.17E-7
2016/05/15,1.16E-7
2016/05/16,1.19E-7
2016/05/17,1.36E-7
2016/05/18,1.46E-7
2016/05/19,1.5E-7
2016/05/20,1.53E-7
2016/05/21,1.43E-7
2016/05/22,1.5E-7
2016/05/23,1.48E-7
2016/05/24,1.34E-7
2016/05/25,1.28E-7
2016/05/26,1.26E-7
2016/05/27,1.15E-7
2016/05/28,1.13E-7
2016/05/29,1.18E-7
2016/05/30,1.22E-7
2016/05/31,1.3E-7
2016/06/01,1.41E-7
2016/06/02,1.37E-7
2016/06/03,1.29E-7
2016/06/04,1.29E-7
2016/06/05,1.3E-7
2016/06/06,1.3E-7
2016/06/07,1.3E-7
2016/06/08,1.34E-7
2016/06/09,1.27E-7
2016/06/10,1.28E-7
2016/06/11,1.26E-7
2016/06/12,1.32E-7
2016/06/13,1.44E-7
2016/06/14,1.56E-7
2016/06/15,1.57E-7
2016/06/16,1.67E-7
2016/06/17,1.51E-7
2016/06/18,1.19E-7
2016/06/19,1.05E-7
2016/06/20,9.76E-8
2016/06/21,1.02E-7
2016/06/22,1.19E-7
2016/06/23,1.04E-7
2016/06/24,1.12E-7
2016/06/25,1.13E-7
2016/06/26,1.1E-7
2016/06/27,1.07E-7
2016/06/28,9.99E-8
2016/06/29,9.42E-8
2016/06/30,9.64E-8
2016/07/01,9.36E-8
2016/07/02,9.02E-8
2016/07/03,8.76E-8
2016/07/04,8.57E-8
2016/07/05,7.63E-8
2016/07/06,7.89E-8
2016/07/07,7.42E-8
2016/07/08,7.68E-8
2016/07/09,8.25E-8
2016/07/10,7.92E-8
2016/07/11,7.58E-8
2016/07/12,7.5E-8
2016/07/13,7.43E-8
2016/07/14,7.87E-8
2016/07/15,8.62E-8
2016/07/16,8.54E-8
2016/07/17,8.06E-8
2016/07/18,8.06E-8
2016/07/19,7.94E-8
2016/07/20,8.73E-8
2016/07/21,8.84E-8
2016/07/22,9.64E-8
2016/07/23,1.01E-7
2016/07/24,9.37E-8
2016/07/25,9.8E-8
2016/07/26,9.53E-8
2016/07/27,1.05E-7
2016/07/28,9.75E-8
2016/07/29,9.8E-8
2016/07/30,9.87E-8
2016/07/31,9.51E-8
2016/08/01,9.08E-8
2016/08/02,8.56E-8
2016/08/03,8.42E-8
2016/08/04,8.94E-8
2016/08/05,8.75E-8
2016/08/06,8.62E-8
2016/08/07,8.68E-8
2016/08/08,8.53E-8
2016/08/09,8.76E-8
2016/08/10,8.82E-8
2016/08/11,8.41E-8
2016/08/12,8.38E-8
2016/08/13,8.34E-8
2016/08/14,8.16E-8
2016/08/15,8.01E-8
2016/08/16,7.73E-8
2016/08/17,7.61E-8
2016/08/18,7.56E-8
2016/08/19,7.34E-8
2016/08/20,7.44E-8
2016/08/21,7.46E-8
2016/08/22,7.4E-8
2016/08/23,7.17E-8
2016/08/24,7.18E-8
2016/08/25,7.08E-8
2016/08/26,6.88E-8
2016/08/27,6.92E-8
2016/08/28,6.84E-8
2016/08/29,6.86E-8
2016/08/30,6.95E-8
2016/08/31,7.0E-8
2016/09/01,7.34E-8
2016/09/02,7.33E-8
2016/09/03,7.41E-8
2016/09/04,7.56E-8
2016/09/05,7.36E-8
2016/09/06,7.24E-8
2016/09/07,7.21E-8
2016/09/08,7.13E-8
2016/09/09,7.2E-8
2016/09/10,7.14E-8
2016/09/11,7.11E-8
2016/09/12,7.04E-8
2016/09/13,7.14E-8
2016/09/14,7.0E-8
2016/09/15,6.99E-8
2016/09/16,7.16E-8
2016/09/17,7.12E-8
2016/09/18,7.51E-8
2016/09/19,8.58E-8
2016/09/20,7.74E-8
2016/09/21,7.49E-8
2016/09/22,7.69E-8
2016/09/23,7.65E-8
2016/09/24,7.26E-8
2016/09/25,7.2E-8
2016/09/26,7.1E-8
2016/09/27,7.46E-8
2016/09/28,6.9E-8
2016/09/29,6.66E-8
2016/09/30,6.71E-8
2016/10/01,7.06E-8
2016/10/02,7.15E-8
2016/10/03,6.82E-8
2016/10/04,6.49E-8
2016/10/05,6.65E-8
2016/10/06,6.38E-8
2016/10/07,7.24E-8
2016/10/08,6.63E-8
2016/10/09,6.0E-8
2016/10/10,5.72E-8
2016/10/11,5.59E-8
2016/10/12,5.85E-8
2016/10/13,5.99E-8
2016/10/14,5.45E-8
2016/10/15,5.24E-8
2016/10/16,5.26E-8
2016/10/17,5.42E-8
2016/10/18,5.63E-8
2016/10/19,5.51E-8
2016/10/20,5.47E-8
2016/10/21,5.0E-8
2016/10/22,4.92E-8
2016/10/23,4.97E-8
2016/10/24,4.97E-8
2016/10/25,4.67E-8
2016/10/26,4.66E-8
2016/10/27,4.63E-8
2016/10/28,4.7E-8
2016/10/29,5.32E-8
2016/10/30,5.9E-8
2016/10/31,5.79E-8
2016/11/01,6.19E-8
2016/11/02,7.15E-8
2016/11/03,7.52E-8
2016/11/04,8.14E-8
2016/11/05,8.85E-8
2016/11/06,9.03E-8
2016/11/07,7.87E-8
2016/11/08,6.83E-8
2016/11/09,6.57E-8
2016/11/10,7.17E-8
2016/11/11,7.29E-8
2016/11/12,7.09E-8
2016/11/13,6.62E-8
2016/11/14,6.24E-8
2016/11/15,6.14E-8
2016/11/16,6.35E-8
2016/11/17,6.35E-8
2016/11/18,6.17E-8
2016/11/19,5.67E-8
2016/11/20,5.19E-8
2016/11/21,4.81E-8
2016/11/22,5.18E-8
2016/11/23,5.44E-8
2016/11/24,5.81E-8
2016/11/25,5.92E-8
2016/11/26,5.67E-8
2016/11/27,5.74E-8
2016/11/28,5.4E-8
2016/11/29,4.98E-8
2016/11/30,5.14E-8
2016/12/01,5.09E-8
2016/12/02,4.74E-8
2016/12/03,4.5E-8
2016/12/04,4.3E-8
2016/12/05,4.17E-8
2016/12/06,4.07E-8
2016/12/07,4.47E-8
2016/12/08,4.82E-8
2016/12/09,4.47E-8
2016/12/10,4.34E-8
2016/12/11,4.19E-8
2016/12/12,4.37E-8
2016/12/13,4.32E-8
2016/12/14,4.33E-8
2016/12/15,4.1E-8
2016/12/16,3.95E-8
2016/12/17,3.83E-8
2016/12/18,3.78E-8
2016/12/19,3.69E-8
2016/12/20,3.57E-8
2016/12/21,3.65E-8
2016/12/22,3.65E-8
2016/12/23,3.79E-8
2016/12/24,4.0E-8
2016/12/25,3.88E-8
2016/12/26,3.71E-8
2016/12/27,3.77E-8
2016/12/28,3.84E-8
2016/12/29,4.38E-8
2016/12/30,4.43E-8
2016/12/31,4.19E-8
2017/01/01,4.39E-8
2017/01/02,4.32E-8
2017/01/03,4.65E-8
