Date,mining_profitability14roc
2016/01/01,5.478
2016/01/02,12.893
2016/01/03,8.966
2016/01/04,9.135
2016/01/05,12.971
2016/01/06,11.861
2016/01/07,18.729
2016/01/08,15.91
2016/01/09,22.641
2016/01/10,31.162
2016/01/11,19.251
2016/01/12,34.027
2016/01/13,25.556
2016/01/14,17.086
2016/01/15,23.351
2016/01/16,14.493
2016/01/17,16.081
2016/01/18,29.929
2016/01/19,23.702
2016/01/20,35.434
2016/01/21,32.351
2016/01/22,29.685
2016/01/23,38.634
2016/01/24,63.189
2016/01/25,86.715
2016/01/26,84.074
2016/01/27,67.18
2016/01/28,83.031
2016/01/29,67.075
2016/01/30,72.264
2016/01/31,64.047
2016/02/01,35.202
2016/02/02,45.66
2016/02/03,43.884
2016/02/04,43.304
2016/02/05,47.035
2016/02/06,34.027
2016/02/07,15.752
2016/02/08,20.932
2016/02/09,27.717
2016/02/10,68.287
2016/02/11,72.517
2016/02/12,121.8
2016/02/13,77.364
2016/02/14,75.373
2016/02/15,108.659
2016/02/16,82.654
2016/02/17,43.695
2016/02/18,45.167
2016/02/19,57.128
2016/02/20,49.176
2016/02/21,40
2016/02/22,42.351
2016/02/23,32.612
2016/02/24,14.112
2016/02/25,12.406
2016/02/26,-16.605
2016/02/27,3.761
2016/02/28,11.824
2016/02/29,1.324
2016/03/01,21.777
2016/03/02,65.759
2016/03/03,79.127
2016/03/04,61.631
2016/03/05,95.132
2016/03/06,87.348
2016/03/07,57.318
2016/03/08,33.274
2016/03/09,38.576
2016/03/10,40.034
2016/03/11,39.788
2016/03/12,53.998
2016/03/13,62.589
2016/03/14,55.896
2016/03/15,54.268
2016/03/16,39.068
2016/03/17,7.572
2016/03/18,-3.369
2016/03/19,-16.927
2016/03/20,-18.208
2016/03/21,-5.969
2016/03/22,7.272
2016/03/23,6.045
2016/03/24,-11.841
2016/03/25,-13.734
2016/03/26,-23.714
2016/03/27,-31.954
2016/03/28,-23.602
2016/03/29,-28.999
2016/03/30,-30.655
2016/03/31,-23.165
2016/04/01,-12.282
2016/04/02,-13.723
2016/04/03,-10.379
2016/04/04,-21.736
2016/04/05,-29.708
2016/04/06,-34.561
2016/04/07,-26.507
2016/04/08,-26.898
2016/04/09,-29.07
2016/04/10,-34.644
2016/04/11,-38.873
2016/04/12,-41.155
2016/04/13,-44.634
2016/04/14,-38.185
2016/04/15,-39.834
2016/04/16,-41.146
2016/04/17,-30.494
2016/04/18,-31.243
2016/04/19,-27.85
2016/04/20,-31.079
2016/04/21,-35.021
2016/04/22,-28.816
2016/04/23,-27.681
2016/04/24,-16.088
2016/04/25,-21.566
2016/04/26,-23.171
2016/04/27,-14.576
2016/04/28,-23.972
2016/04/29,-22.339
2016/04/30,-14.553
2016/05/01,-22.715
2016/05/02,-3.285
2016/05/03,-6.419
2016/05/04,-1.85
2016/05/05,2.708
2016/05/06,5.623
2016/05/07,5.452
2016/05/08,0.922
2016/05/09,9.591
2016/05/10,12.267
2016/05/11,13.661
2016/05/12,26.267
2016/05/13,25.209
2016/05/14,12.491
2016/05/15,7.792
2016/05/16,-5.269
2016/05/17,14.085
2016/05/18,23.049
2016/05/19,26.04
2016/05/20,26.88
2016/05/21,23.35
2016/05/22,31.17
2016/05/23,29.281
2016/05/24,21.731
2016/05/25,9.264
2016/05/26,1.869
2016/05/27,-4.816
2016/05/28,-3.241
2016/05/29,1.845
2016/05/30,2.591
2016/05/31,-4.579
2016/06/01,-3.16
2016/06/02,-8.587
2016/06/03,-15.395
2016/06/04,-9.528
2016/06/05,-12.774
2016/06/06,-12.041
2016/06/07,-3.61
2016/06/08,4.689
2016/06/09,0.941
2016/06/10,11.072
2016/06/11,11.368
2016/06/12,12.145
2016/06/13,18.039
