Date,mining_profitability7rsi
2016/01/01,0
2016/01/02,0
2016/01/03,0
2016/01/04,0
2016/01/05,0
2016/01/06,0
2016/01/07,0
2016/01/08,0
2016/01/09,0
2016/01/10,0
2016/01/11,0
2016/01/12,0
2016/01/13,0
2016/01/14,0
2016/01/15,0
2016/01/16,0
2016/01/17,0
2016/01/18,0
2016/01/19,0
2016/01/20,0
2016/01/21,0
2016/01/22,0
2016/01/23,0
2016/01/24,0
2016/01/25,0
2016/01/26,0
2016/01/27,0
2016/01/28,0
2016/01/29,0
2016/01/30,0
2016/01/31,0
2016/02/01,0
2016/02/02,0
2016/02/03,0
2016/02/04,0
2016/02/05,0
2016/02/06,0
2016/02/07,0
2016/02/08,0
2016/02/09,0
2016/02/10,0
2016/02/11,93.893
2016/02/12,96.33
2016/02/13,65.83
2016/02/14,61.064
2016/02/15,65.69
2016/02/16,56.098
2016/02/17,44.661
2016/02/18,46.667
2016/02/19,51.619
2016/02/20,49.724
2016/02/21,48.542
2016/02/22,58.579
2016/02/23,64.358
2016/02/24,66.983
2016/02/25,72.748
2016/02/26,60.146
2016/02/27,60.455
2016/02/28,62.804
2016/02/29,0
2016/03/01,68.719
2016/03/02,78.689
2016/03/03,84.104
2016/03/04,76.706
2016/03/05,84.826
2016/03/06,74.276
2016/03/07,64.476
2016/03/08,52.993
2016/03/09,59.633
2016/03/10,66.915
2016/03/11,55.935
2016/03/12,64.185
2016/03/13,69.742
2016/03/14,61.213
2016/03/15,66.972
2016/03/16,69.218
2016/03/17,49.793
2016/03/18,39.285
2016/03/19,40.592
2016/03/20,36.012
2016/03/21,44.323
2016/03/22,48.512
2016/03/23,54.946
2016/03/24,45.064
2016/03/25,37.176
2016/03/26,35.699
2016/03/27,33.257
2016/03/28,40.584
2016/03/29,40.407
2016/03/30,41.198
2016/03/31,36.092
2016/04/01,35.188
2016/04/02,0
2016/04/03,0
2016/04/04,0
2016/04/05,0
2016/04/06,0
2016/04/07,0
2016/04/08,0
2016/04/09,0
2016/04/10,12.09
2016/04/11,0
2016/04/12,0
2016/04/13,0
2016/04/14,0
2016/04/15,0
2016/04/16,0
2016/04/17,0
2016/04/18,0
2016/04/19,0
2016/04/20,0
2016/04/21,0
2016/04/22,0
2016/04/23,0
2016/04/24,0
2016/04/25,0
2016/04/26,0
2016/04/27,0
2016/04/28,0
2016/04/29,0
2016/04/30,0
2016/05/01,0
2016/05/02,0
2016/05/03,0
2016/05/04,0
2016/05/05,0
2016/05/06,0
2016/05/07,0
2016/05/08,0
2016/05/09,0
2016/05/10,0
2016/05/11,0
2016/05/12,0
2016/05/13,0
2016/05/14,0
2016/05/15,0
2016/05/16,0
2016/05/17,0
2016/05/18,0
2016/05/19,0
2016/05/20,0
2016/05/21,0
2016/05/22,0
2016/05/23,0
2016/05/24,0
2016/05/25,0
2016/05/26,0
2016/05/27,0
2016/05/28,0
2016/05/29,0
2016/05/30,0
2016/05/31,0
2016/06/01,0
2016/06/02,0
2016/06/03,0
2016/06/04,0
