Date,mining_profitability90trx
2016/01/01,0
2016/01/02,0
2016/01/03,0
2016/01/04,0
2016/01/05,0
2016/01/06,0
2016/01/07,0
2016/01/08,0
2016/01/09,0
2016/01/10,0
2016/01/11,0
2016/01/12,0
2016/01/13,0
2016/01/14,0
2016/01/15,0
2016/01/16,0
2016/01/17,0
2016/01/18,0
2016/01/19,0
2016/01/20,0
2016/01/21,0
2016/01/22,0
2016/01/23,0
2016/01/24,0
2016/01/25,0
2016/01/26,0
2016/01/27,0
2016/01/28,0
2016/01/29,0
2016/01/30,0
2016/01/31,0
2016/02/01,0
2016/02/02,0
2016/02/03,0
2016/02/04,0
2016/02/05,0
2016/02/06,0
2016/02/07,0
2016/02/08,0
2016/02/09,0
2016/02/10,0
2016/02/11,0
2016/02/12,0
2016/02/13,0
2016/02/14,0
2016/02/15,0
2016/02/16,0
2016/02/17,0
2016/02/18,0
2016/02/19,0
2016/02/20,0
2016/02/21,0
2016/02/22,0
2016/02/23,0
2016/02/24,0
2016/02/25,0
2016/02/26,0
2016/02/27,0
2016/02/28,0
2016/02/29,0
2016/03/01,0
2016/03/02,0
2016/03/03,0
2016/03/04,0
2016/03/05,0
2016/03/06,0
2016/03/07,0
2016/03/08,0
2016/03/09,0
2016/03/10,0
2016/03/11,0
2016/03/12,0
2016/03/13,0
2016/03/14,0
2016/03/15,0
2016/03/16,0
2016/03/17,0
2016/03/18,0
2016/03/19,0
2016/03/20,0
2016/03/21,0
2016/03/22,0
2016/03/23,0
2016/03/24,0
2016/03/25,0
2016/03/26,0
2016/03/27,0
2016/03/28,0
2016/03/29,0
2016/03/30,0
2016/03/31,0
2016/04/01,0
2016/04/02,0
2016/04/03,0
2016/04/04,0
2016/04/05,0
2016/04/06,0
2016/04/07,0
2016/04/08,0
2016/04/09,0
2016/04/10,0
2016/04/11,0
2016/04/12,0
2016/04/13,0
2016/04/14,0
2016/04/15,0
2016/04/16,0
2016/04/17,0
2016/04/18,0
2016/04/19,0
2016/04/20,0
2016/04/21,0
2016/04/22,0
2016/04/23,0.32
2016/04/24,0.316
2016/04/25,0.31
2016/04/26,0.305
2016/04/27,0.299
2016/04/28,0.293
2016/04/29,0.286
2016/04/30,0.279
2016/05/01,0.272
2016/05/02,0.265
2016/05/03,0.258
2016/05/04,0.251
2016/05/05,0.244
2016/05/06,0.236
2016/05/07,0.229
2016/05/08,0.222
2016/05/09,0.214
2016/05/10,0.207
2016/05/11,0.199
2016/05/12,0.192
2016/05/13,0.185
2016/05/14,0.177
2016/05/15,0.17
2016/05/16,0.163
2016/05/17,0.156
2016/05/18,0.149
2016/05/19,0.143
2016/05/20,0.136
2016/05/21,0.13
2016/05/22,0.125
2016/05/23,0.119
2016/05/24,0.114
2016/05/25,0.108
2016/05/26,0.103
2016/05/27,0.098
2016/05/28,0.092
2016/05/29,0.087
2016/05/30,0.082
2016/05/31,0.076
2016/06/01,0.071
2016/06/02,0.067
2016/06/03,0.062
2016/06/04,0.057
2016/06/05,0.053
2016/06/06,0.048
