Date,price
2016/01/01,0.96
2016/01/02,0.966
2016/01/03,0.981
2016/01/04,0.972
2016/01/05,0.975
2016/01/06,0.974
2016/01/07,0.995
2016/01/08,0.991
2016/01/09,1.062
2016/01/10,1.084
2016/01/11,1.054
2016/01/12,1.176
2016/01/13,1.13
2016/01/14,1.14
2016/01/15,1.241
2016/01/16,1.241
2016/01/17,1.235
2016/01/18,1.421
2016/01/19,1.373
2016/01/20,1.465
2016/01/21,1.526
2016/01/22,1.519
2016/01/23,1.742
2016/01/24,2.143
2016/01/25,2.3
2016/01/26,2.583
2016/01/27,2.402
2016/01/28,2.489
2016/01/29,2.508
2016/01/30,2.521
2016/01/31,2.387
2016/02/01,2.222
2016/02/02,2.237
2016/02/03,2.428
2016/02/04,2.535
2016/02/05,2.525
2016/02/06,2.509
2016/02/07,2.695
2016/02/08,3.105
2016/02/09,3.493
2016/02/10,4.363
2016/02/11,4.937
2016/02/12,5.908
2016/02/13,4.99
2016/02/14,4.897
2016/02/15,5.468
2016/02/16,4.865
2016/02/17,4.098
2016/02/18,4.034
2016/02/19,4.498
2016/02/20,4.44
2016/02/21,4.43
2016/02/22,5.143
2016/02/23,5.682
2016/02/24,5.812
2016/02/25,6.275
2016/02/26,5.988
2016/02/27,6.222
2016/02/28,6.445
2016/02/29,6.42
2016/03/01,6.748
2016/03/02,7.982
2016/03/03,9.246
2016/03/04,9.258
2016/03/05,11.14
2016/03/06,11.11
2016/03/07,10.33
2016/03/08,9.6
2016/03/09,10.567
2016/03/10,11.633
2016/03/11,11.098
2016/03/12,12.907
2016/03/13,14.326
2016/03/14,13.457
2016/03/15,12.707
2016/03/16,13.233
2016/03/17,11.603
2016/03/18,10.208
2016/03/19,10.568
2016/03/20,10.23
2016/03/21,10.977
2016/03/22,11.604
2016/03/23,11.848
2016/03/24,11.393
2016/03/25,10.782
2016/03/26,10.837
2016/03/27,10.684
2016/03/28,11.19
2016/03/29,11.557
2016/03/30,11.799
2016/03/31,11.754
2016/04/01,11.609
2016/04/02,11.456
2016/04/03,11.492
2016/04/04,11.275
2016/04/05,10.716
2016/04/06,10.588
2016/04/07,10.382
2016/04/08,9.876
2016/04/09,9.608
2016/04/10,8.622
2016/04/11,8.48
2016/04/12,7.872
2016/04/13,7.789
2016/04/14,8.376
2016/04/15,8.321
2016/04/16,8.279
2016/04/17,9.246
2016/04/18,9.061
2016/04/19,9.036
2016/04/20,8.585
2016/04/21,8.461
2016/04/22,7.993
2016/04/23,8.003
2016/04/24,8.178
2016/04/25,7.793
2016/04/26,7.315
2016/04/27,7.6
2016/04/28,7.42
2016/04/29,7.458
2016/04/30,8.259
2016/05/01,8.711
2016/05/02,9.575
2016/05/03,9.629
2016/05/04,9.541
2016/05/05,9.552
2016/05/06,9.68
2016/05/07,9.32
2016/05/08,9.285
2016/05/09,9.429
2016/05/10,9.326
2016/05/11,9.683
2016/05/12,10.127
2016/05/13,10.567
2016/05/14,10.192
2016/05/15,10.134
2016/05/16,10.492
2016/05/17,11.72
2016/05/18,12.976
2016/05/19,13.922
2016/05/20,14.335
2016/05/21,13.618
2016/05/22,14.049
2016/05/23,14.058
2016/05/24,13.002
2016/05/25,12.401
2016/05/26,12.434
2016/05/27,11.309
2016/05/28,11.339
2016/05/29,12.058
2016/05/30,12.443
2016/05/31,13.263
2016/06/01,13.882
2016/06/02,13.819
2016/06/03,13.637
2016/06/04,13.627
2016/06/05,13.724
2016/06/06,13.84
2016/06/07,14.029
2016/06/08,14.468
2016/06/09,14.372
2016/06/10,14.051
2016/06/11,13.801
2016/06/12,14.675
2016/06/13,16.59
2016/06/14,18.159
2016/06/15,18.319
2016/06/16,19.463
2016/06/17,17.323
2016/06/18,12.867
2016/06/19,12.175
2016/06/20,11.714
2016/06/21,11.96
2016/06/22,14.186
2016/06/23,13.002
2016/06/24,13.851
2016/06/25,14.166
2016/06/26,13.917
2016/06/27,13.858
2016/06/28,13.087
