Date,price14rocUSD
2016/01/01,2.89
2016/01/02,5.921
2016/01/03,6.441
2016/01/04,7.329
2016/01/05,7.921
2016/01/06,10.842
2016/01/07,14.29
2016/01/08,13.345
2016/01/09,22.979
2016/01/10,27.589
2016/01/11,23.15
2016/01/12,37.716
2016/01/13,25.635
2016/01/14,19.425
2016/01/15,29.318
2016/01/16,28.495
2016/01/17,25.989
2016/01/18,46.194
2016/01/19,40.755
2016/01/20,50.389
2016/01/21,53.422
2016/01/22,53.308
2016/01/23,63.96
2016/01/24,97.726
2016/01/25,118.082
2016/01/26,119.651
2016/01/27,112.6
2016/01/28,118.35
2016/01/29,102.08
2016/01/30,103.11
2016/01/31,93.209
2016/02/01,56.356
2016/02/02,62.975
2016/02/03,65.702
2016/02/04,66.113
2016/02/05,66.239
2016/02/06,44.031
2016/02/07,25.785
2016/02/08,35.04
2016/02/09,35.23
2016/02/10,81.664
2016/02/11,98.325
2016/02/12,135.593
2016/02/13,97.93
2016/02/14,105.136
2016/02/15,146.063
2016/02/16,117.481
2016/02/17,68.767
2016/02/18,59.127
2016/02/19,78.126
2016/02/20,76.983
2016/02/21,64.388
2016/02/22,65.607
2016/02/23,62.661
2016/02/24,33.223
2016/02/25,27.108
2016/02/26,1.347
2016/02/27,24.688
2016/02/28,31.618
2016/02/29,17.401
2016/03/01,38.695
2016/03/02,94.798
2016/03/03,129.196
2016/03/04,105.833
2016/03/05,150.884
2016/03/06,150.773
2016/03/07,100.879
2016/03/08,68.959
2016/03/09,81.811
2016/03/10,85.395
2016/03/11,85.346
2016/03/12,107.432
2016/03/13,122.28
2016/03/14,109.611
2016/03/15,88.307
2016/03/16,65.785
2016/03/17,25.491
2016/03/18,10.256
2016/03/19,-5.131
2016/03/20,-7.92
2016/03/21,6.256
2016/03/22,20.877
2016/03/23,12.115
2016/03/24,-2.064
2016/03/25,-2.841
2016/03/26,-16.039
2016/03/27,-25.426
2016/03/28,-16.846
2016/03/29,-9.054
2016/03/30,-10.837
2016/03/31,1.308
2016/04/01,13.722
2016/04/02,8.403
2016/04/03,12.333
2016/04/04,2.714
2016/04/05,-7.654
2016/04/06,-10.635
2016/04/07,-8.873
2016/04/08,-8.405
2016/04/09,-11.336
2016/04/10,-19.298
2016/04/11,-24.217
2016/04/12,-31.887
2016/04/13,-33.985
2016/04/14,-28.746
2016/04/15,-28.32
2016/04/16,-27.736
2016/04/17,-19.542
2016/04/18,-19.63
2016/04/19,-15.678
2016/04/20,-18.916
2016/04/21,-18.5
2016/04/22,-19.073
2016/04/23,-16.71
2016/04/24,-5.15
2016/04/25,-8.1
2016/04/26,-7.073
2016/04/27,-2.425
2016/04/28,-11.407
2016/04/29,-10.368
2016/04/30,-0.241
2016/05/01,-5.789
2016/05/02,5.666
2016/05/03,6.562
2016/05/04,11.139
2016/05/05,12.886
2016/05/06,21.107
2016/05/07,16.464
2016/05/08,13.539
2016/05/09,20.992
2016/05/10,27.502
2016/05/11,27.408
2016/05/12,36.487
2016/05/13,41.682
2016/05/14,23.41
2016/05/15,16.343
2016/05/16,9.577
2016/05/17,21.722
2016/05/18,36.005
2016/05/19,45.757
2016/05/20,48.1
2016/05/21,46.118
2016/05/22,51.309
2016/05/23,49.085
2016/05/24,39.412
2016/05/25,28.071
2016/05/26,22.778
2016/05/27,7.018
2016/05/28,11.254
2016/05/29,18.982
2016/05/30,18.6
2016/05/31,13.168
2016/06/01,6.982
2016/06/02,-0.745
2016/06/03,-4.872
2016/06/04,0.066
2016/06/05,-2.311
2016/06/06,-1.551
2016/06/07,7.9
2016/06/08,16.665
2016/06/09,15.587
2016/06/10,24.254
2016/06/11,21.711
2016/06/12,21.706
2016/06/13,33.322
2016/06/14,36.913
2016/06/15,31.961
2016/06/16,40.847
2016/06/17,27.032
2016/06/18,-5.578
2016/06/19,-11.291
2016/06/20,-15.356
2016/06/21,-14.754
2016/06/22,-1.948
2016/06/23,-9.537
2016/06/24,-1.428
2016/06/25,2.646
2016/06/26,-5.167
2016/06/27,-16.468
2016/06/28,-27.933
