Date,price14stdUSD
2016/01/01,0.068
2016/01/02,0.078
2016/01/03,0.088
2016/01/04,0.096
2016/01/05,0.102
2016/01/06,0.105
2016/01/07,0.109
2016/01/08,0.109
2016/01/09,0.12
2016/01/10,0.124
2016/01/11,0.116
2016/01/12,0.133
2016/01/13,0.135
2016/01/14,0.143
2016/01/15,0.172
2016/01/16,0.19
2016/01/17,0.2
2016/01/18,0.251
2016/01/19,0.267
2016/01/20,0.293
2016/01/21,0.32
2016/01/22,0.326
2016/01/23,0.389
2016/01/24,0.558
2016/01/25,0.697
2016/01/26,0.878
2016/01/27,0.936
2016/01/28,0.976
2016/01/29,1.001
2016/01/30,0.994
2016/01/31,0.934
2016/02/01,0.875
2016/02/02,0.783
2016/02/03,0.696
2016/02/04,0.598
2016/02/05,0.43
2016/02/06,0.265
2016/02/07,0.257
2016/02/08,0.409
2016/02/09,0.652
2016/02/10,1.118
2016/02/11,1.588
2016/02/12,2.202
2016/02/13,2.367
2016/02/14,2.439
2016/02/15,2.529
2016/02/16,2.449
2016/02/17,2.308
2016/02/18,2.155
2016/02/19,1.965
2016/02/20,1.704
2016/02/21,1.413
2016/02/22,1.196
2016/02/23,1.101
2016/02/24,1.173
2016/02/25,1.358
2016/02/26,1.374
2016/02/27,1.5
2016/02/28,1.637
2016/02/29,1.744
2016/03/01,1.872
2016/03/02,2.125
2016/03/03,2.587
2016/03/04,2.891
2016/03/05,3.554
2016/03/06,3.872
2016/03/07,3.933
2016/03/08,3.858
2016/03/09,3.85
2016/03/10,3.999
2016/03/11,3.849
2016/03/12,3.946
2016/03/13,4.22
2016/03/14,3.984
2016/03/15,3.455
2016/03/16,3.147
2016/03/17,2.895
2016/03/18,2.707
2016/03/19,2.756
2016/03/20,2.843
2016/03/21,2.779
2016/03/22,2.538
2016/03/23,2.445
2016/03/24,2.455
2016/03/25,2.489
2016/03/26,2.465
2016/03/27,2.031
2016/03/28,1.695
2016/03/29,1.511
2016/03/30,1.076
2016/03/31,1.099
2016/04/01,1.006
2016/04/02,0.949
2016/04/03,0.759
2016/04/04,0.731
2016/04/05,0.793
2016/04/06,0.816
2016/04/07,0.916
2016/04/08,1.117
2016/04/09,1.35
2016/04/10,1.823
2016/04/11,2.179
2016/04/12,2.541
2016/04/13,2.74
2016/04/14,2.712
2016/04/15,2.637
2016/04/16,2.514
2016/04/17,2.232
2016/04/18,1.927
2016/04/19,1.702
2016/04/20,1.452
2016/04/21,1.173
2016/04/22,1.018
2016/04/23,0.867
2016/04/24,0.87
2016/04/25,0.923
2016/04/26,1.044
2016/04/27,1.075
2016/04/28,1.165
2016/04/29,1.23
2016/04/30,1.23
2016/05/01,1.122
2016/05/02,1.266
2016/05/03,1.41
2016/05/04,1.56
2016/05/05,1.692
2016/05/06,1.807
2016/05/07,1.835
2016/05/08,1.855
2016/05/09,1.829
2016/05/10,1.658
2016/05/11,1.529
2016/05/12,1.32
2016/05/13,1.055
2016/05/14,0.871
2016/05/15,0.748
2016/05/16,0.842
2016/05/17,1.298
2016/05/18,2.012
2016/05/19,2.748
2016/05/20,3.339
2016/05/21,3.516
2016/05/22,3.655
2016/05/23,3.694
2016/05/24,3.47
2016/05/25,3.21
2016/05/26,2.985
2016/05/27,2.875
2016/05/28,2.668
2016/05/29,2.332
2016/05/30,1.999
2016/05/31,1.909
2016/06/01,1.97
2016/06/02,1.957
2016/06/03,1.851
2016/06/04,1.852
2016/06/05,1.803
2016/06/06,1.768
2016/06/07,1.859
2016/06/08,1.975
2016/06/09,2.03
2016/06/10,1.743
2016/06/11,1.285
2016/06/12,1.048
2016/06/13,1.54
2016/06/14,2.513
2016/06/15,3.167
2016/06/16,3.916
2016/06/17,3.957
2016/06/18,4.075
2016/06/19,4.328
2016/06/20,4.658
2016/06/21,4.914
2016/06/22,4.925
2016/06/23,5.023
2016/06/24,5.033
2016/06/25,5.015
2016/06/26,5.039
2016/06/27,4.963
2016/06/28,4.611
2016/06/29,4.137
2016/06/30,2.761
2016/07/01,1.716
2016/07/02,1.788
2016/07/03,1.831
2016/07/04,1.866
2016/07/05,2.204
2016/07/06,2.319
2016/07/07,2.617
2016/07/08,2.627
2016/07/09,2.398
2016/07/10,2.135
2016/07/11,1.784
2016/07/12,1.549
2016/07/13,1.493
2016/07/14,1.283
2016/07/15,1.225
2016/07/16,1.171
2016/07/17,1.071
2016/07/18,1.039
2016/07/19,1.033
2016/07/20,1.171
2016/07/21,1.229
2016/07/22,1.621
2016/07/23,2.213
2016/07/24,2.327
2016/07/25,2.325
2016/07/26,2.193
2016/07/27,1.966
2016/07/28,1.832
2016/07/29,1.804
2016/07/30,1.751
2016/07/31,1.612
2016/08/01,1.557
2016/08/02,1.897
2016/08/03,2.448
2016/08/04,2.605
2016/08/05,2.609
2016/08/06,2.368
2016/08/07,2.257
2016/08/08,2.091
2016/08/09,1.964
2016/08/10,1.897
2016/08/11,1.772
2016/08/12,1.634
2016/08/13,1.468
2016/08/14,1.38
2016/08/15,1.361
2016/08/16,1.259
2016/08/17,0.907
2016/08/18,0.881
2016/08/19,0.908
2016/08/20,0.856
2016/08/21,0.836
2016/08/22,0.813
2016/08/23,0.805
2016/08/24,0.652
2016/08/25,0.554
2016/08/26,0.441
2016/08/27,0.338
2016/08/28,0.28
2016/08/29,0.282
2016/08/30,0.281
2016/08/31,0.309
2016/09/01,0.613
2016/09/02,0.712
2016/09/03,0.771
2016/09/04,0.776
2016/09/05,0.785
2016/09/06,0.764
2016/09/07,0.734
2016/09/08,0.714
2016/09/09,0.705
2016/09/10,0.688
2016/09/11,0.643
2016/09/12,0.535
2016/09/13,0.46
2016/09/14,0.413
2016/09/15,0.379
2016/09/16,0.417
2016/09/17,0.6
2016/09/18,0.764
2016/09/19,0.903
2016/09/20,1.22
2016/09/21,1.443
2016/09/22,1.418
2016/09/23,1.395
2016/09/24,1.325
2016/09/25,1.264
2016/09/26,1.152
2016/09/27,1.065
2016/09/28,0.941
2016/09/29,0.775
2016/09/30,0.618
2016/10/01,0.552
2016/10/02,0.51
2016/10/03,0.482
2016/10/04,0.417
2016/10/05,0.246
2016/10/06,0.283
2016/10/07,0.345
2016/10/08,0.546
2016/10/09,0.695
2016/10/10,0.916
2016/10/11,1.037
2016/10/12,1.124
2016/10/13,1.167
2016/10/14,1.178
2016/10/15,1.18
2016/10/16,1.134
2016/10/17,1.042
2016/10/18,0.856
2016/10/19,0.653
2016/10/20,0.505
2016/10/21,0.374
2016/10/22,0.351
2016/10/23,0.335
2016/10/24,0.322
2016/10/25,0.409
2016/10/26,0.471
2016/10/27,0.551
2016/10/28,0.651
2016/10/29,0.906
2016/10/30,1.075
2016/10/31,1.104
2016/11/01,1.11
2016/11/02,1.073
2016/11/03,1.035
2016/11/04,0.966
2016/11/05,0.86
2016/11/06,0.736
2016/11/07,0.577
2016/11/08,0.516
2016/11/09,0.461
2016/11/10,0.408
2016/11/11,0.412
2016/11/12,0.541
2016/11/13,0.645
2016/11/14,0.692
2016/11/15,0.753
2016/11/16,0.767
2016/11/17,0.79
2016/11/18,0.839
2016/11/19,0.838
2016/11/20,0.815
2016/11/21,0.771
2016/11/22,0.656
2016/11/23,0.577
2016/11/24,0.521
2016/11/25,0.5
2016/11/26,0.526
2016/11/27,0.601
2016/11/28,0.726
2016/11/29,0.972
2016/11/30,1.034
2016/12/01,1.068
2016/12/02,1.22
2016/12/03,1.338
2016/12/04,1.455
2016/12/05,1.615
2016/12/06,1.729
2016/12/07,1.589
2016/12/08,1.457
2016/12/09,1.318
2016/12/10,1.153
2016/12/11,1.021
2016/12/12,0.947
2016/12/13,0.962
2016/12/14,0.955
2016/12/15,0.924
2016/12/16,0.928
2016/12/17,0.942
2016/12/18,0.932
2016/12/19,0.854
2016/12/20,0.611
2016/12/21,0.613
2016/12/22,0.601
2016/12/23,0.65
2016/12/24,0.699
2016/12/25,0.743
2016/12/26,0.722
2016/12/27,0.656
2016/12/28,0.543
2016/12/29,0.579
2016/12/30,0.67
2016/12/31,0.708
2017/01/01,0.778
2017/01/02,0.832
2017/01/03,1.026
2017/01/04,1.734
2017/01/05,2.163
2017/01/06,2.315
2017/01/07,2.345
2017/01/08,2.342
2017/01/09,2.343
2017/01/10,2.236
2017/01/11,1.984
2017/01/12,1.855
2017/01/13,1.723
2017/01/14,1.489
2017/01/15,1.256
2017/01/16,0.901
2017/01/17,0.676
2017/01/18,0.636
2017/01/19,0.589
2017/01/20,0.66
2017/01/21,0.752
2017/01/22,0.841
2017/01/23,0.882
2017/01/24,0.907
2017/01/25,0.923
2017/01/26,0.862
2017/01/27,0.79
2017/01/28,0.697
2017/01/29,0.606
2017/01/30,0.416
2017/01/31,0.317
2017/02/01,0.265
2017/02/02,0.208
2017/02/03,0.222
2017/02/04,0.393
2017/02/05,0.484
2017/02/06,0.565
2017/02/07,0.661
2017/02/08,0.706
2017/02/09,0.7
2017/02/10,0.67
2017/02/11,0.662
2017/02/12,0.625
2017/02/13,0.56
2017/02/14,0.776
2017/02/15,1.081
2017/02/16,1.219
2017/02/17,1.299
2017/02/18,1.392
2017/02/19,1.447
2017/02/20,1.467
2017/02/21,1.462
2017/02/22,1.435
2017/02/23,1.343
2017/02/24,1.205
2017/02/25,1.127
2017/02/26,1.058
2017/02/27,1.161
2017/02/28,1.76
2017/03/01,2.22
2017/03/02,3.225
2017/03/03,4.368
2017/03/04,4.988
2017/03/05,5.256
2017/03/06,5.488
2017/03/07,5.457
2017/03/08,5.151
2017/03/09,4.707
2017/03/10,4.229
2017/03/11,3.808
2017/03/12,3.812
2017/03/13,5.47
2017/03/14,6.875
2017/03/15,8.198
2017/03/16,12.636
2017/03/17,17.236
2017/03/18,18.476
2017/03/19,19.233
2017/03/20,20.315
2017/03/21,20.647
2017/03/22,19.952
2017/03/23,18.523
2017/03/24,17.114
2017/03/25,15.93
2017/03/26,14.264
2017/03/27,13.038
2017/03/28,11.102
2017/03/29,9.064
2017/03/30,9.386
2017/03/31,9.612
2017/04/01,8.844
2017/04/02,7.776
2017/04/03,7.48
2017/04/04,7.367
2017/04/05,6.452
2017/04/06,5.783
2017/04/07,6.38
2017/04/08,6.585
2017/04/09,6.789
2017/04/10,6.908
2017/04/11,6.917
2017/04/12,6.267
2017/04/13,5.271
2017/04/14,4.845
2017/04/15,4.34
2017/04/16,4.014
2017/04/17,4.287
2017/04/18,4.57
2017/04/19,5.108
2017/04/20,5.144
2017/04/21,4.893
2017/04/22,4.745
2017/04/23,4.334
2017/04/24,3.728
2017/04/25,2.908
2017/04/26,2.123
2017/04/27,4.774
2017/04/28,9.597
2017/04/29,13.43
2017/04/30,16.495
2017/05/01,20.307
2017/05/02,22.31
2017/05/03,23.757
2017/05/04,25.898
2017/05/05,28.652
2017/05/06,29.533
2017/05/07,29.52
2017/05/08,27.854
2017/05/09,24.433
2017/05/10,20.313
2017/05/11,16.358
2017/05/12,14.075
2017/05/13,11.922
2017/05/14,9.802
2017/05/15,9.188
2017/05/16,7.422
2017/05/17,5.083
2017/05/18,5.208
2017/05/19,12.827
2017/05/20,21.981
2017/05/21,30.432
2017/05/22,45.999
2017/05/23,55.121
2017/05/24,67.685
2017/05/25,77.528
2017/05/26,80.267
2017/05/27,77.446
2017/05/28,75.392
2017/05/29,72.889
2017/05/30,72.77
2017/05/31,72.086
2017/06/01,67.286
2017/06/02,63.003
2017/06/03,58.259
2017/06/04,55.855
2017/06/05,58.886
2017/06/06,61.783
2017/06/07,66.334
2017/06/08,69.159
2017/06/09,69.965
2017/06/10,67.299
2017/06/11,76.765
2017/06/12,89.655
2017/06/13,105.541
2017/06/14,114.139
2017/06/15,111.291
2017/06/16,108.472
2017/06/17,103.287
2017/06/18,99.023
2017/06/19,92.526
2017/06/20,85.679
2017/06/21,75.569
2017/06/22,61.213
2017/06/23,45.343
2017/06/24,39.761
2017/06/25,47.764
2017/06/26,63.15
2017/06/27,73.913
2017/06/28,71.925
2017/06/29,72.361
2017/06/30,72.027
2017/07/01,72.172
2017/07/02,69.034
2017/07/03,62.965
2017/07/04,53.064
2017/07/05,49.646
2017/07/06,46.158
2017/07/07,40.821
2017/07/08,37.265
2017/07/09,37
2017/07/10,42.654
2017/07/11,55.012
2017/07/12,60.294
2017/07/13,57.844
2017/07/14,58.433
2017/07/15,63.48
2017/07/16,72.958
2017/07/17,72.714
2017/07/18,66.317
2017/07/19,60.931
2017/07/20,53.446
2017/07/21,47.997
2017/07/22,45.181
2017/07/23,41.879
2017/07/24,41.775
2017/07/25,41.656
2017/07/26,41.719
2017/07/27,41.67
2017/07/28,41.631
2017/07/29,41.181
2017/07/30,31.696
2017/07/31,25.54
2017/08/01,25.331
2017/08/02,25.367
2017/08/03,25.917
2017/08/04,25.951
