Date,price3trxUSD
2016/01/01,2.008
2016/01/02,2.009
2016/01/03,1.879
2016/01/04,1.441
2016/01/05,1.045
2016/01/06,0.71
2016/01/07,0.726
2016/01/08,0.634
2016/01/09,1.411
2016/01/10,1.977
2016/01/11,1.601
2016/01/12,2.58
2016/01/13,2.304
2016/01/14,1.841
2016/01/15,2.507
2016/01/16,2.619
2016/01/17,2.193
2016/01/18,3.61
2016/01/19,3.475
2016/01/20,3.679
2016/01/21,3.88
2016/01/22,3.365
2016/01/23,4.567
2016/01/24,8.055
2016/01/25,9.746
2016/01/26,10.718
2016/01/27,8.098
2016/01/28,5.972
2016/01/29,4.313
2016/01/30,3.07
2016/01/31,1.41
2016/02/01,-0.477
2016/02/02,-1.321
2016/02/03,-0.459
2016/02/04,0.824
2016/02/05,1.349
2016/02/06,1.252
2016/02/07,1.922
2016/02/08,4.143
2016/02/09,6.627
2016/02/10,10.676
2016/02/11,13.027
2016/02/12,15.025
2016/02/13,10.117
2016/02/14,5.756
2016/02/15,4.595
2016/02/16,2.167
2016/02/17,-1.349
2016/02/18,-3.281
2016/02/19,-2.521
2016/02/20,-1.607
2016/02/21,-0.949
2016/02/22,1.456
2016/02/23,4.14
2016/02/24,5.161
2016/02/25,5.852
2016/02/26,4.58
2016/02/27,3.691
2016/02/28,3.297
2016/02/29,2.661
2016/03/01,2.652
2016/03/02,4.841
2016/03/03,7.801
2016/03/04,7.95
2016/03/05,9.615
2016/03/06,8.837
2016/03/07,5.831
2016/03/08,2.508
2016/03/09,1.807
2016/03/10,2.851
2016/03/11,2.506
2016/03/12,3.994
2016/03/13,5.941
2016/03/14,5.036
2016/03/15,2.849
2016/03/16,1.833
2016/03/17,-0.364
2016/03/18,-2.931
2016/03/19,-3.649
2016/03/20,-3.735
2016/03/21,-2.462
2016/03/22,-0.606
2016/03/23,0.765
2016/03/24,0.769
2016/03/25,-0.171
2016/03/26,-0.676
2016/03/27,-0.967
2016/03/28,-0.399
2016/03/29,0.463
2016/03/30,1.142
2016/03/31,1.253
2016/04/01,0.915
2016/04/02,0.413
2016/04/03,0.13
2016/04/04,-0.235
2016/04/05,-1.008
2016/04/06,-1.473
2016/04/07,-1.727
2016/04/08,-2.201
2016/04/09,-2.533
2016/04/10,-3.571
2016/04/11,-4.008
2016/04/12,-4.504
2016/04/13,-4.411
2016/04/14,-2.967
2016/04/15,-1.734
2016/04/16,-0.981
2016/04/17,0.901
2016/04/18,1.582
2016/04/19,1.519
2016/04/20,0.555
2016/04/21,-0.273
2016/04/22,-1.31
2016/04/23,-1.698
2016/04/24,-1.356
2016/04/25,-1.494
2016/04/26,-2.176
2016/04/27,-1.91
2016/04/28,-1.702
2016/04/29,-1.339
2016/04/30,0.335
2016/05/01,2.031
2016/05/02,3.95
2016/05/03,4.386
2016/05/04,3.673
2016/05/05,2.729
2016/05/06,2.067
2016/05/07,1.023
2016/05/08,0.291
2016/05/09,0.12
2016/05/10,-0.049
2016/05/11,0.348
2016/05/12,1.162
2016/05/13,2.035
2016/05/14,1.709
2016/05/15,1.114
2016/05/16,1.096
2016/05/17,2.533
2016/05/18,4.56
2016/05/19,5.988
2016/05/20,6.116
2016/05/21,4.402
2016/05/22,3.244
2016/05/23,2.327
2016/05/24,0.626
2016/05/25,-0.936
2016/05/26,-1.572
2016/05/27,-2.663
2016/05/28,-2.966
2016/05/29,-1.961
2016/05/30,-0.627
2016/05/31,1.015
2016/06/01,2.358
2016/06/02,2.579
2016/06/03,2.031
2016/06/04,1.403
2016/06/05,0.998
2016/06/06,0.805
2016/06/07,0.807
2016/06/08,1.13
2016/06/09,1.093
2016/06/10,0.604
2016/06/11,0.009
2016/06/12,0.475
2016/06/13,2.471
2016/06/14,4.627
2016/06/15,5.092
2016/06/16,5.284
2016/06/17,2.981
2016/06/18,-1.982
2016/06/19,-5.138
2016/06/20,-6.495
2016/06/21,-6.156
2016/06/22,-3.083
2016/06/23,-1.735
2016/06/24,-0.29
2016/06/25,0.781
2016/06/26,0.928
2016/06/27,0.713
2016/06/28,-0.231
2016/06/29,-1.624
2016/06/30,-1.945
2016/07/01,-2.032
2016/07/02,-1.94
2016/07/03,-1.77
