Date,price7emaUSD
2016/01/01,0.911
2016/01/02,0.925
2016/01/03,0.939
2016/01/04,0.947
2016/01/05,0.954
2016/01/06,0.959
2016/01/07,0.968
2016/01/08,0.974
2016/01/09,0.996
2016/01/10,1.018
2016/01/11,1.027
2016/01/12,1.064
2016/01/13,1.081
2016/01/14,1.095
2016/01/15,1.132
2016/01/16,1.159
2016/01/17,1.178
2016/01/18,1.239
2016/01/19,1.272
2016/01/20,1.321
2016/01/21,1.372
2016/01/22,1.409
2016/01/23,1.492
2016/01/24,1.655
2016/01/25,1.816
2016/01/26,2.008
2016/01/27,2.106
2016/01/28,2.202
2016/01/29,2.278
2016/01/30,2.339
2016/01/31,2.351
2016/02/01,2.319
2016/02/02,2.298
2016/02/03,2.331
2016/02/04,2.382
2016/02/05,2.418
2016/02/06,2.44
2016/02/07,2.504
2016/02/08,2.654
2016/02/09,2.864
2016/02/10,3.239
2016/02/11,3.663
2016/02/12,4.224
2016/02/13,4.416
2016/02/14,4.536
2016/02/15,4.769
2016/02/16,4.793
2016/02/17,4.619
2016/02/18,4.473
2016/02/19,4.479
2016/02/20,4.469
2016/02/21,4.46
2016/02/22,4.63
2016/02/23,4.893
2016/02/24,5.123
2016/02/25,5.411
2016/02/26,5.555
2016/02/27,5.722
2016/02/28,5.903
2016/02/29,6.032
2016/03/01,6.211
2016/03/02,6.654
2016/03/03,7.302
2016/03/04,7.791
2016/03/05,8.628
2016/03/06,9.249
2016/03/07,9.519
2016/03/08,9.539
2016/03/09,9.796
2016/03/10,10.255
2016/03/11,10.466
2016/03/12,11.076
2016/03/13,11.889
2016/03/14,12.281
2016/03/15,12.387
2016/03/16,12.599
2016/03/17,12.35
2016/03/18,11.814
2016/03/19,11.503
2016/03/20,11.185
2016/03/21,11.133
2016/03/22,11.25
2016/03/23,11.4
2016/03/24,11.398
2016/03/25,11.244
2016/03/26,11.142
2016/03/27,11.028
2016/03/28,11.068
2016/03/29,11.19
2016/03/30,11.342
2016/03/31,11.445
2016/04/01,11.486
2016/04/02,11.479
2016/04/03,11.482
2016/04/04,11.43
2016/04/05,11.251
2016/04/06,11.086
2016/04/07,10.91
2016/04/08,10.651
2016/04/09,10.39
2016/04/10,9.948
2016/04/11,9.581
2016/04/12,9.154
2016/04/13,8.813
2016/04/14,8.703
2016/04/15,8.608
2016/04/16,8.526
2016/04/17,8.706
2016/04/18,8.795
2016/04/19,8.855
2016/04/20,8.787
2016/04/21,8.706
2016/04/22,8.528
2016/04/23,8.396
2016/04/24,8.342
2016/04/25,8.205
2016/04/26,7.982
2016/04/27,7.887
2016/04/28,7.77
2016/04/29,7.692
2016/04/30,7.834
2016/05/01,8.053
2016/05/02,8.433
2016/05/03,8.732
2016/05/04,8.934
2016/05/05,9.089
2016/05/06,9.236
2016/05/07,9.257
2016/05/08,9.264
2016/05/09,9.306
2016/05/10,9.311
2016/05/11,9.404
2016/05/12,9.585
2016/05/13,9.83
2016/05/14,9.921
2016/05/15,9.974
2016/05/16,10.104
2016/05/17,10.508
2016/05/18,11.125
2016/05/19,11.824
2016/05/20,12.452
2016/05/21,12.744
2016/05/22,13.07
2016/05/23,13.317
2016/05/24,13.238
2016/05/25,13.029
2016/05/26,12.88
2016/05/27,12.487
2016/05/28,12.2
2016/05/29,12.165
2016/05/30,12.234
2016/05/31,12.492
2016/06/01,12.839
2016/06/02,13.084
2016/06/03,13.222
2016/06/04,13.324
2016/06/05,13.424
2016/06/06,13.528
2016/06/07,13.653
2016/06/08,13.857
2016/06/09,13.986
2016/06/10,14.002
2016/06/11,13.952
2016/06/12,14.133
2016/06/13,14.747
2016/06/14,15.6
2016/06/15,16.28
2016/06/16,17.076
2016/06/17,17.138
2016/06/18,16.07
2016/06/19,15.096
2016/06/20,14.251
2016/06/21,13.678
2016/06/22,13.805
2016/06/23,13.604
2016/06/24,13.666
2016/06/25,13.791
2016/06/26,13.822
2016/06/27,13.831
2016/06/28,13.645
2016/06/29,13.271
2016/06/30,13.061
2016/07/01,12.828
2016/07/02,12.618
2016/07/03,12.428
2016/07/04,12.205
2016/07/05,11.768
2016/07/06,11.469
2016/07/07,11.112
2016/07/08,10.941
2016/07/09,10.942
2016/07/10,10.92
2016/07/11,10.828
2016/07/12,10.749
2016/07/13,10.669
2016/07/14,10.765
2016/07/15,11.046
2016/07/16,11.222
2016/07/17,11.234
2016/07/18,11.256
2016/07/19,11.259
2016/07/20,11.465
2016/07/21,11.696
2016/07/22,12.139
2016/07/23,12.709
2016/07/24,12.874
2016/07/25,12.984
2016/07/26,12.946
2016/07/27,12.868
2016/07/28,12.831
2016/07/29,12.793
2016/07/30,12.756
2016/07/31,12.606
2016/08/01,12.348
2016/08/02,11.809
2016/08/03,11.254
2016/08/04,11.117
2016/08/05,11.071
2016/08/06,10.977
2016/08/07,10.958
2016/08/08,10.957
2016/08/09,11.134
2016/08/10,11.394
2016/08/11,11.506
2016/08/12,11.581
2016/08/13,11.602
2016/08/14,11.564
2016/08/15,11.465
2016/08/16,11.383
2016/08/17,11.281
2016/08/18,11.179
2016/08/19,11.07
2016/08/20,11.075
2016/08/21,11.077
2016/08/22,11.107
2016/08/23,11.096
2016/08/24,11.085
2016/08/25,11.108
2016/08/26,11.158
2016/08/27,11.173
2016/08/28,11.14
2016/08/29,11.096
2016/08/30,11.101
2016/08/31,11.161
2016/09/01,11.411
2016/09/02,11.574
2016/09/03,11.656
2016/09/04,11.659
2016/09/05,11.668
