Date,price7momUSD
2016/01/01,0.085
2016/01/02,0.102
2016/01/03,0.131
2016/01/04,0.116
2016/01/05,0.121
2016/01/06,0.075
2016/01/07,0.04
2016/01/08,0.031
2016/01/09,0.096
2016/01/10,0.103
2016/01/11,0.082
2016/01/12,0.201
2016/01/13,0.155
2016/01/14,0.145
2016/01/15,0.25
2016/01/16,0.179
2016/01/17,0.152
2016/01/18,0.367
2016/01/19,0.197
2016/01/20,0.336
2016/01/21,0.386
2016/01/22,0.278
2016/01/23,0.501
2016/01/24,0.907
2016/01/25,0.878
2016/01/26,1.21
2016/01/27,0.936
2016/01/28,0.963
2016/01/29,0.989
2016/01/30,0.779
2016/01/31,0.245
2016/02/01,-0.077
2016/02/02,-0.346
2016/02/03,0.026
2016/02/04,0.046
2016/02/05,0.017
2016/02/06,-0.012
2016/02/07,0.308
2016/02/08,0.883
2016/02/09,1.256
2016/02/10,1.935
2016/02/11,2.401
2016/02/12,3.383
2016/02/13,2.481
2016/02/14,2.202
2016/02/15,2.363
2016/02/16,1.372
2016/02/17,-0.265
2016/02/18,-0.902
2016/02/19,-1.41
2016/02/20,-0.55
2016/02/21,-0.467
2016/02/22,-0.326
2016/02/23,0.816
2016/02/24,1.715
2016/02/25,2.241
2016/02/26,1.49
2016/02/27,1.782
2016/02/28,2.015
2016/02/29,1.277
2016/03/01,1.066
2016/03/02,2.17
2016/03/03,2.971
2016/03/04,3.271
2016/03/05,4.918
2016/03/06,4.665
2016/03/07,3.91
2016/03/08,2.852
2016/03/09,2.585
2016/03/10,2.387
2016/03/11,1.84
2016/03/12,1.767
2016/03/13,3.216
2016/03/14,3.127
2016/03/15,3.107
2016/03/16,2.666
2016/03/17,-0.03
2016/03/18,-0.89
2016/03/19,-2.338
2016/03/20,-4.096
2016/03/21,-2.48
2016/03/22,-1.103
2016/03/23,-1.385
2016/03/24,-0.21
2016/03/25,0.575
2016/03/26,0.268
2016/03/27,0.454
2016/03/28,0.213
2016/03/29,-0.047
2016/03/30,-0.049
2016/03/31,0.362
2016/04/01,0.826
2016/04/02,0.62
2016/04/03,0.808
2016/04/04,0.085
2016/04/05,-0.841
2016/04/06,-1.211
2016/04/07,-1.372
2016/04/08,-1.732
2016/04/09,-1.848
2016/04/10,-2.87
2016/04/11,-2.794
2016/04/12,-2.844
2016/04/13,-2.799
2016/04/14,-2.007
2016/04/15,-1.555
2016/04/16,-1.329
2016/04/17,0.624
2016/04/18,0.581
2016/04/19,1.164
2016/04/20,0.796
2016/04/21,0.086
2016/04/22,-0.328
2016/04/23,-0.276
2016/04/24,-1.068
2016/04/25,-1.268
2016/04/26,-1.721
2016/04/27,-0.985
2016/04/28,-1.041
2016/04/29,-0.534
2016/04/30,0.256
2016/05/01,0.533
2016/05/02,1.782
2016/05/03,2.314
2016/05/04,1.941
2016/05/05,2.132
2016/05/06,2.221
2016/05/07,1.061
