Date,price7rsiUSD
2016/01/01,73.145
2016/01/02,74.484
2016/01/03,77.482
2016/01/04,71.835
2016/01/05,72.663
2016/01/06,71.897
2016/01/07,77.882
2016/01/08,74.322
2016/01/09,86.963
2016/01/10,88.857
2016/01/11,72.059
2016/01/12,85.443
2016/01/13,70.438
2016/01/14,71.731
2016/01/15,81.135
2016/01/16,81.158
2016/01/17,79.112
2016/01/18,89.269
2016/01/19,77.723
2016/01/20,82.69
2016/01/21,85.219
2016/01/22,83.543
2016/01/23,90.397
2016/01/24,94.874
2016/01/25,95.775
2016/01/26,96.916
2016/01/27,80.653
2016/01/28,82.323
2016/01/29,82.694
2016/01/30,82.994
2016/01/31,69.048
2016/02/01,55.645
2016/02/02,56.527
2016/02/03,66.559
2016/02/04,70.951
2016/02/05,69.952
2016/02/06,68.13
2016/02/07,76.354
2016/02/08,85.788
2016/02/09,90.129
2016/02/10,94.515
2016/02/11,95.912
2016/02/12,97.281
2016/02/13,71.056
2016/02/14,68.855
2016/02/15,74.501
2016/02/16,60.91
2016/02/17,47.924
2016/02/18,46.958
2016/02/19,54.734
2016/02/20,53.594
2016/02/21,53.368
2016/02/22,65.422
2016/02/23,71.846
2016/02/24,73.251
2016/02/25,77.822
2016/02/26,69.25
2016/02/27,72.171
2016/02/28,74.824
2016/02/29,73.902
2016/03/01,78.042
2016/03/02,87.054
2016/03/03,91.314
2016/03/04,91.347
2016/03/05,94.801
2016/03/06,94.099
2016/03/07,76.919
2016/03/08,64.112
2016/03/09,71.455
2016/03/10,77.395
2016/03/11,68.983
2016/03/12,78.288
2016/03/13,82.967
2016/03/14,71.901
2016/03/15,63.387
2016/03/16,66.62
2016/03/17,50.495
2016/03/18,40.668
2016/03/19,43.957
2016/03/20,41.442
2016/03/21,48.961
2016/03/22,54.663
2016/03/23,56.852
2016/03/24,51.451
2016/03/25,44.788
2016/03/26,45.517
2016/03/27,43.615
2016/03/28,51.45
2016/03/29,56.546
2016/03/30,59.801
2016/03/31,58.858
2016/04/01,55.503
2016/04/02,51.906
2016/04/03,52.734
