Date,price7varUSD
2016/01/01,0.002
2016/01/02,0.002
2016/01/03,0.002
2016/01/04,0.002
2016/01/05,0.001
2016/01/06,0
2016/01/07,0
2016/01/08,0
2016/01/09,0.001
2016/01/10,0.002
2016/01/11,0.002
2016/01/12,0.004
2016/01/13,0.004
2016/01/14,0.003
2016/01/15,0.004
2016/01/16,0.004
2016/01/17,0.004
2016/01/18,0.008
2016/01/19,0.01
2016/01/20,0.012
2016/01/21,0.012
2016/01/22,0.013
2016/01/23,0.021
2016/01/24,0.061
2016/01/25,0.111
2016/01/26,0.169
2016/01/27,0.161
2016/01/28,0.136
2016/01/29,0.072
2016/01/30,0.02
2016/01/31,0.008
2016/02/01,0.012
2016/02/02,0.013
2016/02/03,0.013
2016/02/04,0.015
2016/02/05,0.015
2016/02/06,0.015
2016/02/07,0.025
2016/02/08,0.063
2016/02/09,0.134
2016/02/10,0.411
2016/02/11,0.777
2016/02/12,1.356
2016/02/13,1.153
2016/02/14,0.792
2016/02/15,0.516
2016/02/16,0.208
2016/02/17,0.27
2016/02/18,0.392
2016/02/19,0.227
2016/02/20,0.217
2016/02/21,0.206
2016/02/22,0.133
2016/02/23,0.3
2016/02/24,0.405
2016/02/25,0.489
2016/02/26,0.47
2016/02/27,0.372
2016/02/28,0.167
2016/02/29,0.076
2016/03/01,0.082
2016/03/02,0.373
2016/03/03,1.192
2016/03/04,1.549
2016/03/05,2.751
2016/03/06,3.107
2016/03/07,2.272
2016/03/08,1.105
2016/03/09,0.574
2016/03/10,0.635
2016/03/11,0.387
2016/03/12,0.949
2016/03/13,2.285
2016/03/14,2.442
2016/03/15,1.546
2016/03/16,1.031
2016/03/17,1.041
2016/03/18,1.561
2016/03/19,2.049
2016/03/20,1.733
2016/03/21,1.251
2016/03/22,0.976
2016/03/23,0.408
2016/03/24,0.377
2016/03/25,0.292
2016/03/26,0.263
2016/03/27,0.176
2016/03/28,0.17
2016/03/29,0.165
2016/03/30,0.156
2016/03/31,0.194
2016/04/01,0.173
2016/04/02,0.129
2016/04/03,0.036
2016/04/04,0.028
2016/04/05,0.116
2016/04/06,0.172
2016/04/07,0.213
2016/04/08,0.316
2016/04/09,0.401
2016/04/10,0.648
2016/04/11,0.708
2016/04/12,0.916
2016/04/13,0.883
2016/04/14,0.553
2016/04/15,0.309
2016/04/16,0.081
2016/04/17,0.196
2016/04/18,0.261
2016/04/19,0.244
2016/04/20,0.14
2016/04/21,0.133
2016/04/22,0.183
2016/04/23,0.223
2016/04/24,0.174
2016/04/25,0.158
2016/04/26,0.155
2016/04/27,0.122
2016/04/28,0.09
2016/04/29,0.089
2016/04/30,0.12
2016/05/01,0.225
2016/05/02,0.614
2016/05/03,0.784
2016/05/04,0.814
2016/05/05,0.617
2016/05/06,0.268
2016/05/07,0.097
2016/05/08,0.019
2016/05/09,0.019
2016/05/10,0.019
2016/05/11,0.025
2016/05/12,0.079
2016/05/13,0.209
2016/05/14,0.213
2016/05/15,0.176
2016/05/16,0.164
2016/05/17,0.354
2016/05/18,0.992
2016/05/19,1.932
2016/05/20,2.742
2016/05/21,2.442
2016/05/22,1.721
2016/05/23,0.706
2016/05/24,0.246
2016/05/25,0.406
2016/05/26,0.552
2016/05/27,0.877
2016/05/28,1.098
2016/05/29,0.791
2016/05/30,0.333
2016/05/31,0.405
2016/06/01,0.768
2016/06/02,1.021
2016/06/03,0.834
2016/06/04,0.441
2016/06/05,0.215
2016/06/06,0.038
2016/06/07,0.018
2016/06/08,0.074
2016/06/09,0.103
2016/06/10,0.086
2016/06/11,0.07
2016/06/12,0.095
2016/06/13,0.756
2016/06/14,2.207
2016/06/15,3.262
2016/06/16,4.49
2016/06/17,3.571
2016/06/18,4.506
2016/06/19,6.769
2016/06/20,9.434
2016/06/21,9.815
2016/06/22,7.788
2016/06/23,3.261
2016/06/24,0.763
2016/06/25,0.987
2016/06/26,0.944
2016/06/27,0.562
2016/06/28,0.201
2016/06/29,0.441
2016/06/30,0.551
2016/07/01,0.668
2016/07/02,0.588
2016/07/03,0.447
2016/07/04,0.206
2016/07/05,0.363
2016/07/06,0.507
2016/07/07,0.616
2016/07/08,0.532
2016/07/09,0.365
2016/07/10,0.195
2016/07/11,0.076
2016/07/12,0.075
2016/07/13,0.077
2016/07/14,0.059
2016/07/15,0.214
2016/07/16,0.306
2016/07/17,0.309
2016/07/18,0.269
2016/07/19,0.196
2016/07/20,0.127
