Date,price7wmaUSD
2016/01/01,0.91
2016/01/02,0.929
2016/01/03,0.948
2016/01/04,0.96
2016/01/05,0.968
2016/01/06,0.972
2016/01/07,0.979
2016/01/08,0.983
2016/01/09,1.004
2016/01/10,1.026
2016/01/11,1.038
2016/01/12,1.077
2016/01/13,1.098
2016/01/14,1.115
2016/01/15,1.153
2016/01/16,1.181
2016/01/17,1.202
2016/01/18,1.264
2016/01/19,1.3
2016/01/20,1.353
2016/01/21,1.409
2016/01/22,1.449
2016/01/23,1.536
2016/01/24,1.704
2016/01/25,1.879
2016/01/26,2.094
2016/01/27,2.22
2016/01/28,2.335
2016/01/29,2.42
2016/01/30,2.473
2016/01/31,2.464
2016/02/01,2.406
2016/02/02,2.354
2016/02/03,2.362
2016/02/04,2.396
2016/02/05,2.426
2016/02/06,2.452
2016/02/07,2.524
2016/02/08,2.688
2016/02/09,2.917
2016/02/10,3.318
2016/02/11,3.795
2016/02/12,4.428
2016/02/13,4.711
2016/02/14,4.882
2016/02/15,5.117
2016/02/16,5.117
2016/02/17,4.876
2016/02/18,4.629
2016/02/19,4.53
2016/02/20,4.466
2016/02/21,4.42
2016/02/22,4.569
2016/02/23,4.864
2016/02/24,5.163
2016/02/25,5.516
2016/02/26,5.717
2016/02/27,5.924
2016/02/28,6.122
2016/02/29,6.243
2016/03/01,6.4
2016/03/02,6.827
2016/03/03,7.493
2016/03/04,8.056
2016/03/05,8.972
2016/03/06,9.705
2016/03/07,10.077
2016/03/08,10.126
2016/03/09,10.316
2016/03/10,10.679
2016/03/11,10.824
2016/03/12,11.355
2016/03/13,12.178
2016/03/14,12.668
2016/03/15,12.86
2016/03/16,13.072
2016/03/17,12.781
2016/03/18,12.143
2016/03/19,11.626
2016/03/20,11.109
2016/03/21,10.924
2016/03/22,10.985
2016/03/23,11.146
2016/03/24,11.243
2016/03/25,11.194
2016/03/26,11.139
2016/03/27,11.036
2016/03/28,11.044
2016/03/29,11.135
2016/03/30,11.289
2016/03/31,11.433
2016/04/01,11.528
2016/04/02,11.555
2016/04/03,11.569
2016/04/04,11.5
2016/04/05,11.288
2016/04/06,11.075
2016/04/07,10.853
2016/04/08,10.553
2016/04/09,10.249
2016/04/10,9.764
2016/04/11,9.346
2016/04/12,8.875
2016/04/13,8.486
